1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1966:Q2,92098,791,1670,0,671,21484,0,1783,371,19330,3591,31894,384,31613,0,1223,28462,1928,92766
1966:Q3,94518,719,1734,0,702,21802,0,1763,345,19694,3710,29369,397,36085,0,1189,32843,2053,95193
1966:Q4,97041,758,1812,0,734,22261,0,1728,348,20185,3911,31574,414,35577,0,1249,32186,2142,97722
1967:Q1,99554,824,1876,0,767,22466,0,1611,337,20518,3991,36398,435,32797,0,1353,29224,2220,100251
1967:Q2,102112,839,1951,0,803,22448,0,1499,304,20645,3976,37456,459,34180,0,1380,30463,2337,102832
1967:Q3,104708,882,2029,0,838,22737,0,1475,283,20979,4059,40415,485,33263,0,1451,29376,2436,105451
1967:Q4,107322,894,2127,0,870,22837,0,1490,263,21084,4083,40883,510,35118,0,1470,31104,2544,108092
1968:Q1,109968,871,2192,0,900,23325,0,1655,280,21390,4091,38624,535,39430,0,1443,35325,2662,110784
1968:Q2,112803,950,2281,0,928,23338,0,1636,296,21406,4050,44779,561,35916,0,1566,31638,2712,113658
1968:Q3,115985,983,2377,0,954,23490,0,1590,313,21587,4071,47095,587,36428,0,1621,32021,2786,116893
1968:Q4,119613,1015,2480,0,980,23679,0,1769,310,21600,4067,49165,614,37613,0,1671,33082,2860,120573
1969:Q1,123651,1005,2543,0,1006,23652,0,1845,338,21469,4079,48650,639,42077,0,1667,37457,2953,124618
1969:Q2,128094,1009,2671,0,1030,23538,0,1643,365,21530,4069,48740,664,46373,0,1674,41663,3036,129063
1969:Q3,132750,1004,2767,0,1053,24009,0,1619,429,21961,4134,47805,689,51289,0,1672,46494,3123,133728
1969:Q4,137367,1024,2877,0,1079,24202,0,1637,475,22090,4216,49140,715,54114,0,1710,49205,3199,138348
1970:Q1,141679,1029,2992,0,1105,24410,0,1561,451,22398,4230,46004,737,61172,0,1720,56161,3291,142676
1970:Q2,145748,918,3109,0,1133,24508,0,1488,515,22505,4213,37589,752,73526,0,1560,68514,3452,146777
1970:Q3,149560,1028,3232,0,1161,25232,0,1614,715,22903,4193,44935,774,69005,0,1730,63789,3486,150624
1970:Q4,153120,1106,3347,0,1190,25852,0,1593,705,23554,4171,50315,817,66322,0,1858,60923,3541,154210
1971:Q1,156379,1199,3481,0,1221,25288,0,1694,592,23002,4080,57645,882,62583,0,2004,56986,3593,157547
1971:Q2,159623,1205,3585,0,1252,24648,0,1501,463,22684,3914,59203,968,64848,0,2029,59123,3696,160875
1971:Q3,163022,1242,3727,0,1286,24306,0,1533,460,22313,3768,62474,1062,65157,0,2097,59271,3789,164357
1971:Q4,166668,1305,3853,0,1321,24958,0,1594,473,22891,3658,66488,1150,63935,0,2199,57859,3877,168094
1972:Q1,170496,1413,3982,0,1474,25553,185,1905,670,22793,3332,72173,1237,61332,0,2350,54616,4366,172080
1972:Q2,174604,1471,4145,0,1707,26757,476,1838,942,23501,3133,72812,1330,63249,0,2426,55649,5174,176286
1972:Q3,178816,1577,4322,0,1948,28605,793,1967,1358,24487,2865,74524,1419,63556,0,2537,55020,5999,180600
1972:Q4,182963,1790,4511,0,2130,29693,1053,2536,1621,24483,2728,80863,1494,59754,0,2722,50454,6578,184824
1973:Q1,186877,1889,4712,0,2260,31330,1262,2794,2027,25247,2514,76694,1555,65923,0,2695,56170,7058,188842
1973:Q2,190789,2016,4893,0,2348,32246,1429,3008,2175,25634,2439,71699,1603,73545,0,2634,63511,7400,192894
1973:Q3,194941,2340,5130,0,2427,33836,1606,3533,2315,26382,2361,78584,1647,68616,0,2826,58182,7608,197203
1973:Q4,199505,2455,5314,0,2530,34557,1847,4034,2490,26186,2376,70168,1695,80410,0,2697,69686,8027,201926
1974:Q1,204419,2604,5535,0,2645,35406,2132,4582,2537,26155,2393,72647,1734,81455,0,2791,70258,8406,206968
1974:Q2,209608,2840,5763,0,2765,36489,2441,5184,2546,26318,2377,66424,1751,91199,0,2718,79617,8864,212322
1974:Q3,214726,3093,6005,0,2894,38713,2802,6176,2739,26996,2368,49709,1790,110154,0,2459,98259,9436,217656
1974:Q4,219443,3366,6337,0,3041,41026,3242,6419,3358,28007,2372,56066,1895,105340,0,2670,92791,9879,222589
1975:Q1,223503,3626,6622,0,3211,44349,3797,7217,3645,29690,2409,66166,2065,95055,0,3035,81676,10344,226943
1975:Q2,227359,3915,6970,0,3575,47128,4505,7887,3822,30914,2378,79204,2301,81888,0,3436,66956,11496,231031
1975:Q3,231374,4183,7331,0,4042,49977,5068,8922,3885,32102,2366,71922,2559,88994,0,3431,72385,13178,235234
1975:Q4,235830,4400,7661,0,4346,52530,5440,9297,4264,33529,2383,77759,2795,83956,0,3665,66111,14180,239903
1976:Q1,240990,4617,8000,0,4385,54742,5935,10210,4642,33955,2383,89038,2795,75030,0,3965,56866,14199,245134
1976:Q2,246655,4704,8292,0,4140,56945,6264,11408,4935,34338,2383,88961,3033,78197,0,3984,60902,13311,250871
1976:Q3,252549,4619,8531,0,4386,56948,6454,12278,5084,33132,2373,88937,3297,83458,0,4032,65248,14178,256841
1976:Q4,258269,4510,8819,0,4736,57061,6571,13556,4739,32195,2414,90361,3534,86834,0,4130,67307,15397,262636
1977:Q1,263550,4499,9169,0,5319,57712,6683,13405,5530,32094,2420,85468,3692,95271,0,4140,73641,17490,268038
1977:Q2,268774,4567,9558,0,5335,60678,6763,14968,5952,32995,2539,88692,3771,93634,0,4284,71857,17493,273389
1977:Q3,274337,4694,9975,0,5803,61815,6785,15060,6716,33254,2486,86742,3771,99051,0,4348,75551,19152,279082
1977:Q4,280490,4835,10411,0,5717,65042,6788,15981,6631,35642,2497,88999,3746,99243,0,4459,75987,18797,285369
1978:Q1,286914,4944,10914,0,6268,65810,6810,16108,6608,36284,2559,87893,3750,104776,0,4551,79480,20745,291981
1978:Q2,293321,5031,11443,0,6136,69581,6801,16639,6570,39571,2647,98659,3750,96074,0,4845,71078,20151,298574
1978:Q3,298723,5119,11930,0,6488,71707,6704,15817,7780,41406,2706,111166,3708,85899,0,5214,59414,21271,304185
1978:Q4,302428,5184,12540,0,6935,73242,6697,17384,6771,42390,2721,108222,3715,89869,0,5270,61741,22858,308103
1979:Q1,304559,5207,13105,0,7253,75696,6956,17795,7718,43227,2798,113778,3862,82860,0,5571,53407,23882,310727
1979:Q2,307028,5189,13609,0,7490,80393,7499,18696,8373,45825,2750,116178,4152,77267,0,5772,46839,24656,313709
1979:Q3,312426,5142,14158,0,7532,85435,8336,19327,9363,48409,2968,124961,4585,67645,0,6095,36875,24675,319654
1979:Q4,323037,5055,14784,0,7768,89483,9238,19496,9796,50953,3139,122806,5066,74936,0,6196,43256,25484,330836
1980:Q1,339089,4919,15280,0,7979,94827,9973,20402,10408,54044,3191,121978,5500,85415,0,6240,52946,26229,347595
1980:Q2,359536,4721,15740,0,8189,101149,10603,22040,11721,56785,3263,138118,5994,82362,0,6761,48827,26774,368745
1980:Q3,381634,4447,16176,0,8485,106896,11190,22927,12829,59950,3471,152506,6655,82998,0,7241,48109,27648,391576
1980:Q4,401913,4162,16868,0,8378,112368,11719,24161,14309,62179,3564,162432,7149,86992,0,7566,52291,27135,412620
1981:Q1,418061,3931,17449,0,8237,116768,12172,25014,15838,63744,3748,164597,7139,96192,0,7697,61919,26576,429638
