1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,447016,409858,323570,148808,174762,43677,1979,41698,4596,38015,37158,20335,0,0,0,0,0,3103,0,3103,9377,4343,4135,209,0,0,59647,44180,7288,6586,30306,15441,0,27,0,387369,387265,104,118905,52599,11.40508328689297
1959:Q1,449872,412381,325796,149455,176341,44145,2105,42040,4582,37858,37491,20170,0,0,0,0,0,2836,0,2836,10079,4406,4193,213,0,0,61787,45645,7374,6926,31345,16115,0,27,0,388085,387979,106,119531,52536,11.76163201705683
1959:Q2,451837,415158,328916,150431,178485,44570,2154,42416,4698,36974,36679,19678,0,0,0,0,0,2969,0,2969,9556,4476,4261,215,0,0,64176,48026,7986,7212,32829,16121,0,28,0,387661,387553,108,120207,53180,12.38875622859534
1959:Q3,453448,417184,331781,151296,180485,44945,2174,42771,4825,35634,36264,19116,0,0,0,0,0,2944,0,2944,9648,4556,4329,227,0,0,66083,49616,8279,7222,34114,16439,0,29,0,387365,387255,110,120760,53759,12.80854688259315
1959:Q4,454039,419022,334803,152257,182546,45090,2184,42906,4964,34165,35017,18737,0,0,0,0,0,3425,0,3425,8234,4621,4390,232,0,0,65310,50249,8343,7106,34800,15032,0,29,0,388729,388616,113,121410,54166,12.92648735097428
1960:Q1,459710,423938,338815,155413,183402,45215,2207,43008,4971,34937,35772,18478,0,0,0,0,0,2864,0,2864,9755,4675,4438,237,0,0,68040,51424,8464,7322,35638,16586,0,30,0,391670,391557,113,124174,54764,13.12942322963687
1960:Q2,462186,427152,342539,158425,184114,45554,2226,43328,4980,34080,35034,18284,0,0,0,0,0,3025,0,3025,9010,4715,4479,236,0,0,69460,53204,8850,7500,36854,16226,0,30,0,392726,392612,114,126960,54835,13.54745040195829
1960:Q3,466555,431470,346090,161176,184914,45617,2244,43373,5057,34705,35086,18145,0,0,0,0,0,2927,0,2927,9246,4767,4519,248,0,0,70883,54374,8881,7511,37982,16479,0,30,0,395672,395557,115,129279,54978,13.74226941385265
1960:Q4,469339,434721,349081,163600,185481,45486,2251,43235,5154,35000,34617,18044,0,0,0,0,0,3202,0,3202,8554,4818,4566,252,0,0,70668,55024,8858,7424,38742,15614,0,31,0,398670,398552,118,131712,55038,13.80178202215635
1961:Q1,474531,439313,353486,166206,187280,45387,2261,43126,5189,35250,35219,18016,0,0,0,0,0,2594,0,2594,9731,4877,4620,257,0,0,73542,56905,8971,7709,40225,16606,0,31,0,400989,400869,120,133911,55534,14.19114498628662
1961:Q2,479630,444443,359271,169858,189413,45357,2281,43076,5253,34562,35187,18065,0,0,0,0,0,2763,0,2763,9421,4939,4681,257,0,0,74984,58707,9214,7789,41704,16245,0,32,0,404645,404523,122,137064,56136,14.50833228652462
1961:Q3,486703,451106,364646,173158,191488,45327,2296,43031,5365,35768,35597,18133,0,0,0,0,0,2798,0,2798,9655,5011,4739,272,0,0,76849,60612,9395,7892,43325,16205,0,32,0,409855,409730,125,139787,56703,14.78864354669918
1961:Q4,492792,457534,370084,176327,193757,45399,2305,43094,5480,36571,35258,18162,0,0,0,0,0,3130,0,3130,8904,5062,4787,276,0,0,76886,61717,9459,7780,44478,15136,0,33,0,415906,415779,127,142406,57415,14.83923248995376
