1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6,2,-35,-6,0,0,-3,0,-3,0,0,0,-29,-62,0,20,-82,33,0,0,0,0,0,0,33,0,3,-48,-48,0,-112,0,-112,0,64,0,-8
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,12,2,481,20,0,0,-77,0,-77,0,0,0,537,490,0,107,383,47,0,0,0,0,0,0,47,0,1,456,456,0,381,0,381,0,75,0,-15
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,5,0,365,2,0,0,-113,0,-113,0,0,0,463,390,0,75,315,73,9,0,9,0,0,0,64,0,13,362,362,0,316,0,316,0,46,0,2
1955:Q3,5,0,130,-5,0,26,-232,0,-232,0,0,0,343,277,0,19,258,66,21,0,21,0,0,0,45,0,-2,121,121,0,241,0,241,16,-136,0,-4
1955:Q4,5,0,457,33,0,14,299,0,299,0,0,0,115,15,0,-127,142,100,56,0,56,0,0,0,44,0,-4,455,455,0,403,0,403,50,2,0,3
1956:Q1,4,0,194,-40,0,0,320,0,320,0,0,0,-84,-225,0,54,-279,141,70,0,70,1,0,1,70,0,-2,188,188,0,106,0,106,-40,122,0,-2
1956:Q2,5,0,321,-16,0,-3,11,0,11,0,0,0,312,164,0,129,35,148,77,0,77,0,0,0,71,0,17,322,322,0,205,0,205,68,49,0,6
1956:Q3,6,0,146,12,0,-15,-10,0,-10,0,0,0,171,2,0,33,-31,169,119,0,119,-1,0,-1,51,0,-12,137,137,0,243,0,243,4,-110,0,-3
1956:Q4,6,0,348,44,0,-4,-31,0,-31,0,0,0,359,10,0,-76,86,349,297,0,297,0,0,0,52,0,-20,349,349,0,-111,0,-111,263,197,0,7
1957:Q1,6,0,315,-47,0,0,116,0,116,0,0,0,242,-203,0,64,-267,445,382,0,382,0,0,0,63,0,4,289,289,0,397,0,397,-150,42,0,-20
1957:Q2,7,0,447,7,0,-3,-73,0,-73,0,0,0,515,233,0,115,118,282,218,0,218,0,0,0,64,0,1,449,449,0,601,0,601,-208,56,0,9
1957:Q3,7,0,169,-11,0,1,-132,0,-132,0,0,0,304,83,0,43,40,221,196,0,196,0,0,0,25,0,7,159,159,0,189,0,189,115,-145,0,-3
1957:Q4,6,0,353,32,0,2,6,0,6,0,0,0,321,106,0,-40,146,215,191,0,191,0,0,0,24,0,-8,350,350,0,213,0,213,-37,174,0,3
1958:Q1,7,0,191,-29,0,-6,599,0,599,0,0,0,-371,-488,0,81,-569,117,82,0,82,0,0,0,35,0,-2,184,184,0,-120,0,-120,-74,378,0,0
1958:Q2,7,0,40,25,0,-2,-111,0,-111,0,0,0,112,401,0,168,233,-289,-324,0,-324,0,0,0,35,0,16,40,40,0,-103,0,-103,-7,150,0,7
1958:Q3,8,0,-22,-30,0,-3,-134,0,-134,0,0,0,141,152,0,71,81,-11,-61,0,-61,0,0,0,50,0,4,-38,-38,0,215,0,215,19,-272,0,-8
1958:Q4,7,0,142,46,0,-7,-245,0,-245,0,0,0,346,248,0,-40,288,98,48,0,48,0,0,0,50,0,2,133,133,0,85,0,85,41,7,0,-2
1959:Q1,8,1,274,-42,0,0,205,0,205,0,0,0,123,-46,0,165,-211,169,83,0,83,0,0,0,86,0,-12,260,260,0,116,0,116,25,119,0,-6
1959:Q2,8,1,805,37,0,0,-129,0,-129,0,0,0,889,692,0,242,450,197,110,0,110,0,0,0,87,0,8,810,810,0,869,0,869,-43,-16,0,13
1959:Q3,7,1,581,-8,0,0,-11,0,-11,0,0,0,574,321,0,63,258,253,203,0,203,0,0,0,50,0,26,566,566,0,812,0,812,-7,-239,0,-8
1959:Q4,8,1,629,45,0,0,35,0,35,0,0,0,528,215,0,-124,339,313,263,0,263,0,0,0,50,0,21,625,625,0,398,0,398,104,123,0,4
1960:Q1,8,1,2,-55,0,0,204,0,204,0,0,0,-127,-521,0,93,-614,394,330,0,330,0,0,0,64,0,-20,-11,-11,0,-164,0,-164,93,60,0,-5
