1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q3,4129141,3946249,3356304,132318,136912,24453,27904,268358,182893,476134,293241,155549,6132,6346,1134,1294,12438,3099206,2241706,2918,176167,83658,99766,52784,45266,7868,8844,2718977,314501,408,24635,11699,13952,7382,6330,1322,0,380229,558923,178694
2006:Q4,4470343,4294301,3600319,131157,144239,27319,57430,333837,176042,463041,286999,147594,5376,5913,1120,2354,13685,3293053,2344607,4590,173775,128217,91560,65604,69874,8282,9022,2895531,322943,630,23857,17603,12570,9006,9593,1320,0,397522,570072,172550
2007:Q1,4691563,4519858,3807333,141048,146031,28685,62822,333939,171705,478429,306724,144637,5358,5547,1090,2387,12686,3335052,2405252,4600,178705,119617,91285,60323,77524,8272,0,2945578,317745,608,23629,15816,12071,7976,10251,1378,0,389474,607319,217844
2007:Q2,5043587,4885181,4080054,158908,159620,31622,85105,369872,158406,476235,317829,132297,5153,5176,1026,2760,11994,3561054,2581826,4759,189790,131525,97675,63237,82845,7699,0,3159356,327440,605,24131,16723,12419,8040,10533,1808,0,401699,623785,222086
2007:Q3,5247499,5091557,4257930,170272,164246,34017,91809,373283,155942,483406,327463,130409,5215,5031,1042,2812,11433,3673824,2654702,4421,205179,140471,96739,60460,85027,7661,0,3254660,341056,569,26425,18092,12459,7786,10951,1827,0,419165,657125,237960
2007:Q4,5274991,5090968,4188219,205527,165584,34990,243250,253398,184023,510102,326079,151391,7429,5986,1265,8792,9160,3551307,2627511,4526,118424,96372,86363,86265,71348,6704,0,3097513,384157,663,17349,14118,12653,12639,10452,1763,0,453794,710647,256853
2008:Q1,4854794,4662608,3837319,185063,149830,33376,227248,229772,192186,535860,343673,158168,7628,6176,1376,9367,9471,3321043,2390727,3739,115519,88253,80946,81677,74425,8407,0,2843693,400966,628,19392,14814,13588,13710,12494,1758,0,477350,730336,252986
2008:Q2,4753111,4549537,3759085,173892,144325,32371,221066,218798,203574,553589,350014,168203,7781,6458,1449,9892,9791,3299467,2336273,3565,114981,91458,74899,77033,81203,8835,0,2788247,428233,654,21082,16769,13733,14124,14888,1737,0,511220,773563,262343
2008:Q3,3929490,3745841,3085013,145229,120692,28027,185648,181232,183649,546385,362736,151250,7121,5917,1374,9101,8886,3083150,2137658,3473,105397,86825,70116,74783,96974,7544,0,2582770,413873,673,20420,16821,13584,14488,18787,1734,0,500380,766630,266250
2008:Q4,3102418,2928147,2378648,150135,76463,18595,164680,139626,174271,504203,329933,141565,8936,4551,1107,9802,8310,2486446,1741398,2810,55171,39374,46416,60088,49201,6050,0,2000508,422721,682,13402,9565,11274,14596,11951,1747,0,485938,760799,274861
2009:Q1,2875095,2675469,2180384,135848,68738,16158,148089,126252,199626,540276,340650,162686,10136,5128,1206,11050,9420,2217085,1519857,2248,52095,28263,42850,56621,40589,6516,0,1749039,405713,601,13940,7563,11467,15152,10862,2747,0,468045,750241,282196
2009:Q2,3469043,3255552,2662229,159117,83541,20816,177939,151910,213491,577598,364107,174582,10434,5479,1365,11669,9962,2496874,1749579,2557,59912,34856,54655,67074,48623,7211,0,2024467,405508,597,13980,8134,12754,15652,11346,4436,0,472407,752713,280306
2009:Q3,4144081,3920909,3205138,192007,103284,25631,212574,182275,223172,597830,374657,182430,10929,5879,1459,12100,10375,2847411,2031455,3485,72667,44459,66640,78288,56061,8350,0,2361405,417564,717,14955,9150,13715,16113,11538,2254,0,486006,761643,275637
2009:Q4,4322122,4097179,3285535,255180,120680,28196,182313,225275,224943,572022,347079,180383,14009,6626,1548,10009,12368,2995459,2120860,4699,105764,63479,68140,88355,54257,8347,0,2513901,405516,900,20260,12160,13053,16926,10393,2350,0,481558,757650,276091
2010:Q1,4432371,4235279,3391028,263371,127506,29994,188164,235216,197092,556497,359404,157803,12256,5934,1396,8757,10946,3142932,2233298,4801,114041,65517,71592,90307,63988,1856,0,2645400,418018,904,21448,12322,13465,16984,12035,2355,0,497531,764238,266706
2010:Q2,3911383,3729883,2989919,230896,109340,26931,165812,206985,181500,546804,365304,145492,11236,5321,1311,8068,10072,2827059,1966708,4237,101883,59007,62879,76984,53988,4408,0,2330094,417914,904,21730,12586,13411,16420,11515,2485,0,496965,761223,264258
2010:Q3,4513161,4336654,3494524,261447,125608,30627,187456,236992,176507,555062,378555,142231,10642,5113,1246,7629,9646,3139757,2224887,4643,114458,65513,70846,92027,58783,4801,0,2635958,422403,888,21876,12521,13541,17589,11235,3745,0,503798,775382,271584
2010:Q4,4809587,4620850,3703940,294933,104357,48714,216914,251992,188737,586867,398130,151286,12046,4263,1990,8860,10292,3422293,2423211,5555,125882,74172,88445,120266,87143,3079,0,2927753,406300,939,21264,12529,14940,20314,14720,3534,0,494540,773214,278674
2011:Q1,5108938,4922315,3950111,313537,107853,51346,230715,268753,186623,600841,414218,149762,11888,4089,1947,8747,10190,3580935,2553324,5684,142325,78926,87480,126580,97383,2579,0,3094281,398936,894,22384,12413,13759,19908,15316,3044,0,486654,774587,287933
2011:Q2,5139499,4944415,3996630,305421,104114,50614,225604,262032,195084,618807,423723,157689,12051,4108,1997,8901,10338,3600127,2562783,5646,144377,75287,88780,127462,102662,2548,0,3109545,401747,891,22778,11878,14007,20109,16196,2975,0,490581,783032,292450
2011:Q3,4244882,4061664,3293427,240737,87742,42070,184567,213121,183218,616889,433671,148564,10859,3958,1898,8326,9613,3196405,2220501,4767,130325,62388,68693,107003,90897,2458,0,2687032,417689,903,24706,11826,13022,20284,17231,3712,0,509373,786759,277386
2011:Q4,4514327,4320052,3552983,248715,82341,49457,202448,184108,194275,619084,424809,159780,11185,3703,2224,9104,8279,3498726,2419115,6017,175314,73331,102855,90429,97657,3644,0,2968362,429192,1075,31324,13103,18377,16158,17448,3687,0,530364,806054,275690
2012:Q1,4968970,4741340,3899178,272141,84574,55588,226456,203403,227630,635852,408221,187195,13066,4061,2669,10873,9766,3826404,2713922,6827,188345,79788,113325,98840,111238,5381,0,3317666,413698,1046,28881,12234,17378,15157,17057,3287,0,508738,807542,298804
2012:Q2,4684122,4449252,3668483,252103,79112,52219,209233,188102,234870,650511,415641,193654,13308,4176,2757,11045,9930,3760851,2646537,7007,181197,93278,109220,93862,107760,4787,0,3243648,419577,1118,28893,14874,17415,14966,17183,3177,0,517203,831257,314054
2012:Q3,5050597,4813387,3991037,262945,82542,55458,221863,199542,237210,650064,412854,196684,12958,4068,2733,10933,9834,3957343,2803699,7336,190080,95895,115716,97890,116697,4133,0,3431446,427647,1124,29131,14696,17735,15002,17885,2677,0,525897,842073,316177
2012:Q4,5222873,4983895,4124887,269421,95775,67211,220145,206456,238978,659438,420459,197789,12919,4592,3223,10556,9899,3915805,2795947,6848,222674,62838,113878,95897,113195,4566,0,3415843,407218,1002,32592,9198,16668,14037,16568,2679,0,499962,826131,326170
2013:Q1,5448605,5242987,4318972,287336,106059,70575,236037,224008,205618,673031,467413,169381,11268,4160,2767,9257,8785,4255704,3065285,7470,244845,75212,126254,104613,125103,4797,0,3753579,407997,999,32754,10061,16889,13994,16736,2695,0,502125,828933,326808
2013:Q2,5390706,5167442,4269042,273949,107783,69365,229033,218270,223264,700568,477304,184448,11837,4656,2997,9895,9431,4351622,3143363,7501,250209,78335,129595,106534,129373,4230,0,3849140,407986,979,32664,10226,16918,13908,16889,2912,0,502482,854720,352238
2013:Q3,5913304,5706527,4720381,302005,121549,75585,249155,237852,206777,702960,496183,171043,10943,4405,2739,9029,8618,4548655,3308415,8299,261681,81966,135945,106346,137387,4217,0,4044256,410353,1034,32637,10223,16955,13264,17135,2798,0,504399,856520,352121
2013:Q4,6254171,6054227,5111076,307088,122316,78173,255249,180325,199944,698148,498204,168794,10142,4040,2582,8430,5956,4948418,3703444,9480,287534,59030,117870,98218,162667,4973,0,4443216,418959,1077,32693,6712,13402,11167,18496,2696,0,505202,873515,368313
2014:Q1,6396867,6133261,5207970,299093,121509,75501,250963,178225,263606,783248,519642,223837,12855,5223,3245,10786,7660,4891262,3644866,8777,286199,58013,115708,106686,162478,7067,0,4389794,414184,1003,32694,6627,13218,12188,18560,2994,0,501468,866903,365435
2014:Q2,6704645,6440552,5488762,306778,130360,76152,254481,184019,264093,780766,516673,225066,12579,5345,3123,10435,7545,5136801,3852034,9461,294330,58719,120872,109697,169201,6813,0,4621127,428016,1057,32844,6553,13488,12241,18881,2594,0,515674,884717,369043
2014:Q3,6453667,6181309,5269859,291896,125780,72961,242769,178044,272358,797810,525452,232199,12861,5542,3215,10697,7844,5217792,3894773,9337,286081,60709,121058,109749,167062,6945,0,4655714,468524,1128,34538,7330,14615,13250,20169,2524,0,562078,931963,369885
2014:Q4,6320124,6059586,5072306,268966,127935,84230,233870,272279,260538,797865,537327,218088,11564,5501,3622,10056,11707,5456888,4079838,12738,272839,92396,113949,116214,200841,6937,0,4895752,465888,1460,31272,10591,13061,13321,23019,2524,0,561136,945814,384678
2015:Q1,6480614,6218863,5201524,273026,131391,88286,241820,282816,261751,816103,554352,218933,11491,5530,3715,10178,11904,5671334,4249703,13739,265989,97110,123283,117461,203241,6849,0,5077375,495412,1608,31116,11360,14422,13741,23776,2524,0,593959,1009875,415916
2015:Q2,6499371,6239591,5220908,273825,128976,88283,244135,283464,259780,825967,566187,217368,11400,5370,3676,10164,11802,5709698,4271151,14138,262758,101496,121841,113424,206414,6929,0,5098151,510699,1696,31520,12175,14616,13606,24760,2475,0,611547,1036793,425246
2015:Q3,5900540,5677143,4748107,245715,117868,79345,224220,261888,223397,800144,576747,186838,9669,4638,3123,8823,10306,5384847,4009651,13234,241986,104143,111288,96163,189392,7188,0,4773045,504338,1696,31018,13349,14265,12326,24276,10534,0,611802,1034014,422212
2015:Q4,6059272,5812337,4969661,232482,112354,64816,226110,206914,246935,821178,574244,211134,9877,4774,2753,9607,8790,5731383,4277665,15306,251694,155905,100707,92543,203670,12899,0,5110389,507867,1860,30585,18945,12237,11246,24749,13505,0,620994,1044587,423593
2016:Q1,6081459,5851700,4996938,236854,115316,56433,231721,214438,229759,808808,579048,196197,9300,4528,2216,9099,8419,5816549,4306939,15959,258901,193700,111917,91150,217743,12376,0,5208685,490585,1863,30214,22606,13061,10637,25411,13487,0,607864,1038583,430719
2016:Q2,6039156,5820403,4964630,224918,113801,55615,249513,211926,218753,809735,590982,186590,8453,4277,2090,9378,7965,6046002,4484291,17416,265105,197713,112058,95513,226127,10823,0,5409046,515690,2051,31218,23283,13195,11247,26628,13644,0,636956,1073328,436372
2016:Q3,6388113,6177992,5269503,236527,121896,57600,264473,227993,210121,828667,618547,179222,8045,4146,1959,8995,7754,6321710,4784663,19462,275471,204178,112679,99556,96126,58983,0,5651118,450297,2310,32689,24229,13371,11814,11407,124475,0,670592,1107279,436687
2016:Q4,6395424,6185809,5268081,233938,127850,63141,247200,245599,209615,797379,587764,178517,7927,4333,2139,8377,8322,6502750,5006014,22941,287382,148506,128264,76694,99302,54251,0,5823354,467240,2676,33528,17325,14964,8947,11586,123130,0,679396,1099399,420003
2017:Q1,6858897,6634191,5644388,252886,137096,68218,268547,263056,224706,827917,603211,191183,8565,4643,2310,9095,8910,6895504,5369564,23995,298375,150016,130008,79820,93400,56746,0,6201924,477756,2684,33368,16777,14540,8927,10446,129082,0,693580,1088146,394566
2017:Q2,7144901,6947525,5924411,262797,145810,71177,272695,270635,197376,815464,618088,168309,7466,4143,2022,7747,7689,7093412,5540018,24914,306719,149700,133635,80509,109533,55382,0,6400410,473971,2698,33210,16209,14469,8717,11859,131869,0,693002,1081547,388545
2017:Q3,7611747,7405893,6338819,274387,150366,72231,289253,280837,205854,844406,638552,176194,7627,4179,2008,8040,7806,7380277,5803147,25379,312390,150574,137341,83749,117405,59779,0,6689764,470996,2619,32244,15542,14176,8644,12118,134174,0,690513,1083532,393018
2017:Q4,7865018,7683805,6564342,293293,160350,86119,297751,281950,181213,820133,638921,154811,6917,3782,2031,7022,6650,7806330,6154227,24396,323828,164104,160684,95718,134005,58896,0,7115858,471938,2367,31422,15923,15592,9288,13002,130940,0,690472,1080474,390002
2018:Q1,7522855,7290268,6201730,286343,154995,85338,292786,269076,232587,877354,644767,197857,9136,4945,2723,9341,8585,7708176,6093133,23021,315601,161742,159320,95281,130523,63605,0,7042226,462413,2177,29844,15296,15066,9011,12343,119800,0,665950,1081871,415920
2018:Q2,7401714,7165370,6090923,285450,158411,73227,288319,269040,236344,884078,647734,200905,9415,5225,2415,9510,8874,7858043,6259088,24356,325278,168163,162722,100643,134555,63115,0,7237920,420385,2086,27869,14408,13942,8622,11529,121282,0,620123,1035148,415026
2018:Q3,7452069,7219440,6129071,292685,167072,72608,293499,264505,232629,910696,678066,197496,9431,5383,2339,9457,8523,8426012,6733939,49438,345779,179614,174188,110046,148970,65036,0,7807010,419369,3919,27416,14241,13810,8726,11812,119709,0,619002,1033975,414973
2018:Q4,6370723,6139070,5215033,240931,137891,61008,267144,217063,231653,865159,633507,196787,9091,5203,2302,10080,8190,7346877,5813202,79625,311440,148683,131594,102084,94714,64194,0,6745536,408185,7099,27764,13254,11731,9101,8444,115763,0,601341,1014475,413134
2019:Q1,6968528,6824765,5784482,267530,155347,68985,300727,247694,143763,815532,671770,121849,5635,3272,1454,6335,5218,8259452,6600752,89587,349845,164540,147489,116807,122091,65565,0,7656676,405694,7053,27542,12954,11611,9195,9612,119115,0,602776,1017252,414476
2019:Q2,7204748,7042689,5976574,270956,160069,68878,310950,255262,162059,872704,710646,137526,6235,3684,1585,7155,5874,8568065,6875327,92106,358326,170847,148482,125507,133709,63391,0,7967695,401304,6940,27000,12874,11188,9457,10075,121532,0,600370,1010441,410072
2019:Q3,7080196,6964670,5888883,278235,158725,68217,316192,254418,115526,844582,729056,97682,4615,2633,1132,5244,4220,8662464,6947512,85742,357229,174281,150409,139030,147499,63404,0,8065106,407097,6351,26459,12908,11140,10297,10925,112181,0,597358,1013264,415906
2019:Q4,7579148,7449135,6256046,298345,188920,82934,328976,293914,130013,820631,690618,109191,5207,3297,1447,5741,5130,9362942,7498182,105613,389267,195736,184534,142686,178892,79653,0,8774563,410706,7082,26102,13125,12374,9568,11996,97426,0,588379,1020861,432482
2020:Q1,5806396,5713556,4773506,230352,149313,64655,264452,231278,92840,803610,710770,77566,3743,2426,1050,4297,3758,7577230,5993631,83792,309394,152952,147754,115761,122077,80788,0,7006149,396349,6829,25220,12468,12044,9436,9951,98784,0,571081,1000711,429630
2020:Q2,6855864,6747260,5652658,268482,180668,74006,300969,270477,108604,743833,635229,90985,4322,2908,1191,4845,4353,8966101,7192313,100640,368125,176124,176506,139686,174412,81076,0,8408882,383396,6669,24394,11671,11697,9257,11558,98577,0,557219,991438,434219
2020:Q3,7208206,7130372,5974793,285401,194096,75727,317206,283149,77834,769754,691920,65218,3116,2119,827,3463,3091,9704885,7830745,107853,398918,188132,185794,154582,196540,82996,0,9145560,383925,6596,24398,11506,11363,9454,12020,100063,0,559325,1005599,446275
2020:Q4,8240764,8176637,6831797,324901,214344,89145,369685,346765,64127,765782,701655,53580,2548,1681,699,2900,2719,10813507,8712062,121180,454299,227651,244699,174863,246339,80869,0,10261962,366912,6512,24417,12236,13152,9398,13239,105679,0,551545,1014252,462707
2021:Q1,8732038,8668826,7226602,341865,233559,94024,411749,361027,63212,758349,695137,52694,2493,1703,686,3003,2633,11402383,9237511,127310,477605,238252,250434,189606,262724,89550,0,10872992,347383,6198,23254,11600,12193,9232,12792,106739,0,529391,994413,465021
2021:Q2,9376928,9316788,7750310,372588,252668,100154,444388,396680,60140,783875,723736,50028,2405,1631,646,2869,2561,12286997,10010708,141616,497854,261850,276921,211769,303771,90279,0,11794768,313863,5910,20777,10928,11557,8838,12678,107678,0,492229,954691,462462
2021:Q3,9324920,9280291,7714951,370431,254950,98004,444432,397523,44629,801271,756642,37101,1781,1226,471,2138,1912,12353901,10066202,137762,498237,259332,275397,213086,320134,92924,0,11863074,322482,5700,20614,10730,11394,8817,13246,97844,0,490827,951872,461045
2021:Q4,9658710,9617492,7971078,395619,265276,100019,481642,403858,41218,849135,807916,29219,3048,1987,733,3417,2814,13552125,11138697,149577,508550,286370,293957,231113,344310,103730,0,13056304,329614,5588,15844,9383,9017,8125,12418,105832,0,495821,956010,460190
