1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q3,18852,18119,17493,87,114,158,125,142,733,ND,ND,707,4,5,6,5,6,4966,2848,83,194,330,287,24,175,0,0,3941,740,22,50,86,75,6,46,0,0,1025,ND,ND
1955:Q4,19395,18641,17992,91,118,161,131,148,754,ND,ND,728,4,5,6,5,6,5076,2870,87,202,357,310,24,179,0,0,4029,746,22,53,93,80,6,47,0,0,1047,ND,ND
1956:Q1,19981,19204,18536,94,120,163,136,155,777,ND,ND,750,4,5,7,5,6,5199,2954,88,206,359,311,25,183,0,0,4126,769,23,53,93,81,6,48,0,0,1073,ND,ND
1956:Q2,20679,19875,19186,98,123,166,141,161,804,ND,ND,775,4,5,7,6,7,5306,3030,90,208,360,312,25,186,0,0,4211,789,23,54,93,81,7,48,0,0,1095,ND,ND
1956:Q3,21540,20702,19990,102,126,169,147,168,838,ND,ND,809,4,5,7,6,7,5400,3098,91,210,360,313,26,188,0,0,4286,804,24,55,94,81,7,49,0,0,1114,ND,ND
1956:Q4,22505,21630,20894,108,128,172,154,174,875,ND,ND,846,4,5,7,6,7,5459,3148,94,207,365,317,25,177,0,0,4333,819,24,54,95,82,6,46,0,0,1126,ND,ND
1957:Q1,23140,22240,21482,111,130,175,160,182,900,ND,ND,870,5,5,7,6,7,5513,3182,94,210,366,317,25,181,0,0,4375,827,25,54,95,83,7,47,0,0,1138,ND,ND
1957:Q2,24411,23462,22680,116,133,178,166,189,949,ND,ND,917,5,5,7,7,8,5578,3228,95,210,367,318,25,184,0,0,4427,838,25,55,95,83,7,48,0,0,1151,ND,ND
1957:Q3,24882,23914,23106,121,136,181,173,197,968,ND,ND,936,5,5,7,7,8,5596,3236,96,211,367,319,25,187,0,0,4441,840,25,55,96,83,7,49,0,0,1155,ND,ND
1957:Q4,25394,24406,23569,126,138,185,182,206,988,ND,ND,955,5,6,7,7,8,5710,3355,98,202,356,309,24,188,0,0,4532,873,25,52,93,80,6,49,0,0,1178,ND,ND
1958:Q1,25736,24735,23878,129,141,187,188,212,1001,ND,ND,965,5,6,8,8,9,5800,3423,99,202,357,310,24,188,0,0,4603,890,26,53,93,80,6,49,0,0,1197,ND,ND
1958:Q2,26385,25359,24479,132,143,191,194,220,1026,ND,ND,990,5,6,8,8,9,5898,3498,101,203,357,310,24,188,0,0,4681,910,26,53,93,80,6,49,0,0,1217,ND,ND
1958:Q3,26777,25736,24832,135,146,194,201,228,1041,ND,ND,1005,5,6,8,8,9,5990,3569,102,204,357,310,24,188,0,0,4754,928,27,53,93,80,6,49,0,0,1236,ND,ND
1958:Q4,27409,26343,25415,138,148,198,209,235,1066,ND,ND,1028,6,6,8,8,10,6115,3574,104,224,395,343,26,187,0,0,4853,930,27,58,103,89,7,48,0,0,1262,ND,ND
1959:Q1,27971,26883,25930,141,151,202,215,244,1088,ND,ND,1049,6,6,8,9,10,6244,3675,106,225,395,343,26,186,0,0,4956,956,27,58,103,89,7,48,0,0,1288,ND,ND
1959:Q2,28769,27650,26670,145,154,205,223,253,1119,ND,ND,1080,6,6,8,9,10,6408,3797,108,227,396,344,27,187,0,0,5086,987,28,59,103,89,7,49,0,0,1322,ND,ND
1959:Q3,29295,28156,27150,148,157,209,231,261,1139,ND,ND,1099,6,6,8,9,11,6534,3889,110,229,397,344,28,189,0,0,5186,1010,29,60,103,90,7,49,0,0,1348,ND,ND
1959:Q4,29827,28667,27634,152,160,212,239,270,1160,ND,ND,1118,6,6,9,10,11,6604,3906,113,233,413,358,28,190,0,0,5241,1017,29,61,107,93,7,49,0,0,1363,ND,ND
1960:Q1,30416,29233,28172,156,162,216,247,280,1183,ND,ND,1140,6,7,9,10,11,6707,3980,113,236,413,359,29,193,0,0,5323,1035,30,61,108,93,7,50,0,0,1384,ND,ND
1960:Q2,30773,29576,28488,159,164,220,256,289,1197,ND,ND,1153,6,7,9,10,12,6782,4025,114,240,415,360,30,199,0,0,5383,1045,30,62,108,94,8,52,0,0,1399,ND,ND
1960:Q3,31138,29927,28811,162,167,224,264,299,1211,ND,ND,1165,7,7,9,11,12,6883,4087,115,244,417,362,32,206,0,0,5463,1064,30,63,108,94,8,53,0,0,1420,ND,ND
1960:Q4,31865,30626,29478,166,171,228,274,309,1239,ND,ND,1192,7,7,9,11,13,6925,4102,118,244,431,374,29,198,0,0,5496,1067,31,64,112,97,7,51,0,0,1429,ND,ND
1961:Q1,32620,31351,30171,170,174,232,284,320,1269,ND,ND,1222,7,7,9,11,13,7020,4162,120,248,433,375,30,203,0,0,5571,1082,31,65,112,98,8,53,0,0,1449,ND,ND
1961:Q2,33340,32043,30831,175,177,235,293,332,1297,ND,ND,1248,7,7,10,12,13,7134,4244,122,251,433,376,31,205,0,0,5662,1103,32,65,113,98,8,53,0,0,1472,ND,ND
1961:Q3,34141,32813,31568,179,180,239,304,343,1328,ND,ND,1278,7,7,10,12,14,7198,4286,125,253,434,377,32,206,0,0,5713,1114,32,66,113,98,8,54,0,0,1485,ND,ND
1961:Q4,34717,33367,32088,183,183,244,314,355,1350,ND,ND,1299,7,7,10,13,14,7253,4194,127,273,483,418,33,228,0,0,5756,1092,33,71,125,109,8,59,0,0,1497,ND,ND
1962:Q1,35221,33851,32538,187,186,248,325,367,1370,ND,ND,1316,8,8,10,13,15,7309,4231,128,275,483,419,33,232,0,0,5801,1099,33,72,126,109,9,60,0,0,1508,ND,ND
1962:Q2,35929,34532,33183,191,189,253,336,380,1397,ND,ND,1342,8,8,10,14,15,7407,4299,129,278,484,420,34,235,0,0,5879,1118,33,72,126,109,9,61,0,0,1528,ND,ND
1962:Q3,36577,35154,33766,196,193,258,348,393,1423,ND,ND,1367,8,8,10,14,16,7473,4344,129,280,485,421,35,237,0,0,5931,1129,34,73,126,109,9,62,0,0,1542,ND,ND
1962:Q4,37276,35826,34401,201,196,261,360,407,1450,ND,ND,1392,8,8,11,15,16,7555,4502,130,262,463,401,31,207,0,0,5996,1171,34,68,120,104,8,54,0,0,1559,ND,ND
1963:Q1,38210,36724,35258,206,200,266,373,421,1486,ND,ND,1427,8,8,11,15,17,7626,4550,131,264,463,402,32,210,0,0,6052,1184,34,69,121,104,8,54,0,0,1574,ND,ND
1963:Q2,39143,37621,36117,210,203,271,385,435,1522,ND,ND,1460,9,8,11,16,18,7761,4657,132,264,464,402,32,209,0,0,6160,1212,34,69,120,104,8,54,0,0,1601,ND,ND
