1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,52339,21853,0,4890,1060,573,573,0,0,300,23310,17,23293,11634,11659,0,0,0,0,0,0,0,0,0,353,0,353,51437,18656,3100,29258,1363,780,583,0,0,0,334,27561,0,0,0,423,0,320,103,17,0,0
1956:Q4,53799,21890,0,4910,1665,25,25,0,0,340,24644,34,24610,12654,11956,0,0,0,0,0,0,0,0,0,325,0,325,52988,19059,3261,30070,1216,775,441,0,0,0,325,28529,0,0,0,598,0,326,272,34,0,0
1957:Q1,51913,22276,0,4929,807,592,592,0,0,400,22689,23,22666,11667,10999,0,0,0,0,0,0,0,0,0,220,0,220,50971,18350,2910,29212,1301,811,490,0,0,0,352,27559,0,0,0,499,0,331,168,23,0,0
1957:Q2,52664,22590,0,4951,1029,824,824,0,0,400,22658,23,22635,11621,11014,0,0,0,0,0,0,0,0,0,212,0,212,51705,18628,2950,29850,1256,758,498,0,0,0,462,28132,0,0,0,277,0,333,-56,23,0,0
1957:Q3,52722,22612,0,4970,985,776,776,0,0,400,22769,17,22752,20511,2241,0,0,0,0,0,0,0,0,0,210,0,210,51825,18594,3040,29702,1385,780,605,0,0,0,380,27937,0,0,0,489,0,338,151,17,0,0
1957:Q4,53828,22752,0,4990,1424,50,50,0,0,542,23762,43,23719,20918,2801,0,0,0,0,0,0,0,0,0,308,0,308,52966,19034,3335,30106,1242,761,481,0,0,0,365,28499,0,0,0,491,0,345,146,43,0,0
1958:Q1,52026,22355,0,5026,704,118,118,0,0,410,23154,29,23125,20839,2286,0,0,0,0,0,0,0,0,0,259,0,259,51101,18426,2890,29248,1353,730,623,0,0,0,262,27633,0,0,0,537,0,350,187,29,0,0
1958:Q2,53022,21309,0,5047,796,128,128,0,0,310,25173,35,25138,22649,2489,0,0,0,0,0,0,0,0,0,259,0,259,52088,18568,3017,29534,1102,692,410,0,0,0,277,28155,0,0,0,969,0,353,616,35,0,0
1958:Q3,52263,20782,0,5063,949,337,337,0,0,210,24678,18,24660,22492,2168,0,0,0,0,0,0,0,0,0,244,0,244,51356,18101,3140,29532,1176,686,490,0,0,0,320,28036,0,0,0,583,0,357,226,18,0,0
1958:Q4,53555,20499,0,5078,1296,46,46,0,0,101,26295,43,26252,20900,5352,0,0,0,0,0,0,0,0,0,240,0,240,52692,18504,3249,30264,1041,683,358,0,0,0,279,28944,0,0,0,675,0,363,312,43,0,0
