1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,1204,0,1204,0,1050,154,16838,1237,52,0,1097,88,0,15601,15582,-47,66,-15634
1963:Q4,1247,0,1247,0,1035,212,16843,1229,83,0,1087,59,0,15614,15513,-52,153,-15596
1964:Q1,1344,0,1344,0,904,440,16894,1173,89,0,952,132,0,15721,15461,-48,308,-15550
1964:Q2,968,0,968,0,786,182,16591,1053,162,0,833,58,0,15538,15461,-47,124,-15623
1964:Q3,878,0,878,0,651,227,16521,940,180,0,697,63,0,15581,15463,-46,164,-15643
1964:Q4,1201,0,1201,0,769,432,16672,1034,83,0,814,137,0,15638,15388,-45,295,-15471
1965:Q1,1191,0,1191,0,701,490,15829,939,75,0,749,115,0,14890,14563,-48,375,-14638
1965:Q2,1713,0,1713,0,1167,546,16021,1677,374,0,1214,89,0,14344,13934,-47,457,-14308
1965:Q3,1796,0,1796,0,837,959,15980,1306,326,0,887,93,0,14674,13858,-50,866,-14184
1965:Q4,1644,0,1644,0,863,781,15709,1396,332,0,912,152,0,14313,13733,-49,629,-14065
1966:Q1,1288,0,1288,0,729,559,15026,1233,104,0,788,341,0,13793,13634,-59,218,-13738
1966:Q2,1429,0,1429,0,707,722,14958,1103,96,0,767,240,0,13855,13433,-60,482,-13529
1966:Q3,1520,0,1520,0,372,1148,14876,1070,98,0,424,548,0,13806,13258,-52,600,-13356
1966:Q4,1647,0,1647,0,326,1321,14882,905,76,0,383,446,0,13977,13159,-57,875,-13235
1967:Q1,671,0,671,0,357,314,13855,620,77,0,417,126,0,13235,13107,-60,188,-13184
1967:Q2,1105,0,1105,0,367,738,14274,645,59,0,426,160,0,13629,13110,-59,578,-13169
1967:Q3,1572,0,1572,0,372,1200,14649,926,71,0,430,425,0,13723,13006,-58,775,-13077
1967:Q4,2765,0,2765,0,420,2345,14830,1304,83,0,480,741,0,13526,11982,-60,1604,-12065
1968:Q1,3223,0,3223,0,477,2746,13926,1959,219,0,534,1206,0,11967,10484,-57,1540,-10703
1968:Q2,3382,0,3382,0,903,2479,14063,2748,314,0,964,1470,0,11315,10367,-61,1009,-10681
1968:Q3,3879,0,3879,0,926,2953,14634,3058,388,0,988,1682,0,11576,10367,-62,1271,-10755
1968:Q4,4818,0,4818,0,1290,3528,15710,3340,525,0,1348,1467,0,12370,10367,-58,2061,-10892
1969:Q1,4922,0,4922,0,1321,3601,15758,3371,469,0,1379,1523,0,12387,10367,-58,2078,-10836
1969:Q2,4904,0,4904,0,1549,3355,16057,3915,786,0,1608,1521,0,12142,10367,-59,1834,-11153
1969:Q3,5579,0,5579,0,1782,3797,16743,4076,797,0,1838,1441,0,12667,10367,-56,2356,-11164
1969:Q4,5105,0,5105,0,2324,2781,16964,4691,1492,0,2385,814,0,12273,10367,-61,1967,-11859
1970:Q1,6314,867,5447,920,2577,1950,18217,4872,536,920,2637,779,867,12478,11367,-60,1171,-11903
1970:Q2,5306,867,4439,957,2350,1132,17195,4340,522,957,2419,442,867,11988,11367,-69,690,-11889
1970:Q3,4900,867,4033,991,1944,1098,16394,3785,377,991,1999,418,867,11742,11117,-55,680,-11494
1970:Q4,4282,867,3415,851,1935,629,15354,3573,340,851,2010,372,867,10914,10732,-75,257,-11072
1971:Q1,4963,1584,3379,1443,1680,256,15926,3672,231,1443,1775,223,1584,10670,10732,-95,33,-10963
1971:Q2,4581,1584,2997,1247,1428,322,15088,3149,175,1247,1501,226,1584,10355,10332,-73,96,-10507
1971:Q3,3508,1584,1924,1097,577,250,13715,2053,75,1097,654,227,1584,10078,10132,-77,23,-10207
1971:Q4,3779,1720,2059,1194,585,280,13985,2192,74,1194,661,263,1720,10073,10132,-76,17,-10206
1972:Q1,5254,2491,2763,1965,586,212,14916,2897,74,1965,663,195,2491,9528,9588,-77,17,-9662
1972:Q2,5340,2491,2849,1958,434,457,15830,2989,80,1958,512,439,2491,10350,10410,-78,18,-10490
1972:Q3,5221,2491,2730,1958,449,323,15708,2785,77,1958,532,218,2491,10432,10410,-83,105,-10487
1972:Q4,5155,2491,2664,1958,465,241,15642,2627,77,1958,543,49,2491,10524,10410,-78,192,-10487
1973:Q1,5428,2767,2661,2175,478,8,15915,2814,77,2175,558,4,2767,10334,10410,-80,4,-10487
1973:Q2,5411,2767,2644,2166,470,8,15898,2810,77,2166,563,4,2767,10321,10410,-93,4,-10487
1973:Q3,5424,2767,2657,2166,483,8,15911,2810,77,2166,563,4,2767,10334,10410,-80,4,-10487
1973:Q4,5493,2767,2726,2166,552,8,17145,2887,85,2166,632,4,2767,11491,11567,-80,4,-11652
1974:Q1,5703,2767,2936,2166,761,9,17355,3101,85,2166,847,3,2767,11487,11567,-86,6,-11652
1974:Q2,6061,2767,3294,2195,1005,94,17713,3371,85,2195,1087,4,2767,11575,11567,-82,90,-11652
1974:Q3,6964,2723,4241,2282,1713,246,18616,4159,85,2282,1788,4,2723,11734,11567,-75,242,-11652
1974:Q4,7040,2809,4231,2374,1852,5,18692,4312,0,2374,1935,3,2809,11571,11652,-83,2,-11652
1975:Q1,7498,2862,4636,2423,2194,19,19118,4655,0,2423,2227,5,2862,11601,11620,-33,14,-11620
1975:Q2,7458,2836,4622,2418,2179,25,19078,4625,0,2418,2207,0,2836,11617,11620,-28,25,-11620
1975:Q3,7363,2671,4692,2301,2144,247,18962,4662,0,2301,2165,196,2671,11629,11599,-21,51,-11599
1975:Q4,7312,2685,4627,2335,2212,80,18911,4571,0,2335,2236,0,2685,11655,11599,-24,80,-11599
1976:Q1,7995,2653,5342,2351,2420,571,19594,4801,0,2351,2450,0,2653,12140,11599,-30,571,-11599
1976:Q2,9508,2629,6879,2316,3198,1365,21106,5759,0,2316,3243,200,2629,12718,11598,-45,1165,-11598
1976:Q3,10002,2654,7348,2357,3952,1039,21600,6752,0,2357,3994,401,2654,12194,11598,-42,638,-11598
1976:Q4,9815,2665,7150,2395,4434,321,21413,7005,0,2395,4459,151,2665,11743,11598,-25,170,-11598
1977:Q1,10121,2659,7462,2389,4812,261,21779,7452,22,2389,4838,203,2659,11668,11636,-26,58,-11658
1977:Q2,10172,2674,7498,2486,4920,92,21830,7500,38,2486,4941,35,2674,11656,11620,-21,57,-11658
1977:Q3,9999,2669,7330,2489,4776,65,21657,7350,63,2489,4797,1,2669,11638,11595,-21,64,-11658
