1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q4,815,0,0,0,429,21,22,-21,26,-37,0,0,418,113,10,103,0,0,146,146,0,0,0,0,0,-40,0,0,-40,0,-301,-301,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,297,267,30,0,0,0,0,0,0,0,0,0,0
1958:Q1,600,0,0,0,197,30,-27,109,51,-74,0,0,108,111,10,101,0,0,-569,-569,0,0,0,0,0,81,0,2,79,0,249,249,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,252,227,25,0,0,0,0,0,0,0,0,0,0
1958:Q2,680,0,0,0,77,31,15,-10,37,-7,0,0,11,98,10,88,0,0,233,233,0,0,0,0,0,168,0,5,163,0,432,432,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,-245,-221,-25,0,0,0,0,0,0,0,0,0,0
1958:Q3,109,0,0,0,339,24,4,26,59,19,0,0,207,77,10,67,0,0,81,81,0,0,0,0,0,71,0,2,69,0,68,68,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,-527,-474,-53,0,0,0,0,0,0,0,0,0,0
1958:Q4,1440,0,0,0,381,22,21,16,33,41,0,0,248,73,10,63,0,0,288,288,0,0,0,0,0,-40,0,0,-40,0,216,216,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,569,512,57,0,0,0,0,0,0,0,0,0,0
1959:Q1,978,0,0,0,279,22,19,116,25,25,0,0,72,95,10,85,0,0,-211,-211,0,0,0,0,0,165,0,6,159,0,34,34,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,640,576,64,0,0,0,0,0,0,0,0,0,0
1959:Q2,1504,0,0,0,360,42,42,5,63,-43,0,0,251,104,10,94,0,0,450,450,0,0,0,0,0,242,0,9,233,0,97,97,-154,-154,0,0,0,0,0,0,0,0,0,0,0,0,0,476,428,48,0,0,0,0,0,0,0,0,0,0
1959:Q3,73,0,0,0,153,36,-29,-26,43,-7,0,0,136,117,10,107,0,0,258,258,0,0,0,0,0,63,0,2,61,0,-154,-154,-87,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,-223,-25,0,0,0,0,0,0,0,0,0,0
1959:Q4,-289,0,0,0,-46,42,-3,-53,54,104,0,0,-190,154,10,144,0,0,339,339,0,0,0,0,0,-124,0,-6,-118,0,26,26,-1389,-1389,0,0,0,0,0,0,0,0,0,0,0,0,0,554,499,55,0,0,0,0,0,0,0,0,0,0
1960:Q1,503,0,0,0,268,19,5,24,38,93,0,0,89,178,10,168,0,0,-614,-614,0,0,0,0,0,93,0,5,88,0,-313,-313,-363,-363,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,935,104,0,0,0,0,0,0,0,0,0,0
1960:Q2,1414,0,0,0,232,69,168,-29,98,-232,0,0,158,195,15,180,0,0,250,250,0,0,0,0,0,144,0,7,137,0,47,47,-176,-176,0,0,0,0,0,0,0,0,0,0,0,0,0,706,635,71,0,0,0,0,0,0,0,0,0,0
