1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q3,-6979,18,0,1049,-553,-2517,1310,-762,-3065,-1710,-720,-369,-2178,2387,-209
1967:Q4,7340,62,0,-492,944,5860,62,513,5285,4954,-745,-3929,686,-268,-418
1968:Q1,-8920,53,0,-1527,-1031,-4420,122,841,-5382,-5015,2133,1895,-1008,1428,-420
1968:Q2,1993,151,0,1876,1396,2408,-584,-281,3272,-766,-984,-213,-1874,1289,586
1968:Q3,-2830,13,0,425,-1688,-3016,822,60,-3898,-805,-406,4574,-1927,1927,0
1968:Q4,11270,32,0,393,2142,9505,615,1353,7537,3283,-497,-5119,1532,-1511,-21
1969:Q1,-8373,15,0,-892,-1155,-5915,-420,44,-5539,-5627,13,6040,-852,1190,-338
1969:Q2,3702,148,0,3048,150,2722,-554,29,3247,-1070,2770,-3533,-533,-280,813
1969:Q3,-926,7,0,-1044,-4242,-2809,1558,22,-4389,-2252,-240,11641,-1987,1992,-5
1969:Q4,3601,49,0,-540,2092,5962,-1522,-1292,8776,5688,-867,-10360,1577,-1320,-257
1970:Q1,-10805,11,0,-643,-405,-7626,-764,3,-6865,-5511,-87,3884,-429,700,-271
1970:Q2,-2106,-62,0,1031,4973,805,-431,5,1230,758,2700,-10536,-1775,1048,727
1970:Q3,-7114,-17,0,495,-3414,-2750,182,1236,-4168,-325,-859,3108,-3352,3428,-76
1970:Q4,10180,-11,0,-1049,800,9933,-16,-72,10020,6309,-1190,-4590,-21,167,-146
1971:Q1,-15363,-23,0,815,1017,-7169,-537,-1261,-5371,-2613,-1091,-3101,-3199,3767,-568
1971:Q2,-3448,-7,0,-85,1500,3452,140,159,3153,-193,2429,-7061,-3483,2696,787
1971:Q3,-10701,-13,0,-1421,-3613,-4772,132,-608,-4296,-1391,297,4116,-3904,3815,89
1971:Q4,6301,55,0,-1387,2292,9031,-108,628,8511,7551,-225,-11756,739,-759,20
1972:Q1,-18508,-95,0,-2414,253,-5312,812,24,-6147,-7472,-1852,-639,-977,1890,-913
1972:Q2,-687,-18,0,1593,1986,3995,-650,74,4571,-2668,3622,-4415,-4781,4175,606
1972:Q3,-10210,-23,0,-2588,-2269,-4983,476,32,-5491,1407,637,906,-3298,3200,98
1972:Q4,-710,-17,0,-2538,2160,11561,-60,25,11596,7316,61,-20775,1521,-2104,583
1973:Q1,-40605,-19,0,1195,-1783,-8702,444,33,-9179,-10815,-1279,-17138,-2064,3404,-1340
1973:Q2,3112,82,0,-1581,1963,4365,-490,48,4807,-55,3856,-892,-4626,3613,1013
1973:Q3,2614,-19,0,3952,-3333,-5683,69,83,-5835,-3510,437,11178,-408,-12,420
1973:Q4,3563,-25,0,-2941,-188,9910,227,124,9559,12954,-704,-15853,411,-860,449
1974:Q1,-12273,3,0,-365,-4018,-9591,183,109,-9882,-10649,1059,12394,-1106,1631,-525
1974:Q2,17912,-14,0,4086,8077,5260,-753,34,5978,-3581,4747,3433,-4095,2746,1349
1974:Q3,-922,-42,0,939,-3428,-6943,664,-31,-7576,2145,1814,3210,1383,-1401,18
1974:Q4,15943,-38,0,-2821,6892,11649,-159,-97,11904,11569,-281,-6814,-4212,4485,-273
1975:Q1,-7242,-34,57,20,-3464,-10092,-983,-116,-8993,-27885,-1359,39774,-4259,5007,-748
1975:Q2,8963,-23,231,-4002,564,3358,-898,-91,4347,-5527,2824,16391,-4854,3543,1311
1975:Q3,10360,-48,429,3489,926,-6402,-112,-75,-6215,-4389,-436,17320,-530,482,48
1975:Q4,7139,-24,-362,-4221,-1456,14817,2033,-79,12863,26178,-2112,-21384,-4296,4320,-24
1976:Q1,-1090,-37,96,2099,2034,-8402,334,-65,-8670,-25310,-2416,36348,-5502,6280,-778
1976:Q2,-2945,184,397,-374,2660,1428,-473,-35,1936,-5113,3078,1558,-6763,5229,1534
1976:Q3,533,-228,411,1076,5175,-7391,-994,6,-6403,-6031,141,9409,-2030,1955,74
1976:Q4,-545,-32,-52,-3590,-2181,14092,275,43,13774,28207,-1330,-28661,-6997,7189,-192
1977:Q1,-5783,-130,388,-1348,6226,-6942,817,55,-7813,-18519,-1682,23886,-7663,8391,-728
1977:Q2,9367,-25,597,1319,-1539,2171,-375,37,2508,-3796,5482,10753,-5595,3912,1683
1977:Q3,-9032,-26,-911,-2947,2338,-5620,218,33,-5871,-12691,244,14572,-3992,4037,-45
1977:Q4,3258,-80,-1006,-3828,-3039,13558,719,34,12805,24508,-1344,-22555,-2956,3107,-151
1978:Q1,-6069,26,-126,4851,12937,-9823,-588,29,-9264,-22726,-1184,11171,-1195,2650,-1455
1978:Q2,17152,-27,-202,-1473,-1835,3548,310,15,3223,-11965,5312,31468,-7674,5956,1718
1978:Q3,-12277,11,414,-795,3254,-6836,-19,-31,-6786,-19966,746,16010,-5115,4966,150
