1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,187594,0,18409,18409,0,0,0,0,0,169185,187594,187594,18409,169185,187594,0
1965:Q1,190875,0,18480,18480,0,0,0,0,0,172395,190875,190875,18480,172395,190875,0
1965:Q2,194832,0,19550,19550,0,0,0,0,0,175282,194832,194832,19550,175282,194832,0
1965:Q3,198349,0,19728,19728,0,0,0,0,0,178621,198349,198349,19728,178621,198349,0
1965:Q4,201910,0,19724,19724,0,0,0,0,0,182186,201910,201910,19724,182186,201910,0
1966:Q1,205494,0,19747,19747,0,0,0,0,0,185747,205494,205494,19747,185747,205494,0
1966:Q2,209811,0,20835,20835,0,0,0,0,0,188976,209811,209811,20835,188976,209811,0
1966:Q3,213650,0,20935,20935,0,0,0,0,0,192715,213650,213650,20935,192715,213650,0
1966:Q4,217602,0,20977,20977,0,0,0,0,0,196625,217602,217602,20977,196625,217602,0
1967:Q1,221503,0,20925,20925,0,0,0,0,0,200578,221503,221503,20925,200578,221503,0
1967:Q2,226177,0,22043,22043,0,0,0,0,0,204134,226177,226177,22043,204134,226177,0
1967:Q3,230282,0,22074,22074,0,0,0,0,0,208208,230282,230282,22074,208208,230282,0
1967:Q4,234517,0,22292,22292,0,0,0,0,0,212225,234517,234517,22292,212225,234517,0
1968:Q1,238726,0,22334,22334,0,0,0,0,0,216392,238726,238726,22334,216392,238726,0
1968:Q2,243709,0,23603,23603,0,0,0,0,0,220106,243709,243709,23603,220106,243709,0
1968:Q3,248102,0,23594,23594,0,0,0,0,0,224508,248102,248102,23594,224508,248102,0
1968:Q4,252645,0,23628,23628,0,0,0,0,0,229017,252645,252645,23628,229017,252645,0
1969:Q1,256898,0,23755,23755,0,0,0,0,0,233143,256898,256898,23755,233143,256898,0
1969:Q2,261949,0,24871,24871,0,0,0,0,0,237078,261949,261949,24871,237078,261949,0
1969:Q3,266793,0,25176,25176,0,0,0,0,0,241617,266793,266793,25176,241617,266793,0
1969:Q4,271799,0,25147,25147,0,0,0,0,0,246652,271799,271799,25147,246652,271799,0
1970:Q1,279333,0,25185,25185,0,0,0,0,0,254148,279333,279333,25185,254148,279333,0
1970:Q2,287979,0,26910,26910,0,0,0,0,0,261069,287979,287979,26910,261069,287979,0
1970:Q3,296227,0,27046,27046,0,0,0,0,0,269181,296227,296227,27046,269181,296227,0
1970:Q4,304735,0,27528,27528,0,0,0,0,0,277207,304735,304735,27528,277207,304735,0
1971:Q1,311309,0,27726,27726,0,0,0,0,0,283583,311309,311309,27726,283583,311309,0
1971:Q2,318789,0,29583,29583,0,0,0,0,0,289206,318789,318789,29583,289206,318789,0
1971:Q3,325636,0,29814,29814,0,0,0,0,0,295822,325636,325636,29814,295822,325636,0
1971:Q4,332737,0,30371,30371,0,0,0,0,0,302366,332737,332737,30371,302366,332737,0
1972:Q1,339809,0,30289,30289,0,0,0,0,0,309520,339809,339809,30289,309520,339809,0
1972:Q2,347821,0,32423,32423,0,0,0,0,0,315398,347821,347821,32423,315398,347821,0
1972:Q3,355113,0,32693,32693,0,0,0,0,0,322420,355113,355113,32693,322420,355113,0
1972:Q4,362527,0,33364,33364,0,0,0,0,0,329163,362527,362527,33364,329163,362527,0
1973:Q1,369810,0,33182,33182,0,0,0,0,0,336628,369810,369810,33182,336628,369810,0
1973:Q2,378135,0,35497,35497,0,0,0,0,0,342638,378135,378135,35497,342638,378135,0
1973:Q3,385632,0,35193,35193,0,0,0,0,0,350439,385632,385632,35193,350439,385632,0
1973:Q4,393345,0,35499,35499,0,0,0,0,0,357846,393345,393345,35499,357846,393345,0
1974:Q1,400889,0,35113,35113,0,0,0,0,0,365776,400889,400889,35113,365776,400889,0
1974:Q2,409541,0,38912,38912,0,0,0,0,0,370629,409541,409541,38912,370629,409541,0
1974:Q3,417126,0,38126,38126,0,0,0,0,0,379000,417126,417126,38126,379000,417126,0
1974:Q4,424887,0,38238,38238,0,0,0,0,0,386649,424887,424887,38238,386649,424887,0
1975:Q1,432528,0,37947,37947,0,0,0,0,0,394581,432528,432528,37947,394581,432528,0
1975:Q2,441223,0,43043,43043,0,0,0,0,0,398180,441223,441223,43043,398180,441223,0
1975:Q3,448817,0,41962,41962,0,0,0,0,0,406855,448817,448817,41962,406855,448817,0
1975:Q4,456667,0,42061,42061,0,0,0,0,0,414606,456667,456667,42061,414606,456667,0
1976:Q1,464568,0,41323,41323,0,0,0,0,0,423245,464568,464568,41323,423245,464568,0
1976:Q2,473615,0,47681,47681,0,0,0,0,0,425934,473615,473615,47681,425934,473615,0
1976:Q3,481360,0,46312,46312,0,0,0,0,0,435048,481360,481360,46312,435048,481360,0
1976:Q4,489683,0,46657,46657,0,0,0,0,0,443026,489683,489683,46657,443026,489683,0
1977:Q1,497322,0,45466,45466,0,0,0,0,0,451856,497322,497322,45466,451856,497322,0
1977:Q2,506560,0,46928,46928,0,0,0,0,0,459632,506560,506560,46928,459632,506560,0
1977:Q3,514904,0,53102,53102,0,0,0,0,0,461802,514904,514904,53102,461802,514904,0
1977:Q4,523876,0,53232,53232,0,0,0,0,0,470644,523876,523876,53232,470644,523876,0
1978:Q1,533347,0,51966,51966,0,0,0,0,0,481381,533347,533347,51966,481381,533347,0
1978:Q2,544601,0,53425,53425,0,0,0,0,0,491176,544601,544601,53425,491176,544601,0
1978:Q3,554635,0,59653,59653,0,0,0,0,0,494982,554635,554635,59653,494982,554635,0
1978:Q4,565382,0,60259,60259,0,0,0,0,0,505123,565382,565382,60259,505123,565382,0
1979:Q1,575443,0,58551,58551,0,0,0,0,0,516892,575443,575443,58551,516892,575443,0
1979:Q2,587006,0,60046,60046,0,0,0,0,0,526960,587006,587006,60046,526960,587006,0
1979:Q3,597337,0,67607,67607,0,0,0,0,0,529730,597337,597337,67607,529730,597337,0
1979:Q4,608234,0,68259,68259,0,0,0,0,0,539975,608234,608234,68259,539975,608234,0
1980:Q1,618511,0,66161,66161,0,0,0,0,0,552350,618511,618511,66161,552350,618511,0
1980:Q2,630091,0,67358,67358,0,0,0,0,0,562733,630091,630091,67358,562733,630091,0
1980:Q3,640576,0,76924,76924,0,0,0,0,0,563652,640576,640576,76924,563652,640576,0
1980:Q4,651608,0,77183,77183,0,0,0,0,0,574425,651608,651608,77183,574425,651608,0
1981:Q1,662031,0,74439,74439,0,0,0,0,0,587592,662031,662031,74439,587592,662031,0
1981:Q2,674089,0,75653,75653,0,0,0,0,0,598436,674089,674089,75653,598436,674089,0
1981:Q3,684952,0,86895,86895,0,0,0,0,0,598057,684952,684952,86895,598057,684952,0
1981:Q4,696166,0,87179,87179,0,0,0,0,0,608987,696166,696166,87179,608987,696166,0
1982:Q1,707401,0,84313,84313,0,0,0,0,0,623088,707401,707401,84313,623088,707401,0
1982:Q2,720349,0,86345,86345,0,0,0,0,0,634004,720349,720349,86345,634004,720349,0
1982:Q3,732010,0,98516,98516,0,0,0,0,0,633494,732010,732010,98516,633494,732010,0
1982:Q4,743577,0,99245,99245,0,0,0,0,0,644332,743577,743577,99245,644332,743577,0
1983:Q1,755319,0,96374,96374,0,0,0,0,0,658945,755319,755319,96374,658945,755319,0
1983:Q2,768276,0,98735,98735,0,0,0,0,0,669541,768276,768276,98735,669541,768276,0
1983:Q3,780230,0,111500,111500,0,0,0,0,0,668730,780230,780230,111500,668730,780230,0
1983:Q4,793574,0,113787,113787,0,0,0,0,0,679787,793574,793574,113787,679787,793574,0
1984:Q1,807256,0,111640,111640,0,0,0,0,0,695616,807256,807256,111640,695616,807256,0
1984:Q2,822063,0,115547,115547,0,0,0,0,0,706516,822063,822063,115547,706516,822063,0
1984:Q3,835850,0,128964,128964,0,0,0,0,0,706886,835850,835850,128964,706886,835850,0
1984:Q4,849675,0,132262,132262,0,0,0,0,0,717413,849675,849675,132262,717413,849675,0
1985:Q1,864772,0,140863,140863,0,0,0,0,0,723909,864772,864772,140863,723909,864772,0
1985:Q2,879295,0,144839,144839,0,0,0,0,0,734456,879295,879295,144839,734456,879295,0
1985:Q3,894167,0,158741,158741,0,0,0,0,0,735426,894167,894167,158741,735426,894167,0
1985:Q4,909235,0,172130,172130,0,0,0,0,0,737105,909235,909235,172130,737105,909235,0
1986:Q1,927082,0,169702,169702,0,0,0,0,0,757380,927082,927082,169702,757380,927082,0
1986:Q2,944684,0,175169,175169,0,0,0,0,0,769515,944684,944684,175169,769515,944684,0
1986:Q3,962433,0,186641,186641,0,0,0,0,0,775792,962433,962433,186641,775792,962433,0
1986:Q4,979912,0,201682,201682,0,0,0,0,0,778230,979912,979912,201682,778230,979912,0
1987:Q1,995254,0,198583,198583,0,0,0,0,0,796671,995254,995254,198583,796671,995254,0
1987:Q2,1010852,0,204634,204634,0,0,0,0,0,806218,1010852,1010462,204244,806218,1010462,390
1987:Q3,1026373,0,218568,218568,0,0,0,0,0,807805,1026373,1025646,217841,807805,1025646,727
1987:Q4,1042047,0,233036,233036,0,0,0,0,0,809011,1042047,1040961,231950,809011,1040961,1086
1988:Q1,1057825,0,229394,229394,0,0,0,0,0,828431,1057825,1056390,227959,828431,1056390,1435
1988:Q2,1073921,0,236775,236775,0,0,0,0,0,837146,1073921,1072075,234929,837146,1072075,1846
1988:Q3,1090222,0,250461,250461,0,0,0,0,5,839756,1090222,1087949,248193,839756,1087949,2273
1988:Q4,1106547,0,267462,267460,0,0,2,0,7,839078,1106547,1103808,264730,839078,1103808,2739
1989:Q1,1122843,0,263399,263394,0,0,5,0,18,859426,1122843,1119602,260176,859426,1119602,3241
1989:Q2,1139870,0,271951,271943,0,0,8,0,27,867892,1139870,1136082,268190,867892,1136082,3788
1989:Q3,1156713,0,285458,285447,0,0,11,0,42,871213,1156713,1152392,281179,871213,1152392,4321
1989:Q4,1173705,0,304158,304142,0,0,16,0,55,869492,1173705,1168779,299287,869492,1168779,4926
1990:Q1,1190301,0,299490,299465,0,0,25,0,89,890722,1190301,1184760,294038,890722,1184760,5541
1990:Q2,1207225,0,307206,307171,0,0,35,0,123,899896,1207225,1200971,301075,899896,1200971,6254
1990:Q3,1224366,0,321534,321491,0,0,43,0,142,902690,1224366,1217438,314748,902690,1217438,6928
1990:Q4,1241789,0,340212,340122,0,0,90,0,340,901237,1241789,1233878,332641,901237,1233878,7911
1991:Q1,1258991,0,334812,334695,0,0,117,0,449,923730,1258991,1250361,326631,923730,1250361,8630
1991:Q2,1276852,0,344927,344797,0,0,130,0,474,931451,1276852,1267452,336001,931451,1267452,9400
1991:Q3,1295087,0,360169,360002,20,0,147,0,669,934249,1295087,1284883,350634,934249,1284883,10204
1991:Q4,1313646,0,381352,381140,45,0,167,0,1045,931249,1313646,1302248,370999,931249,1302248,11398
1992:Q1,1332329,0,375584,375322,79,0,183,0,1385,955360,1332329,1320045,364685,955360,1320045,12284
1992:Q2,1351508,0,386103,385792,107,0,204,0,1696,963709,1351508,1338083,374374,963709,1338083,13425
1992:Q3,1370667,0,402400,402015,151,0,234,0,2001,966266,1370667,1356168,389902,966266,1356168,14499
1992:Q4,1389504,0,424184,423751,183,0,250,0,2415,962905,1389504,1373691,410786,962905,1373691,15813
1993:Q1,1407641,0,416913,416413,222,0,278,0,2929,987799,1407641,1390619,402820,987799,1390619,17022
1993:Q2,1425749,0,427350,426770,275,0,305,0,3293,995106,1425749,1407489,412383,995106,1407489,18260
1993:Q3,1443948,0,443053,442355,343,0,355,0,3779,997116,1443948,1424346,427230,997116,1424346,19602
1993:Q4,1461982,0,464486,463725,383,0,378,0,4398,993098,1461982,1440962,447864,993098,1440962,21020
1994:Q1,1479528,0,457110,456296,424,0,390,0,4792,1017626,1479528,1457574,439948,1017626,1457574,21954
1994:Q2,1497361,0,467276,466465,426,0,385,0,5179,1024906,1497361,1474279,449373,1024906,1474279,23082
1994:Q3,1516566,0,482911,482080,440,0,391,0,5832,1027823,1516566,1491706,463883,1027823,1491706,24860
1994:Q4,1534747,0,505433,504618,430,0,385,0,6179,1023135,1534747,1508641,485506,1023135,1508641,26106
1995:Q1,1554271,0,498211,497342,461,0,408,0,7171,1048889,1554271,1525781,476892,1048889,1525781,28490
1995:Q2,1574314,0,509192,508243,504,0,445,0,8508,1056614,1574314,1543532,486918,1056614,1543532,30782
1995:Q3,1594329,0,524557,523558,533,0,466,0,9946,1059826,1594329,1561443,501617,1059826,1561443,32886
1995:Q4,1613663,0,521019,519921,589,0,509,8914,11459,1072271,1613663,1578603,506332,1072271,1578603,35060
1996:Q1,1633143,0,534997,533862,620,0,515,0,13121,1085025,1633143,1595875,510850,1085025,1595875,37268
1996:Q2,1653253,0,547452,546321,621,0,510,0,14964,1090837,1653253,1613487,522650,1090837,1613487,39766
1996:Q3,1672507,0,561045,559868,649,0,528,0,16362,1095100,1672507,1630888,535788,1095100,1630888,41619
1996:Q4,1692938,0,587494,586278,675,0,541,0,18778,1086666,1692938,1648058,561392,1086666,1648058,44880
1997:Q1,1711749,0,577825,576630,666,0,529,0,20177,1113747,1711749,1665284,551537,1113747,1665284,46465
1997:Q2,1734620,0,588193,586960,687,0,546,0,24842,1121585,1734620,1682625,561040,1121585,1682625,51995
1997:Q3,1755207,0,603756,602474,712,0,570,0,27943,1123508,1755207,1700110,576602,1123508,1700110,55097
1997:Q4,1775198,0,629758,628396,761,0,601,0,29946,1115494,1775198,1717187,601693,1115494,1717187,58011
1998:Q1,1798087,0,618839,617415,796,0,628,0,35224,1144024,1798087,1734493,590469,1144024,1734493,63594
1998:Q2,1820266,0,630483,629009,825,0,649,0,37848,1151935,1820266,1753467,601532,1151935,1753467,66799
1998:Q3,1835298,0,645546,643932,912,0,702,0,34445,1155307,1835298,1771583,616276,1155307,1771583,63715
1998:Q4,1863531,0,673757,672034,976,0,747,0,42960,1146814,1863531,1789725,642911,1146814,1789725,73806
1999:Q1,1884703,0,663334,661610,976,0,748,0,46203,1175166,1884703,1807720,632554,1175166,1807720,76983
