1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,773347,2622,58272,24130,0,1189,30745,8371,14264,3264,4846,30909,9697,21212,60832,890,271441,141045,151272,20433,84,2000,0,128756,1086949,270077,9616,6678,253783,302588,141944,52700,107945,176372,22292,4434,311186,3665,66111,241410,754817,17056,178680,402923,44.34591003265037,35.66816881816948
1976:Q1,808542,3182,58428,24945,0,3107,35755,9324,19259,3088,4084,30170,9864,20306,68056,912,290075,144667,149245,21210,89,2250,0,125696,1113916,278165,10926,6985,260254,297876,134401,55715,107760,167962,25583,4714,339616,3965,56866,278785,868179,18135,194385,394587,49.26285450580831,34.90069535698549
1976:Q2,839449,3298,59066,26347,0,1329,36008,9073,20432,3029,3474,31349,10030,21319,67776,942,305080,146557,161697,22081,93,2500,0,137023,1139562,284516,11818,7487,265211,304962,136841,58008,110113,176210,22915,4897,346062,3984,60902,281176,887651,18837,194766,405792,47.99649736921362,35.05932234306384
1976:Q3,860555,2709,58507,25462,0,1961,35022,9486,18534,3018,3984,31983,10199,21784,67108,964,317988,149422,169429,22998,95,2750,0,143586,1172262,290157,10889,8360,270908,307742,135801,59147,112793,182625,26002,5063,360673,4032,65248,291393,897275,19469,191733,414464,46.26043360840028,34.42679764108038
1976:Q4,863063,3439,62967,28783,0,1459,39154,10511,21547,2868,4228,33867,10367,23500,67205,964,302449,211984,110792,23912,102,3000,0,83779,1189321,296826,11049,9163,276614,317520,138761,63866,114892,195180,27790,8872,343133,4130,67307,271696,927300,34129,203971,436647,46.71306375488847,34.78115348307823
1977:Q1,880725,3897,58578,27955,31,1701,39768,10494,22381,2789,4104,32380,11160,21220,64801,941,325485,213519,111669,24948,107,3250,0,83364,1224064,306027,12083,11928,282016,324556,141318,67140,116098,196568,29197,9034,358682,4140,73641,280901,856996,34742,197672,446306,44.29069076873199,34.97411349113702
1977:Q2,901209,4744,60714,29290,74,1848,34028,9442,17508,2682,4396,34094,11961,22133,69475,895,338436,216971,110640,26041,111,3500,0,80987,1248168,312705,12914,14079,285712,337263,147277,70964,119022,204530,23478,9202,360990,4284,71857,284849,881959,35397,201068,459163,43.79007812827109,35.56411852236989
1977:Q3,929424,4914,60460,29897,130,2167,33482,8984,17055,2375,5068,35337,12772,22565,69931,841,355283,219060,117922,27201,113,3750,0,86858,1288659,320704,13175,15713,291816,343178,148563,71302,123313,210061,26812,9385,378519,4348,75551,298620,845194,36095,201822,469913,42.9488178547825,35.10259461608226
1977:Q4,964134,5686,66717,35456,200,2115,32988,9390,16556,2672,4370,37943,13582,24361,72035,790,346406,235712,128086,28435,121,4000,0,95530,1335343,329676,12808,17377,299491,360646,153766,77648,129232,227047,29134,10368,378472,4459,75987,298026,819054,39878,215987,500403,43.16257462856644,35.3780352759909
1978:Q1,992367,7097,59929,35080,255,2376,31857,10332,14993,2897,3635,37140,14065,23075,67468,738,366132,240120,144175,29775,128,4500,0,109772,1385065,336357,13719,18702,303936,373188,162017,78546,132625,229719,32136,10622,403043,4551,79480,319012,773767,40851,204800,516137,39.67940664309068,35.83728460815847
1978:Q2,1017151,7450,62348,35386,268,2272,31087,9330,13970,3358,4429,38259,14552,23707,72135,667,389338,243580,134361,31223,132,4775,0,98230,1423624,345610,14419,20838,310353,388002,168747,82257,136999,241512,27075,11049,410376,4845,71078,334453,833089,42501,211613,534009,39.62721840549378,36.18020238476623
1978:Q3,1054630,6457,63256,34266,349,2038,29508,9061,12692,2779,4976,39361,15046,24315,77307,615,415102,245214,141157,32705,137,5050,0,103264,1467734,353531,14992,23017,315522,391531,167988,83421,140123,247814,30596,11542,432720,5214,59414,368092,895681,44395,213796,544811,39.24226366592037,35.7554838222154
1978:Q4,1098824,8317,73015,38182,610,2509,31966,9512,15070,2773,4611,42037,15539,26498,72345,618,407281,272921,149023,34148,143,5325,0,109407,1532276,361147,15499,25041,320607,404909,173563,89550,141797,271823,34055,12979,447363,5270,61741,380352,856213,49919,227562,584489,38.93347313456717,36.36956107672532
1979:Q1,1143041,12524,70571,36026,1028,3434,31664,8896,14519,3364,4885,41436,16344,25092,76954,680,438034,278507,152183,35586,149,5600,0,110849,1599377,370006,17665,27366,324975,419215,180067,93963,145185,275152,38940,13211,482853,5571,53407,423875,910760,50807,232881,605786,38.44276037531732,36.95979221395824
1979:Q2,1175645,11273,68771,33981,1581,2949,34343,8604,17689,3430,4620,42940,17158,25782,78445,800,459209,285589,155764,37043,160,5875,0,112686,1648259,380512,20564,29681,330267,434688,190082,99016,145589,289137,34071,13756,496095,5772,46839,443484,920994,52911,232143,632870,36.68097321409182,37.98607700853749
1979:Q3,1239122,9777,68762,37659,2246,2685,28160,7732,13855,2570,4003,44530,17980,26550,83852,939,490540,292149,177823,38469,166,6150,0,133039,1724136,390286,23828,32325,334133,444430,198376,99700,146354,305384,38687,14309,531040,6095,36875,488070,980996,55036,234080,665975,35.14847244382612,38.56449174433975
1979:Q4,1277544,10080,79073,40414,3000,3116,29316,9586,13472,1800,4458,47101,18803,28298,83307,1060,479655,323562,177860,39810,176,6425,0,131449,1789349,397461,24518,35028,337915,454311,204440,105883,143988,327378,40986,16399,552814,6196,43256,503362,1014625,63076,249366,703205,35.46133425504161,39.31112806250155
1980:Q1,1302189,9174,76665,38748,3757,2334,34124,10176,14300,1933,7715,45853,20939,24914,80503,1177,511553,329488,168813,41113,192,6700,0,120809,1861029,412059,31052,37147,343860,463301,211726,109698,141876,328407,46024,16881,594357,6240,52946,535171,956763,64924,246482,726907,33.90831149779587,40.2664639632017
1980:Q2,1316917,8564,78363,36770,4432,3023,29518,9757,9914,1969,7878,48835,23075,25760,91998,1304,510604,332458,171048,42341,201,6975,0,121531,1886011,431388,36334,40024,355030,449536,200606,112178,136753,321601,39592,17867,626027,6761,48827,570439,1076420,68724,253972,710310,35.7550840395966,39.63079672306515
1980:Q3,1399642,8670,78961,37399,5389,3443,31966,9264,13704,1679,7319,52123,25235,26888,103136,1421,530436,336240,210458,43500,206,7250,0,159502,1958845,437306,32189,42743,362374,455202,211545,109773,133885,328719,42354,18554,676710,7241,48109,621360,1213806,71357,270385,724579,37.31612974565017,39.608198419827
1980:Q4,1444570,9696,78660,45022,6993,3887,34396,9132,13697,2205,9362,56795,27394,29401,113879,1507,529353,376110,188272,44592,220,7525,0,135936,2011204,439488,28026,45892,365570,480124,231595,114209,134320,356520,43864,22988,668220,7566,52291,608363,1346332,88418,294040,774214,37.9791604618164,40.65084150686605
1981:Q1,1565532,9384,73026,51034,9437,3459,28656,8799,12593,2243,5021,57251,29493,27758,115801,1541,572031,378620,265292,45644,230,7800,0,211618,2155182,452370,31837,48925,371608,484523,229633,119793,135097,374568,46958,23596,773167,7697,61919,703551,1350793,90754,292338,802789,36.41529035903661,40.69440011589657
1981:Q2,1591543,9411,68773,50593,12915,2925,32498,8163,17272,3864,3199,60390,31615,28775,113383,1504,588802,384088,266261,46635,244,8075,0,211306,2194040,469953,37819,52894,379240,507180,240073,126043,141064,381680,41488,24441,769298,7753,72448,689097,1315628,94013,292002,827103,35.30417254892102,41.33882207054453
1981:Q3,1613366,10495,64426,49315,16288,1514,36467,8021,19985,4475,3986,62684,33761,28923,101866,1498,603446,385587,279780,47556,257,8350,0,223617,2262582,483822,44081,56029,383712,530188,253344,130388,146456,378052,44008,25323,801189,7600,91231,702358,1135956,97403,281869,849873,33.16601471804869,42.1902068737613
1981:Q4,1638143,12386,57674,54971,18416,1784,43236,8199,18652,5779,10606,66228,35906,30322,109002,1624,574123,398245,300454,48396,271,8625,0,243162,2293519,492376,42722,59323,390331,546304,263884,141066,141354,383423,39864,29910,801642,7953,82382,711307,1225445,115036,299093,870959,34.34065598689713,43.10008410203559
1982:Q1,1655774,10066,53891,54405,19547,1820,36605,7908,16030,3809,8858,64508,36483,28025,100296,1882,580813,228047,503894,49168,288,8900,0,445538,2357566,511040,49836,62963,398241,558640,276786,141959,139894,372047,39220,31800,844819,8215,76213,760391,1090243,72489,278512,879849,31.65452878589566,43.80581126383048
1982:Q2,1661746,11310,53690,50577,19930,2452,31586,8236,12805,3837,6708,65968,37066,28902,98889,2265,587005,232278,505797,49783,288,9175,0,446552,2384180,521369,51741,66287,403341,578245,297491,144419,136335,374910,33080,32933,843643,8534,70545,764564,1073469,73334,270699,901641,30.02292076462178,44.89313104359591
1982:Q3,1714429,8268,54252,58000,19711,3305,33659,7731,15150,2506,8272,66827,37656,29171,109408,2689,598450,234190,525671,50408,292,9450,0,465520,2438528,531636,49726,70589,411321,588616,313553,145584,129479,377195,34754,33494,872833,9410,43404,820019,1172612,75116,289292,920812,31.41705718933174,45.42398448713921
1982:Q4,1748754,10063,68019,63573,19031,2435,44459,7948,21011,3322,12178,69033,38246,30787,128675,3070,569115,242640,528641,51213,302,9725,0,467400,2453726,533077,37614,74466,420997,596857,323733,145927,127196,394163,35585,27257,866787,9871,39216,817700,1386269,86561,339325,937023,36.21310758530607,44.89419631861445
1983:Q1,1793538,11580,61905,63337,17526,3278,49745,8071,24404,2830,14440,67578,38689,28889,141890,3409,581521,244356,547413,52011,303,10000,0,485099,2485865,545301,41187,76920,427194,615358,326056,145888,143413,376759,41447,26800,880200,10730,21096,848374,1533575,87383,352670,931337,37.86705596425929,44.21035406513875
1983:Q2,1858779,11545,68535,67829,14825,3899,56051,9343,26870,3753,16085,69881,39136,30745,158078,3707,602729,248006,553694,52823,304,10275,0,490292,2523109,556969,38849,79803,438317,627543,325790,153678,148074,380096,37404,28549,892548,11738,-101,880911,1736437,88571,384469,935817,41.08377769903845,43.75787435580895
1983:Q3,1891399,13176,73516,66597,12259,3847,51430,9943,24105,3141,14241,71455,39589,31866,158269,4044,630051,253384,553372,53717,307,10550,0,488797,2567319,565361,40547,81876,442938,642850,331693,158128,153029,376903,41038,30398,910769,11868,18812,880089,1709243,89413,383138,948309,40.40224009463773,43.89696676342065
1983:Q4,1926366,14393,89573,69974,11153,3248,64787,12188,30144,4187,18268,75406,40041,35365,159277,4501,626517,289719,517818,54756,311,10825,0,451926,2609588,567652,36775,83897,446980,679591,352715,168609,158266,401994,38646,29770,891935,12011,33448,846476,1630197,102936,416906,998739,41.74321898139674,44.74666455336087
1984:Q1,2002637,15541,102485,67460,11509,4127,76853,12632,38101,2548,23572,75953,42877,33076,156938,5034,662415,294079,530243,55868,312,11100,0,462963,2719251,583617,42518,85897,455202,708296,368369,178987,160941,410679,43234,30089,943336,11629,93417,838290,1527519,105426,439947,1043786,42.14914669978409,45.65889813186186
1984:Q2,2084213,16503,97238,65810,13318,5917,74845,11246,37282,3291,23026,80278,45712,34566,154115,5604,693100,299010,578475,57194,314,11375,0,509592,2819878,605223,53463,88116,463644,746236,388451,190168,167617,429080,39561,34059,965719,11259,134697,819763,1455724,109517,433350,1100723,39.3695764204499,46.77035801716971
1984:Q3,2174836,12418,96723,61132,15272,3928,69308,11189,33740,3715,20664,83559,48579,34980,170467,6295,717799,302954,634980,58571,317,11650,0,564443,2906386,628268,60349,90480,477439,761974,391315,198699,171960,428203,40087,34848,1013006,12189,111095,889722,1542913,111727,435543,1118653,38.93460390316484,46.7805490021909
1984:Q4,2200602,13284,102698,69124,16062,3919,74011,9742,36467,5319,22483,89824,51446,38378,175013,7193,694120,288062,667292,59893,314,11925,0,595160,2928516,657987,58490,104439,495058,799981,411929,214839,173213,436676,42167,35874,955831,12913,95811,847107,1553280,112020,461304,1164101,39.62748612292313,47.00090973109495
1985:Q1,2264666,12568,90366,73050,15820,8081,62817,10202,30156,4183,18276,88325,52819,35506,187569,8651,724675,291289,701455,61120,318,12223,0,627793,3033747,682669,62972,106139,513558,803627,422840,218787,162000,433874,42555,37203,1033819,13761,85642,934416,1671084,115539,458922,1181028,38.85784142640384,47.40636946291676
