1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1986:Q1,91624,6783,84841,91624,20004,571,10341,1553,10339,0,10363,0,38026,427
1986:Q2,89130,6602,82528,89130,19033,545,10450,1561,10593,0,10127,0,36397,424
1986:Q3,86609,6441,80168,86609,18113,569,10484,1569,10850,0,9889,0,34749,386
1986:Q4,84088,6301,77787,84088,17232,635,10742,1547,11106,0,9651,0,33101,74
1987:Q1,82047,6104,75943,82047,16436,642,10640,1535,11440,0,9393,0,31891,70
1987:Q2,79983,5928,74055,79983,15589,649,10567,1533,11777,0,9133,0,30668,67
1987:Q3,77896,5804,72092,77896,14866,656,10372,1519,12117,0,8870,0,29431,65
1987:Q4,75810,5764,70046,75810,14065,663,10235,1527,12458,0,8607,0,28194,61
1988:Q1,74572,5584,68988,74572,13433,670,10136,1526,12626,0,8512,0,27620,49
1988:Q2,73333,5486,67847,73333,12816,677,10018,1522,12795,0,8417,0,27046,42
1988:Q3,72081,5438,66643,72081,12163,684,9919,1521,12965,0,8322,0,26466,41
1988:Q4,70829,5416,65413,70829,11518,691,9815,1519,13135,0,8226,0,25885,40
1989:Q1,70320,5349,64971,70320,11217,698,9717,1518,13396,0,8231,0,25505,38
1989:Q2,69804,5303,64501,69804,10874,705,9657,1515,13661,0,8237,0,25119,36
1989:Q3,69283,5289,63994,69283,10693,712,9430,1513,13928,0,8242,0,24730,35
1989:Q4,68761,5304,63457,68761,10461,719,9257,1508,14195,0,8247,0,24341,33
1990:Q1,68483,5289,63194,68483,10447,670,8997,1505,14330,0,8379,0,24124,31
1990:Q2,68202,5302,62900,68202,10298,653,8835,1502,14466,0,8513,0,23905,30
1990:Q3,67917,5330,62587,67917,10108,640,8708,1499,14603,0,8647,0,23683,29
1990:Q4,67633,5348,62285,67633,9925,621,8582,1494,14741,0,8782,0,23462,26
1991:Q1,67588,5406,62182,67588,10133,592,8350,1491,14971,0,8735,0,23292,24
1991:Q2,67542,5451,62091,67542,10195,565,8261,1488,15204,0,8687,0,23121,21
1991:Q3,67496,5473,62023,67496,10273,539,8149,1489,15439,0,8639,0,22948,20
1991:Q4,67450,5461,61989,67450,10217,520,8171,1484,15675,0,8591,0,22775,17
1992:Q1,67557,5503,62054,67557,10463,507,7902,1480,15975,0,8417,0,22798,16
1992:Q2,67663,5496,62167,67663,10587,495,7751,1477,16275,0,8242,0,22821,15
1992:Q3,67771,5501,62270,67771,10655,497,7643,1474,16578,0,8065,0,22844,14
1992:Q4,67879,5569,62310,67879,10727,503,7529,1470,16881,0,7889,0,22867,13
