1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3530,-18,3073,647,-447,264,0,-711,0,275,51,224,0,3530,0,3482,48,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1818,5,684,13,1078,586,0,492,0,38,-8,46,0,1818,0,1766,52,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1066,16,-1894,-132,971,499,0,472,0,-27,-12,-15,0,-1066,0,-1201,135,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,5769,142,3688,910,1285,1182,0,103,0,-256,80,-336,0,5769,0,5659,110,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q2,8556,2656,3344,396,2276,232,0,2044,0,-116,-240,124,0,8556,0,8472,84,0,0
1960:Q3,-632,-184,164,212,-860,-2320,0,1460,0,36,-48,84,0,-632,0,-1248,616,0,0
1960:Q4,4500,2384,-4,904,356,140,0,216,0,860,292,568,0,4500,0,4900,-400,0,0
1961:Q1,-3900,-1308,3672,440,-6564,-5784,0,-780,0,-140,-48,-92,0,-3900,0,-5876,1976,0,0
1961:Q2,2712,4248,-1912,-164,-4,-392,0,388,0,544,-40,584,0,2712,0,2244,468,0,0
1961:Q3,5360,-528,904,872,3996,1200,0,2796,0,116,-184,300,0,5360,0,5756,-396,0,0
1961:Q4,12652,1068,1072,1256,7848,3604,0,4244,0,1408,780,628,0,12652,0,13404,-752,0,0
1962:Q1,-1408,840,2144,548,-5896,-4472,0,-1424,0,956,528,428,0,-1408,0,-1320,-88,0,0
1962:Q2,4576,-472,4260,1004,-240,3020,0,-3260,0,24,320,-296,0,4576,0,5396,-820,0,0
1962:Q3,8120,700,4372,948,2024,568,0,1456,0,76,-148,224,0,8120,0,7664,456,0,0
1962:Q4,16616,764,3788,1956,10444,3480,0,6964,0,-336,-520,184,0,16616,0,16840,-224,0,0
1963:Q1,-4372,-1160,2480,116,-5428,-3040,0,-2388,0,-380,-476,96,0,-4372,0,-5280,908,0,0
1963:Q2,10248,2384,2216,1232,3936,2364,0,1572,0,480,-136,616,0,10248,0,9744,504,0,0
1963:Q3,8660,-1532,3580,812,5260,2348,0,2912,0,540,144,396,0,8660,0,7948,712,0,0
1963:Q4,16448,1684,5420,2468,5768,4044,0,1724,0,1108,-20,1128,0,16448,0,16784,-336,0,0
1964:Q1,-9808,-932,2344,516,-12448,-4880,0,-7568,0,712,-96,808,0,-9808,0,-10060,252,0,0
1964:Q2,22392,3220,3996,852,13788,4832,0,8956,0,536,-288,824,0,22392,0,22180,212,0,0
1964:Q3,-512,-2012,5956,944,-6256,-2368,0,-3888,0,856,-8,864,0,-512,0,-560,48,0,0
1964:Q4,20568,5084,6976,676,6016,2256,0,3760,0,1816,440,1376,0,20568,0,21028,-460,0,0
1965:Q1,9112,-3300,13840,1704,-5636,-2028,0,-3608,0,2504,540,1964,0,9112,0,8900,212,0,0
