1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33199,0,84,2028,6928,8619,-1691,4900,1408,3492,-2028,814,2843,86,-2,33144,33112,12053,12928,49,1961,235,5885,0,-2,-30,267425
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15704,0,4822,7326,13144,10385,2759,5817,1550,4267,-7326,-56,7270,4821,1,10938,10962,4479,5930,28,1961,72,-1508,0,-2,-57,283128
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1740,0,1413,2886,9306,10002,-696,6420,1589,4831,-2886,171,3057,1414,-1,326,325,2562,1067,-64,123,-7,-3356,0,-2,0,284868
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16909,0,2104,4847,11806,11596,210,6959,1654,5305,-4847,1628,6475,2102,2,14805,14799,7680,3184,85,2127,131,1592,0,-6,0,301777
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q3,-296,0,-1617,705,3514,4026,-512,2809,572,2237,-705,-415,290,-1619,2,1321,1321,308,1553,-13,229,74,-829,0,0,0,387365
1959:Q4,1364,0,247,719,3537,3896,-360,2818,567,2250,-719,-1247,-528,243,4,1118,1119,422,1632,-16,116,74,-1109,0,1,0,388729
1960:Q1,2941,0,-124,1850,4672,3885,787,2823,620,2203,-1850,755,2605,-124,0,3066,3066,2653,422,-9,-1,16,-16,0,0,-1,391670
1960:Q2,1056,0,-886,1274,4105,3753,353,2832,617,2215,-1274,-737,537,-887,1,1940,1941,2571,293,-7,286,8,-1210,0,0,2,392726
1960:Q3,2946,0,-114,1260,4100,3662,438,2840,615,2225,-1260,51,1311,-115,1,3058,3058,2306,392,-11,142,41,188,0,0,2,395672
1960:Q4,2998,0,229,481,3331,3728,-396,2850,616,2234,-481,-468,13,228,1,2770,2770,1919,124,-16,20,33,691,0,0,-1,398670
1961:Q1,2319,0,-1382,892,3754,3798,-43,2863,649,2214,-892,601,1493,-1384,2,3700,3700,2058,1339,-11,6,14,293,0,0,0,400989
1961:Q2,3656,0,-211,1262,4140,3925,215,2878,654,2224,-1262,-31,1231,-213,2,3867,3868,3038,1714,-4,7,16,-903,0,0,0,404645
1961:Q3,5209,0,279,1734,4629,4072,558,2896,659,2237,-1734,410,2144,276,3,4930,4930,2564,1666,-11,20,43,648,0,0,1,409855
1961:Q4,6051,0,1540,1918,4836,4230,606,2918,665,2253,-1918,-339,1579,1538,2,4510,4509,2339,1877,-14,76,35,197,0,0,1,415906
1962:Q1,4936,0,272,2245,5189,4380,810,2944,694,2250,-2245,525,2770,271,1,4665,4665,2476,1951,-11,104,-6,152,0,0,-2,420842
1962:Q2,3235,0,-615,1931,4897,4552,345,2966,701,2265,-1931,-380,1551,-616,1,3848,3848,2505,1678,-15,129,28,-476,0,0,1,424076
1962:Q3,4861,0,246,2043,5030,4638,392,2987,708,2280,-2043,124,2167,246,0,4616,4616,2224,1344,-22,137,2,931,0,0,0,428938
1962:Q4,4040,0,655,1910,4916,4661,255,3006,714,2293,-1910,-367,1543,654,1,3384,3385,2024,1763,-13,-37,18,-371,0,0,1,432978
1963:Q1,1961,0,434,2438,5464,4735,729,3026,719,2307,-2438,393,2831,433,1,1527,1527,-26,2600,-13,140,-20,-1156,0,0,0,434939
1963:Q2,112,0,-306,2240,5287,5010,278,3047,725,2323,-2240,-186,2054,-307,1,417,418,-738,1871,-2,79,37,-830,0,0,1,435051
1963:Q3,-26,0,739,2246,5318,5128,190,3072,731,2341,-2246,110,2356,738,1,-766,-765,-2187,2121,-2,152,63,-912,0,0,1,435025
1963:Q4,3576,0,1306,2571,5671,5284,387,3101,738,2363,-2571,-357,2214,1304,2,2271,2272,1077,2061,-5,161,73,-1095,0,0,-2,438600
1964:Q1,898,0,548,2482,5617,5465,152,3135,756,2379,-2482,426,2908,547,1,351,351,-1123,2085,-9,155,34,-792,0,0,-1,439498
1964:Q2,5308,0,-413,2288,5459,5449,10,3171,764,2408,-2288,148,2436,-415,2,5721,5721,3008,3172,-10,191,76,-716,0,0,0,444807
1964:Q3,4370,0,512,2172,5382,5467,-85,3209,773,2437,-2172,404,2576,511,1,3857,3857,991,2199,-4,149,56,467,0,0,1,449177
