date,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; total financial assets,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1964:Q3,29131,0,263,3175,263,911,0,0,2001,0,25693,0,29131,0,ND,ND,ND,ND,ND
1964:Q4,29116,0,281,3197,281,767,0,0,2149,0,25638,0,29116,0,ND,ND,ND,ND,ND
1965:Q1,30465,0,387,3545,387,824,0,0,2334,0,26533,0,30465,0,ND,ND,ND,ND,ND
1965:Q2,30037,0,405,3449,405,638,0,0,2406,0,26183,0,30037,0,ND,ND,ND,ND,ND
1965:Q3,32825,0,438,3822,438,912,0,0,2472,0,28565,0,32825,0,ND,ND,ND,ND,ND
1965:Q4,35220,0,496,3861,496,811,0,0,2554,0,30863,0,35220,0,ND,ND,ND,ND,ND
1966:Q1,36173,0,493,4308,493,1055,0,0,2760,0,31372,0,36173,0,ND,ND,ND,ND,ND
1966:Q2,35429,0,583,4578,583,1171,0,0,2824,0,30268,0,35429,0,ND,ND,ND,ND,ND
1966:Q3,32224,0,794,4950,794,1449,0,0,2707,0,26480,0,32224,0,ND,ND,ND,ND,ND
1966:Q4,34829,0,767,5119,767,1437,0,0,2915,0,28943,0,34829,0,ND,ND,ND,ND,ND
1967:Q1,39280,0,733,4835,733,1217,0,0,2885,0,33712,0,39280,0,ND,ND,ND,ND,ND
1967:Q2,40429,0,801,4363,801,902,0,0,2660,0,35265,0,40429,0,ND,ND,ND,ND,ND
1967:Q3,43249,0,775,4145,775,694,0,0,2676,0,38329,0,43249,0,ND,ND,ND,ND,ND
1967:Q4,44308,0,823,4309,823,921,0,0,2565,0,39176,0,44308,0,ND,ND,ND,ND,ND
1968:Q1,41949,0,1376,4918,1376,1167,0,0,2375,0,35655,0,41949,0,ND,ND,ND,ND,ND
1968:Q2,47493,0,1113,4326,1113,1047,0,0,2166,0,42054,0,47493,0,ND,ND,ND,ND,ND
1968:Q3,49914,0,1171,4654,1171,1405,0,0,2078,0,44089,0,49914,0,ND,ND,ND,ND,ND
1968:Q4,51232,0,1022,4128,1022,1143,0,0,1963,0,46082,0,51232,0,ND,ND,ND,ND,ND
1969:Q1,50339,0,1380,5161,1380,1571,0,0,2210,0,43798,0,50339,0,ND,ND,ND,ND,ND
1969:Q2,48052,0,1489,4760,1489,959,0,0,2312,0,41803,0,48052,0,ND,ND,ND,ND,ND
1969:Q3,47940,0,1692,5334,1692,1010,0,0,2632,0,40914,0,47940,0,ND,ND,ND,ND,ND
1969:Q4,47588,0,1586,5145,1586,675,0,0,2884,0,40857,0,47588,0,ND,ND,ND,ND,ND
1970:Q1,48369,0,1785,5589,1785,476,0,0,3328,0,40995,0,48369,0,ND,ND,ND,ND,ND
1970:Q2,39201,0,917,6938,917,2563,0,0,3458,0,31346,0,39201,0,ND,ND,ND,ND,ND
1970:Q3,44172,0,1886,6207,1886,822,0,0,3499,0,36079,0,44172,0,ND,ND,ND,ND,ND
1970:Q4,46812,0,1400,5729,1400,850,0,0,3479,0,39683,0,46812,0,ND,ND,ND,ND,ND
1971:Q1,52687,0,1218,5468,1218,892,0,0,3358,0,46001,0,52687,0,ND,ND,ND,ND,ND
1971:Q2,52961,0,1097,5311,1097,637,0,0,3577,0,46553,0,52961,0,ND,ND,ND,ND,ND
1971:Q3,52214,0,1027,4937,1027,457,0,0,3453,0,46250,0,52214,0,ND,ND,ND,ND,ND
1971:Q4,55446,0,1302,5523,1302,559,0,0,3662,0,48621,0,55446,0,ND,ND,ND,ND,ND
1972:Q1,57548,0,1347,5834,1347,558,0,0,3929,0,50367,0,57548,0,ND,ND,ND,ND,ND
1972:Q2,56656,0,1223,5750,1223,570,0,0,3957,0,49683,0,56656,0,ND,ND,ND,ND,ND
1972:Q3,56209,0,1342,6171,1342,712,0,0,4117,0,48696,0,56209,0,ND,ND,ND,ND,ND
1972:Q4,58926,0,1173,6025,1173,689,0,0,4163,0,51728,0,58926,0,ND,ND,ND,ND,ND
1973:Q1,52843,0,1647,6466,1647,481,0,0,4338,0,44730,0,52843,0,ND,ND,ND,ND,ND
1973:Q2,48013,0,1801,6590,1801,562,0,0,4227,0,39622,0,48013,0,ND,ND,ND,ND,ND
