date,FA796902505.A,FA796300081.A,FA796902605.A,FA796025005.A,FA796020001.A,FA796401001.A,FA796240101.A,FA796402101.A,FA796140005.A,FA796402101.A,FA796150105.A,FA796130101.A,FA796121101.A,FA793092281.A,FA796150005.A,FA796130001.A,FA796120005.A,FA796121001.A,FA796122001.A,FA793192281.A,FA796112001.A,FA796140005.A,FA796220001.A,FA796403005.A,FA796012095.A,FA796012095.A,FA796006385.A,FA796012095.A,FA795440005.A,FA795015085.A,FA795013005.A,FA796300081.A,FA795000995.A,FA795000995.A,FA794090005.A,FA713011203.A,FA794000005.A,FA794022005.A,FA793069175.A,FA793061105.A,FA793061705.A,FA793062005.A,FA793063005.A,FA794035005.A,FA794041005.A,FA794042005.A,FA793081005.A,FA793064105.A,FA793064205.A,FA793034005.A,FA793092405.A,FA793092105.A,FA713164003.A,FA793094005.A,FA793052005.A,FA793096005.A,FA794194005.A,FA794100005.A,FA794122005.A,FA423161705.A,FA793163005.A,FA793169175.A,FA794135005.A,FA794141005.A,FA794142005.A,FA793181005.A,FA634090005.A,FA793164105.A,FA653164205.A,FA403192405.A,FA793192105.A,FA662090003.A,FA793194005.A,FA713164005.A,FA503194205.A,FA583152005.A,FA793196005.A,FA795000005.A,FV798090185.A,FV795013865.A,FV798090085.A,FU797005045.A,FR795013865.A,FR795013665.A,FR795013265.A,FR795013765.A,FR794090085.A,FR794022005.A,FR793092305.A,FR793064105.A,FR793064205.A,FR793092105.A,FR593052025.A,FR794190085.A,FR793192305.A,FR793164105.A,FR653164205.A,FR793192105.A,FR662090003.A,FR793194005.A,FR583152005.A,FR798200005.A,FC792090095.A,FL792000095.A,LM795013865.A,LM795013665.A,LM795013265.A,LM795013765.A,FL794090005.A,FL713011203.A,FL794000005.A,FL794022005.A,FL793069175.A,FL793061105.A,FL793061705.A,FL793062005.A,FL793063005.A,FL794035005.A,FL794041005.A,FL794042005.A,FL793081005.A,LM793064105.A,LM793064205.A,FL793034005.A,FL793092405.A,LM793092105.A,FL713164003.A,FL793094005.A,FL793052005.A,FL793096005.A,FL792100005.A,FL794194005.A,FL794100005.A,FL794122005.A,FL423161705.A,FL793163005.A,FL793169175.A,FL794135005.A,FL794141005.A,FL794142005.A,FL793181005.A,FL634090005.A,LM793164105.A,LM653164205.A,FL403192405.A,LM793192105.A,LM662090003.A,FL793194005.A,FL713164005.A,FL503194205.A,FL583152005.A,FL793196005.A,FL792090095.A
1988,304206,44501,259705,189347,162160,27187,20126,50232,32417,50232,989817,944505,42770,2542,1007632,912195,95407,75993,19414,30,0,32417,20313,-370,12473,12473,12473,12473,0,35812,80313,44501,-23339,-23339,1114520,-18,22284,346927,73470,28754,87631,-903,157975,480644,188793,291851,71800,15349,-955,10942,1896,3205,66,41297,91566,101318,1125280,223462,227298,120776,66691,39831,81884,80904,980,85393,22766,24906,-5915,1964,-13649,701,54554,66,0,387739,119505,-10760,14961,0,2382,-12579,13669,9376,4485,-192,55014,-1897,-1,33064,8406,10247,5195,66884,-1,35028,27546,182,0,0,4129,1799,29233,14596240,495474,284665,189084,21725,14100766,11060,337088,4148387,487186,1192634,888806,460252,1119509,5640238,2750363,2889875,1663650,1102840,71987,32839,13177,67239,2113,373455,1605766,694577,14596240,14106394,3798165,1944025,1093384,472901,377740,971482,958712,12770,1634089,338862,388881,503097,16930,-9765,6578,387393,2113,0,5017591,741041,489846
1989,340602,49994,290609,196363,166828,29535,21503,72743,44181,72743,1149495,1097429,48986,3080,1178056,1067807,110304,91645,18659,-55,0,44181,23214,10428,10536,10536,7342,10536,3194,39565,89559,49994,-32223,-32223,1027563,-1,68138,316570,63499,73980,77187,3568,98336,441570,161778,279791,37071,11846,841,-3821,208,10042,130,17825,116837,47379,987879,106438,220311,149492,39471,31348,102425,97891,4534,157293,91145,7665,29302,-595,331,-790,30105,130,0,382620,18792,39684,54064,-186,-17657,-71907,12913,10438,3113,-637,184581,11169,9,268425,16902,27292,-139216,230023,0,80464,58946,8252,0,0,82361,-32529,28877,15943491,547766,311980,210110,25676,15395725,11059,414815,4466924,550685,1270241,969441,465117,1211440,6103879,2946770,3157108,2013340,1363457,109384,29018,13385,104573,2243,391280,1692551,693157,15943491,15424767,3904603,2192836,1242876,540872,409088,1073907,1056603,17304,1939044,430007,477010,591345,16335,-1182,5788,417498,2243,0,5591736,722641,518724
1990,345356,55143,290213,209429,176956,32473,23430,57353,43894,57353,1172927,1116165,52180,4582,1186387,1064594,121704,101577,20127,89,0,43894,23363,9436,11090,11090,11090,11090,0,32718,87861,55143,-21628,-21628,767256,-1,-26417,392764,30681,120322,150339,19654,71768,169794,-11217,181011,49519,23720,10636,17289,-2281,-2670,180,2645,156352,25245,763955,66788,228375,167461,52321,8593,-47432,-47035,-397,111699,71261,2902,42854,-2531,-10310,-1264,8607,180,0,395869,8655,3301,-926,1213,-27068,-24929,12357,7874,4259,223,-68791,-1859,-167,-82613,-2474,-18211,36533,-159099,0,-102016,-31146,-9443,0,0,-16494,102665,112828,16702946,594054,336719,226922,30413,16108892,11058,378350,4857897,581366,1390009,1119557,484777,1282188,6300845,2934241,3366604,1957561,1307564,117546,46307,11104,83692,2423,388925,1923180,680002,16702946,16071394,3971391,2424397,1413555,593161,417681,1026475,1009568,16907,1903013,501268,377896,603053,13679,-20935,4524,421105,2423,0,6011855,734262,631552
1991,361645,59173,302472,219212,184416,34796,24767,58494,68793,58494,1123307,1064362,54809,4135,1113007,987160,125926,106280,19646,-79,0,68793,29215,7854,31723,31723,30439,31723,1284,21383,80556,59173,9057,9057,891432,1,1485,480782,-50426,254876,112828,38024,125480,90957,-34292,125249,97368,46585,24050,8951,-904,1413,229,17044,149102,71737,904713,24484,181241,145837,55245,-19841,23852,21051,2801,250578,41173,28967,130515,-705,22196,1156,27047,229,0,403869,20690,-13282,-31084,0,-8746,22338,1311,1050,1187,-926,261102,20527,-27,387498,32343,11003,-190242,406027,2,163453,117176,19375,0,0,106021,-143614,-144259,17910928,616748,349108,232918,34722,17294180,11059,377981,5355606,530940,1638261,1246014,526193,1414198,6391016,2895590,3495426,2485851,1741647,173939,55258,10200,96108,2652,406047,1922232,750435,17910928,17423635,3995875,2605638,1559392,648406,397840,1050329,1030619,19710,2457041,542441,570316,850744,12974,20714,5680,451520,2652,0,6561937,752814,487293
1992,402765,61104,341662,246247,206469,39778,25373,70042,81052,70042,1038956,973963,60793,4201,1027946,907689,120472,104783,15689,-215,0,81052,37485,3516,40048,40048,22688,40048,17360,19486,80590,61104,3202,3202,1137678,-3,-2124,512293,4037,190260,104410,64639,148947,226039,95484,130555,174351,87801,40889,6172,-98,2638,402,36547,158063,69059,1161745,4050,235471,156264,84790,-5583,136077,136504,-427,299694,3753,43007,202088,-172,13963,209,36444,402,0,413278,73176,-24068,-9502,-252,18020,27270,7414,8304,68,-959,99161,-530,73,139627,13050,1906,-54966,215961,203,133201,43510,-8499,0,0,47546,-109387,-96200,19343692,643397,367552,237029,38816,18700295,11056,371883,5873669,534977,1826986,1355147,593698,1562862,6615298,2989244,3626054,2852215,2006505,227878,61430,10102,100652,3054,442594,2183477,792697,19343692,18952599,3990959,2856687,1715656,739496,401535,1187609,1168123,19486,2915669,546194,746524,1096342,12802,16900,5889,487964,3054,0,7180909,820766,391093
1993,428907,64383,364524,259964,216681,43283,26451,78109,64028,78109,1027565,953876,66741,6948,1041647,904010,137785,118284,19501,-149,0,64028,47006,2478,14540,14540,12492,14540,2049,23974,88357,64383,-11483,-11483,1560135,-3,-13363,678727,-17173,155343,196617,104223,239718,316701,155505,161196,385144,221893,68705,14247,1348,21352,347,57252,111815,81115,1523539,65756,281107,165280,122849,-7022,204807,191675,13132,426120,19125,52582,280163,1645,21445,1077,49736,347,0,456458,89290,36596,75457,-98,27476,-48079,12830,13527,-704,7,244283,9124,-12,257025,27948,39113,-88915,340794,1,111560,128139,14689,0,0,86405,-83681,4268,21196015,680103,388719,248913,42471,20515912,11053,358947,6567599,523883,1984651,1555237,696424,1807404,6927413,3140175,3787238,3561445,2485423,324531,75677,11450,161117,3401,499846,2210457,878998,21196015,20800654,4056715,3143163,1880937,862345,399881,1392418,1359799,32619,3590809,565319,910666,1504644,14447,47666,6966,537700,3401,0,7727852,889698,395361
1994,445201,68449,376752,265856,220895,44961,27543,83353,57502,83353,1115015,1032024,76368,6623,1140866,985422,155252,136669,18583,192,0,57502,40315,-2207,19392,19392,7224,19392,12168,27643,96091,68449,-20418,-20418,1301631,-2,8125,258013,25741,15563,132777,-8229,92161,450349,271420,178930,283283,152866,93723,-4871,1645,1215,282,38423,130263,171600,1310234,63426,451348,292154,125242,33952,57434,50583,6851,186451,45686,7617,114297,1826,2945,-1098,14896,282,0,441103,110471,-8602,-74737,-165,-86388,-11816,18732,18013,915,-197,-116244,-63969,-2165,-13713,5776,-27127,-15046,-131672,-2307,-24381,-74621,-27266,0,0,-3097,34159,-33354,22481310,726313,415585,265912,44816,21754997,11051,369409,6769367,557347,1988963,1672098,671391,1879568,7376062,3411701,3964361,3809664,2624576,424030,70806,13095,135205,3683,538269,2337154,1082291,22481310,22119303,4120141,3602592,2173449,987587,441556,1447545,1410382,37163,3643269,611005,893902,1544320,16273,15622,5868,552596,3683,0,8177338,1128418,362007
1995,490853,73008,417846,279886,233583,46303,29388,108572,76374,108572,1299445,1204394,86470,8581,1331644,1144418,187083,158012,29071,143,0,76374,54126,7077,15164,15164,13234,15164,1930,25191,98199,73008,-11957,-11957,1777842,-1,51596,556902,36978,81955,190897,47200,199872,708523,504074,204449,243966,28170,103935,25210,2038,8334,283,75996,201465,15391,1746722,156368,426757,204289,179777,42691,245794,237387,8407,392451,142013,5967,168843,1983,-112,1137,72337,283,0,432086,93266,31120,13183,-39,-29855,-43077,10290,10308,-361,343,715198,59562,-850,849757,148987,13840,-356098,1076767,0,384088,345112,42277,0,0,305290,-351279,-324862,25037362,761757,434402,281776,45579,24275605,11050,416904,7373214,596946,2082517,1876582,729451,2087718,8099542,3932031,4167511,5066214,3502503,676952,96016,15133,157379,3966,614265,2214165,1094517,25037362,25000217,4276509,4032279,2377738,1167673,486868,1693338,1647768,45570,4805285,753018,1283957,2058275,18256,55875,7005,624933,3966,0,8946358,1246447,37145
1996,547666,75729,471937,304074,257183,46891,30968,136896,71509,136896,1336941,1226340,102075,8526,1402329,1176335,225656,187746,37910,338,0,71509,58458,7024,6020,6020,6020,6020,0,33786,109515,75729,-27766,-27766,1863721,-2,61239,439389,56154,-6338,125383,42381,221810,612485,327411,285074,382019,152545,96158,31465,1407,13654,636,86154,210807,157784,1874495,184423,476074,231413,152433,92228,181609,171978,9631,517794,148789,-14601,285087,1450,12911,832,82690,636,0,428614,85981,-10774,22258,0,5266,-16992,4532,11763,-6554,-677,545168,-4465,0,696989,116270,20757,-284383,1170222,1,662511,280632,19601,0,0,207477,-620522,-592244,27673241,800075,458054,295837,46184,26873166,11048,480114,7782273,653100,2044449,2001794,763209,2319721,8712371,4246439,4465932,6348235,4357023,949380,128481,16540,191790,4602,700419,2234535,1304590,27673241,28228340,4460700,4508353,2609151,1320106,579096,1874948,1819746,55202,6285824,901807,1931867,2623994,19706,88387,7837,707624,4602,0,9737395,1361119,-555099
1997,618990,79215,539775,333746,284022,49724,33168,172862,73527,172862,1448913,1325338,114076,9499,1548248,1293983,253401,211030,42371,864,0,73527,63403,-3395,13510,13510,13510,13510,0,36927,116143,79215,-23417,-23417,2414491,-1,47389,711256,144897,110081,142463,45242,268573,760207,462262,297945,343852,60072,128607,35849,1762,19658,831,97073,227269,324519,2392956,248371,510009,213654,129704,166651,347602,324187,23415,556704,157078,-17784,330452,1762,-2423,3074,83714,831,0,487632,242637,21535,21713,0,-23239,-44952,9730,21267,-11071,-467,970047,49132,-1,1085573,225027,16497,-406181,1717851,-222,805769,454869,69238,0,0,388197,-738074,-702851,31088081,846732,494711,304645,47376,30241349,11047,533151,8546923,790342,2127150,2166017,833993,2629422,9472057,4708181,4763876,8019184,5497919,1307763,164330,18302,227945,5433,797492,2048687,1610300,31088081,32346031,4709071,4998254,2822805,1429708,745741,2223529,2145134,78395,8192089,1058885,2719852,3409315,21468,174887,10911,791338,5433,0,10606288,1616801,-1257950
