date,Federal government defined contribution retirement funds; total financial assets,Federal government defined contribution retirement funds; debt securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,Federal government retirement funds; agency- and GSE-backed securities held by Thrift Savings Plan; asset,Federal government retirement funds; corporate and foreign bonds held by Thrift Savings Plan; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government retirement funds; corporate equities held by Thrift Savings Plan; asset,Federal government defined contribution retirement funds; total financial assets
1945:Q4,0,0,0,0,0,0,0,0
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q2,237604,137771,125100,7723,4948,0,99833,237604
2010:Q3,254834,143093,129102,8470,5521,0,111741,254834
2010:Q4,272426,143887,131065,7655,5167,0,128539,272426
2011:Q1,283994,147523,134910,7541,5072,0,136471,283994
2011:Q2,289249,47118,33792,7972,5354,104574,137557,289249
2011:Q3,272019,160537,146507,8426,5604,0,111482,272019
2011:Q4,289176,170719,155774,8507,6438,0,118457,289176
2012:Q1,306714,170393,154502,8994,6897,0,136321,306714
2012:Q2,307144,176852,159649,9739,7464,0,130292,307144
2012:Q3,319424,181692,163434,10259,7999,0,137732,319424
2012:Q4,325481,187169,167975,10600,8594,0,138312,325481
2013:Q1,340811,183557,165537,9997,8023,0,157254,340811
2013:Q2,347771,171678,155127,9297,7254,12800,163293,347771
2013:Q3,364582,75880,60156,8867,6857,114505,174197,364582
2013:Q4,397060,196329,181203,7799,7327,0,200731,397060
2014:Q1,404833,198312,184345,7187,6780,0,206521,404833
2014:Q2,417244,201007,186521,7427,7059,0,216237,417244
2014:Q3,425682,206159,191801,7394,6964,0,219523,425682
2014:Q4,439671,215291,199917,7687,7687,0,224380,439671
2015:Q1,449414,156312,140551,7855,7906,60920,232182,449414
2015:Q2,452345,92937,77388,7859,7690,127565,231843,452345
2015:Q3,437977,24074,8758,7801,7515,199915,213988,437977
2015:Q4,458272,231719,215953,7734,8032,0,226553,458272
2016:Q1,462933,238596,222282,7932,8382,0,224337,462933
2016:Q2,469840,242834,225826,8215,8793,0,227006,469840
2016:Q3,484922,248340,230831,8421,9088,0,236582,484922
2016:Q4,495351,248466,231827,7822,8817,0,246885,495351
2017:Q1,513558,142962,126197,7876,8889,107638,262958,513558
2017:Q2,526333,111149,94057,8006,9086,141428,273756,526333
2017:Q3,542825,245675,227974,8285,9416,12045,285105,542825
2017:Q4,557295,96925,79218,8281,9426,151678,308692,557295
2018:Q1,560576,253743,236651,8091,9001,0,306833,560576
2018:Q2,579556,263920,247024,8061,8835,0,315636,579556
2018:Q3,605656,272554,255551,8099,8904,0,333102,605656
2018:Q4,558724,280785,263761,7918,9106,0,277939,558724
2019:Q1,600548,69026,50987,8274,9765,215313,316209,600548
2019:Q2,617261,74265,55106,8720,10439,216736,326260,617261
2019:Q3,623350,275680,255550,9123,11007,23097,324573,623350
2019:Q4,639253,283928,263602,9400,10926,0,355325,639253
2020:Q1,564957,299710,280672,9231,9807,0,265247,564957
2020:Q2,642207,313341,292160,9749,11432,0,328866,642207
2020:Q3,675509,324302,301850,10236,12216,0,351207,675509
2020:Q4,734613,331841,308173,10881,12787,0,402772,734613
2021:Q1,761546,328843,306574,10441,11828,0,432703,761546
2021:Q2,802178,331737,309342,10411,11984,0,470441,802178
2021:Q3,797376,152253,130180,10324,11749,180557,464566,797376
2021:Q4,834865,321389,299668,10157,11564,9862,503614,834865
