date,Pension funds; total financial assets,Pension funds; checkable deposits and currency; asset,Pension funds; total time and savings deposits; asset,Pension funds; money market fund shares; asset,Pension funds; security repurchase agreements; asset,Pension funds; debt securities; asset,Pension funds; commercial paper; asset,Pension funds; Treasury securities; asset,Pension funds; agency- and GSE-backed securities; asset,Pension funds; municipal securities; asset,Pension funds; corporate and foreign bonds; asset,Pension funds; loans; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Pension funds; total mortgages; asset,Pension funds; corporate equities; asset,Pension funds; mutual fund shares; asset,Pension funds; total miscellaneous assets,Pension funds; unallocated insurance contracts; asset,Private pension funds; pension fund contributions receivable; asset,Pension funds; claims of pension fund on sponsor; asset,Pension funds; unidentified miscellaneous assets,Pension funds; total liabilities,Defined benefit pension funds; pension entitlements (total liabilities),Defined benefit pension funds; total funded assets,Pension funds; defined benefit claims of pension fund on sponsor; asset,Households and nonprofit organizations; retirement assets,Defined benefit pension funds; pension entitlements (total liabilities),Defined contribution pension funds; total financial assets,All sectors; IRAs; liability,Life insurance companies; pension entitlements, excluding unallocated insurance contracts and IRAs; liability
1981:Q1,1745769,4715,37030,3244,8237,367539,20286,130223,40506,3920,172604,14914,0,14914,271821,16159,1022110,0,7697,947885,66528,1758413,1592421,644536,947885,ND,1592421,165992,ND,ND
1981:Q2,1788770,4456,37488,4134,8355,381965,21787,134727,43874,3995,177582,15473,0,15473,267720,15647,1053532,0,7753,978229,67550,1802476,1634367,656138,978229,ND,1634367,168109,ND,ND
1981:Q3,1824502,4314,39256,5413,8525,402733,23227,146865,47834,3859,180948,16078,0,16078,246013,13588,1088582,0,7600,1011732,69250,1839234,1672640,660908,1011732,ND,1672640,166594,ND,ND
1981:Q4,1868597,4050,40289,6564,8258,418344,24505,161427,44449,3856,184107,16432,0,16432,266279,13063,1095318,0,7953,1020856,66509,1884584,1710221,689365,1020856,2119056,1710221,174363,38000,196472
1982:Q1,1906185,3576,43557,7030,7728,435210,21975,169893,51139,3651,188552,16903,0,16903,269505,12435,1110241,0,8215,1040522,61504,1923969,1746289,705767,1040522,2174892,1746289,177680,45500,205423
1982:Q2,1950862,3578,47644,6030,7840,454086,20607,180802,55473,3848,193356,18612,0,18612,273502,13021,1126549,0,8534,1055788,62227,1969315,1786857,731069,1055788,2238111,1786857,182458,53000,215796
1982:Q3,2011507,3405,51230,5071,8648,480745,17800,202269,61035,3550,196091,20028,0,20028,317149,14979,1110252,0,9410,1032191,68651,2030753,1830826,798635,1032191,2319413,1830826,199927,60500,228160
1982:Q4,2068685,3240,55408,4688,8705,493760,15203,211314,66307,3131,197805,21543,0,21543,343116,17336,1120889,0,9871,1042283,68735,2088484,1880187,837904,1042283,2393584,1880187,208297,68000,237100
1983:Q1,2132498,3315,60841,4877,9455,502863,14407,215915,68568,2363,201610,23039,0,23039,388286,19237,1120585,0,10730,1036668,73187,2154324,1927918,891250,1036668,2477790,1927918,226406,77750,245716
1983:Q2,2205147,3472,66806,5228,10789,516713,15708,225458,70597,2483,202467,23808,0,23808,443462,21272,1113597,0,11738,1019800,82059,2229573,1979995,960195,1019800,2574882,1979995,249578,87500,257809
1983:Q3,2257386,3746,66527,5602,11067,542368,17692,246882,73378,2423,201993,24718,0,24718,441621,21478,1140259,0,11868,1046494,81897,2281931,2030644,984150,1046494,2643285,2030644,251287,97250,264104
1983:Q4,2307806,4129,69658,5929,11596,555371,18247,256029,78142,2000,200953,24775,0,24775,439907,21761,1174680,0,12011,1078810,83859,2332969,2078314,999504,1078810,2712624,2078314,254655,107000,272655
1984:Q1,2369755,4699,70272,6191,11487,565530,20902,261224,79494,2151,201759,24618,0,24618,412462,21708,1252788,0,11629,1160819,80340,2393531,2133628,972809,1160819,2791593,2133628,259903,120000,278062
1984:Q2,2414444,5269,71113,6388,11551,574165,23770,266847,77215,2264,204069,24304,0,24304,395648,20894,1305112,0,11259,1215629,78224,2437260,2184853,969224,1215629,2855335,2184853,252407,133000,285075
1984:Q3,2482065,5469,77602,6770,12633,613254,24211,292058,80894,2068,214023,24002,0,24002,435771,23015,1283549,0,12189,1187795,83565,2505950,2232560,1044765,1187795,2950780,2232560,273390,146000,298830
1984:Q4,2543768,5296,79985,6938,13409,646202,22109,308579,87926,1534,226054,24990,0,24990,455492,24107,1287349,0,12913,1188801,85635,2567913,2280438,1091637,1188801,3042706,2280438,287475,159000,315793
1985:Q1,2628513,5875,87280,7429,14687,653109,22369,326838,89810,1550,212542,26360,0,26360,514153,26240,1293380,0,13761,1188158,91461,2653751,2331241,1143083,1188158,3159349,2331241,322510,179500,326098
1985:Q2,2681330,6667,94209,8015,16104,669519,22891,341468,90812,1278,213070,27149,0,27149,530847,28158,1300662,0,14718,1188223,97721,2707673,2383797,1195574,1188223,3247769,2383797,323876,200000,340096
1985:Q3,2728313,6317,92973,8239,16363,693593,24163,361624,93604,1225,212977,26682,0,26682,503788,27716,1352642,0,14545,1243812,94285,2753510,2438109,1194297,1243812,3319224,2438109,315401,220500,345214
1985:Q4,2896693,5632,89928,10514,24181,724014,26969,386064,105230,1128,204623,29325,0,29325,615017,39210,1358872,131774,18707,1095983,112408,2924110,2492396,1396413,1095983,3408596,2492396,431714,241000,243486
1986:Q1,2974277,5121,92116,11011,24978,741901,28195,396229,103547,938,212992,29262,0,29262,685464,45953,1338471,138808,18707,1070551,110405,3003657,2544575,1474024,1070551,3521585,2544575,459082,263000,254928
1986:Q2,3026668,4631,93152,10907,25993,753476,29590,400525,102261,1196,219904,28189,0,28189,703994,46525,1359801,140989,18707,1088948,111157,3057690,2595871,1506923,1088948,3617682,2595871,461819,285000,274992
1986:Q3,3064059,4605,93297,11693,27212,786014,31355,416416,103395,1035,233813,27973,0,27973,626897,43259,1443109,141730,18712,1168670,113997,3096867,2647302,1478632,1168670,3687787,2647302,449565,307000,283920
1986:Q4,3133755,4984,96811,12715,29137,804755,33988,429806,97282,709,242970,26805,0,26805,649387,44488,1464673,146862,18742,1169828,129241,3168741,2699044,1529216,1169828,3802925,2699044,469697,329000,305184
1987:Q1,3225789,5496,91091,12951,29891,816716,36459,434359,101396,553,243949,25429,0,25429,807439,56781,1379995,161214,19042,1059588,140151,3261581,2744500,1684912,1059588,3926072,2744500,517081,347750,316741
1987:Q2,3297780,6008,89574,13893,31451,829788,40159,441385,109937,606,237701,24536,0,24536,853285,63850,1385395,171248,19492,1053777,140878,3334195,2791612,1737835,1053777,4023423,2791612,542583,366500,322728
1987:Q3,3391216,6364,86163,14274,32153,854804,42901,464184,113362,647,233710,24133,0,24133,903516,70594,1399215,184348,20142,1036315,158410,3428470,2840579,1804264,1036315,4147603,2840579,587891,385250,333883
1987:Q4,3405516,6480,81319,14847,31716,884705,44247,484901,115219,808,239530,23536,0,23536,677498,57369,1628046,186265,20250,1286653,134878,3442855,2891105,1604452,1286653,4167368,2891105,551750,404000,320513
1988:Q1,3477089,6688,82256,15562,31696,878753,41706,476516,121136,667,238728,25062,0,25062,717319,60828,1658925,184762,19750,1317398,137015,3512502,2939499,1622101,1317398,4277440,2939499,573003,420000,344938
1988:Q2,3544698,7531,88631,17093,33042,895406,41314,484203,121024,742,248123,26906,0,26906,738070,62891,1675128,187501,19050,1324808,143769,3579151,2988979,1664171,1324808,4376972,2988979,590172,436000,361821
1988:Q3,3593358,8272,89137,17776,32408,929907,38286,513451,123474,622,254074,29569,0,29569,701052,60581,1724656,183436,17800,1368092,155328,3625977,3039457,1671365,1368092,4456943,3039457,586520,452000,378966
1988:Q4,3655745,8957,94058,18074,32766,953759,36668,530841,121931,533,263786,32269,0,32269,699118,62500,1754244,186900,19012,1384312,164020,3687162,3090033,1705721,1384312,4551777,3090033,597129,468000,396615
1989:Q1,3757576,8807,102640,19137,33891,962990,36936,518907,135308,467,271372,32762,0,32762,741493,65585,1790271,192621,20696,1411502,165452,3791209,3166914,1755412,1411502,4685710,3166914,624295,487500,407001
1989:Q2,3862212,8665,110018,20570,34370,993946,36434,533233,144939,403,278937,34390,0,34390,801925,70639,1787689,196637,22555,1409302,159195,3897698,3244987,1835685,1409302,4831811,3244987,652711,507000,427113
1989:Q3,3971114,7995,117541,20929,35611,1025927,36681,553861,152255,336,282794,36374,0,36374,878117,77165,1771455,202090,24454,1395480,149431,4008941,3323750,1928270,1395480,4974183,3323750,685191,526500,438742
1989:Q4,4079240,7312,123466,22483,34517,1065702,34517,578934,161631,268,290352,38593,0,38593,877516,79522,1830129,204708,26280,1445192,153949,4118656,3403461,1958269,1445192,5122266,3403461,715195,546000,457610
1990:Q1,4140618,7456,124481,23698,34823,1081543,34823,573330,177157,479,295754,38491,0,38491,841350,78250,1910526,207757,28004,1528379,146386,4180241,3466041,1937662,1528379,5223157,3466041,714200,568750,474166
1990:Q2,4211605,7584,121232,23026,35913,1114143,35913,591980,184005,486,301759,39422,0,39422,889881,86579,1893825,210073,29268,1515951,138533,4251853,3530356,2014405,1515951,5351121,3530356,721497,591500,507768
1990:Q3,4258418,8132,118913,22846,35966,1141468,35966,611338,191907,245,302012,39925,0,39925,766614,76229,2048325,210651,30642,1669472,137560,4299073,3596343,1926871,1669472,5425032,3596343,702730,614250,511709
1990:Q4,4359120,8285,117924,23492,35737,1161986,35737,630611,195488,473,299677,40962,0,40962,857745,84463,2028526,214824,32331,1659566,121805,4400314,3663118,2003552,1659566,5565084,3663118,737196,637000,527770
1991:Q1,4477352,7592,122295,22041,36910,1174460,36910,626538,209478,364,301170,39953,0,39953,997372,99964,1976765,221275,35015,1605462,115013,4518948,3729474,2124012,1605462,5723467,3729474,789474,671750,532769
1991:Q2,4559115,7781,122026,22636,40554,1189636,40554,637706,209108,487,301781,37702,0,37702,992536,104701,2041543,227141,38479,1652281,123642,4601452,3797442,2145161,1652281,5854718,3797442,804010,706500,546766
1991:Q3,4665973,6094,124291,24240,46341,1215914,46341,640816,211962,549,316246,36668,0,36668,1056589,117906,2037930,235003,41713,1638988,122226,4709177,3866736,2227748,1638988,6008051,3866736,842441,741250,557624
1991:Q4,4782145,6772,124547,23974,46105,1237544,46105,663580,203830,619,323410,35112,0,35112,1158716,126341,2023034,244532,44403,1617560,116539,4826679,3936501,2318941,1617560,6174148,3936501,890178,776000,571469
1992:Q1,4880926,6877,119076,24073,46360,1248640,46360,653545,212610,554,335571,33416,0,33416,1123126,133075,2146283,245603,46813,1749434,104433,4925437,4035923,2286489,1749434,6304413,4035923,889514,800250,578726
1992:Q2,4997397,7344,114477,24163,47874,1266404,47874,669223,204402,534,344371,33140,0,33140,1143453,142500,2218042,246814,49189,1814108,107931,5042050,4136136,2322028,1814108,6461028,4136136,905914,824500,594478
1992:Q3,5133880,9313,110899,25034,50929,1313211,50929,707666,205193,378,349045,31728,0,31728,1173821,147304,2271641,248455,51659,1865868,105659,5178911,4237453,2371585,1865868,6635443,4237453,941458,848750,607782
1992:Q4,5267671,9434,105550,25284,52104,1347779,52104,735656,196277,445,363297,30999,0,30999,1260762,164678,2271081,247586,54321,1865808,103366,5312906,4338812,2473004,1865808,6823634,4338812,974094,873000,637728
1993:Q1,5385827,8789,107292,27897,53580,1353399,53580,720185,203985,460,375189,30299,0,30299,1362628,178247,2263696,255081,56975,1848270,103370,5431875,4400892,2552622,1848270,6988421,4400892,1030983,903000,653546
1993:Q2,5473792,9107,108010,30297,55143,1376806,55143,735770,202021,617,383255,28836,0,28836,1377027,192288,2296278,257893,59829,1879723,98833,5520902,4463928,2584205,1879723,7124466,4463928,1056974,933000,670564
1993:Q3,5569435,8455,103614,30552,47972,1432256,47972,774577,202470,1222,406015,29879,0,29879,1428520,206692,2281495,261806,62933,1864418,92338,5616477,4527911,2663493,1864418,7273895,4527911,1088566,963000,694418
1993:Q4,5653658,9674,101484,32960,48788,1453977,48788,785208,206386,1371,412224,27513,0,27513,1470292,224067,2284903,267861,66636,1859692,90714,5701053,4592055,2732363,1859692,7399427,4592055,1108998,993000,705374
1994:Q1,5725554,8660,102844,35887,47557,1451647,47557,784367,216529,716,402478,27184,0,27184,1413732,234265,2403778,272422,69970,1973966,87420,5773651,4657399,2683433,1973966,7494931,4657399,1116252,1008750,712530
1994:Q2,5822204,9156,102921,37818,48681,1481739,48681,799218,233895,845,399100,27504,0,27504,1426116,244891,2443378,278678,73062,2000192,91446,5871703,4723795,2723603,2000192,7608250,4723795,1147908,1024500,712047
1994:Q3,5935688,10678,98867,38169,49008,1515750,49008,817547,241331,1104,406760,27585,0,27585,1514528,269165,2411938,283400,75948,1958493,94097,5986250,4792001,2833508,1958493,7748834,4792001,1194249,1040250,722334
1994:Q4,5981210,10725,104200,39353,49982,1548608,49982,840913,251091,1112,405510,22994,0,22994,1485785,308102,2411461,297926,78325,1944106,91104,6044252,4860375,2916269,1944106,7817526,4860375,1183877,1056000,717274
1995:Q1,6118746,9339,106992,40442,51748,1569455,51748,843779,257506,1053,415369,23388,0,23388,1586661,353224,2377497,303617,79682,1901951,92247,6183411,4933461,3031510,1901951,8028858,4933461,1249950,1114000,731447
1995:Q2,6255350,9101,108115,43418,53557,1585609,53557,846990,261016,1131,422915,23746,0,23746,1706002,399584,2326218,309154,81041,1841920,94103,6321138,5008113,3166193,1841920,8257562,5008113,1313025,1172000,764424
1995:Q3,6413252,9774,112120,44789,51756,1602766,51756,854949,268616,1374,426071,24130,0,24130,1827643,452415,2287859,315759,82398,1793844,95858,6480030,5083594,3289750,1793844,8494808,5083594,1396436,1230000,784778
1995:Q4,6555725,9060,114283,46947,53920,1610417,53920,848310,276368,1830,429989,33433,8914,24519,1897774,495913,2293978,322167,83757,1790726,97328,6623679,5158201,3367475,1790726,8707329,5158201,1465478,1288000,795650
1996:Q1,6687479,9848,116902,50312,49894,1646441,49894,868655,282307,2271,443314,24902,0,24902,1966190,533255,2289735,326999,85114,1775588,102034,6757216,5225735,3450147,1775588,8897013,5225735,1531481,1332750,807047
1996:Q2,6795233,11180,118955,52322,52666,1677551,52666,888449,283329,1297,451810,25295,0,25295,2012064,562946,2282254,332133,86471,1756981,106669,6866666,5293667,3536686,1756981,9060817,5293667,1572999,1377500,816651
1996:Q3,6917997,12707,119744,55537,53082,1667655,53082,890113,272834,496,451130,25695,0,25695,2085046,597399,2301132,340885,87829,1761566,110852,6990147,5362412,3600846,1761566,9235957,5362412,1627735,1422250,823560
1996:Q4,7184640,12985,120790,61416,55554,1694826,55554,913954,269903,561,454854,26031,0,26031,2181637,697316,2334085,429552,89185,1697492,117856,7258146,5431839,3734347,1697492,9498479,5431839,1826307,1467000,773333
1997:Q1,7260134,11412,125727,67359,54439,1715861,54440,903598,281773,2051,473999,26506,0,26506,2136351,720559,2401920,423782,91610,1768520,118008,7335593,5498177,3729657,1768520,9644703,5498177,1837416,1532250,776860
1997:Q2,7525143,15159,126018,70464,59741,1751280,59742,917596,282904,2059,488979,26995,0,26995,2418083,839894,2217509,445345,93059,1557812,121293,7601856,5566183,4008371,1557812,10024475,5566183,2035673,1597500,825119
1997:Q3,7756122,13670,126266,79269,59616,1793097,59619,942369,287705,2467,500937,27522,0,27522,2609108,935916,2111658,459895,94508,1434214,123041,7833978,5635600,4201386,1434214,10352500,5635600,2198378,1662750,855772
1997:Q4,7829555,12203,131891,78373,57153,1839159,57158,964268,294577,1503,521653,27701,0,27701,2574168,950958,2157949,465024,97572,1467450,127903,7907311,5704961,4237511,1467450,10474665,5704961,2202350,1728000,839354
1998:Q1,8136706,13228,138695,79401,65861,1841821,65873,943406,297077,2080,533385,28798,0,28798,2868767,1067276,2032859,485699,101929,1315284,129947,8216986,5799498,4484214,1315284,10936907,5799498,2417488,1833500,886421
1998:Q2,8246375,13831,147030,80399,65149,1863356,65176,953725,300011,2227,542217,30851,0,30851,2847062,1075221,2123476,481068,106429,1404019,131960,8327526,5896576,4492557,1404019,11183078,5896576,2430950,1939000,916552
1998:Q3,8149936,13624,154202,81944,67892,1890596,67950,959117,304183,2151,557195,31811,0,31811,2466336,976343,2467188,457579,110976,1765163,133470,8232489,5993958,4228795,1765163,11170120,5993958,2238531,2044500,893131
1998:Q4,8565094,15998,161154,83707,67222,1930993,67333,987854,295761,3252,576793,32297,0,32297,2966657,1154894,2152172,484610,110453,1423709,133400,8652316,6092214,4668505,1423709,11750679,6092214,2560102,2150000,948363
1999:Q1,8726794,13356,152356,88827,71894,1955964,71667,978201,311677,4536,589883,33133,0,33133,2981977,1234857,2194430,490004,107339,1458618,138469,8816067,6182264,4723646,1458618,12043712,6182264,2633803,2275250,952395
1999:Q2,8946561,15634,143415,92355,71932,1999285,72270,998959,322902,3241,601913,34762,0,34762,3136998,1340009,2112171,498549,103373,1366006,144243,9037571,6274055,4908049,1366006,12418370,6274055,2763516,2400500,980299
1999:Q3,8950793,15884,132323,98715,70693,2045338,71230,1012367,326907,3122,631712,35102,0,35102,2872259,1327441,2353038,494549,98336,1610814,149339,9046322,6366954,4756140,1610814,12519787,6366954,2679368,2525750,947715
1999:Q4,9291101,16623,121690,99732,72009,2116073,72814,1034665,355296,3044,650254,37387,0,37387,3271384,1521770,2034433,511516,92083,1276424,154410,9389733,6459488,5183064,1276424,13106220,6459488,2930245,2651000,1065487
2000:Q1,9485792,18844,119559,99562,76089,2110493,77233,1019178,354019,2900,657163,36213,0,36213,3460415,1599856,1964761,516521,90069,1205355,152816,9586716,6547408,5342053,1205355,13338644,6547408,3039308,2645500,1106428
2000:Q2,9530451,21117,111366,99616,74602,2093738,78619,1026806,359520,2836,625957,36743,0,36743,3377878,1605724,2109667,499597,83290,1373809,152971,9630829,6636330,5262521,1373809,13375934,6636330,2994499,2640000,1105105
2000:Q3,9649967,22028,106007,103088,69918,2081362,76853,1030331,366292,2272,605614,33827,0,33827,3431915,1662821,2139001,489583,77999,1418794,152625,9746876,6727201,5308407,1418794,13513638,6727201,3019675,2634500,1132262
2000:Q4,9611745,20642,98821,104051,66368,2057588,76227,1028520,373595,1707,577539,34056,0,34056,3178325,1608615,2443279,462076,72991,1754937,153275,9699621,6819813,5064876,1754937,13434772,6819813,2879808,2629000,1106151
2001:Q1,9464236,17820,86664,101731,57615,2064686,70371,1043021,387987,1943,561364,32107,0,32107,2886506,1432808,2784299,422393,70761,2169341,121804,9556716,6931323,4761982,2169341,13271794,6931323,2625393,2626500,1088578
2001:Q2,9693769,22939,80049,102285,59019,2069453,74606,1056047,403017,1779,534004,30585,0,30585,3118453,1481706,2729280,437558,64343,2110187,117192,9784447,7046566,4936379,2110187,13519231,7046566,2737881,2624000,1110784
2001:Q3,9539568,23155,71547,102926,55393,2038705,73712,1054129,376996,715,533153,30893,0,30893,2767265,1316328,3133356,384492,57207,2577033,114624,9629795,7162655,4585622,2577033,13351129,7162655,2467140,2621500,1099834
2001:Q4,9800905,21346,62548,102010,51625,2040274,72550,1064715,379334,1651,522024,30734,0,30734,3094782,1416372,2981214,415955,48408,2406152,110699,9891193,7279091,4872939,2406152,13632554,7279091,2612102,2619000,1122361
2002:Q1,10002629,22030,61961,103192,51054,2047906,74225,1067190,377418,686,528387,31271,0,31271,3123247,1503121,3058847,437616,53365,2457159,110707,10094656,7361867,4904708,2457159,13793859,7361867,2732789,2597250,1101953
2002:Q2,9874098,20167,60354,156967,22506,2045073,52353,1064536,379835,822,547527,31105,0,31105,2760581,1369019,3408326,403802,50993,2780809,172722,9962750,7445643,4664834,2780809,13614400,7445643,2517107,2575500,1076150
2002:Q3,9719635,21050,58457,157465,22664,2025000,51144,1075979,377846,829,519202,31844,0,31844,2491889,1252287,3658979,355816,55347,3076094,171722,9806178,7531405,4455311,3076094,13419826,7531405,2274773,2553750,1059898
2002:Q4,9910734,23543,59019,165361,23160,1990528,54950,1083007,366745,837,484989,32200,0,32200,2618667,1333228,3665028,373699,49933,3067522,173874,9995939,7615751,4548229,3067522,13632683,7615751,2380188,2532000,1104744
2003:Q1,9991499,25504,54735,168524,23844,1937655,57420,1025617,385977,844,467797,80017,49520,30497,2693177,1300339,3707704,369030,53470,3106824,178380,10077663,7691106,4584282,3106824,13838674,7691106,2386557,2647250,1113761
2003:Q2,10341524,23758,57040,149355,23104,2031958,45860,1104161,414779,851,466307,32893,0,32893,2963831,1467949,3591636,413914,49917,2944010,183795,10428716,7772894,4828884,2944010,14343592,7772894,2655822,2762500,1152376
2003:Q3,10485669,23599,54903,138655,22749,2063332,40642,1096623,437676,2701,485690,35036,0,35036,3051178,1511329,3584888,431442,48597,2923782,181067,10571910,7854714,4930932,2923782,14621923,7854714,2717196,2877750,1172263
2003:Q4,10814769,27910,60998,145822,23557,2156599,46097,1123928,476170,4552,505852,27911,0,27911,3300632,1661924,3409416,475847,49764,2698679,185126,10902372,7938164,5239485,2698679,15112433,7938164,2964208,2993000,1217061
2004:Q1,11021755,32929,59323,155927,24413,2192690,50914,1110175,513629,6403,511569,24825,0,24825,3342700,1702703,3486245,474415,47487,2779678,184665,11107559,8095874,5316196,2779678,15442516,8095874,3011685,3069500,1265457
2004:Q2,11212312,30096,50793,134038,23666,2217606,40650,1112380,538990,8253,517333,27892,0,27892,3412035,1752132,3564054,481474,50887,2832612,199081,11297393,8253314,5420702,2832612,15737716,8253314,3044079,3146000,1294323
2004:Q3,11367213,31222,52640,138644,24207,2206391,43478,1135988,523129,6592,497204,24983,0,24983,3370471,1709669,3808986,470083,47904,3101561,189438,11448971,8412810,5311249,3101561,16009508,8412810,3036161,3222500,1338037
2004:Q4,11784473,28139,56367,134183,23495,2301967,41573,1177663,507333,4930,570468,24268,0,24268,3762571,1882714,3570769,508050,46648,2817872,198199,11870442,8575044,5757172,2817872,16566681,8575044,3295398,3299000,1397239
2005:Q1,11871638,27641,54588,135675,24469,2295268,43182,1182751,498868,3268,567199,21831,0,21831,3709541,1900234,3702391,503777,45497,2956522,196595,11955278,8674419,5717897,2956522,16700831,8674419,3280859,3330500,1415053
2005:Q2,12081020,28318,58150,139496,24691,2263337,45464,1186813,468477,1607,560976,21575,0,21575,3764721,1995118,3785614,509664,43906,3033125,198919,12162782,8777203,5744078,3033125,16982547,8777203,3385579,3362000,1457765
2005:Q3,12335399,26499,61814,135734,24446,2290437,43689,1190128,474099,1676,580845,19473,0,19473,3858704,2107977,3810315,522900,46226,3045252,195937,12422566,8881314,5836062,3045252,17297254,8881314,3541252,3393500,1481188
2005:Q4,12562173,28999,62624,143303,25062,2371354,48032,1224882,513899,1746,582795,21135,0,21135,3930525,2213139,3766032,533151,44763,2990982,197136,12655370,8984585,5993603,2990982,17596421,8984585,3670785,3425000,1516051
2006:Q1,12787074,33659,30935,196176,9095,2341323,62541,1215167,437421,1816,624378,27450,0,27450,3681234,2360979,4106223,540639,63258,2928906,573420,12888177,9097647,6168741,2928906,18066574,9097647,3790530,3620500,1557897
2006:Q2,12874111,33511,31260,197114,8161,2371210,63312,1221727,453072,1885,631214,34131,0,34131,3574643,2333518,4290563,531772,63754,3120043,574994,12979567,9209887,6089844,3120043,18363843,9209887,3769680,3816000,1568276
2006:Q3,13098633,33704,31384,201481,7455,2433623,66166,1248071,454303,1785,663298,41844,0,41844,3665264,2408045,4275833,536249,64249,3091801,583534,13213058,9324641,6232840,3091801,18833971,9324641,3888417,4011500,1609413
2006:Q4,13396978,34127,31541,206374,6798,2470884,69507,1283778,447225,1685,668689,46368,0,46368,3848840,2547548,4204498,547845,64745,2996796,595112,13520695,9440869,6444073,2996796,19387458,9440869,4079826,4207000,1659763
2007:Q1,13580923,33160,32329,208373,6877,2450056,71198,1262348,415087,1585,699838,48336,0,48336,3885102,2597911,4318779,556772,65879,3094384,601744,13712108,9559903,6465519,3094384,19710160,9559903,4152205,4340000,1658052
2007:Q2,13886546,34673,33435,217151,7392,2505458,76989,1267484,429868,1484,729633,50566,0,50566,4128307,2742612,4166952,579235,67015,2906520,614182,14030025,9681617,6775097,2906520,20363407,9681617,4348408,4605000,1728382
2007:Q3,14097080,32331,33877,210163,6794,2539353,72285,1291586,429479,1427,744576,52914,0,52914,4156427,2802466,4262755,590810,68150,2975239,628556,14242424,9804478,6829239,2975239,20773525,9804478,4437946,4775000,1756101
2007:Q4,14148137,32780,34699,211589,6837,2634551,73615,1329612,413371,1370,816583,61275,0,61275,4031050,2722875,4412481,588726,69286,3120103,634366,14293558,9926358,6806255,3120103,20789799,9926358,4367200,4748000,1748241
2008:Q1,13996252,33400,33679,219465,7019,2621613,76582,1324772,410577,1313,808369,57753,0,57753,3713046,2520674,4789603,556603,72970,3529624,630406,14140285,10030921,6501297,3529624,20401779,10030921,4109364,4555000,1706494
2008:Q2,14091331,31996,32380,219490,6728,2602804,74963,1323454,401482,1256,801649,47267,0,47267,3714558,2498225,4937883,553490,76654,3678074,629665,14238124,10137456,6459382,3678074,20518772,10137456,4100668,4580000,1700648
2008:Q3,13886458,30364,30848,213970,6022,2544776,69157,1349406,375606,1184,749423,43652,0,43652,3369934,2233483,5413409,513931,80338,4197723,621417,14027472,10242107,6044384,4197723,19920344,10242107,3785365,4225000,1667872
2008:Q4,13479082,32996,29777,223142,6226,2587003,72511,1421524,371349,1112,720507,39329,0,39329,2660987,1833336,6066286,455987,84024,4920375,605900,13608464,10346129,5425754,4920375,18851400,10346129,3262335,3681000,1561936
2009:Q1,13416272,35158,30530,223114,6436,2525880,75325,1404785,339555,1040,705175,38252,0,38252,2407681,1725828,6423393,460221,81872,5277242,604058,13544632,10429058,5151816,5277242,18593737,10429058,3115574,3536000,1513105
2009:Q2,13849132,34778,30995,213740,6078,2574133,72261,1411330,332549,967,757026,36888,0,36888,2662601,1970614,6319305,512307,79721,5116004,611273,13984725,10515720,5399716,5116004,19484057,10515720,3469005,3925000,1574332
2009:Q3,14316465,36540,31755,211985,6265,2643114,74869,1435154,328143,1137,803811,36300,0,36300,3061715,2252107,6036684,566086,77570,4774088,618940,14456915,10603835,5829747,4774088,20426371,10603835,3853080,4325000,1644456
2009:Q4,14547046,35161,32360,204952,6047,2714302,73173,1504058,312985,1307,822779,34974,0,34974,3199096,2355177,5964977,596447,75419,4657354,635757,14688132,10689940,6032586,4657354,20847469,10689940,3998192,4488000,1671337
2010:Q1,14922646,36079,32163,200276,5897,2742747,72267,1507029,325895,1476,836080,35978,0,35978,3344219,2451763,6073524,606930,79264,4745296,642034,15062179,10903310,6158014,4745296,21419726,10903310,4158869,4644000,1713547
2010:Q2,14918675,37537,31999,196845,5828,2792391,72222,1532811,333295,1646,852417,36875,0,36875,3030493,2283938,6502769,579466,83110,5192890,647303,15049727,11114772,5921882,5192890,21136886,11114772,3934955,4405000,1682159
2010:Q3,15446811,35274,31738,192932,5727,2861338,71837,1562959,336486,1783,888273,37861,0,37861,3338367,2498458,6445116,605423,86957,5099550,653186,15584136,11330290,6230740,5099550,22110755,11330290,4253846,4757000,1769619
2010:Q4,15916704,36870,31611,194688,6069,2927168,76424,1633020,334326,1921,881477,37892,0,37892,3646373,2658585,6377448,626105,90802,4995394,665147,16059734,11544780,6549386,4995394,22931252,11544780,4514954,5029000,1842518
2011:Q1,16201492,40592,32067,204194,6634,2934958,83836,1633118,332188,2058,883758,36429,0,36429,3788453,2773200,6384965,687452,91542,4933868,672103,16348807,11639512,6705644,4933868,23449935,11639512,4709295,5255000,1846128
2011:Q2,16311977,42209,32449,211450,6947,2785291,88500,1467505,339508,2196,887582,139991,104574,35417,3754214,2785391,6554035,692079,92282,5082932,686742,16461009,11734392,6651460,5082932,23634625,11734392,4726617,5315000,1858616
2011:Q3,15995677,42342,33052,210198,6493,2984657,83733,1692977,312122,1864,893961,36487,0,36487,3276321,2409796,6996331,669140,93022,5534446,699723,16137349,11826112,6291666,5534446,22821692,11826112,4311237,4910000,1774343
2011:Q4,16313773,42348,33651,208006,6018,3068333,78726,1765879,288568,1532,933628,34542,0,34542,3548394,2532193,6840288,686458,93762,5348674,711394,16461177,11920691,6572017,5348674,23444834,11920691,4540486,5153000,1830657
