1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q4,456,25,31,0,9,333,0,-4,22,315,69,477,0,-489,0,43,-546,14,456
1962:Q1,324,17,33,0,14,218,0,-3,34,187,74,371,32,-436,0,9,-490,45,324
1962:Q2,244,10,33,0,17,358,0,28,16,314,79,568,78,-900,0,-63,-923,86,244
1962:Q3,232,8,36,0,17,158,0,49,-2,111,81,371,51,-491,0,30,-572,51,232
1962:Q4,289,12,36,0,14,399,0,57,-21,363,82,448,18,-721,0,52,-803,30,289
1963:Q1,380,14,38,0,11,302,0,21,7,274,81,274,4,-344,0,35,-401,22,381
1963:Q2,500,14,39,0,5,345,0,20,2,323,78,502,-15,-468,0,31,-507,8,501
1963:Q3,612,17,41,0,8,357,0,-11,32,336,84,436,-11,-320,0,30,-365,15,613
1963:Q4,699,21,42,0,16,258,0,29,-5,234,101,524,7,-270,0,31,-347,46,700
1964:Q1,767,29,44,0,26,347,0,145,12,190,137,450,14,-280,0,45,-399,74,768
1964:Q2,845,48,46,0,36,308,0,-155,-10,473,149,454,37,-233,0,38,-384,113,846
1964:Q3,947,7,47,0,36,234,0,-3,-8,245,134,422,33,34,0,36,-121,118,947
1964:Q4,1064,35,49,0,30,538,0,40,89,409,138,445,38,-210,0,35,-337,92,1064
1965:Q1,1178,-140,52,0,23,425,0,146,-57,336,141,610,12,55,0,32,-47,69,1179
1965:Q2,1363,-24,53,0,17,216,0,-150,0,366,256,602,19,224,0,6,159,59,1364
1965:Q3,1587,32,55,0,17,122,0,-189,21,290,123,657,-12,593,0,70,491,32,1588
1965:Q4,1825,181,57,0,22,284,0,61,18,205,87,630,-1,565,0,46,458,61,1826
1966:Q1,2013,16,60,0,26,794,0,-45,9,830,123,554,17,423,0,23,316,84,2015
1966:Q2,2241,-166,62,0,29,270,0,-76,8,338,83,787,27,1149,0,-3,1045,107,2243
1966:Q3,2425,-72,64,0,31,318,0,-20,-26,364,119,684,57,1224,0,-34,1133,125,2427
1966:Q4,2527,39,78,0,32,459,0,-35,3,491,201,758,0,960,0,60,811,89,2529
1967:Q1,2527,66,64,0,33,205,0,-117,-11,333,80,862,-20,1237,0,104,1056,77,2529
