1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q4,32324453,11497112,20827341,3315333,2846368,2111198,735170,45335,227719,19927,12820,429369,270722,4153188,2960362,1192826,124616,501541,6179,16250,544240,10241729,4743693,27580760,8.805618410414938,13.66649729387719,12.84844076682065,19.94103909415506
1995:Q1,32918501,11590252,21328249,3362217,2836498,2085003,751494,47912,238397,21319,13252,430614,275208,4467240,3176847,1290393,136988,542671,7171,18020,585543,10387087,4774615,28143887,8.616727400220521,13.29925148639163,13.57060418452841,20.94517668827531
1995:Q2,33580983,11695161,21885822,3434686,2817312,2056102,761210,54057,243426,22274,13418,428035,276714,4808804,3387999,1420805,157199,584432,8508,20385,650281,10548306,4867511,28713472,8.389605632163974,12.87277243895543,14.32002037146668,21.97223226517135
1995:Q3,34333192,11817743,22515449,3442549,2880562,2095087,785475,58237,248783,22940,14074,441441,278238,5222143,3652736,1569407,174216,646636,9946,22821,715788,10691958,4981921,29351272,8.390020951072581,12.79371326210756,15.21018742384051,23.19359840676595
1995:Q4,35155019,11932497,23222522,3490898,2958161,2148957,809203,63312,259647,14687,14839,456718,297775,5612107,3976190,1635917,182528,685577,11459,23801,732552,10863582,5077496,30077523,8.414618228201604,12.73832642803135,15.96388496577233,24.1666552467005
1996:Q1,35821210,12073504,23747706,3603594,2967254,2139328,827926,65558,267533,24147,14723,455965,307679,5911863,4126502,1785361,202080,731930,13121,26219,812011,10957316,5148970,30672240,8.283511405272854,12.4949079918349,16.50380501428511,24.89445780655423
1996:Q2,36346428,12187534,24158894,3594049,3055120,2215719,839401,68153,268037,24802,14611,463798,304094,6159668,4246641,1913027,220129,760015,14964,28033,889886,11045963,5249926,31096503,8.405557604012104,12.64594285453015,16.94710743575591,25.4964824796225
1996:Q3,36762680,12320501,24442179,3637083,3085426,2230520,854906,71953,272377,25257,14726,470593,302436,6250992,4241262,2009730,234509,796917,16362,29187,932755,11166241,5348914,31413766,8.392822407350947,12.62336898272896,17.00363631730445,25.5746118365935
1996:Q4,37581585,12452183,25129402,3672251,3152171,2281474,870697,75322,279998,26102,27093,462182,341546,6616725,4462417,2154308,258660,844040,18778,57192,975638,11346708,5450328,32131257,8.387541702020568,12.54375691967199,17.60629649790409,26.3306116823453
1997:Q1,38000704,12641589,25359115,3732809,3034207,2160015,874192,77134,285095,26288,27965,457710,332135,6680950,4497999,2182951,268509,839358,20177,60742,994165,11579014,5492810,32507894,7.984607327968514,11.96495618234587,17.5811221553682,26.34536021434768
1997:Q2,39440891,12785061,26655830,3742150,3079672,2177416,902257,82501,295667,27153,28738,468198,349384,7731334,5172003,2559331,321632,983216,24842,71112,1158529,11753290,5589696,33851195,7.808323717236185,11.55346666900657,19.60233114991084,29.00428924013494
1997:Q3,40587565,12956029,27631536,3798322,3157863,2208010,949853,88996,309333,27154,29780,494590,351813,8389544,5512158,2877386,364824,1100382,27943,78613,1305624,11933995,5711192,34876374,7.780369581907346,11.42847268948335,20.67023254652348,30.36220653226376
1997:Q4,41297072,13165782,28131290,3875279,3244060,2262224,981836,92910,316189,28065,31752,512920,368858,8500979,5651290,2849689,356599,1077267,29946,80789,1305088,12142114,5808104,35488967,7.855423085553043,11.53185559770041,20.5849432205573,30.21894430395488
1998:Q1,43108256,13437057,29671199,3929067,3292645,2264950,1027696,99728,329888,28370,32717,536993,393096,9667918,6358030,3309887,419740,1237044,35224,92912,1524967,12388473,5865039,37243217,7.638085442631977,11.09710945360408,22.42706716695366,32.58350812442026
1998:Q2,43832337,13700335,30132002,3939977,3444127,2379415,1064712,105859,333277,28951,34303,562322,406438,9815775,6421063,3394712,441318,1231020,37848,96852,1587674,12525685,6005438,37826899,7.85750290126972,11.43013050743925,22.39391165567403,32.5759132402047
1998:Q3,43371970,14001382,29370588,4014788,3534499,2449180,1085318,107174,337849,29270,37233,573792,444499,8638945,5703748,2935198,384777,1050928,34445,89272,1375776,12737857,6122270,37249700,8.149269620439245,12.03414370822574,19.91826838013453,29.41359352062129
1998:Q4,45583898,14307564,31276334,4181572,3427916,2332989,1094927,112775,343874,30846,37273,570159,440302,10325837,6745162,3580675,473014,1314549,42960,107393,1642759,12900707,6269583,39314315,7.52001487135408,10.9600950206394,22.65237831543966,33.01485742088505
1999:Q1,45997640,14537391,31460249,4227188,3404208,2303958,1100249,114874,353638,30780,38534,562423,439661,10387797,6683086,3704711,500608,1356416,46203,115514,1685970,13001395,6358247,39639392,7.400831276671677,10.82066368041872,22.58332521410338,33.01879988773776
1999:Q2,47189702,14825079,32364623,4181300,3358368,2239073,1119295,118462,362214,31718,39601,567300,444231,11248969,7224573,4024396,557145,1450076,50782,128310,1838083,13131756,6514618,40675084,7.116738561002241,10.37666253348886,23.83776206886588,34.7569902170732
1999:Q3,47313621,15209443,32104178,4242570,3300065,2193241,1106824,116157,365722,32205,41505,551235,466954,10711017,6903632,3807385,528584,1358053,48476,131101,1741171,13383572,6676360,40637261,6.974872192150483,10.27923720515115,22.63833751405826,33.36331259218809
1999:Q4,50097608,15549040,34548568,4407756,3133364,2034134,1099230,121177,364735,33231,39134,540953,513143,12829582,8243610,4585972,682226,1563441,56909,154042,2129354,13664723,6849061,43248547,6.254517502141613,9.06944585471962,25.60917091005332,37.13491710167263
2000:Q1,51443438,16004828,35438610,4530415,2999711,1905556,1094155,123028,366542,32967,36462,535156,573872,13561007,8579940,4981067,762615,1658702,60405,159428,2339917,13773605,6977980,44465458,5.831085573754692,8.464527483702147,26.36100487479303,38.2661937367203
2000:Q2,51358889,16492297,34866592,4509927,2958572,1879226,1079346,122482,363398,33588,36260,523618,560180,12893782,8093677,4800105,732445,1624913,60060,154313,2228374,13944130,7128436,44230453,5.760584388231767,8.485406717791111,25.10525908121581,36.98033388675428
2000:Q3,52333382,17041147,35292235,4560952,2984673,1889467,1095205,126179,368966,34336,36048,529676,582063,12864424,8043396,4821028,739076,1642859,60715,151550,2226828,14300123,7311017,45022366,5.703190670099312,8.457023353510372,24.58167951797265,36.45114634548633
2000:Q4,52010997,17558777,34452220,4740573,3128163,2035153,1093010,127183,376093,35398,37230,517106,632916,11403694,7068176,4335517,665964,1518391,56576,140676,1953910,14546874,7455208,44555789,6.014426404648184,9.079714311661759,21.92554340921728,33.10002598581576
2001:Q1,51963687,18335108,33628579,5057770,3114060,1976440,1137620,129147,388440,38079,40143,541811,623787,10102923,6314543,3788381,560138,1354037,49059,125897,1699250,14730038,7502643,44461044,5.992762614469729,9.260160567537429,19.44227550301633,30.04267055756914
