1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,225462,2660,19011,1,95997,614,74515,3267,72,0,0,0,3195,12467,5134,0,0,0,0,5134,103057,33228,471,54197,15161,489,0,0,74,4173,208232,-211,567,22,-1004,204,105064,5591,9924,88604,945,98217,25,476,476,0,675,693,3293,0,3293,0,ND
1954:Q3,230696,2830,18331,235,98877,751,78202,1897,74,0,0,0,1823,12915,5112,0,0,0,0,5112,105578,33566,487,56379,15146,517,0,0,77,4251,213246,175,511,174,-704,194,106729,4120,8977,92908,724,100156,327,492,492,0,689,884,3794,0,3794,0,ND
1954:Q4,238224,2469,18876,25,102372,707,79769,3627,49,0,0,0,3578,13194,5075,0,0,0,0,5075,109157,34348,698,58747,15364,571,0,0,81,4673,220278,-400,808,10,-1344,126,112081,4172,9902,96932,1075,102523,16,706,706,0,867,948,3537,0,3537,0,ND
1955:Q1,237535,2830,18388,679,98215,631,75199,3745,67,0,0,0,3678,13668,4972,0,0,0,0,4972,112193,34759,646,60895,15893,629,0,0,84,4517,219514,-66,552,598,-1392,176,108542,4070,9789,93843,840,104585,669,652,652,0,702,738,3692,0,3692,0,ND
1955:Q2,241335,2681,18066,137,95846,502,74261,2857,71,0,0,0,2786,13451,4775,0,0,0,0,4775,118860,37341,524,63802,17193,781,0,0,87,4877,223024,-78,850,75,-1141,138,109610,5078,10278,93348,906,107114,56,530,530,0,1017,533,4242,0,4242,0,ND
1955:Q3,245817,2960,18475,485,93934,525,73047,2315,80,0,0,0,2235,13494,4553,0,0,0,0,4553,124012,38958,537,66661,17856,918,0,0,91,4942,227259,769,788,649,-825,157,110353,4220,9543,95735,855,108409,473,542,542,0,1275,582,4856,0,4856,0,ND
1955:Q4,251212,2682,19005,185,93747,457,72461,3053,98,0,0,0,2955,13344,4432,0,0,0,0,4432,129841,42021,514,68766,18540,1000,0,0,95,4657,232345,554,1585,107,-1179,41,114202,3709,10273,99239,981,110581,39,518,518,0,1417,573,4461,0,4461,0,ND
1956:Q1,251923,2890,18582,831,91068,493,69703,3083,146,0,0,0,2937,13463,4326,0,0,0,0,4326,132575,42629,528,70634,18784,1086,0,0,98,4793,232789,444,793,706,-1205,150,111789,6170,10635,93897,1087,112584,828,534,534,0,1138,531,4941,0,4941,0,ND
1956:Q2,253666,2273,18443,257,88401,442,67621,2556,159,0,0,0,2397,13507,4275,0,0,0,0,4275,138171,44673,547,72972,19979,1030,0,0,102,4989,234012,94,1206,232,-1311,-33,110949,5232,11453,93103,1161,115633,92,553,553,0,1173,468,5050,0,5050,0,ND
1956:Q3,258502,3100,18656,725,88728,528,67949,2330,167,0,0,0,2163,13641,4280,0,0,0,0,4280,141229,45075,644,75357,20153,982,0,0,106,4976,238457,1076,1060,573,-681,124,111629,5110,9884,95572,1063,117024,785,650,650,0,1142,711,5440,0,5440,0,ND
1956:Q4,263945,3261,19059,185,90229,500,69353,2712,147,0,0,0,2565,13576,4088,0,0,0,0,4088,145121,46872,774,77098,20377,1000,0,0,112,4978,243729,639,1665,25,-1098,47,115934,3733,10449,100494,1258,119485,38,782,782,0,1228,878,4745,0,4745,0,ND
1957:Q1,265154,2910,18350,806,91170,482,69737,2972,210,0,0,0,2762,13752,4227,0,0,0,0,4227,146020,46463,815,78216,20526,971,0,0,116,4811,244709,-36,807,592,-1402,-33,113143,6385,10486,95337,935,122932,929,823,823,0,961,799,5158,0,5158,0,ND
1957:Q2,267467,2950,18628,640,87977,433,66360,2782,230,0,0,0,2552,13992,4410,0,0,0,0,4410,150757,48775,783,79826,21373,1089,0,0,121,5305,246699,253,1029,824,-1409,-191,111522,4490,11656,93933,1443,126390,650,791,791,0,1079,691,5323,0,5323,0,ND
1957:Q3,273029,3040,18594,595,91471,516,69467,2730,266,0,0,0,2464,14187,4571,0,0,0,0,4571,152904,48483,958,81751,21712,1036,0,0,126,5263,251815,689,985,776,-863,-209,113286,6330,9757,95758,1441,128281,686,967,967,0,1119,829,5958,0,5958,0,ND
1957:Q4,276609,3335,19034,252,92157,610,68661,3474,265,0,0,0,3209,14600,4812,0,0,0,0,4812,155361,49063,1046,83428,21824,1000,0,0,131,5339,254942,-266,1424,50,-1467,-273,115203,3898,10693,99054,1558,131380,20,1056,1056,0,1265,959,5325,0,5325,0,ND
