1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q1,3112943,18058,25547,125492,706549,15108,227388,222665,153987,0,0,0,68678,171931,69457,384,0,0,0,69073,2065917,602013,45962,1103507,314435,4534,0,0,11449,155397,3017076,-138424,298,2582,-48724,-92579,416871,13639,18607,370571,14054,2118298,233224,65626,47745,17881,78082,4404,238995,119903,119092,0,ND
1985:Q2,3179558,18857,25636,137740,701908,14333,224242,215686,144802,0,0,0,70884,173942,73705,365,0,0,0,73340,2113090,612250,42054,1130993,327793,4822,0,0,11780,165726,3085178,-140049,262,1338,-48987,-92662,447412,24004,22284,386078,15046,2143028,229037,63385,44099,19286,83264,4001,255100,122536,132564,0,ND
1985:Q3,3254909,21070,25462,143652,721462,12959,227294,222246,153219,0,0,0,69027,184784,74179,507,0,0,0,73672,2165010,619770,41260,1163079,340901,4594,0,0,11380,162279,3162386,-141447,69,2520,-50280,-93757,465396,16652,20653,412467,15624,2168628,245726,64412,42755,21657,89627,4293,265752,131898,133854,0,ND
1985:Q4,3375250,25537,26617,156589,761997,12026,217143,221031,151558,0,0,0,69473,234542,77255,363,0,0,0,76892,2215930,634098,37877,1189107,354848,5241,0,0,15366,167973,3287035,-125240,988,3060,-45486,-83802,506200,25797,22487,441928,15988,2201750,268511,65317,40201,25116,92944,4583,272971,135521,137450,0,ND
1986:Q1,3393810,21251,28930,162576,763217,13447,220556,232055,156117,0,0,0,75938,216715,80444,965,0,0,0,79479,2228786,636272,35502,1202391,354621,6007,0,0,15751,167293,3310271,-127844,560,818,-49626,-79596,484419,11948,20252,436440,15779,2229759,276006,63509,36604,26905,91539,4717,288165,145315,142850,0,ND
1986:Q2,3460802,22221,29374,164800,788906,11896,222193,256742,179034,0,0,0,77708,211344,86731,1572,0,0,0,85159,2266925,645369,33683,1222648,365225,6736,0,0,16084,165757,3398942,-132933,283,952,-48825,-85343,531450,25224,25619,464328,16279,2241206,281718,63587,34790,28797,99315,5000,309599,164579,145020,0,ND
1986:Q3,3529346,22609,34829,155835,832053,10392,224664,279578,199370,0,0,0,80208,220252,97167,2584,0,0,0,94583,2289225,637134,32225,1246771,373095,6532,0,0,15764,172499,3461240,-128370,849,879,-46484,-83614,534945,28211,22296,468180,16258,2269897,291449,65264,33988,31276,103691,5294,319070,166030,153040,0,ND
1986:Q4,3657299,25652,45501,161166,851716,12835,226504,303803,220274,0,0,0,83529,205844,102730,3697,0,0,0,99033,2371149,678756,30625,1278668,383100,6982,0,0,19279,175855,3580768,-140153,1261,1565,-55072,-87908,616533,27480,25697,544686,18670,2293234,310664,63771,31520,32251,113540,4932,318247,170522,147725,0,ND
1987:Q1,3663188,22493,39739,158728,857154,12298,226860,317245,236565,0,0,0,80680,194900,105851,3613,0,0,0,102238,2363007,650969,30861,1309118,372059,8443,0,0,19672,193952,3571671,-113513,5241,1587,-47625,-72716,547123,8649,21760,499564,17150,2290843,313336,67424,31871,35553,111829,4828,349802,173104,176698,0,ND
1987:Q2,3724805,23950,33306,164134,880310,10719,228933,339816,254561,0,0,0,85255,187928,112914,3545,0,0,0,109369,2413860,654531,29810,1348798,380721,8735,0,0,18775,181735,3629064,-114103,1579,972,-52598,-64056,587761,30924,25295,514014,17528,2310284,313090,65950,30679,35271,120184,2970,342928,164251,178677,0,ND
1987:Q3,3791477,24422,36326,154916,903291,8737,235949,355351,268818,0,0,0,86533,182470,120784,3781,0,0,0,117003,2462354,660237,27777,1385757,388583,9238,0,0,19090,181840,3694857,-98062,248,1941,-46609,-53642,584989,32975,23251,513462,15301,2336261,324061,64741,28628,36113,126135,2783,353949,167129,186820,0,ND
1987:Q4,3888873,24858,39594,150895,945850,13254,232998,375301,287051,0,0,0,88250,176707,147590,19431,0,0,0,128159,2494648,662791,29579,1402853,399425,7026,0,0,22645,203356,3784033,-105082,811,3815,-55710,-53998,602706,21644,26745,537092,17225,2398101,328526,67806,30506,37300,139326,2497,350154,177919,172235,0,ND
1988:Q1,3947492,23110,36647,167057,945591,10370,227593,379493,286605,0,0,0,92888,168993,159142,17480,0,0,0,141662,2529591,664542,25506,1440681,398862,7814,0,0,23130,214551,3847021,-106285,298,2311,-54340,-54555,584093,23520,23833,520751,15989,2472394,339569,63436,26267,37169,135723,2001,356090,175888,180202,0,ND
1988:Q2,4030130,25565,34391,161348,960920,10067,220843,393439,299807,0,0,0,93632,163694,172877,21012,0,0,0,151865,2587899,677635,25599,1476097,408568,8295,0,0,22773,228939,3937366,-96194,259,2464,-52964,-45953,611046,32559,28324,533001,17162,2497618,340256,64833,26357,38476,141018,1348,377442,183827,193615,0,ND
1988:Q3,4101330,22093,37677,163371,976833,11317,218895,407808,291363,0,0,0,116445,160880,177933,23189,0,0,0,154744,2628606,677764,26230,1506478,418134,8327,0,0,22696,241727,4005222,-100482,1199,2154,-58131,-45704,599015,34154,26963,521736,16162,2542562,354091,65587,26901,38686,147587,1702,395160,192065,203095,0,ND
1988:Q4,4169447,27561,38273,148660,979861,13413,210863,425128,308190,0,0,0,116938,153752,176705,24363,0,0,0,152342,2685561,691519,26511,1539962,427569,8477,0,0,26952,254102,4079768,-107746,1286,2170,-62227,-48974,625285,28979,29292,550374,16640,2569973,344624,66146,27237,38909,158770,2701,420014,201012,219002,0,ND
1989:Q1,4150357,22203,36374,162607,976899,10860,216016,433445,311125,0,0,0,122320,149837,166741,27180,0,0,0,139561,2702806,689897,25149,1566182,421578,13760,2308,0,27657,205741,4045120,-105945,557,2454,-55051,-53904,571190,13513,24279,516211,17187,2595087,370045,64059,25743,38316,169839,23296,357548,200163,157385,0,ND
1989:Q2,4198740,22775,35998,168631,957098,10935,196240,442038,318274,0,0,0,123764,145120,162765,27962,0,0,0,134803,2755189,707786,24114,1594122,429167,14755,2258,0,27823,214214,4099323,-111297,-203,841,-64777,-47158,594639,34390,26850,517718,15681,2620091,370037,63805,24740,39065,167665,24041,370343,209337,161006,0,ND
1989:Q3,4191957,23122,31336,158190,931804,9834,183911,436688,307966,0,0,0,128722,142060,159311,28738,0,0,0,130573,2781835,711005,22839,1611724,436267,15621,2269,0,27986,219794,4090805,-112579,501,598,-66642,-47036,581563,30278,25683,509324,16278,2645935,350381,62394,23460,38934,157118,24497,381496,210270,171226,0,ND
1989:Q4,4206966,28671,37292,172550,917502,12475,182538,431010,298589,0,0,0,132421,135806,155673,28866,0,0,0,126807,2789346,712787,21317,1609402,445840,15696,2173,0,33581,210154,4105830,-128185,1131,481,-74989,-54808,620587,25582,28408,549894,16703,2667961,339427,60268,21980,38288,148319,24152,373301,211870,161431,0,ND
1990:Q1,4195463,23251,34659,175108,935530,8046,195410,443266,297436,0,36570,0,109260,132320,156488,30818,0,0,0,125670,2800539,703093,20016,1644291,433139,14733,1944,0,34439,175260,4123950,-112709,376,2163,-67982,-47267,580632,16719,25562,523491,14860,2679169,342780,57523,20481,37042,139523,24462,412571,218328,194243,0,ND
1990:Q2,4169632,24294,35232,175215,924335,7720,191527,446385,296454,0,41769,0,108162,126402,152301,27774,0,0,0,124527,2790706,704844,18038,1638417,429407,14868,1960,0,34497,168525,4105863,-103887,656,586,-73097,-32032,604933,32072,27913,530038,14910,2661633,332475,52967,18479,34488,133466,24589,399688,220835,178853,0,ND
1990:Q3,4152017,24752,32430,171798,921542,7613,191790,450642,298376,0,47723,0,104543,125139,146358,27573,0,0,0,118785,2773979,695616,18539,1627281,432543,12728,1991,0,34084,178713,4102640,-93071,1877,505,-62072,-33382,600576,36595,27071,520492,16418,2656479,323927,51760,18952,32808,125375,27089,410505,231829,178676,0,ND
1990:Q4,4120767,32590,37350,170028,916488,9279,183306,460562,299477,0,54828,0,106257,119815,143526,30290,0,0,0,113236,2737407,687636,17224,1600919,431628,10900,1902,0,29425,184678,4066754,-112802,2222,190,-75691,-39523,637848,30919,28934,561688,16307,2652892,294440,54502,17567,36935,124390,26008,389475,229509,159966,0,ND
1991:Q1,4064819,24707,23448,171607,922202,10879,195264,461390,299762,0,60021,0,101607,115501,139168,28955,0,27822,0,82391,2688552,668140,15371,1584809,420232,13894,2486,0,30171,187751,4034570,-86350,2582,244,-54074,-35102,599509,26325,26123,532108,14953,2653445,281158,51598,15661,35937,113898,25475,395837,240242,155595,0,ND
1991:Q2,4018209,25627,21664,173495,917859,9224,206018,457953,287862,0,67958,0,102133,110837,133827,29249,0,28600,0,75978,2657595,653571,13028,1576067,414929,13354,2656,0,29422,176537,4001565,-70089,442,1479,-43199,-28810,621697,36038,30146,542007,13506,2609785,272409,49051,13347,35704,101798,23957,392957,242795,150162,0,ND
1991:Q3,3991101,28757,26496,185442,937532,8416,222957,456355,283081,0,78228,0,95046,107546,142258,29416,0,28098,0,84744,2595821,634444,13467,1538168,409742,13759,3479,0,29625,170189,3965675,-72519,232,315,-41096,-31970,640117,38534,30325,556761,14497,2572668,275390,47224,13726,33498,90988,25801,386006,244282,141724,0,ND
1991:Q4,3974649,33603,28365,165875,957593,8830,232731,466240,277305,0,89405,0,99530,105093,144699,30636,0,28241,0,85822,2570426,618273,12625,1527191,412337,14068,3740,0,32440,168538,3948518,-79778,731,218,-43077,-37650,692726,36414,34239,607970,14103,2527975,257493,46671,12887,33784,87123,23936,392372,247802,144570,0,ND
1992:Q1,3969898,29338,28567,179620,981990,7033,258440,471200,276855,0,97625,0,96720,102468,142849,31068,0,26604,0,85177,2530789,612844,12251,1509201,396493,13989,4457,0,33083,168064,3929667,-44580,512,52,-35916,-9227,676366,16693,32176,614167,13330,2494624,272332,44824,12480,32344,84265,24758,377077,229164,147913,0,ND
1992:Q2,3936444,29693,22093,166037,995034,6090,265738,483400,274749,0,105592,0,103059,100617,139189,30123,0,23884,0,85182,2501082,604690,11715,1490564,394113,13699,3990,0,33572,171243,3901456,-53208,-166,1359,-33894,-20507,702599,36104,34152,617169,15174,2445645,254479,46197,11935,34262,84906,25255,395583,244824,150759,0,ND
1992:Q3,3963406,30194,26331,169479,1024336,6452,282488,491167,272540,0,119487,0,99140,100771,143458,29998,0,23481,0,89979,2492972,599436,12590,1486172,394774,13399,4353,0,34096,168246,3932194,-41110,-227,609,-30829,-10664,721695,38203,35542,631722,16228,2407214,274526,49073,12776,36297,87534,26709,406553,254979,151574,0,ND
1992:Q4,3976160,31870,31320,176546,1045589,6487,288325,503167,276202,0,122709,0,104256,99082,148528,30241,0,21624,0,96663,2477061,593340,12550,1470913,400258,14656,3356,0,35850,159913,3946724,-64821,3253,675,-41546,-27203,784151,30552,38125,699635,15839,2366882,278342,51753,12756,38997,86501,25590,418325,269756,148569,0,ND
1993:Q1,3966924,30561,33273,166831,1076164,7145,299375,518794,283799,0,129455,0,105540,97535,153315,32417,0,21562,0,99336,2451386,584873,11216,1459623,395674,14736,3742,0,36288,153943,3920666,-41523,337,753,-31618,-10995,740062,18750,36491,669222,15599,2333783,297855,50591,11355,39236,91536,25592,422770,270986,151784,0,ND
1993:Q2,4000264,32210,26786,160745,1082655,5356,295746,529694,289409,0,136421,0,103864,98355,153504,30544,0,20842,0,102118,2485177,595494,10502,1475173,404008,14478,3367,0,36669,158177,3960765,-43030,221,1534,-32518,-12266,787521,36516,39106,696868,15031,2301725,288355,51788,10723,41065,98165,23357,452884,284708,168176,0,ND
1993:Q3,4046923,31735,28338,161759,1102879,5135,301069,537990,291514,0,137451,0,109025,100938,157747,29849,0,21905,0,105993,2508775,597035,10494,1484688,416558,15130,3751,0,37462,157094,3998539,-38955,947,2918,-30639,-12180,802828,38426,39192,706349,18861,2281417,310167,51578,10622,40956,104553,26529,460421,290028,170393,0,ND
1993:Q4,4105631,32671,33831,165194,1110852,5180,303227,543577,296697,0,133808,0,113072,101039,157829,34957,0,19814,0,103058,2543318,605639,10142,1493978,433559,16821,3889,0,49579,149476,4049752,-45712,909,94,-37155,-9560,862283,42633,40180,763907,15563,2264987,306536,51309,10226,41083,108432,27224,474693,299673,175020,0,ND
1994:Q1,4215331,31439,34953,162950,1137064,4271,323323,543499,300997,0,132125,0,110377,101453,164518,37168,0,20799,0,106551,2533760,609040,10574,1479203,434943,15470,2988,0,50360,246347,4253510,-30325,444,463,-39989,8756,833900,39780,40120,737270,16730,2267205,324118,51525,10657,40868,105834,28929,672325,303069,369256,0,ND
1994:Q2,4275504,34426,32473,153490,1125799,3876,310057,548059,307397,0,127363,0,113299,101107,162700,36545,0,20644,0,105511,2583626,621611,10350,1500109,451556,14129,2330,0,51273,277957,4305263,-8210,866,701,-34087,24310,828611,42889,41198,727550,16974,2246869,334657,51155,10403,40752,113247,25535,713399,301321,412078,0,ND
1994:Q3,4285067,31155,29289,150935,1114984,3479,294341,558290,317171,0,123827,0,117292,100335,158539,33778,0,21308,0,103453,2640324,628955,10773,1527616,472980,14011,2036,0,52117,250217,4296204,-16,188,504,-32022,31315,800467,30383,38874,713598,17612,2242325,350221,52465,10800,41665,121332,28014,701395,310695,390700,0,ND
1994:Q4,4348275,38129,29691,157946,1090161,3725,275149,558006,316023,0,119396,0,122587,98983,154298,32780,0,21491,0,100027,2710919,643926,9895,1559853,497245,13267,2007,0,50445,255711,4357213,26732,-716,223,-34135,61359,822168,23751,42086,739190,17141,2243186,362271,53628,9958,43670,130501,26613,692115,310064,382051,0,ND
1995:Q1,4381162,31291,29454,165560,1077511,3464,269193,559120,313651,0,116474,0,128995,96766,148968,30526,0,21641,0,96801,2762734,666072,11438,1588016,497208,14047,2125,0,50681,247758,4398674,30692,57,84,-31672,62223,772351,15634,39275,700404,17038,2283999,371397,55197,11456,43741,124450,31083,729505,321625,407880,0,ND
1995:Q2,4427233,33596,24038,177812,1065890,4128,248290,566567,311639,0,113937,0,140991,95848,151057,33155,0,22573,0,95329,2830685,693647,11690,1615270,510078,15613,2447,0,51335,225817,4419735,26613,292,217,-33050,59154,797003,39731,41930,698497,16845,2319636,377891,56801,11655,45146,124775,29993,687023,331034,355989,0,ND
1995:Q3,4476118,33072,22828,169328,1078750,4122,242995,583918,321995,0,109349,0,152574,94689,153026,32188,0,23611,0,97227,2883279,704455,12512,1640698,525614,18146,2580,0,52004,216131,4467504,23882,73,421,-33093,56481,758483,30307,40797,669274,18105,2361265,392926,59175,12494,46681,125987,34923,710863,339885,370978,0,ND
1995:Q4,4522490,40562,28557,197026,1059570,4098,226018,586032,329925,0,101036,0,155071,94676,148746,29200,0,24943,0,94603,2914849,718022,12270,1642123,542434,19282,2323,0,58252,202070,4533780,18179,107,135,-39004,56941,774238,19003,42911,694188,18136,2398728,378621,58607,12283,46324,134089,37163,734154,347794,386360,0,ND
1996:Q1,4525781,34386,24173,185889,1062996,4301,227164,587285,339715,0,97320,0,150250,94239,150007,29136,0,25875,0,94996,2932573,731371,12807,1656916,531479,21084,2463,0,59225,202992,4526441,2357,28,43,-36099,38385,722707,16832,38790,649406,17679,2468932,372565,60863,12844,48019,132117,37441,729459,351322,378137,0,ND
1996:Q2,4585372,35677,23852,170807,1054421,3632,219597,589746,345286,0,90938,0,153522,93930,147516,27930,0,25445,0,94141,2983673,745386,13456,1678976,545855,21673,2311,0,59581,233377,4594896,-8913,-190,636,-38412,29053,735984,31360,40174,643586,20864,2485865,369296,64111,13448,50663,145269,38907,764377,367748,396629,0,ND
1996:Q3,4642446,38227,20243,168392,1037217,3117,212864,583848,339952,0,89801,0,154095,94172,143216,28045,0,22210,0,92961,3046481,764638,14457,1708546,558840,22525,2226,0,60724,246411,4669321,-14413,640,1654,-40633,23926,735959,37794,38334,640030,19801,2533115,366656,65458,14449,51009,153623,39652,789269,368689,420580,0,ND
1996:Q4,4678566,45186,23231,175398,1017409,4519,190332,592797,344334,0,89495,0,158968,95778,133983,25167,0,21801,0,87015,3094963,777647,13912,1731230,572174,24536,2610,0,69565,225668,4714390,-13738,4296,85,-42045,23927,738569,28684,40623,647665,21597,2563890,369156,67615,13969,53646,160874,42578,785445,371981,413464,0,ND
1997:Q1,4738337,37151,21094,189878,1032862,2693,197146,602059,351105,0,92399,0,158555,95471,135493,23037,0,21347,0,91109,3120757,809777,14491,1745471,551018,20211,7085,0,70620,238679,4781365,-9421,-519,3998,-37507,24607,703602,24028,38042,619953,21579,2613247,386112,69252,14507,54745,155706,46071,816796,391374,425422,0,ND
1997:Q2,4815882,38407,22063,177099,1039004,2624,188756,614862,357315,0,93173,0,164374,95868,136894,21762,0,20587,0,94545,3198258,837784,15006,1786968,558500,23045,8304,0,71920,237782,4863078,1771,461,1894,-37095,36511,720858,34243,40620,622475,23520,2642154,371144,71589,15067,56522,171381,45369,838812,399851,438961,0,ND
1997:Q3,4885256,38531,21045,190205,1037619,2704,178518,622562,360258,0,96865,0,165439,97802,136033,18920,0,21701,0,95412,3246069,852700,14745,1820474,558150,24495,7922,0,72575,246795,4941640,-7610,-263,313,-46724,39064,684114,33511,40639,587289,22675,2697625,399820,72339,14770,57569,180677,51541,863133,410422,452711,0,ND
1997:Q4,5022450,45004,27785,188971,1077642,2316,181380,652418,371783,0,106997,0,173638,98254,143274,18057,0,22460,0,102757,3304192,888075,13665,1840216,562236,25918,8126,0,77782,267031,5108106,-2827,719,2035,-55456,49875,712190,27779,42856,615553,26002,2752527,417882,78145,13684,64461,196110,52634,901445,413313,488132,0,ND
1998:Q1,5043293,37784,23417,216769,1095797,790,186816,662902,380237,0,108135,0,174530,96911,148378,18667,0,28671,0,101040,3338536,912868,11596,1872828,541244,31366,7104,0,79293,213227,5063056,15172,1502,29,-48714,62355,672799,21691,39288,586090,25730,2827705,435553,79712,11568,68144,204159,58278,769678,430160,339518,0,ND
1998:Q2,5101687,38413,21801,205788,1084363,747,166579,654619,362257,0,109989,0,182373,99837,162581,19220,0,32370,0,110991,3390330,958561,10351,1879444,541974,32553,7000,0,80165,241274,5113003,22476,1416,963,-41878,61975,705301,48510,41910,590223,24658,2832603,399419,79756,10348,69408,223247,57063,793138,442931,350207,0,ND
1998:Q3,5217398,39198,24803,230907,1105288,698,139881,686825,386400,0,121373,0,179052,103249,174635,17086,0,35051,0,122498,3441457,985766,10754,1894811,550126,27667,7029,0,79128,261921,5250115,50715,-1230,1055,-34822,85712,662311,30036,39920,569919,22436,2871758,430805,81549,10716,70833,243150,62273,847554,463641,383913,0,ND
1998:Q4,5417095,42057,25146,247279,1168925,817,135008,722568,418724,0,115869,0,187975,106870,203662,17136,0,42769,0,143757,3546389,1024696,9068,1948253,564372,35658,9147,0,59391,283103,5444668,29629,1636,17,-47372,75348,676861,13157,43613,596871,23220,2971401,472419,83857,9131,74726,285087,62696,862718,468500,394218,0,ND
1999:Q1,5447914,38555,21848,219950,1196432,687,145188,735808,406829,0,123662,0,205317,108633,206116,22989,0,44273,0,138854,3563756,1049350,8237,1953101,553068,37244,10060,0,60606,299462,5459268,43092,-882,246,-37570,81298,641153,16418,40336,563127,21272,2984412,479605,83950,8262,75688,294286,63323,869446,480185,389261,0,ND
1999:Q2,5559122,40551,20817,220289,1228486,544,140786,743597,400268,0,121275,0,222054,109881,233678,24292,0,44784,0,164602,3617573,1080837,7377,1987575,541784,40223,11010,0,61433,318739,5560432,74349,272,220,-36306,110163,660373,42043,41901,554233,22196,3004465,491025,84018,7392,76626,322686,59056,864461,482788,381673,0,ND
1999:Q3,5652261,41020,21042,196117,1243484,655,134406,754452,399113,0,124362,0,230977,111794,242177,23145,0,46656,0,172376,3716454,1104910,6514,2064398,540632,36044,10112,0,62131,325858,5655143,80543,65,480,-39750,119748,640392,46016,41929,530346,22101,3055938,478436,84577,6472,78105,358512,64111,892634,484377,408257,0,ND
1999:Q4,5854243,66555,22443,199150,1267267,714,132981,755413,399386,0,120858,0,235169,113205,264954,22827,0,48801,0,193326,3854884,1145303,6605,2133492,569484,41990,12387,0,71774,317793,5817359,83990,-237,233,-49505,133499,677727,49561,46776,558701,22689,3118608,500697,85133,6596,78537,389249,70181,891774,469216,422558,0,ND
2000:Q1,5955113,35187,17147,218279,1281496,677,135207,769265,400491,0,120526,0,248248,114332,262015,20767,0,46510,0,194738,3937014,1168581,7061,2196533,564839,42319,13656,0,73528,336486,5937304,94536,-213,236,-39322,133835,627602,37503,43631,523250,23218,3196339,532997,88040,7021,81019,398751,70171,928869,492706,436163,0,ND
2000:Q2,6102090,36992,17230,203123,1274633,579,125514,770736,398352,0,119352,0,253032,114755,263049,21234,0,46993,0,194822,4080087,1213461,7267,2283175,576184,41735,13489,0,74703,360097,6089604,138446,-12,512,-40289,178235,626142,48693,44820,508823,23806,3257131,531581,91550,7245,84305,431290,69278,944186,502979,441207,0,ND
2000:Q3,6209153,34494,16634,195546,1286233,645,117379,760338,392301,0,108901,0,259136,115833,292038,20697,0,51019,0,220322,4160486,1223484,6802,2336437,593763,44385,13830,0,79396,378149,6209720,132332,372,372,-46732,178320,589780,39333,43020,481014,26413,3346707,521254,94032,6784,87248,424402,78905,1022309,539214,483095,0,ND
2000:Q4,6323294,44391,17952,241781,1292950,933,96605,766919,406826,0,111033,0,249060,116603,311890,23095,0,56493,0,232302,4208342,1236638,5881,2349989,615834,43326,15044,0,77230,382278,6349903,130197,901,110,-47510,176696,593984,16384,47635,504913,25052,3452287,520460,98616,5968,92648,432402,86072,1035884,552499,483385,0,ND
2001:Q1,6366281,36000,16758,273627,1273287,0,80160,763468,421148,0,114410,0,227910,116185,313474,28547,0,57497,0,227430,4235704,1227198,5972,2394557,607977,38133,17043,0,77870,397858,6434649,97851,180,22,-31779,129427,572712,23878,43639,482187,23008,3548287,540498,101950,5982,95968,440150,84824,1048377,564732,483645,0,ND
2001:Q2,6427314,37171,17642,271118,1293014,0,77342,772460,440426,0,116413,0,215621,120035,323177,26856,0,54289,0,242032,4278105,1217682,5336,2439682,615405,41433,17251,0,78724,392855,6485266,111866,-374,150,-38912,151001,592806,37699,47439,480982,26686,3582480,538305,100757,5422,95335,441077,80451,1037524,573181,464343,0,ND
2001:Q3,6585148,36657,23715,300244,1335242,0,71853,806464,464453,0,133950,0,208061,122050,334875,24151,0,53837,0,256887,4289456,1211100,3939,2459134,615283,35564,16012,0,79305,468953,6709006,101924,-549,88,-43903,146288,597433,36353,46638,488208,26234,3656322,556923,101974,4086,97888,449202,102444,1142784,613125,529659,0,ND
2001:Q4,6655595,47330,16245,279383,1404278,0,67841,861653,466298,0,168209,0,227146,124528,350256,38490,0,59260,0,252506,4329686,1175754,3585,2510810,639537,40310,21342,0,67752,449268,6742418,137792,-23,34,-43143,180924,681677,47459,53127,558499,22592,3704570,544232,101979,3676,98303,455681,88451,1028036,613365,414671,0,1234336
2002:Q1,6731933,34918,21134,284334,1456287,0,82696,898652,476544,0,166361,0,255747,123176,351763,31328,0,60654,0,259781,4299065,1154164,3501,2508543,632857,40760,22339,0,68585,504510,6724663,97942,-476,20,-39633,138031,577779,9510,52381,494481,21407,3810356,548930,99295,3511,95784,446675,97231,1046456,634805,411651,0,1202963
2002:Q2,6853828,36549,20680,281609,1489173,0,87955,939927,535773,0,145570,0,258584,122984,338307,25505,0,56982,0,255820,4347745,1131110,3981,2577213,635441,34045,18247,0,69059,556721,6868474,99131,-238,184,-37285,136471,590861,37122,54974,476646,22119,3844177,544653,100021,3992,96029,449610,113981,1126039,647440,478599,0,1236865
2002:Q3,7070816,37850,21329,299852,1518240,0,84912,962927,556619,0,156353,0,249955,125952,344449,22991,0,66264,0,255194,4477663,1123570,3775,2695668,654650,24862,13595,0,69762,607662,7116367,99309,396,177,-37068,135804,617416,54582,54539,486551,21744,3977174,562862,98806,3810,94996,459875,109556,1191369,677130,514239,0,1360292
2002:Q4,7244223,47818,20564,284790,1565065,0,95557,997503,567589,0,159057,0,270857,126994,345011,22562,0,67387,0,255062,4586466,1111803,3930,2799458,671275,30572,19596,0,53489,635862,7281919,152195,418,40,-35324,187060,627957,31065,59768,514822,22302,4059101,587090,101496,3949,97547,458434,98246,1197401,672143,525258,0,1446307
2003:Q1,7409534,38532,24974,323880,1629640,0,98536,1052165,606220,0,179535,0,266410,128576,350363,20118,0,79956,0,250289,4637629,1097804,4270,2873705,661850,28107,13791,0,55473,657508,7402903,139589,-1197,30,-36735,177491,596706,8528,57743,530869,-434,4182697,611386,103758,4282,99476,462486,104578,1201703,651480,550223,0,1531118
2003:Q2,7642666,39540,25711,338929,1684747,0,87902,1128376,668118,0,179334,0,280924,132711,335758,19783,0,78842,0,237133,4760718,1095440,4108,2983721,677449,37684,16645,0,56891,681801,7619016,99709,-525,768,-48395,147861,643449,26680,59731,556808,230,4283569,654343,105590,4118,101472,471410,106235,1254711,664449,590262,0,1650013
2003:Q3,7710652,40361,25892,329701,1641190,0,92410,1065739,608358,0,158472,0,298909,137998,345043,21400,0,84155,0,239488,4850508,1092763,3783,3067138,686824,40560,14611,0,57572,710256,7679967,153031,-496,174,-35812,189165,625406,29839,59668,535922,-23,4314932,599795,106070,3798,102272,474042,99530,1307161,669188,637973,0,1655771
2003:Q4,7827309,47951,21206,291307,1728159,0,105691,1105198,605239,0,185834,0,314125,138750,378520,22886,0,98333,0,257301,4944089,1109180,3751,3083895,747263,49035,17106,0,73858,654598,7760223,164232,-319,62,-39723,204212,666445,30154,67556,567199,1536,4375320,575710,107789,3775,104014,484579,101479,1284669,678272,606397,0,1675073
2004:Q1,8065199,40957,22715,311066,1846098,0,112564,1213226,696251,0,210832,0,306143,140039,380269,22823,0,134779,0,222667,5049865,1094758,3337,3212269,739501,51644,16351,0,76649,649853,7935903,116220,-589,64,-31882,148627,661148,17524,66401,572925,4298,4513932,615338,107878,3347,104531,500284,108662,1312441,694542,617899,0,1764198
2004:Q2,8293214,43347,27693,308450,1850290,0,110060,1220993,705415,0,200244,0,315334,143340,375897,22056,0,131595,0,222246,5225168,1113996,3856,3358612,748704,50815,16357,0,79675,691419,8199985,194887,163,323,-29823,224224,686097,40545,61668,577935,5949,4612548,634207,111755,3867,107888,539827,90646,1330018,728274,601744,0,1833624
2004:Q3,8493649,42019,22619,330642,1804553,0,90719,1158837,659576,0,194826,0,304435,146009,408988,25271,0,138900,0,244817,5375391,1126137,3356,3480404,765494,50319,15537,0,80585,771984,8403208,160631,1839,236,-29282,187838,667910,32254,59750,569766,6140,4721532,661241,112788,3374,109414,535771,107048,1436287,828299,607988,0,1905050
2004:Q4,8722391,41528,22366,327131,1788084,0,82612,1132536,672081,0,180109,0,280346,147840,425096,27109,0,148475,0,249512,5550579,1147018,3300,3604691,795570,57474,18129,0,119701,797399,8670240,205819,925,43,-26288,231139,705685,26919,63243,604306,11217,4828559,612455,120238,3357,116881,553379,113248,1530857,867597,663260,0,1998471
2005:Q1,8917798,42128,23111,325144,1926439,0,95664,1225269,717831,0,208786,0,298652,152685,452821,29241,0,165314,0,258266,5627540,1142745,3403,3707497,773895,55803,15879,0,120039,781715,8775725,204225,-1413,52,-34263,239849,679041,20235,71155,577906,9745,4956212,614942,124776,3446,121330,557747,106567,1532215,847566,684649,0,2046145
