1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,2678,0,0,11,797,72,510,0,85,130,1412,1173,239,0,10,448,2552,1760,1895,-135,618,221,12,241,58,-358,0,-358,224,ND
1959:Q1,2816,0,0,11,793,67,513,0,84,129,1411,1200,211,0,10,591,2691,1716,1854,-138,819,226,11,213,58,-352,0,-352,225,ND
1959:Q2,3034,0,0,12,798,67,518,0,84,129,1422,1225,197,0,11,791,2909,1656,1797,-141,1099,233,11,199,59,-348,0,-348,227,ND
1959:Q3,3229,0,0,12,790,54,523,0,84,129,1463,1272,191,0,11,953,3104,1619,1764,-145,1372,240,11,193,60,-391,0,-391,229,ND
1959:Q4,2788,0,0,12,823,82,526,0,85,130,1502,1272,230,0,11,440,2662,1519,1670,-151,1028,247,11,233,61,-437,0,-437,233,ND
1960:Q1,2922,0,0,12,789,53,523,0,84,129,1529,1256,273,0,12,580,2795,1621,1793,-172,1055,256,9,276,61,-483,0,-483,236,ND
1960:Q2,3110,0,0,12,790,61,519,0,83,127,1599,1323,276,0,13,696,2982,1687,1881,-194,1085,265,7,279,62,-403,0,-403,240,ND
1960:Q3,3172,0,0,13,772,55,515,0,80,122,1744,1410,334,0,14,629,3043,1792,2007,-215,1109,276,6,337,63,-540,0,-540,244,ND
1960:Q4,3264,0,0,13,803,99,507,0,78,119,1851,1446,405,0,15,582,3139,1857,2095,-238,1148,287,4,409,64,-630,0,-630,244,ND
1961:Q1,3447,0,0,14,944,182,555,0,82,125,2282,1836,446,0,15,192,3323,2011,2238,-227,1168,298,7,451,65,-677,0,-677,248,ND
1961:Q2,3717,0,0,16,985,167,603,0,85,130,2442,1988,454,0,16,258,3595,2221,2436,-215,1247,310,10,459,65,-717,0,-717,251,ND
