1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,829685,0,83950,101868,0,90418,68240,117,17509,4552,25621,913,22089,2619,249889,7186,0,67740,179028,23985,179933,81697,24831,38755,12029,22621
1955:Q3,856777,0,87509,103362,0,92454,69181,232,18360,4681,25913,985,22315,2613,263912,7257,0,68498,183687,24185,187025,85032,25509,40543,12283,23658
1955:Q4,868167,0,87957,105783,0,93597,68843,605,19174,4975,26529,899,22725,2905,265154,7839,0,69254,188255,23799,192531,87936,25692,42949,12288,23665
1956:Q1,895819,0,87330,107946,0,95931,70474,721,19569,5167,26802,972,23199,2631,281337,8555,0,70104,192884,24930,195953,90356,26474,42251,12423,24449
1956:Q2,895886,0,85925,110925,0,97192,70183,958,20436,5615,27241,835,23674,2732,272249,8613,0,71013,197560,25168,202919,93327,27467,44281,12649,25195
1956:Q3,903504,0,88662,112516,0,98840,70632,1115,21308,5785,27615,867,23976,2772,267245,8506,0,71904,202441,25775,207810,96174,28316,44978,12719,25622
1956:Q4,935319,0,89966,115230,0,99195,70225,959,21900,6111,28270,882,24327,3061,287591,9046,0,72724,207775,25522,211727,98745,28576,46580,12969,24857
1957:Q1,935462,0,89017,118462,0,101202,70878,933,22537,6854,28434,815,24871,2748,274073,9106,0,73468,215119,26581,214164,100851,28811,45242,13101,26159
1957:Q2,962977,0,87019,121985,0,101750,70743,1154,22812,7041,29016,814,25333,2869,290373,9687,0,74135,223051,25961,219995,103039,29510,47223,13484,26738
1957:Q3,952134,0,89835,123872,0,103628,71650,1100,23526,7352,29519,833,25843,2843,264793,9001,0,74784,230768,25934,223968,105397,30351,47971,13527,26722
1957:Q4,965396,0,89733,127167,0,103997,71507,1463,23851,7176,30279,894,26283,3102,266234,8714,0,75462,238362,25448,226943,107374,30734,49217,13328,26290
1958:Q1,992619,0,89965,130705,0,104522,70949,1208,24382,7983,30403,951,26750,2702,280386,9463,0,76183,244139,26853,227805,108975,31428,46775,13932,26696
1958:Q2,1014906,0,86992,134835,0,102628,71186,824,23317,7301,31358,1045,27539,2774,294788,10610,0,76958,249929,26808,232898,111142,32485,47704,14621,26946
1958:Q3,1060087,0,92963,137708,0,100997,68645,798,23794,7760,32092,1116,28168,2808,323591,11791,0,77752,255861,27332,237841,114035,33531,47940,14832,27502
1958:Q4,1084505,0,94033,141266,0,102011,68638,833,24616,7924,33146,1156,28887,3103,333401,13242,0,78535,261909,26962,243900,117177,34180,49490,15177,27876
1959:Q1,1103025,0,93417,143832,0,104576,69977,917,25460,8222,33438,1272,29330,2836,339692,14132,0,79331,266743,27864,248537,119935,35463,48991,15668,28480
1959:Q2,1125029,0,92107,147681,0,105163,69458,1523,26068,8114,34026,1118,29939,2969,351283,14973,0,80133,272118,27545,257963,123346,37109,51878,16197,29433
1959:Q3,1133584,0,95119,149934,0,107662,70444,2011,27058,8149,34289,1031,30314,2944,345399,14747,0,80994,277575,27865,266087,127007,38496,53918,16206,30460
1959:Q4,1162834,0,94285,152525,0,110430,71584,2267,28362,8217,33868,-358,30801,3425,364442,15818,0,81956,282854,26656,272125,130099,39173,57213,16312,29328
1960:Q1,1155460,0,92240,154522,0,115607,75466,1630,28972,9539,33485,-721,31342,2864,344090,15312,0,82895,288952,28357,275779,132580,40451,55757,16412,30579
1960:Q2,1172141,0,90326,158156,0,116174,74183,1909,30072,10010,34238,-897,32110,3025,350070,16097,0,83772,295534,27774,284059,135366,41800,58622,16901,31370
1960:Q3,1161413,0,93814,161281,0,115486,73602,1294,30503,10087,35207,-540,32820,2927,325875,15640,0,84539,301375,28196,290065,138582,43066,59590,17190,31637
1960:Q4,1213855,0,95582,164461,0,114846,72194,1033,31007,10612,36825,48,33575,3202,364553,17026,0,85184,307674,27704,295336,141378,43954,61248,17325,31431
1961:Q1,1264893,0,93498,169701,0,113862,72095,359,30769,10639,36412,-607,34425,2594,403160,19440,0,85872,313859,29089,298973,143645,45558,59339,18181,32250
1961:Q2,1277979,0,91883,175096,0,113999,70684,224,31610,11481,38099,83,35253,2763,403029,20003,0,86665,320202,29003,306618,146603,47162,60597,18928,33328
