1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q3,75656781,39830,1500803,9761597,1674005,3675448,990656,401114,1920920,362758,1230404,1057589,137037,35778,16932705,8332137,256212,1610315,25500100,5143225,23175198,10494726,3480937,3749213,796944,4653378
2017:Q4,77837546,38974,1614175,9812227,1752855,3752191,1090149,397194,1929100,335748,1184518,1011238,138130,35150,17942840,8651047,260218,1626562,25931585,5270354,23530438,10579801,3553568,3830752,849436,4716881
2018:Q1,78310628,42100,1715231,10029791,1723187,3883528,1294486,386015,1863229,339798,1174399,1002747,137410,34242,17836394,8694146,261090,1637498,25964880,5348384,23665894,10623530,3597358,3819874,855692,4769441
2018:Q2,79146160,42428,1582903,10095582,1762048,4049730,1380446,430987,1901288,337009,1164707,995267,136107,33333,18117924,8795543,261962,1655465,26200095,5417773,23902865,10711744,3641640,3858156,849302,4842023
2018:Q3,80883740,41778,1404066,10154402,1762460,4298651,1594676,517883,1882549,303543,1169713,1002722,134787,32204,18902875,9125143,262834,1675931,26591412,5494476,24203947,10814137,3685157,3934581,852941,4917130
2018:Q4,76922616,41837,1468241,10289869,1927595,4442351,1631276,551272,1909283,350520,1164338,999429,133634,31275,16279035,7999576,263706,1659093,25812856,5574119,24463758,10880169,3730512,4007042,827778,5018257
2019:Q1,82022148,41113,1552348,10472736,2053036,4394813,1745258,530570,1931876,187109,1155632,991745,133607,30280,19045655,8997789,265612,1688989,26722404,5632020,24562351,10909612,3783734,3994469,819577,5054960
2019:Q2,83698641,39726,1436531,10493422,2016067,4766575,1829156,604550,1940355,392514,1161419,998605,133484,29330,19578154,9394641,267518,1702538,27149356,5692694,24827947,10996851,3829366,4052047,839400,5110282
2019:Q3,84052546,39608,1239187,10706466,2258926,4596996,1709322,553373,1931186,403115,1201268,1039217,133624,28427,19530530,9349523,269424,1718751,27372377,5769491,25106547,11098363,3907291,4124149,836381,5140363
2019:Q4,87687894,40813,1501252,10899971,2380948,4794022,1743002,610177,1933946,506897,1199681,1038577,133832,27272,21051845,9958608,271330,1731284,27994081,5864060,25398068,11169579,3969265,4192191,860285,5206748
2020:Q1,80758266,50171,1673149,11260971,2590877,4559634,1372281,557560,1912448,717345,1357660,1196354,135180,26126,16461290,8137312,273241,1733659,26750974,5909329,25633955,11234344,4028613,4147821,879898,5343279
2020:Q2,88079328,43711,1976613,11850825,2899777,4265636,1152903,388468,1933425,790840,1332098,1170466,136498,25134,20145034,9434480,275152,1776109,28039379,6040513,25887863,11319607,4081377,4097271,906234,5483375
2020:Q3,91600401,47663,2087112,11954260,2891413,4071445,1229949,335583,1940159,565754,1294558,1133277,136998,24283,22243970,10027017,277063,1811913,28695544,6198444,26286244,11487224,4128841,4142683,1006486,5521011
2020:Q4,98864924,48589,3300260,11511206,2795369,4503375,1598519,306587,1946993,651276,1317208,1156581,136497,24130,26106908,11078226,278974,1866971,29799896,6257941,26627551,11635965,4190519,4184927,1124886,5491254
2021:Q1,102736623,49960,3698639,12025842,3005988,3891122,1356558,201147,1906250,427167,1330010,1168880,137275,23855,28555872,11548653,280710,1854246,30199676,6295905,26944234,11767073,4233709,4167218,1226730,5549504
2021:Q2,106240364,48876,4076015,11856598,3053433,3327588,873998,196579,1900154,356857,1344878,1185183,136078,23617,30928606,12154771,282446,1886531,30943294,6337327,27368854,12004501,4277495,4259601,1271975,5555282
2021:Q3,106729064,48282,4216186,12048420,2970974,3469639,1018192,106913,1839869,504665,1395390,1235915,136126,23349,30871514,12135749,284182,1897139,31021611,6369978,27734264,12252694,4333341,4338066,1263299,5546864
2021:Q4,110207706,45953,4590504,12401321,3066071,3230610,857855,92725,1822055,457975,1447085,1288425,135605,23056,32502629,12560533,285918,1929400,31751872,6395811,28274230,12512964,4402491,4434378,1279463,5644934
