date,Mutual funds; undistributed corporate profits; gross saving; net saving,Mutual funds; total financial assets,Mutual funds; money market fund shares; asset,Mutual funds; security repurchase agreements (net); asset,Mutual funds; debt securities; asset (market value),Mutual funds; commercial paper; asset,Mutual funds; Treasury securities; asset (market value),Mutual funds; agency- and GSE-backed securities; asset (market value),Mutual funds; municipal securities; asset (market value),Mutual funds; corporate and foreign bonds; asset (market value),Mutual funds; syndicated loans to nonfinancial corporate business; asset,Mutual funds; corporate equities; asset,Mutual funds; unidentified miscellaneous assets,Mutual funds; mutual fund shares; liability,Mutual funds; sector discrepancy,Variable annuity mutual funds; total financial assets (market value),Mutual funds; total financial assets in domestic equity funds,Mutual funds; total financial assets in world equity funds,Mutual funds; total financial assets in hybrid funds,Mutual funds; total financial assets in taxable bond funds,Mutual funds; total financial assets in municipal bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1999:Q1,-9379,61562,0,1182,24218,1182,-21,15339,5506,2212,389,45683,-9910,61562,-9379,8126,40405,-6357,525,19924,6639
1999:Q2,-9894,74466,0,1458,49730,1458,248,18299,5735,23990,1036,41223,-18981,74466,-9894,10499,60014,3860,932,8092,1401
1999:Q3,-10700,39720,0,-596,5520,-596,-6546,5331,2977,4354,826,36356,-2386,39720,-10700,6058,36129,245,-464,5838,-2240
1999:Q4,-11795,64004,0,2385,4395,2385,-5512,6572,-5370,6320,619,50126,6479,64004,-11795,13940,62737,17844,-3481,-3054,-9992
2000:Q1,-12679,108073,0,957,-10040,957,-2808,-4787,-8913,5511,1248,130682,-14774,108073,-12679,21697,99655,47266,-18226,-12987,-7197
2000:Q2,-13326,72664,0,5230,-5512,5230,1684,1484,-7261,-6649,1244,41249,30453,72664,-13326,15440,70265,11150,-5048,839,-3857
2000:Q3,-13250,60921,0,1962,8918,1962,6146,10611,1437,-11238,971,44513,4557,60921,-13250,11488,55629,7359,-4457,1678,1300
2000:Q4,-12453,53493,0,-937,-27775,-937,2506,3197,-5718,-26823,861,16894,64450,53493,-12453,9427,50833,-3105,531,2634,2726
2001:Q1,-10345,43396,0,-6227,24684,-6227,-1940,23007,7989,1855,-2194,46407,-19274,43396,-10345,331,11217,-4829,2794,28828,6133
2001:Q2,-9038,76105,0,-2253,47682,-2253,997,34535,4700,9703,-2648,47230,-13906,76105,-9038,12626,51675,972,4847,16859,2195
2001:Q3,-7933,9224,0,-632,-24174,-632,-14278,-3004,2966,-9226,-1424,13929,21525,9224,-7933,-3686,-23098,-11847,2634,34633,7157
2001:Q4,-7013,62770,0,-1559,46494,-1559,7511,29658,8058,2826,-1039,25402,-6528,62770,-7013,10847,32364,-3931,6229,24136,4213
2002:Q1,-5925,102672,0,3787,57358,3787,2336,14604,4823,31808,105,46001,-4579,102672,-5925,11312,53226,3989,9209,31512,5477
2002:Q2,-5295,49379,0,-4410,7711,-4410,-1965,3406,6018,4662,127,34779,11172,49379,-5295,2559,-10,2719,6412,34345,6221
2002:Q3,-4843,-2886,0,-1610,15283,-1610,8104,32533,2781,-26525,87,-45483,28837,-2886,-4843,-12284,-61431,-8011,-2847,57773,12076
2002:Q4,-4466,33830,0,2232,26677,2232,3169,9570,1541,10165,193,2759,1969,33830,-4466,4624,-772,-46,3979,29906,971
2003:Q1,-4073,47850,0,-2,49206,-2,8686,25128,7304,8090,-250,4721,-5825,47850,-4073,1467,-8582,-682,4488,48882,4031
2003:Q2,-4242,95935,0,1314,65011,1314,4806,19039,6734,33118,-243,41591,-11738,95935,-4242,13998,43540,4031,13331,31755,3378
2003:Q3,-4525,56454,0,5,12537,5,-1022,2742,-959,11771,-235,68825,-24678,56454,-4525,14839,55174,8082,14436,-16858,-4317
2003:Q4,-5001,82513,0,3901,32024,3901,3888,-6143,-3507,33885,-382,53507,-6537,82513,-5001,19314,46979,17578,15543,4278,-1795
2004:Q1,-5328,123223,0,17111,-38091,17111,-18181,-76597,2190,37386,1485,85778,56940,123223,-5328,15321,59528,26680,21692,12814,2577
2004:Q2,-6084,27280,0,-17757,83436,-17757,32080,103314,-6938,-27263,2848,38926,-80173,27280,-6084,9573,24279,12584,13828,-13416,-9999
2004:Q3,-6922,48734,0,903,8258,903,3421,5135,-4372,3171,2485,32827,4261,48734,-6922,5762,12454,10504,12359,13266,177
2004:Q4,-7666,88906,0,5608,23927,5608,3360,-5602,-2039,22600,2802,35349,21220,88906,-7666,14490,28894,28400,15840,16101,-297
2005:Q1,-9126,82112,0,4201,14688,4201,5714,-3037,4094,3716,2248,58118,2857,82112,-9126,7739,14734,34290,19513,10275,2993
2005:Q2,-9462,61882,0,-1069,33009,-1069,-2115,11017,6303,18873,2705,43219,-15982,61882,-9462,10616,10421,18406,15696,14215,3127
2005:Q3,-9863,64030,0,-635,43906,-635,12073,27140,2598,2730,2178,27974,-9393,64030,-9863,3971,3335,22012,11628,21021,6122
2005:Q4,-9967,78016,0,-1754,25439,-1754,7639,21638,-169,-1915,3414,27528,23389,78016,-9967,5524,16741,42337,10494,8139,395
2006:Q1,-11061,134480,0,8479,51692,8479,1536,-12818,6706,47789,1832,75418,-2941,134480,-11061,10455,32642,62902,6701,23959,8165
2006:Q2,-11390,41228,0,418,32284,418,-4588,12327,5576,18551,2456,31174,-25104,41228,-11390,6621,-4861,29899,5050,8613,2426
2006:Q3,-11970,48022,0,1922,33791,1922,1537,7445,5408,17479,1858,10278,173,48022,-11970,5936,-8783,23423,8733,19281,5297
2006:Q4,-12760,122423,0,-3089,99020,-3089,5844,42732,10557,42976,3655,41491,-18654,122423,-12760,15919,15051,51174,16363,32018,7773
2007:Q1,-13591,141202,0,-618,53272,-618,6747,16167,10065,20911,10827,92572,-14851,141202,-13591,4981,18547,46388,17690,47153,11128
2007:Q2,-14393,99152,0,-1993,82540,-1993,1770,49202,8572,24989,11512,44489,-37396,99152,-14393,13244,-12562,38513,16514,48364,7859
2007:Q3,-14962,40170,0,1711,34513,1711,-7358,-1203,-919,42282,7109,3285,-6448,40170,-14962,6095,-22820,30042,10583,19707,2785
2007:Q4,-15312,95574,0,1531,69505,1531,4509,41641,22322,-498,6620,-31031,48949,95574,-15312,17821,-7028,51708,17666,34878,-1349
2008:Q1,-14050,27963,0,-106,-1665,-106,-336,-9178,7227,728,3179,8302,18253,27963,-14050,-4376,-38082,-2450,8267,51544,8683
2008:Q2,-13809,100984,0,5997,69637,5997,-11479,-46,10928,64237,2597,41210,-18457,100984,-13809,13042,13377,19182,13077,41633,13715
2008:Q3,-13049,-55812,0,-5382,-6209,-5382,18560,-3204,7093,-23276,6191,-52341,1929,-55812,-13049,-11039,-41748,-32498,-6115,17620,6928
2008:Q4,-11806,-131236,0,-11266,-206457,-11266,-4215,-79765,-22748,-88463,436,-44817,130868,-131236,-11806,-3376,-41942,-28847,-17820,-31364,-11261
2009:Q1,-12180,29416,0,-10903,91000,-10903,36566,39264,14234,11839,585,-16471,-34795,29416,-12180,-234,-16867,-14347,-5659,52037,14253
2009:Q2,-10720,169504,0,5105,130587,5105,30639,16929,23926,53988,449,65158,-31795,169504,-10720,19725,35218,15054,14645,84656,19930
2009:Q3,-9446,171509,0,7580,157266,7580,30249,29604,26248,63585,353,44775,-38465,171509,-9446,12600,1379,15785,12920,112157,29269
2009:Q4,-8328,162895,0,6333,137600,6333,10964,-8939,20204,109038,-78,12608,6432,162895,-8328,14292,-12079,30961,17099,109056,17856
2010:Q1,-5286,151062,0,-1189,153818,-1189,50585,20042,21482,62898,-1714,49539,-49392,151062,-5286,5485,5297,23199,17027,88968,16571
2010:Q2,-5814,78915,0,-10846,103320,-10846,47628,68852,11383,-13697,654,13355,-27568,78915,-5814,7025,-14486,7074,9403,68292,8632
2010:Q3,-6474,81246,0,4400,109041,4400,13662,-16681,9458,98202,1539,-10154,-23580,81246,-6474,3083,-31823,3190,8169,87202,14509
2010:Q4,-7296,83949,6903,-10455,76214,1442,17928,2507,-9372,63709,-1311,15740,-3142,83949,-7296,9157,-4511,43457,21524,39305,-15825
2011:Q1,-8532,100409,14424,4465,-34528,7216,-14186,-97458,-15179,85079,12176,66359,37513,100409,-8532,-918,16520,20219,28893,51054,-16277
2011:Q2,-9170,76351,4506,-16539,-12231,-19692,-4522,227,-5887,17643,12993,22093,65529,76351,-9170,-1206,-18065,7739,17542,68875,260
2011:Q3,-9232,-27624,-11565,-29048,-159968,-10337,-18853,28060,1208,-160046,-4467,-40012,217436,-27624,-9232,-5020,-62158,-2933,5448,28182,3838
2011:Q4,-8782,50823,17450,8336,243700,1875,68638,140093,12394,20700,-1790,-42336,-174537,50823,-8782,5179,-31705,2630,13355,53484,13060
2012:Q1,-9871,134060,21005,14783,191023,26,66102,39838,20058,64999,719,-153,-93317,134060,-9871,-570,-12039,8144,29764,88490,19701
2012:Q2,-9512,82552,-3528,1977,66448,-6200,2151,40869,18418,11210,5025,-3223,15853,82552,-9512,1266,-31477,20859,10267,68071,14832
2012:Q3,-10368,87046,13443,3145,120917,2313,72888,-40374,17623,68467,1400,-20683,-31176,87046,-10368,-4852,-35553,-5217,21136,88405,18277
2012:Q4,-11938,82716,-13112,-8789,102004,-2479,-43775,66276,14651,67331,5069,-22431,19975,82716,-11938,-2380,-31306,9867,7708,86030,10418
2013:Q1,-14028,193194,27583,11026,113293,-2146,26842,1508,13543,73546,19802,45444,-23954,193194,-14028,-7373,24756,48203,33385,74104,12746
2013:Q2,-12708,44535,9270,-3205,-18337,8467,-28848,16751,-13474,-1233,17912,65016,-26121,44535,-12708,-8749,445,31642,24892,3424,-15868
2013:Q3,-16876,29085,35526,465,-56950,11878,-37192,-55244,-25664,49272,26760,43378,-20094,29085,-16876,-11602,13060,29426,23053,-11020,-25434
2013:Q4,-14348,79705,12624,-2236,4205,-11515,-15070,-4352,-13890,49032,14012,42731,8369,79705,-14348,-5157,29761,59776,15534,-8738,-16628
2014:Q1,-19868,125052,-23365,1575,-23377,5533,102657,-151098,-1697,21228,10438,68428,91353,125052,-19868,-15312,25947,36950,18339,36988,6828
2014:Q2,-18901,91686,3665,-1224,71051,14920,8489,-15751,8207,55186,-5392,35128,-11542,91686,-18901,-9557,-8303,27328,19274,43133,10255
2014:Q3,-18911,33558,-4974,-3678,8939,-13395,69535,-60598,-2444,15841,-12371,19186,26456,33558,-18911,-14515,-23433,26237,14324,5551,10879
2014:Q4,-19376,60663,14562,-5611,57574,-2687,12627,27097,10999,9538,-17490,-28600,40228,60663,-19376,-7525,5120,28814,6244,7695,12789
2015:Q1,-13680,105427,-4844,-741,68551,-7362,19871,14928,10732,30382,-4196,50642,-3985,105427,-13680,-13097,9384,29051,14942,40006,12045
2015:Q2,-17550,60457,-14500,-3044,99111,-4496,31641,-25761,2726,95001,-1386,57660,-77384,60457,-17550,-10880,-41229,50383,8989,40972,1341
2015:Q3,-22733,-48194,-22636,-9912,-40177,267,55514,-51996,-2650,-41312,-11214,9407,26338,-48194,-22733,-16645,-47523,35960,-5751,-31610,729
2015:Q4,-30160,-18964,-9842,3664,10434,-2647,48296,-35420,5417,-5212,-12555,-59806,49141,-18964,-30160,-3888,-22298,11209,-7896,-14056,14078
2016:Q1,1712,38274,6395,2354,14503,14421,1029,7863,19956,-28766,-5552,-2701,23275,38274,1712,-17096,-17789,23443,-3376,18300,17696
2016:Q2,-16703,22497,-9035,2814,84322,-6699,54056,-10131,23630,23466,1068,-17566,-39106,22497,-16703,-15119,-39128,-2455,2264,39131,22686
2016:Q3,-23661,9642,9852,-15384,125783,-1075,37733,6660,20703,61762,5759,-47474,-68894,9642,-23661,-15133,-58944,-17540,909,65204,20013
2016:Q4,-27458,-41996,20843,5544,31472,2584,363,8527,-22925,42923,12640,-43942,-68553,-41996,-27458,-13092,-46380,8036,-13125,32875,-23403
2017:Q1,-13761,90989,33038,-898,92659,7740,20206,-7699,11416,60996,14375,-30797,-17388,90989,-13761,-26464,-16266,11273,957,84419,10606
2017:Q2,-15306,87668,-8454,484,102633,-2011,49832,34473,11014,9325,7141,-2094,-12042,87668,-15306,-20083,-33340,35391,1042,72785,11791
2017:Q3,-17964,55279,31602,614,141143,51061,62687,-16743,10185,33953,-478,-31162,-86440,55279,-17964,-21789,-57560,25400,-1516,76546,12409
2017:Q4,-21067,83816,-26315,-12108,88472,-5831,54633,-7052,7387,39335,-3113,-69578,106458,83816,-21067,-25099,-51074,45628,2037,81365,5858
2018:Q1,-18834,80014,11626,-13338,155901,-7137,20383,23790,16215,102650,5593,2086,-81854,80014,-18834,-30376,-44493,42819,66,67401,14222
2018:Q2,-19128,29963,-4911,14636,97923,10723,22207,19736,7074,38183,14007,-22579,-69113,29963,-19128,-21880,-37383,22911,-7035,47523,3946
2018:Q3,-13524,4840,42344,-9548,52265,-31454,28691,4762,10225,40041,6721,-35830,-51112,4840,-13524,-25636,-51106,-1285,-11559,60060,8729
2018:Q4,-3382,-178584,-62087,8607,-149596,-32315,-1548,-42666,-11438,-61629,-25575,-64528,114595,-178584,-3382,-26628,-28718,-23925,-40117,-78550,-7276
