1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q1,1232975,980881,217972,34122,0,23739,10383,1232975,349443,345819,206190,162456,155948,13119,80,3718,3520,84,13,101,496,371,29,4,0,0,1030,400,294,6696,0,150201,106900
1956:Q2,1257640,999947,222334,35359,0,24814,10545,1257640,357767,349632,208581,166558,161766,13336,83,3757,3554,86,13,104,515,385,30,4,0,0,1046,409,298,6808,0,151976,110100
1956:Q3,1286768,1021777,228306,36685,0,25936,10749,1286768,362358,361355,210969,171035,167157,13894,88,3891,3676,90,15,110,544,409,32,4,0,0,1086,429,306,7106,0,155496,110700
1956:Q4,1301570,1030719,232882,37969,0,27073,10896,1301570,364380,368405,211431,173094,170002,14258,92,3968,3747,92,15,114,569,428,34,5,0,0,1113,443,310,7299,0,159090,112200
1957:Q1,1321531,1042716,239397,39418,0,28186,11232,1321531,367688,377352,213023,176317,172591,14560,97,4049,3821,95,15,118,589,443,35,5,0,0,1134,454,314,7442,0,162126,113400
1957:Q2,1342304,1060659,240883,40762,0,29314,11448,1342304,372695,384493,214504,178278,177518,14816,102,4116,3881,98,15,122,604,455,34,4,1,0,1148,461,314,7576,0,165861,114600
1957:Q3,1360665,1073631,244905,42129,0,30455,11674,1360665,378775,390965,216490,180384,179027,15024,107,4171,3931,99,15,126,620,467,35,4,1,0,1161,468,316,7674,0,167082,116200
1957:Q4,1369511,1076397,249720,43394,0,31597,11797,1369511,380726,395944,217068,182371,178248,15154,111,4205,3959,101,16,129,636,479,36,5,1,0,1170,473,317,7725,0,168481,116200
1958:Q1,1363578,1068850,249842,44886,0,32709,12177,1363578,381949,392351,215862,181513,176905,14998,111,4170,3926,100,15,129,635,479,35,4,3,0,1162,469,313,7618,0,172242,118400
1958:Q2,1382573,1084518,251949,46106,0,33811,12295,1382573,385965,397307,217313,184692,182069,15227,113,4240,3990,102,16,132,644,487,35,4,4,0,1179,476,313,7729,0,171947,117600
1958:Q3,1399523,1098181,254078,47264,0,34937,12327,1399523,389671,400796,218366,188342,186946,15402,115,4293,4039,103,16,135,652,494,36,4,4,0,1192,482,313,7817,0,172354,119000
