1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2018:Q2,3068,0,3068,33,3136,-101,3068,3118,0,33,3135,-51,0,0,0,-50,0,1,-51
2018:Q3,-177,0,-177,43,-288,68,-177,-214,0,43,-291,34,0,0,0,37,0,3,34
2018:Q4,2105,0,2105,47,2049,9,2105,2101,0,47,2049,5,0,0,0,5,0,0,5
2019:Q1,209,0,209,57,114,38,209,190,0,57,114,19,0,0,0,19,0,0,19
2019:Q2,2359,0,2359,60,2248,51,2359,2334,0,60,2248,26,0,0,0,26,0,0,26
2019:Q3,1881,0,1881,63,1754,64,1881,1848,0,63,1753,32,0,0,0,33,0,1,32
2019:Q4,210,0,210,57,155,-2,210,211,0,57,155,-1,0,0,0,-1,0,0,-1
2020:Q1,-245,0,-245,49,-327,33,-245,-260,0,49,-325,17,0,0,0,15,0,-2,17
2020:Q2,4960,0,4960,20,4902,38,4960,4941,0,20,4902,19,0,0,0,19,0,0,19
2020:Q3,1819,0,1819,5,1785,29,1819,1807,0,5,1787,15,0,0,0,13,0,-2,15
2020:Q4,2438,0,2438,7,2454,-23,2438,2447,0,7,2451,-12,0,0,0,-9,0,3,-12
2021:Q1,-2099,0,-2099,8,-2157,50,-2099,-2123,0,8,-2156,25,0,0,0,24,0,-1,25
2021:Q2,477,0,477,4,437,36,477,458,0,4,436,18,0,0,0,19,0,1,18
2021:Q3,225436,112834,112602,112838,11,-247,225436,112734,0,112838,19,-124,112834,0,112834,-132,0,-8,-124
2021:Q4,91,0,91,5,281,-195,91,190,0,5,282,-98,0,0,0,-99,0,-1,-98
