date,Property-casualty insurance companies; total financial assets,Property-casualty insurance companies; checkable deposits and currency, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; money market fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; security repurchase agreements, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; debt securities; asset,Property-casualty insurance companies; commercial paper, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; Treasury securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; agency- and GSE-backed securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; municipal securities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate and foreign bonds, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; corporate equities, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; mutual fund shares, including those held by U.S. residual market reinsurers; asset,Property-casualty insurance companies; trade receivables, including receivables for claims from reinsurers; asset,Property-casualty insurance companies; U.S. direct investment abroad (market value); asset,Property-casualty insurance companies; total miscellaneous assets,Property-casualty insurance companies; equity in FHLB; asset,Property-casualty insurance companies; policy payables due from reinsurers; asset,Property-casualty insurance companies; unidentified miscellaneous assets,Property-casualty insurance companies; total liabilities,Property-casualty insurance companies; security repurchase agreements; liability,Property-casualty insurance companies; FHLB advances; liability,Property-casualty insurance companies; trade payables to reinsurers; liability,Property-casualty insurance companies; total taxes payable; liability,Property-casualty insurance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Property-casualty insurance companies; total miscellaneous liabilities,Property-casualty insurance companies; net transactions due to holding companies; liability,Property-casualty insurance companies; policy payables, including from reinsurers; liability,Property-casualty insurance companies; unidentified miscellaneous liabilities,Property-casualty insurance companies; foreign direct investment in U.S.: equity; liability (market value),Property-casualty insurance companies; securities lending; liability,Property-casualty insurance companies; total assets of financial guaranty insurers,Property-casualty insurance companies; total assets of mortgage guaranty insurers,Property-casualty insurance companies; direct reserve for policy payables; liability,Property-casualty insurance companies; policy payables reinsured to U.S. reinsurers; liability,Rest of the world; policy payables of non-U.S. reinsurers; liability,Rest of the world; assumed policy payables by U.S. reinsurers from non-U.S. insurers; liability
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,9355,1074,0,0,5670,0,4413,0,544,713,76,1809,0,652,74,0,0,0,0,6299,0,0,0,117,66,6116,0,5860,256,256,0,ND,ND,5860,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,10588,1137,0,0,6333,0,4826,0,828,679,93,2224,0,723,78,0,0,0,0,7053,0,0,0,217,67,6769,0,6511,258,258,0,ND,ND,6511,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,11830,1202,0,0,7115,0,5253,0,1144,718,104,2587,0,740,82,0,0,0,0,7520,0,0,0,162,68,7290,0,7030,260,260,0,ND,ND,7030,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,12890,1238,0,0,7687,0,5417,0,1448,822,118,2911,0,850,86,0,0,0,0,8372,0,0,0,128,69,8175,0,7912,263,263,0,ND,ND,7912,0,0,0
1952:Q1,13203,1251,0,0,7929,0,5445,0,1582,902,120,2941,0,876,86,0,0,0,0,8680,0,0,0,192,69,8419,0,8156,263,263,0,ND,ND,8156,0,0,0
1952:Q2,13483,1270,0,0,8063,0,5348,0,1728,987,121,3040,0,901,88,0,0,0,0,8926,0,0,0,176,69,8681,0,8417,264,264,0,ND,ND,8417,0,0,0
1952:Q3,13765,1293,0,0,8358,0,5693,0,1739,926,122,2977,0,925,90,0,0,0,0,9200,0,0,0,189,69,8942,0,8677,265,265,0,ND,ND,8677,0,0,0
1952:Q4,14336,1320,0,0,8610,0,5774,0,1869,967,123,3245,0,948,90,0,0,0,0,9485,0,0,0,218,72,9195,0,8916,279,279,0,ND,ND,8916,0,0,0
1953:Q1,14598,1343,0,0,8906,0,5877,0,2023,1006,125,3165,0,967,92,0,0,0,0,9681,0,0,0,189,73,9419,0,9140,279,279,0,ND,ND,9140,0,0,0
1953:Q2,14828,1361,0,0,9127,0,5884,0,2202,1041,129,3134,0,983,94,0,0,0,0,9903,0,0,0,195,73,9635,0,9355,280,280,0,ND,ND,9355,0,0,0
1953:Q3,15160,1372,0,0,9429,0,5957,0,2402,1070,134,3133,0,996,96,0,0,0,0,10159,0,0,0,248,73,9838,0,9557,281,281,0,ND,ND,9557,0,0,0
1953:Q4,15694,1375,0,0,9734,0,6025,0,2617,1092,139,3344,0,1006,96,0,0,0,0,10462,0,0,0,355,76,10031,0,9741,290,290,0,ND,ND,9741,0,0,0
1954:Q1,16191,1371,0,0,9925,0,5986,0,2829,1110,143,3637,0,1017,98,0,0,0,0,10591,0,0,0,323,76,10192,0,9901,291,291,0,ND,ND,9901,0,0,0
1954:Q2,16681,1360,0,0,10149,0,5993,0,3032,1124,145,3897,0,1030,100,0,0,0,0,10639,0,0,0,239,76,10324,0,10032,292,292,0,ND,ND,10032,0,0,0
1954:Q3,17267,1344,0,0,10415,0,6057,0,3222,1136,145,4216,0,1045,102,0,0,0,0,10795,0,0,0,266,76,10453,0,10160,293,293,0,ND,ND,10160,0,0,0
1954:Q4,17867,1323,0,0,10685,0,6137,0,3402,1146,143,4539,0,1064,113,0,0,0,0,10967,0,0,0,246,85,10636,0,10310,326,326,0,ND,ND,10310,0,0,0
1955:Q1,18032,1316,0,0,10764,0,6022,0,3587,1155,144,4609,0,1084,115,0,0,0,0,11111,0,0,0,220,85,10806,0,10479,327,327,0,ND,ND,10479,0,0,0
1955:Q2,18627,1319,0,0,10909,0,5964,0,3781,1164,146,5030,0,1106,117,0,0,0,0,11234,0,0,0,159,85,10990,0,10661,329,329,0,ND,ND,10661,0,0,0
1955:Q3,19206,1331,0,0,11202,0,6045,0,3984,1173,149,5275,0,1130,119,0,0,0,0,11447,0,0,0,182,86,11179,0,10849,330,330,0,ND,ND,10849,0,0,0
1955:Q4,19564,1348,0,0,11377,0,6000,0,4194,1183,152,5408,0,1156,123,0,0,0,0,11649,0,0,0,165,93,11391,0,11034,357,357,0,ND,ND,11034,0,0,0
1956:Q1,20006,1354,0,0,11419,0,5834,0,4395,1190,156,5767,0,1185,125,0,0,0,0,11834,0,0,0,167,93,11574,0,11215,359,359,0,ND,ND,11215,0,0,0
1956:Q2,19887,1345,0,0,11461,0,5683,0,4583,1195,159,5577,0,1217,128,0,0,0,0,11951,0,0,0,108,93,11750,0,11390,360,360,0,ND,ND,11390,0,0,0
1956:Q3,19946,1320,0,0,11612,0,5655,0,4756,1201,161,5470,0,1252,131,0,0,0,0,12088,0,0,0,60,94,11934,0,11574,360,360,0,ND,ND,11574,0,0,0
1956:Q4,20246,1280,0,0,11782,0,5657,0,4915,1210,161,5599,0,1291,133,0,0,0,0,12261,0,0,0,18,95,12148,0,11783,365,365,0,ND,ND,11783,0,0,0
1957:Q1,20086,1253,0,0,11835,0,5530,0,5072,1233,161,5372,0,1330,135,0,0,0,0,12505,0,0,0,25,95,12385,0,12019,366,366,0,ND,ND,12019,0,0,0
1957:Q2,20717,1242,0,0,11927,0,5423,0,5232,1272,161,5879,0,1370,138,0,0,0,0,12805,0,0,0,58,95,12652,0,12285,367,367,0,ND,ND,12285,0,0,0
1957:Q3,20577,1249,0,0,12160,0,5437,0,5397,1326,161,5456,0,1410,141,0,0,0,0,13099,0,0,0,82,96,12921,0,12554,367,367,0,ND,ND,12554,0,0,0
1957:Q4,20625,1272,0,0,12438,0,5480,0,5568,1390,161,5159,0,1451,144,0,0,0,0,13350,0,0,0,101,93,13156,0,12800,356,356,0,ND,ND,12800,0,0,0
1958:Q1,20870,1298,0,0,12432,0,5248,0,5737,1447,161,5342,0,1490,147,0,0,0,0,13487,0,0,0,15,93,13379,0,13022,357,357,0,ND,ND,13022,0,0,0
1958:Q2,21416,1321,0,0,12555,0,5160,0,5904,1491,161,5703,0,1527,149,0,0,0,0,13743,0,0,0,73,93,13577,0,13220,357,357,0,ND,ND,13220,0,0,0
1958:Q3,22255,1337,0,0,12858,0,5265,0,6073,1520,161,6184,0,1563,152,0,0,0,0,13977,0,0,0,105,93,13779,0,13422,357,357,0,ND,ND,13422,0,0,0
1958:Q4,23201,1345,0,0,13222,0,5439,0,6249,1534,160,6721,0,1599,154,0,0,0,0,14320,0,0,0,166,103,14051,0,13656,395,395,0,ND,ND,13656,0,0,0
1959:Q1,23425,1348,0,0,13358,0,5360,0,6453,1545,160,6763,0,1639,157,0,0,0,0,14525,0,0,0,104,103,14318,0,13923,395,395,0,ND,ND,13923,0,0,0
1959:Q2,24044,1348,0,0,13603,0,5356,0,6690,1557,158,7092,0,1683,160,0,0,0,0,14821,0,0,0,98,103,14620,0,14224,396,396,0,ND,ND,14224,0,0,0
1959:Q3,24288,1345,0,0,14004,0,5476,0,6955,1573,155,6890,0,1731,163,0,0,0,0,15154,0,0,0,127,103,14924,0,14527,397,397,0,ND,ND,14527,0,0,0
1959:Q4,25095,1337,0,0,14460,0,5626,0,7239,1595,146,7204,0,1782,166,0,0,0,0,15465,0,0,0,145,107,15213,0,14800,413,413,0,ND,ND,14800,0,0,0
1960:Q1,25050,1334,0,0,14764,0,5532,114,7500,1618,145,6808,0,1830,169,0,0,0,0,15688,0,0,0,118,108,15462,0,15049,413,413,0,ND,ND,15049,0,0,0
1960:Q2,25635,1333,0,0,14995,0,5437,190,7727,1641,145,7119,0,1872,171,0,0,0,0,15914,0,0,0,111,108,15695,0,15280,415,415,0,ND,ND,15280,0,0,0
1960:Q3,25479,1333,0,0,15184,0,5439,163,7919,1663,147,6734,0,1907,174,0,0,0,0,16150,0,0,0,124,108,15918,0,15501,417,417,0,ND,ND,15501,0,0,0
1960:Q4,26401,1332,0,0,15352,0,5446,140,8084,1682,149,7456,0,1934,178,0,0,0,0,16403,0,0,0,139,112,16152,0,15721,431,431,0,ND,ND,15721,0,0,0
1961:Q1,27559,1337,0,0,15550,0,5239,340,8274,1697,153,8384,0,1954,181,0,0,0,0,16614,0,0,0,133,112,16369,0,15936,433,433,0,ND,ND,15936,0,0,0
1961:Q2,27798,1344,0,0,15777,0,5118,452,8501,1706,156,8368,0,1969,184,0,0,0,0,16797,0,0,0,105,113,16579,0,16146,433,433,0,ND,ND,16146,0,0,0
1961:Q3,28313,1354,0,0,16046,0,5206,364,8766,1710,157,8588,0,1981,187,0,0,0,0,17005,0,0,0,109,113,16783,0,16349,434,434,0,ND,ND,16349,0,0,0
1961:Q4,29373,1365,0,0,16361,0,5358,234,9057,1712,155,9309,0,1993,190,0,0,0,0,17259,0,0,0,106,125,17028,0,16545,483,483,0,ND,ND,16545,0,0,0
1962:Q1,29672,1388,0,0,16704,0,5275,368,9281,1780,154,9197,0,2035,194,0,0,0,0,17464,0,0,0,130,126,17208,0,16725,483,483,0,ND,ND,16725,0,0,0
1962:Q2,28120,1422,0,0,17113,0,5214,511,9498,1890,150,7145,0,2093,197,0,0,0,0,17606,0,0,0,114,126,17366,0,16882,484,484,0,ND,ND,16882,0,0,0
1962:Q3,29139,1454,0,0,17514,0,5276,534,9706,1998,144,7673,0,2153,201,0,0,0,0,17780,0,0,0,122,126,17532,0,17047,485,485,0,ND,ND,17047,0,0,0
1962:Q4,30467,1471,0,0,17837,0,5439,433,9905,2060,134,8620,0,2201,204,0,0,0,0,17946,0,0,0,114,120,17712,0,17249,463,463,0,ND,ND,17249,0,0,0
1963:Q1,31230,1473,0,0,18087,0,5329,586,10098,2074,131,9092,0,2239,208,0,0,0,0,18179,0,0,0,92,121,17966,0,17503,463,463,0,ND,ND,17503,0,0,0
1963:Q2,31763,1462,0,0,18275,0,5336,609,10289,2041,128,9417,0,2270,211,0,0,0,0,18467,0,0,0,63,120,18284,0,17820,464,464,0,ND,ND,17820,0,0,0
1963:Q3,32193,1446,0,0,18442,0,5457,512,10465,2008,126,9665,0,2299,215,0,0,0,0,18797,0,0,0,93,121,18583,0,18120,463,463,0,ND,ND,18120,0,0,0
1963:Q4,32688,1432,0,0,18625,0,5597,397,10612,2019,121,9959,0,2332,219,0,0,0,0,19029,0,0,0,92,127,18810,0,18323,487,487,0,ND,ND,18323,0,0,0
1964:Q1,33451,1424,0,0,18817,0,5472,548,10728,2069,120,10499,0,2368,223,0,0,0,0,19309,0,0,0,77,127,19105,0,18618,487,487,0,ND,ND,18618,0,0,0
1964:Q2,34041,1418,0,0,19004,0,5328,719,10811,2146,120,10866,0,2406,227,0,0,0,0,19593,0,0,0,61,127,19405,0,18917,488,488,0,ND,ND,18917,0,0,0
1964:Q3,34631,1411,0,0,19197,0,5498,571,10884,2244,120,11227,0,2445,231,0,0,0,0,19903,0,0,0,49,127,19727,0,19238,489,489,0,ND,ND,19238,0,0,0
1964:Q4,34998,1396,0,0,19412,0,5629,454,10970,2359,120,11351,0,2484,235,0,0,0,0,20290,0,0,0,37,135,20118,0,19599,519,519,0,ND,ND,19599,0,0,0
1965:Q1,35331,1380,0,0,19630,0,5572,512,11049,2497,124,11435,0,2523,239,0,0,0,0,20683,0,0,0,67,135,20481,0,19961,520,520,0,ND,ND,19961,0,0,0
1965:Q2,35015,1358,0,0,19836,0,5377,692,11101,2666,130,10887,0,2561,243,0,0,0,0,21059,0,0,0,64,135,20860,0,20341,519,519,0,ND,ND,20341,0,0,0
1965:Q3,36107,1337,0,0,20082,0,5420,637,11182,2843,137,11702,0,2602,247,0,0,0,0,21471,0,0,0,82,135,21254,0,20736,518,518,0,ND,ND,20736,0,0,0
1965:Q4,36783,1321,0,0,20419,0,5464,602,11349,3004,142,12000,0,2649,252,0,0,0,0,21889,0,0,0,93,134,21662,0,21145,517,517,0,ND,ND,21145,0,0,0
1966:Q1,36879,1318,0,0,20691,0,5252,863,11426,3150,140,11770,0,2704,256,0,0,0,0,22320,0,0,0,101,134,22085,0,21569,516,516,0,ND,ND,21569,0,0,0
1966:Q2,36964,1324,0,0,21087,0,5093,1123,11588,3283,140,11386,0,2766,261,0,0,0,0,22745,0,0,0,84,135,22526,0,22009,517,517,0,ND,ND,22009,0,0,0
1966:Q3,36450,1331,0,0,21496,0,5080,1212,11785,3419,140,10386,0,2832,265,0,0,0,0,23209,0,0,0,92,135,22982,0,22463,519,519,0,ND,ND,22463,0,0,0
1966:Q4,37522,1329,0,0,21882,0,4991,1276,12040,3575,143,11000,0,2898,270,0,0,0,0,23647,0,0,0,95,128,23424,0,22930,494,494,0,ND,ND,22930,0,0,0
1967:Q1,39428,1321,0,0,22251,0,4623,1512,12368,3748,171,12432,0,2964,289,0,0,0,0,24225,0,0,0,174,129,23922,0,23427,495,495,0,ND,ND,23427,0,0,0
1967:Q2,39883,1305,0,0,22576,0,4335,1552,12785,3904,176,12486,0,3031,309,0,0,0,0,24671,0,0,0,101,129,24441,0,23945,496,496,0,ND,ND,23945,0,0,0
1967:Q3,40953,1291,0,0,22913,0,4325,1304,13205,4079,181,13138,0,3100,330,0,0,0,0,25208,0,0,0,100,129,24979,0,24482,497,497,0,ND,ND,24482,0,0,0
1967:Q4,41297,1285,0,0,23298,0,4286,1177,13542,4293,185,13000,0,3176,353,0,0,0,0,25761,0,0,0,97,136,25528,0,25006,522,522,0,ND,ND,25006,0,0,0
1968:Q1,40913,1297,0,0,23744,0,4170,1215,13804,4555,188,12059,0,3247,378,0,0,0,0,26364,0,0,0,127,136,26101,0,25578,523,523,0,ND,ND,25578,0,0,0
1968:Q2,43256,1324,0,0,24248,0,4007,1371,13998,4872,190,13773,0,3317,404,0,0,0,0,26910,0,0,0,91,136,26683,0,26159,524,524,0,ND,ND,26159,0,0,0
1968:Q3,44387,1351,0,0,24758,0,3995,1391,14180,5192,192,14263,0,3391,432,0,0,0,0,27556,0,0,0,115,136,27305,0,26780,525,525,0,ND,ND,26780,0,0,0
1968:Q4,45313,1362,0,0,25220,0,3933,1420,14403,5464,193,14600,0,3476,462,0,0,0,0,28239,0,0,0,75,143,28021,0,27472,549,549,0,ND,ND,27472,0,0,0
1969:Q1,45388,1361,0,0,25637,0,3781,1511,14651,5694,195,14129,0,3572,494,0,0,0,0,29114,0,0,0,107,143,28864,0,28314,550,550,0,ND,ND,28314,0,0,0
1969:Q2,45505,1347,0,0,25928,0,3939,1267,14908,5814,196,13826,0,3680,528,0,0,0,0,29943,0,0,0,101,143,29699,0,29147,552,552,0,ND,ND,29147,0,0,0
1969:Q3,45510,1331,0,0,26381,0,3479,1643,15185,6074,197,13244,0,3792,565,0,0,0,0,30681,0,0,0,144,144,30393,0,29840,553,553,0,ND,ND,29840,0,0,0
1969:Q4,46155,1321,0,0,26832,0,3448,1615,15496,6273,200,13300,0,3898,604,0,0,0,0,31600,0,0,0,126,136,31338,0,30817,521,521,0,ND,ND,30817,0,0,0
1970:Q1,46771,1338,0,0,27604,0,3350,1684,15813,6757,208,12964,0,4011,646,0,0,0,0,32495,0,0,0,172,136,32187,0,31664,523,523,0,ND,ND,31664,0,0,0
1970:Q2,45097,1372,0,0,28366,0,3242,1783,16110,7231,220,10321,0,4127,691,0,0,0,0,33301,0,0,0,125,136,33040,0,32515,525,525,0,ND,ND,32515,0,0,0
1970:Q3,48069,1408,0,0,29409,0,3388,1638,16481,7902,233,12034,0,4246,739,0,0,0,0,34191,0,0,0,157,137,33897,0,33371,526,526,0,ND,ND,33371,0,0,0
1970:Q4,50662,1432,0,0,30625,0,3398,1628,17021,8578,245,13200,0,4370,790,0,0,0,0,35105,0,0,0,193,140,34772,0,34235,537,537,0,ND,ND,34235,0,0,0
1971:Q1,53411,1455,0,0,31576,0,3328,1704,17721,8823,245,14847,0,4443,845,0,0,0,0,36002,0,0,0,227,140,35635,0,35096,539,539,0,ND,ND,35096,0,0,0
1971:Q2,54590,1476,0,0,32529,0,3220,1824,18575,8910,240,14970,0,4471,904,0,0,0,0,36873,0,0,0,260,141,36472,0,35932,540,540,0,ND,ND,35932,0,0,0
1971:Q3,56300,1494,0,0,33481,0,3180,1881,19517,8903,233,15605,0,4521,966,0,0,0,0,37743,0,0,0,248,141,37354,0,36812,542,542,0,ND,ND,36812,0,0,0
1971:Q4,58450,1509,0,0,34424,0,3183,1897,20481,8863,223,16600,0,4661,1033,0,0,0,0,38721,0,0,0,150,158,38413,0,37805,608,608,0,ND,ND,37805,0,0,0
1972:Q1,61338,1521,0,0,35377,0,3055,2050,21508,8764,215,18225,0,4895,1105,0,0,0,0,39893,0,0,0,216,158,39519,0,38909,610,610,0,ND,ND,38909,0,0,0
1972:Q2,63314,1531,0,0,36353,0,2886,2254,22639,8574,204,18815,0,5229,1182,0,0,0,0,41097,0,0,0,202,159,40736,0,40125,611,611,0,ND,ND,40125,0,0,0
1972:Q3,65605,1537,0,0,37297,0,2757,2415,23776,8349,193,19740,0,5574,1264,0,0,0,0,42406,0,0,0,249,159,41998,0,41385,613,613,0,ND,ND,41385,0,0,0
1972:Q4,68865,1540,0,0,38150,0,2901,2288,24820,8141,181,21800,0,5842,1352,0,0,0,0,43767,0,0,0,270,180,43317,0,42624,693,693,0,ND,ND,42624,0,0,0
1973:Q1,69263,1540,0,0,39020,0,2734,2451,25807,8028,176,21031,0,6050,1446,0,0,0,0,44990,0,0,0,296,181,44513,0,43819,694,694,0,ND,ND,43819,0,0,0
1973:Q2,69402,1534,0,0,39830,0,2674,2479,26774,7903,173,20101,0,6218,1546,0,0,0,0,46152,0,0,0,264,182,45706,0,45006,700,700,0,ND,ND,45006,0,0,0
1973:Q3,72681,1529,0,0,40667,0,2738,2392,27674,7863,171,22302,0,6359,1653,0,0,0,0,47371,0,0,0,286,183,46902,0,46196,706,706,0,ND,ND,46196,0,0,0
1973:Q4,71257,1527,0,0,41611,0,2837,2310,28462,8002,166,19700,0,6485,1768,0,0,0,0,48711,0,0,0,283,212,48216,0,47399,817,817,0,ND,ND,47399,0,0,0
1974:Q1,72648,1534,0,0,42671,0,2765,2452,29118,8336,164,19749,0,6639,1891,0,0,0,0,49888,0,0,0,318,196,49374,0,48618,756,756,0,ND,ND,48618,0,0,0
1974:Q2,71451,1546,0,0,43838,0,2560,2781,29626,8871,162,17119,0,6764,2022,0,0,0,0,51020,0,0,0,286,181,50553,0,49859,694,694,0,ND,ND,49859,0,0,0
1974:Q3,67845,1560,0,0,45039,0,2525,2940,30102,9472,161,12038,0,6885,2162,0,0,0,0,52198,0,0,0,307,165,51726,0,51093,633,633,0,ND,ND,51093,0,0,0
1974:Q4,70084,1581,0,0,46214,0,2860,2680,30662,10012,157,12800,0,7020,2312,0,0,0,0,53297,0,0,0,303,145,52849,0,52293,556,556,0,ND,ND,52293,0,0,0
1975:Q1,73883,1412,0,0,47906,0,3170,2963,31256,10517,151,14759,0,7182,2473,0,0,0,0,54755,0,0,0,330,154,54271,0,53679,592,592,0,ND,ND,53679,0,0,0
