date,Domestic nonfinancial sectors; municipal securities; liability,State and local governments; municipal securities; liability,State and local governments; short-term municipal securities; liability,State and local governments; long-term municipal securities; liability,Nonprofit organizations; municipal securities; liability,Nonfinancial corporate business; municipal securities; liability,All sectors; municipal securities; asset,Households and nonprofit organizations; municipal securities; asset,Nonfinancial corporate business; municipal securities; asset,Nonfinancial noncorporate business; municipal securities; asset,State and local governments; municipal securities; asset,U.S.-chartered depository institutions; municipal securities; asset,Foreign banking offices in the U.S.; municipal securities; asset,Banks in U.S.-affiliated areas; municipal securities; asset,Credit unions; municipal securities; asset,Property-casualty insurance companies; municipal securities, including those held by U.S. residual market reinsurers; asset,Life insurance companies; municipal securities; asset,Federal government retirement funds; municipal securities held by National Railroad Retirement Investment Trust; asset,State and local government employee defined benefit retirement funds; municipal securities; asset,Money market funds; municipal securities; asset,Mutual funds; municipal securities; asset (market value),Closed-end funds; municipal securities; asset,Exchange-traded funds; municipal securities; asset,Government-sponsored enterprises; municipal securities and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset,Security brokers and dealers; municipal securities; asset,Other financial business; municipal securities held by COVID-19 Municipal Liquidity Facility (MLF); asset,Rest of the world; municipal securities; asset,Instrument discrepancies; municipal securities (level)
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15144,15144,677,14467,0,0,15144,4629,452,0,1435,5732,26,21,0,544,872,0,1166,0,0,0,0,0,267,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,16130,16130,881,15249,0,0,16130,3724,485,0,1748,6634,37,21,0,828,1052,0,1349,0,0,0,0,0,252,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,20655,20655,1274,19381,0,0,20655,5465,652,0,2032,8205,45,41,0,1144,1152,0,1549,0,0,0,0,0,370,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,22770,22770,1586,21184,0,0,22770,5740,844,0,2061,9333,60,46,0,1448,1142,0,1712,0,0,0,0,0,384,0,0,0
1952:Q1,25016,25016,1787,23229,0,0,25016,7499,825,0,2093,9722,64,47,0,1582,1133,0,1751,0,0,0,0,0,300,0,0,0
1952:Q2,27480,27480,1700,25780,0,0,27480,9835,488,0,2105,10089,71,47,0,1728,1123,0,1794,0,0,0,0,0,200,0,0,0
1952:Q3,28695,28695,1863,26832,0,0,28695,10606,578,0,2113,10474,67,47,0,1739,1163,0,1838,0,0,0,0,0,70,0,0,0
1952:Q4,29657,29657,1779,27878,0,0,29657,10957,813,0,2111,10524,71,48,0,1869,1153,0,1883,0,0,0,0,0,228,0,0,0
1953:Q1,31221,31221,1906,29315,0,0,31221,11875,865,0,2114,10938,71,49,0,2023,1203,0,1933,0,0,0,0,0,150,0,0,0
1953:Q2,32379,32379,1778,30601,0,0,32379,12743,933,0,2144,10923,80,50,0,2202,1218,0,1986,0,0,0,0,0,100,0,0,0
1953:Q3,33795,33795,1992,31803,0,0,33795,13542,1021,0,2203,11091,85,51,0,2402,1258,0,2042,0,0,0,0,0,100,0,0,0
1953:Q4,35012,35012,1948,33064,0,0,35012,13873,1005,0,2293,11249,92,52,0,2617,1298,0,2103,0,0,0,0,0,430,0,0,0
1954:Q1,36516,36516,2137,34379,0,0,36516,14386,963,0,2384,11884,88,53,0,2829,1463,0,2166,0,0,0,0,0,300,0,0,0
1954:Q2,37866,37866,2033,35833,0,0,37866,14678,922,0,2441,12467,82,55,0,3032,1657,0,2232,0,0,0,0,0,300,0,0,0
1954:Q3,39376,39376,2192,37184,0,0,39376,15246,997,0,2468,12915,78,57,0,3222,1791,0,2302,0,0,0,0,0,300,0,0,0
1954:Q4,40663,40663,2058,38605,0,0,40663,15964,972,0,2467,13194,84,58,0,3402,1846,0,2376,0,0,0,0,0,300,0,0,0
1955:Q1,42155,42155,2163,39992,0,0,42155,16484,1065,0,2456,13668,96,59,0,3587,1984,0,2456,0,0,0,0,0,300,0,0,0
1955:Q2,43267,43267,1975,41292,0,0,43267,17509,1059,0,2455,13451,127,59,0,3781,1984,0,2542,0,0,0,0,0,300,0,0,0
1955:Q3,44668,44668,2177,42491,0,0,44668,18360,1209,0,2463,13494,151,59,0,3984,2016,0,2632,0,0,0,0,0,300,0,0,0
1955:Q4,45697,45697,2086,43611,0,0,45697,19174,1219,0,2479,13344,167,59,0,4194,2038,0,2723,0,0,0,0,0,300,0,0,0
1956:Q1,46932,46932,2242,44690,0,0,46932,19569,1494,0,2495,13463,147,60,0,4395,2193,0,2816,0,0,0,0,0,300,0,0,0
1956:Q2,47853,47853,2093,45760,0,0,47853,20436,1333,0,2503,13507,133,61,0,4583,2186,0,2911,0,0,0,0,0,200,0,0,0
1956:Q3,49038,49038,2285,46753,0,0,49038,21308,1295,0,2499,13641,116,63,0,4756,2251,0,3009,0,0,0,0,0,100,0,0,0
1956:Q4,49862,49862,2180,47682,0,0,49862,21900,1342,0,2480,13576,101,65,0,4915,2273,0,3110,0,0,0,0,0,100,0,0,0
1957:Q1,50925,50925,2330,48595,0,0,50925,22537,1419,0,2465,13752,110,67,0,5072,2289,0,3214,0,0,0,0,0,0,0,0,0
1957:Q2,51836,51836,2164,49672,0,0,51836,22812,1403,0,2474,13992,110,69,0,5232,2322,0,3322,0,0,0,0,0,100,0,0,0
1957:Q3,53192,53192,2411,50781,0,0,53192,23526,1510,0,2514,14187,108,71,0,5397,2348,0,3431,0,0,0,0,0,100,0,0,0
1957:Q4,54369,54369,2355,52014,0,0,54369,23851,1479,0,2590,14600,93,73,0,5568,2376,0,3539,0,0,0,0,0,200,0,0,0
1958:Q1,55829,55829,2566,53263,0,0,55829,24382,1217,0,2666,15229,90,75,0,5737,2460,0,3648,0,0,0,0,0,325,0,0,0
1958:Q2,56972,56972,2450,54522,0,0,56972,23317,1682,0,2705,16533,90,77,0,5904,2534,0,3760,0,0,0,0,0,370,0,0,0
1958:Q3,58513,58513,2748,55765,0,0,58513,23794,1979,0,2723,17080,89,79,0,6073,2613,0,3868,0,0,0,0,0,215,0,0,0
1958:Q4,59819,59819,2770,57049,0,0,59819,24616,1958,0,2737,17234,85,81,0,6249,2681,0,3963,0,0,0,0,0,215,0,0,0
1959:Q1,61397,61397,3033,58364,0,0,61397,25460,1958,0,2745,17476,84,70,0,6453,2828,0,4048,0,0,0,0,0,275,0,0,0
1959:Q2,62655,62655,2983,59672,0,0,62655,26068,2009,0,2747,17633,84,59,0,6690,2991,0,4124,0,0,0,0,0,250,0,0,0
1959:Q3,64594,64594,3544,61050,0,0,64594,27058,2455,0,2738,17747,84,37,0,6955,3148,0,4192,0,0,0,0,0,180,0,0,0
1959:Q4,65661,65661,3173,62488,0,0,65661,28362,1794,0,2714,17679,85,35,0,7239,3200,0,4251,0,0,0,0,0,302,0,0,0
1960:Q1,67248,67248,3323,63925,0,0,67248,28972,2449,0,2688,17654,84,36,0,7500,3284,0,4305,0,0,0,0,0,276,0,0,0
1960:Q2,68353,68353,3154,65199,0,0,68353,30072,2179,0,2674,17411,83,37,0,7727,3357,0,4356,0,0,0,0,0,457,0,0,0
1960:Q3,69924,69924,3548,66376,0,0,69924,30503,2548,0,2688,17795,80,38,0,7919,3510,0,4393,0,0,0,0,0,450,0,0,0
1960:Q4,70971,70971,3457,67514,0,0,70971,31007,2382,0,2747,18241,78,38,0,8084,3588,0,4406,0,0,0,0,0,400,0,0,0
1961:Q1,72420,72420,3820,68600,0,0,72420,30769,2780,0,2806,19135,82,39,0,8274,3693,0,4399,0,0,0,0,0,443,0,0,0
1961:Q2,73250,73250,3483,69767,0,0,73250,31610,2782,0,2824,18802,85,40,0,8501,3728,0,4374,0,0,0,0,0,504,0,0,0
1961:Q3,75018,75018,3875,71143,0,0,75018,31180,3191,0,2807,20328,94,41,0,8766,3808,0,4330,0,0,0,0,0,473,0,0,0
1961:Q4,76349,76349,3693,72656,0,0,76349,32506,2395,0,2763,21022,81,41,0,9057,3888,0,4263,0,0,0,0,0,333,0,0,0
1962:Q1,78037,78037,3901,74136,0,0,78037,31469,3376,0,2712,22348,117,41,0,9281,4039,0,4175,0,0,0,0,0,479,0,0,0
1962:Q2,79203,79203,3735,75468,0,0,79203,31384,3069,0,2679,23747,165,41,0,9498,4024,0,4058,0,0,0,0,0,538,0,0,0
1962:Q3,80552,80552,3680,76872,0,0,80552,31852,3056,0,2642,24656,171,41,0,9706,4073,0,3930,0,0,0,0,0,425,0,0,0
1962:Q4,81800,81800,3682,78118,0,0,81800,32087,2697,0,2573,25987,158,40,0,9905,4026,0,3804,0,0,0,0,0,523,0,0,0
1963:Q1,82976,82976,3508,79468,0,0,82976,31665,3366,0,2493,26810,153,44,0,10098,4029,0,3682,0,0,0,0,0,636,0,0,0
1963:Q2,84724,84724,3946,80778,0,0,84724,31642,3766,0,2434,28275,132,51,0,10289,3939,0,3553,0,0,0,0,0,643,0,0,0
1963:Q3,85899,85899,4005,81894,0,0,85899,31128,4571,0,2386,29406,89,58,0,10465,3876,0,3426,0,0,0,0,0,494,0,0,0
1963:Q4,87040,87040,4128,82912,0,0,87040,32094,3787,0,2334,30412,70,61,0,10612,3852,0,3304,0,0,0,0,0,514,0,0,0
1964:Q1,88177,88177,4162,84015,0,0,88177,32475,3824,0,2281,31184,66,62,0,10728,3843,0,3194,0,0,0,0,0,520,0,0,0
1964:Q2,89948,89948,4695,85253,0,0,89948,33112,4338,0,2243,31828,67,62,0,10811,3802,0,3089,0,0,0,0,0,596,0,0,0
1964:Q3,91760,91760,5092,86668,0,0,91760,34138,3791,0,2225,33091,83,62,0,10884,3822,0,2991,0,0,0,0,0,673,0,0,0
1964:Q4,93160,93160,4889,88271,0,0,93160,34854,3680,0,2223,33925,80,61,0,10970,3774,0,2900,0,0,0,0,0,693,0,0,0
1965:Q1,94661,94661,4689,89972,0,0,94661,33771,4889,0,2221,35273,79,63,0,11049,3746,0,2820,0,0,0,0,0,750,0,0,0
1965:Q2,96858,96858,5309,91549,0,0,96858,33792,5455,0,2207,36901,80,65,0,11101,3674,0,2748,0,0,0,0,0,835,0,0,0
1965:Q3,98905,98905,5712,93193,0,0,98905,34915,5186,0,2189,38243,89,68,0,11182,3595,0,2684,0,0,0,0,0,754,0,0,0
1965:Q4,100397,100397,5507,94890,0,0,100397,36531,4600,0,2167,38975,94,73,0,11349,3530,0,2625,0,0,0,0,0,453,0,0,0
1966:Q1,101842,101842,5275,96567,0,0,101842,37666,4068,0,2141,39922,88,80,0,11426,3539,0,2579,0,0,0,0,0,333,0,0,0
1966:Q2,104141,104141,6051,98090,0,0,104141,38778,4060,0,2119,40898,81,90,0,11588,3366,0,2543,0,0,0,0,0,618,0,0,0
1966:Q3,105524,105524,6236,99288,0,0,105524,39058,4506,0,2112,41710,96,100,0,11785,3320,0,2513,0,0,0,0,0,324,0,0,0
1966:Q4,106633,106633,6168,100465,0,0,106633,41151,3639,0,2125,41255,110,107,0,12040,3260,0,2481,0,0,0,0,0,465,0,0,0
1967:Q1,107874,107874,6067,101807,0,0,107874,39687,3345,0,2133,43648,120,112,0,12368,3217,0,2461,0,0,0,0,0,783,0,0,0
1967:Q2,110195,110195,7010,103185,0,0,110195,38330,3322,0,2136,47121,149,115,0,12785,3157,0,2442,0,0,0,0,0,638,0,0,0
1967:Q3,112319,112319,7826,104493,0,0,112319,39262,3106,0,2127,48288,192,117,0,13205,3129,0,2424,0,0,0,0,0,469,0,0,0
1967:Q4,113793,113793,8000,105793,0,0,113793,38208,3300,0,2125,50225,218,118,0,13542,3145,0,2406,0,0,0,0,0,506,0,0,0
1968:Q1,115278,115278,8074,107204,0,0,115278,37137,4290,0,2085,51561,215,120,0,13804,3175,0,2437,0,0,0,0,0,454,0,0,0
1968:Q2,117323,117323,8427,108896,0,0,117323,38066,3741,0,2144,52840,198,122,0,13998,3173,0,2372,0,0,0,0,0,669,0,0,0
1968:Q3,119319,119319,8102,111217,0,0,119319,37621,3201,0,2149,55648,180,124,0,14180,3169,0,2384,0,0,0,0,0,663,0,0,0
1968:Q4,122132,122132,8143,113989,0,0,122132,36490,3782,0,2171,58842,167,153,0,14403,3194,0,2382,0,0,0,0,0,548,0,0,0
1969:Q1,125803,125803,9006,116797,0,0,125803,40035,3600,0,2195,59034,166,161,0,14651,3230,0,2386,0,0,0,0,0,345,0,0,0
1969:Q2,129343,129343,10082,119261,0,0,129343,42266,3300,0,2252,60358,162,169,0,14908,3224,0,2368,0,0,0,0,0,336,0,0,0
1969:Q3,132054,132054,10721,121333,0,0,132054,45302,3050,0,2255,60005,158,177,0,15185,3224,0,2348,0,0,0,0,0,350,0,0,0
1969:Q4,133518,133518,10909,122609,0,0,133518,47244,2800,0,2236,59476,169,184,0,15496,3221,0,2331,0,0,0,0,0,361,0,0,0
1970:Q1,135658,135658,11218,124440,0,0,135658,48079,2675,0,2208,60463,130,190,0,15813,3235,0,2308,0,0,0,0,0,557,0,0,0
1970:Q2,138998,138998,12155,126843,0,0,138998,48227,3050,0,2294,63193,153,193,0,16110,3229,0,2159,0,0,0,0,0,390,0,0,0
1970:Q3,141582,141582,12261,129321,0,0,141582,48542,1925,0,2296,65973,150,198,0,16481,3272,0,2133,0,0,0,0,0,612,0,0,0
1970:Q4,145501,145501,13252,132249,0,0,145501,47144,2175,0,2384,69957,360,207,0,17021,3306,0,2032,0,0,0,0,0,915,0,0,0
1971:Q1,149746,149746,14386,135360,0,0,149746,46097,2425,0,2363,74455,178,263,0,17721,3314,0,2040,0,0,0,0,0,890,0,0,0
1971:Q2,153986,153966,15210,138756,0,20,153986,46375,2675,0,2331,77723,161,276,0,18575,3339,0,2042,0,0,0,0,0,489,0,0,0
1971:Q3,157928,157875,15820,142055,0,53,157928,46564,2925,0,2285,79855,169,251,0,19517,3366,0,2050,0,0,0,0,0,946,0,0,0
1971:Q4,161652,161566,15735,145831,0,86,161652,45970,3175,0,2132,82960,167,224,0,20481,3363,0,2152,0,0,0,0,0,1028,0,0,0
1972:Q1,165807,165681,16206,149475,0,126,165807,46559,3425,0,2004,85581,158,278,0,21508,3351,0,2229,0,0,0,0,0,714,0,0,0
1972:Q2,169358,169065,15722,153343,0,293,169358,46909,3675,0,1724,87384,138,305,0,22639,3351,0,2466,0,0,0,0,0,767,0,0,0
1972:Q3,172942,172476,15926,156550,0,466,172942,47181,3925,0,1937,89570,123,301,0,23776,3362,0,2123,0,0,0,0,0,644,0,0,0
1972:Q4,175818,175184,15787,159397,0,634,175818,47684,4175,0,1833,90567,138,293,0,24820,3367,0,2029,0,0,0,0,0,912,0,0,0
1973:Q1,180262,179246,16164,163082,61,955,180262,50607,4425,0,2058,91383,137,296,0,25807,3332,0,1622,0,0,0,0,0,595,0,0,0
1973:Q2,183929,182295,15879,166416,144,1490,183929,51521,5050,0,2053,92499,136,299,0,26774,3374,0,1536,0,0,0,0,0,687,0,0,0
1973:Q3,187988,185754,16180,169574,255,1979,187988,54174,4675,0,1962,93251,162,326,0,27674,3396,0,1650,0,0,0,0,0,718,0,0,0
1973:Q4,192693,189863,16102,173761,400,2430,192693,55136,4038,0,2062,96245,164,353,0,28462,3412,0,1691,0,0,0,0,0,1130,0,0,0
1974:Q1,197202,193783,16055,177728,578,2841,197202,56629,4569,0,2044,98291,188,443,0,29118,3485,0,1845,0,0,0,0,0,590,0,0,0
1974:Q2,201835,197783,16663,181120,787,3265,201835,57899,4558,0,2448,100941,220,534,0,29626,3577,0,1444,0,0,0,0,0,588,0,0,0
1974:Q3,206004,201380,18296,183084,1028,3596,206004,62394,4593,0,2535,100065,244,600,0,30102,3618,0,1248,0,0,0,0,0,605,0,0,0
1974:Q4,207999,202621,18811,183810,1300,4078,207999,62164,4654,0,2586,101799,214,565,0,30662,3667,0,983,0,0,0,0,0,705,0,0,0
1975:Q1,210167,204056,19042,185014,1603,4508,210167,62603,6229,0,2562,101678,232,590,0,31256,3696,0,789,0,0,0,0,0,532,0,0,0
1975:Q2,214248,206992,19786,187206,1937,5319,214248,63059,7296,0,2468,103640,264,602,0,31835,3783,0,728,0,0,0,0,0,573,0,0,0
1975:Q3,216917,208694,18071,190623,2303,5920,216917,65177,5419,0,3199,104067,277,640,0,32480,4165,0,906,0,0,0,0,0,587,0,0,0
1975:Q4,222956,213578,18552,195026,2700,6678,222956,66809,4846,0,4969,105056,247,677,0,33273,4508,0,1940,0,0,0,0,0,631,0,0,0
1976:Q1,227091,216975,17019,199956,3131,6985,227091,69757,4084,0,6131,103106,219,820,0,34636,5014,0,2193,0,0,0,0,0,1131,0,0,0
1976:Q2,236798,225736,18777,206959,3575,7487,236798,73874,3474,0,7000,106438,229,902,0,35250,5196,0,3150,0,23,0,0,0,1262,0,0,0
1976:Q3,241084,228642,17801,210841,4082,8360,241084,74962,3984,0,7348,106828,235,1000,0,36459,5406,0,3383,0,111,0,0,0,1368,0,0,0
1976:Q4,243876,230013,14485,215528,4700,9163,243876,72859,4228,0,7341,108248,249,1121,0,38679,5594,0,3360,0,525,0,0,0,1672,0,0,0
1977:Q1,248344,230963,11159,219804,5453,11928,248344,73367,4104,0,7084,109611,169,1060,0,41791,5712,0,2872,0,984,0,0,0,1590,0,0,0
1977:Q2,260914,240472,13385,227087,6363,14079,260914,77953,4396,0,6941,113938,181,1002,0,43509,5805,0,3628,0,1403,0,0,0,2129,0,29,0
1977:Q3,267803,244799,13033,231766,7291,15713,267803,76821,5068,0,7357,117261,318,1020,0,46227,6030,0,3556,0,1875,0,0,0,2213,0,57,0
1977:Q4,273620,248143,11570,236573,8100,17377,273620,78817,4370,0,7920,117847,297,1039,0,49390,6051,0,3544,0,2155,0,0,0,2104,0,86,0
1978:Q1,283342,255832,9887,245945,8808,18702,283342,84708,3635,0,8559,118165,263,1139,0,53070,6002,0,3386,0,2587,0,0,0,1714,0,114,0
1978:Q2,298639,268370,11430,256940,9431,20838,298639,92098,4429,0,8346,121428,206,1231,0,56471,5943,0,3732,0,2640,0,0,0,1972,0,143,0
1978:Q3,311442,278386,11898,266488,10039,23017,311442,97663,4976,0,8168,124741,187,1295,0,60132,6073,0,3668,0,2783,0,0,0,1585,0,171,0
1978:Q4,324876,289135,12154,276981,10700,25041,324876,104168,4611,0,7238,129292,164,1359,0,62931,6402,0,3951,0,2683,0,0,0,1877,0,200,0
1979:Q1,334127,295363,10970,284393,11398,27366,334127,109320,4885,0,6457,131181,154,1200,0,65766,6090,0,4073,0,3013,0,0,0,1755,0,233,0
1979:Q2,344686,302887,11801,291086,12118,29681,344686,116924,4620,0,6381,132496,178,1084,0,67217,6089,0,3867,0,3660,0,0,0,1904,0,266,0
1979:Q3,355757,310578,13424,297154,12854,32325,355757,121212,4003,0,6437,136379,197,1100,0,70053,6240,0,3880,0,4069,0,0,0,1888,0,299,0
1979:Q4,364182,315554,13131,302423,13600,35028,364182,123569,4458,0,6788,138318,230,1115,0,72811,6428,0,3910,0,4039,0,0,0,2184,0,332,0
1980:Q1,370864,319378,11846,307532,14339,37147,370723,123903,7715,0,7036,138927,261,1082,0,75353,6462,0,4101,756,3654,0,0,0,1108,0,365,141
1980:Q2,380809,325729,13147,312582,15056,40024,381016,126511,7878,0,7354,142460,336,1070,0,77080,6338,0,4025,1659,4169,0,0,0,1738,0,398,-207
1980:Q3,390860,332297,14621,317676,15820,42743,390848,128655,7319,0,7409,147620,384,1053,0,78962,6466,0,3921,2469,4439,0,0,0,1718,0,433,12
1980:Q4,399440,336848,14868,321980,16700,45892,399368,129980,9362,0,7008,150976,386,1000,0,80533,6701,0,4059,1967,4420,0,0,0,2509,0,467,72
1981:Q1,408226,341667,15122,326545,17634,48925,408052,142831,5021,0,6874,150055,387,920,0,81607,6832,0,3920,2679,4730,0,0,0,1696,0,500,174
1981:Q2,418219,346762,15562,331200,18563,52894,417826,150846,3199,0,6712,151290,350,807,0,82699,6956,0,3995,3363,5010,0,0,0,2066,0,533,393
1981:Q3,431847,356158,17057,339101,19660,56029,430955,159179,3986,0,6925,154063,347,692,0,83862,7044,0,3859,3630,5035,0,0,0,1766,0,567,892
1981:Q4,443653,363230,16006,347224,21100,59323,442674,159290,10606,0,7139,156693,315,600,0,83923,7151,0,3856,4395,5102,0,0,0,3004,0,600,979
1982:Q1,456863,371040,15228,355812,22860,62963,456153,171865,8858,0,7598,155883,287,569,0,84687,7501,0,3651,7261,5487,0,0,0,1873,0,633,710
1982:Q2,474230,383029,19038,363991,24914,66287,473598,189001,6708,0,7601,154727,269,576,0,85885,7876,0,3848,8085,5924,0,0,0,2431,0,667,632
1982:Q3,491353,393578,22112,371466,27186,70589,491375,199607,8272,0,7605,154461,265,595,0,86588,8241,0,3550,11626,6757,0,0,0,3108,0,700,-22
1982:Q4,508049,403983,22737,381246,29600,74466,508435,201436,12178,0,7383,160773,265,600,0,86968,9047,0,3131,13321,7972,0,0,0,4628,0,733,-386
1983:Q1,520910,411681,19704,391977,32309,76920,521218,212809,14440,0,7551,155869,265,601,0,87144,9219,0,2363,17025,9715,0,0,131,3319,0,767,-308
1983:Q2,543310,428044,21554,406490,35463,79803,543555,230972,16085,0,7254,157084,150,602,0,86988,9852,0,2483,16262,10862,0,0,340,3821,0,800,-245
1983:Q3,559704,439293,21548,417745,38535,81876,560058,245528,14241,0,7506,158927,250,603,0,86747,10022,0,2423,16584,12216,0,0,564,3614,0,833,-354
1983:Q4,575106,450209,21256,428953,41000,83897,575305,246846,18268,0,7955,164392,168,600,0,86667,9986,0,2000,16918,13424,0,0,742,6472,0,867,-199
1984:Q1,590092,460827,18502,442325,43368,85897,590655,255286,23572,0,8454,163599,156,601,0,86081,9014,0,2151,21392,14867,0,0,886,3696,0,900,-563
1984:Q2,610773,477008,18960,458048,45649,88116,610435,274693,23026,0,8743,163204,106,602,0,85528,8712,0,2264,22565,15678,0,0,1011,3370,0,933,338
1984:Q3,631749,493057,18439,474618,48212,90480,632217,290727,20664,0,8682,168573,171,603,0,85108,8444,0,2068,22613,17529,0,0,1124,4944,0,967,-468
1984:Q4,650603,494993,17600,477393,51171,104439,651427,291045,22483,0,9016,176674,77,603,0,84742,8713,0,1534,23973,19327,0,0,1232,11008,0,1000,-824
1985:Q1,675913,516139,14750,501389,53635,106139,676853,318434,18276,0,8650,171931,75,619,0,84943,8891,0,1550,34455,21942,200,0,1326,4511,0,1050,-940
1985:Q2,705901,539249,14983,524266,56013,110639,707350,331444,26658,0,8151,173942,87,617,0,85523,8914,0,1278,35429,26911,400,0,1398,5498,0,1100,-1449
1985:Q3,737592,563703,19920,543783,57850,116039,738493,347919,22113,0,9145,184784,71,609,0,87176,9044,0,1225,37072,29926,650,0,1476,6133,0,1150,-901
1985:Q4,859484,651111,20528,630583,81334,127039,861782,396557,25572,0,9605,234542,0,603,0,88248,9708,0,1128,36449,35709,950,0,1589,19922,0,1200,-2298
1986:Q1,855878,653141,19139,634002,78698,124039,859265,401061,20530,0,9822,216715,0,603,0,90732,10023,0,938,52430,43678,1200,0,1742,8541,0,1250,-3387
1986:Q2,883232,684072,23362,660710,78393,120767,886636,414905,25314,0,10086,211344,0,603,0,93885,10791,0,1196,56297,49787,1450,0,1941,7737,0,1300,-3404
