1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,16592,123,0,23,2013,0,1925,88,0,0,14052,8134,0,3387,4747,5918,2019,0,2019,11,0,11,3888,0,381,15850,0,12056,0,12056,27,3767
1965:Q2,17842,150,0,19,1932,0,1835,97,0,0,15321,9203,0,3617,5586,6118,2049,0,2049,11,0,11,4058,0,420,17119,0,13234,0,13234,0,3885
1965:Q3,18216,140,0,8,1832,0,1734,98,0,0,15802,9467,0,3665,5802,6335,2154,0,2154,11,0,11,4170,0,434,17455,0,13725,0,13725,129,3601
1965:Q4,18879,172,0,0,1896,0,1798,98,0,0,16369,9568,0,3571,5997,6801,2510,0,2510,10,0,10,4281,0,442,18100,0,13846,0,13846,336,3918
1966:Q1,19778,143,0,12,1876,0,1755,121,0,0,17306,9532,0,3845,5687,7774,3261,0,3261,10,0,10,4503,0,441,18971,0,14810,0,14810,238,3923
1966:Q2,22190,201,0,22,2187,0,2036,151,0,0,19387,10953,0,4170,6783,8434,3699,0,3699,10,0,10,4725,0,393,21403,0,17380,0,17380,0,4023
1966:Q3,23110,143,0,37,2075,0,1923,152,0,0,20369,11450,0,4275,7175,8919,4068,0,4068,10,0,10,4841,0,486,22291,0,18111,0,18111,401,3779
1966:Q4,23908,175,0,49,2831,0,2684,147,0,0,20502,11148,0,4213,6935,9354,4386,0,4386,10,0,10,4958,0,351,23089,0,18904,0,18904,103,4082
1967:Q1,23723,140,0,31,3818,0,3658,160,0,0,19438,9706,0,4531,5175,9732,4592,0,4592,9,0,9,5131,0,296,22883,0,18258,0,18258,56,4569
1967:Q2,23458,130,0,20,3975,0,3800,175,0,0,19040,9145,0,4843,4302,9895,4582,0,4582,9,0,9,5304,0,293,22642,0,17613,0,17613,0,5029
1967:Q3,23189,120,0,20,3153,0,2974,179,0,0,19477,9029,0,4907,4122,10448,4983,0,4983,9,0,9,5456,0,419,22341,0,17410,0,17410,497,4434
1967:Q4,23859,178,0,0,2855,0,2690,165,0,0,20434,9303,0,4917,4386,11131,5513,0,5513,9,0,9,5609,0,392,23002,0,18350,0,18350,36,4616
1968:Q1,24970,125,0,2,3019,0,2850,169,0,0,21439,9481,0,5212,4269,11958,6154,0,6154,11,0,11,5793,0,385,24079,0,19462,0,19462,62,4555
1968:Q2,26593,148,0,10,3180,0,2998,182,0,0,22879,10283,0,5394,4889,12596,6612,0,6612,11,0,11,5973,0,376,25730,0,20856,0,20856,56,4818
1968:Q3,26519,151,0,8,2767,0,2585,182,0,0,23254,10346,0,5320,5026,12908,6830,0,6830,14,0,14,6064,0,339,25682,0,21011,0,21011,294,4377
1968:Q4,27116,181,0,12,2735,0,2550,185,0,0,23783,10490,0,5231,5259,13293,7151,0,7151,16,0,16,6126,0,405,26244,0,21579,0,21579,283,4382
1969:Q1,28046,194,0,46,2467,0,2275,192,0,0,24921,10915,0,5584,5331,14006,7671,0,7671,18,0,18,6317,0,418,27137,0,22728,0,22728,0,4409
1969:Q2,30453,216,0,90,2527,0,2334,193,0,0,27094,12362,0,5949,6413,14732,8155,0,8155,20,0,20,6557,0,526,29572,0,25059,0,25059,0,4513
1969:Q3,32893,394,0,122,1908,0,1725,183,0,0,29856,13854,0,5914,7940,16002,9298,0,9298,28,0,28,6676,0,613,32108,0,27756,0,27756,0,4352
1969:Q4,36291,230,0,193,2147,0,1964,183,0,0,32960,15296,0,6007,9289,17664,10919,0,10919,31,0,31,6714,0,761,35390,0,30645,0,30645,0,4745
1970:Q1,40192,160,0,200,3438,0,3256,182,0,0,35561,16229,0,6484,9745,19332,12446,0,12446,53,0,53,6833,0,833,39035,0,34278,0,34278,0,4757
1970:Q2,42196,173,0,487,2881,0,2701,180,0,0,37735,17082,0,6846,10236,20653,13508,0,13508,150,0,150,6995,0,920,41055,0,35822,0,35822,0,5233
1970:Q3,43921,180,0,902,2399,0,2212,187,0,0,39610,17380,0,6855,10525,22230,14883,0,14883,246,0,246,7101,0,830,42759,0,37415,0,37415,0,5344
1970:Q4,46599,193,0,966,3247,0,3059,188,0,0,40665,17619,0,7004,10615,23046,15538,0,15538,321,0,321,7187,0,1528,45404,0,38879,0,38879,0,6525
1971:Q1,46635,206,0,239,4395,0,4197,198,0,0,40310,17223,0,7533,9690,23087,15305,0,15305,435,0,435,7347,0,1485,45408,0,37848,0,37848,0,7560
1971:Q2,44367,188,0,293,3632,0,3424,208,0,0,38618,15191,0,7950,7241,23427,15263,0,15263,585,0,585,7579,0,1636,43123,0,36924,0,36924,0,6199
1971:Q3,45854,381,0,604,2352,0,2145,207,0,0,40656,15357,0,7720,7637,25299,16724,0,16724,808,0,808,7767,0,1861,44565,0,38635,0,38635,0,5930
1971:Q4,47271,247,0,352,2701,0,2493,208,0,0,42290,15618,0,7682,7936,26672,17615,0,17615,1140,0,1140,7917,0,1681,45997,0,40021,0,40021,0,5976
1972:Q1,48227,167,0,347,4373,0,4160,213,0,0,41621,14152,0,8160,5992,27469,17930,0,17930,1400,0,1400,8139,0,1719,46913,0,40451,0,40451,0,6462
1972:Q2,49478,192,0,1120,3449,0,3228,221,0,0,42989,14516,0,8441,6075,28473,18450,0,18450,1593,0,1593,8430,0,1728,48167,0,41885,0,41885,0,6282
1972:Q3,50228,197,0,967,2617,431,1957,229,0,0,44696,15107,0,8371,6736,29589,18975,0,18975,1869,0,1869,8745,0,1751,48882,0,42553,0,42553,0,6329
