1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-88,-88,0,-81,-81,35,35,0,0,0,0,0,0,0,51,51,194,0,194,0,739,0,282,236,221,0,0,0,0,0,0,0,0,0,0,0,0,865,3238,894,865,3238,894
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,173,173,0,-140,-140,134,134,0,0,0,0,0,0,0,69,69,223,0,223,0,651,0,287,192,172,0,0,0,0,0,0,0,0,0,0,0,0,771,3430,1003,771,3430,1003
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,35,35,0,-267,-267,-43,-43,0,0,0,0,0,0,0,103,103,238,0,238,0,519,0,364,36,119,0,0,0,0,0,0,0,0,0,0,0,0,844,4183,1011,844,4183,1011
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,740,740,0,-264,-264,-320,-320,0,0,0,0,0,0,0,196,196,408,0,408,0,736,0,164,388,184,0,0,0,0,0,28,28,0,0,0,0,0,2153,5868,1936,2153,5868,1936
1956:Q4,588,588,0,-208,-208,96,96,0,0,0,0,0,0,0,188,188,440,0,440,0,836,0,228,400,208,0,0,0,0,0,60,60,0,0,0,0,0,2761,8716,2060,2761,8716,2060
1957:Q1,1028,1028,0,-188,-188,-56,-56,0,0,0,0,0,0,0,180,180,464,0,464,0,944,0,220,504,220,0,0,0,0,0,36,36,0,0,0,0,0,3542,8708,1496,3542,8708,1496
1957:Q2,1180,1180,0,-404,-404,108,108,0,0,0,0,0,0,0,184,184,488,0,488,0,1064,0,240,588,236,0,0,0,0,0,88,88,0,0,0,0,0,4310,9060,1568,4310,9060,1568
1957:Q3,532,532,0,-408,-408,-588,-588,0,0,0,0,0,0,0,176,176,480,0,480,0,1076,0,228,616,232,0,0,0,0,0,12,12,0,0,0,0,0,4506,8944,1428,4506,8944,1428
1957:Q4,-244,-244,0,-308,-308,416,416,0,0,0,0,0,0,0,156,156,444,0,444,0,984,0,196,596,192,0,0,0,0,0,20,20,0,0,0,0,0,3882,9328,1796,3882,9328,1796
1958:Q1,484,484,0,-100,-100,1284,1284,0,0,0,0,0,0,0,136,136,412,0,412,0,888,0,152,544,192,0,0,0,0,0,60,60,0,0,0,0,0,2736,8756,1257,2736,8756,1257
1958:Q2,744,744,0,-400,-400,576,576,0,0,0,0,0,0,0,104,104,376,0,376,0,792,0,96,544,152,0,0,0,0,0,84,84,0,0,0,0,0,1960,9208,2329,1960,9208,2329
1958:Q3,424,424,0,-4,-4,-1036,-1036,0,0,0,0,0,0,0,112,112,372,0,372,0,808,0,108,548,152,0,0,0,0,0,104,104,0,0,0,0,0,1628,8684,1897,1628,8684,1897
1958:Q4,-296,-296,0,-268,-268,-160,-160,0,0,0,0,0,0,0,152,152,388,0,388,0,936,0,192,564,180,0,0,0,0,0,116,116,0,0,0,0,0,1792,9352,1837,1792,9352,1837
1959:Q1,224,224,0,-136,-136,-332,-332,0,0,0,0,0,0,0,192,192,416,0,416,0,1068,0,268,568,232,0,0,0,0,0,60,60,0,0,0,0,0,2658,9104,1824,2658,9104,1824
1959:Q2,516,516,0,-236,-236,160,160,0,0,0,0,0,0,0,228,228,416,0,416,0,1204,0,356,576,272,0,0,0,0,0,104,104,0,0,0,0,0,2614,9440,2296,2614,9440,2296
1959:Q3,-688,-688,0,-208,-208,-824,-824,0,0,0,0,0,0,0,236,236,440,0,440,0,1212,0,360,580,272,0,0,0,0,0,40,40,0,0,0,0,0,3326,9532,1624,3326,9532,1624
1959:Q4,-4,-4,0,-176,-176,76,76,0,0,0,0,0,0,0,216,216,468,0,468,0,1092,0,268,580,244,0,0,0,0,0,108,108,0,0,0,0,0,2350,9780,2096,2350,9780,2096
1960:Q1,564,564,0,-224,-224,-220,-220,0,0,0,0,0,0,0,204,204,528,0,528,0,996,0,200,604,192,0,0,0,0,0,8,8,0,0,0,0,0,2106,9668,1601,2106,9668,1601
1960:Q2,600,600,0,-232,-232,808,808,0,0,0,0,0,0,0,200,200,580,0,580,0,924,0,140,620,164,0,0,0,0,0,92,92,0,0,0,0,0,1434,9892,2057,1434,9892,2057
1960:Q3,380,380,0,-176,-176,4,4,0,0,0,0,0,0,0,192,192,596,0,596,0,884,0,116,608,160,0,0,0,0,0,4,4,0,0,0,0,0,778,9932,2569,778,9932,2569
1960:Q4,568,568,0,-116,-116,804,804,0,0,0,0,0,0,0,172,172,576,0,576,0,880,0,136,556,188,0,0,0,0,0,160,160,0,0,0,0,0,-478,10140,2065,-478,10140,2065
