1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,48672,7241,27082,14349,0,48672,11304,72,0,83,0,21457,0,72,120,14405,675,342,21,0,121,0
1964:Q3,49848,7392,27826,14630,0,49848,11135,79,0,93,0,22488,0,79,120,14633,709,356,30,0,126,0
1964:Q4,51179,7544,29022,14613,0,51179,10981,84,0,101,0,23434,0,84,120,15087,747,373,41,0,127,0
1965:Q1,51982,7722,29685,14575,0,51982,10740,86,0,107,0,24049,0,86,124,15432,785,390,54,0,129,0
1965:Q2,53197,7909,30026,15262,0,53197,10523,86,0,111,0,25024,0,86,130,15768,856,410,68,0,135,0
1965:Q3,54413,8090,30478,15845,0,54413,10307,86,0,119,0,25944,0,86,137,16180,889,432,86,0,147,0
1965:Q4,55661,8262,31374,16025,0,55661,10093,88,0,127,0,26717,0,88,142,16790,913,454,104,0,145,0
1966:Q1,57017,8440,31877,16700,0,57017,10118,93,0,105,0,27521,0,93,140,17251,948,480,125,0,143,0
1966:Q2,58796,8620,32937,17239,0,58796,10303,100,0,120,0,28481,0,100,140,17777,976,510,147,0,142,0
1966:Q3,60317,8804,33844,17669,0,60317,10429,108,0,130,0,29200,0,108,140,18337,1013,540,170,0,142,0
1966:Q4,61468,8960,34689,17819,0,61468,10456,114,0,140,0,29692,0,114,143,18847,1071,566,194,0,131,0
1967:Q1,62233,9153,35218,17862,0,62233,10355,115,0,148,0,29999,0,115,171,19298,1095,588,219,0,130,0
1967:Q2,63577,9201,35497,18879,0,63577,10387,113,0,155,0,30846,0,113,176,19694,1094,611,245,0,143,0
1967:Q3,64924,9399,35701,19825,0,64924,10402,111,0,177,0,31744,0,111,181,20036,1118,622,274,0,148,0
1967:Q4,66249,11951,33930,20368,0,66249,10422,112,0,196,0,32552,0,112,185,20467,1125,632,301,0,145,0
1968:Q1,67543,9814,37249,20453,27,67543,10289,106,0,222,0,33398,0,106,188,20834,1130,652,327,0,140,151
1968:Q2,69114,9976,37378,21706,54,69114,10128,104,0,248,0,34544,0,104,190,21160,1122,669,352,0,150,343
1968:Q3,70927,10157,37841,22822,107,70927,10161,103,0,265,0,35695,0,103,192,21609,1130,674,368,0,157,470
1968:Q4,73019,10306,38775,23804,134,73019,9898,100,0,283,0,36960,0,100,193,22388,1132,692,383,0,170,720
1969:Q1,74367,10491,39519,24118,239,74367,10070,123,0,302,0,37652,0,123,195,22707,1136,700,397,0,169,793
1969:Q2,75792,10689,38990,25866,247,75792,9928,160,100,322,0,38448,0,160,196,23065,1133,709,411,0,184,976
