1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2015:Q1,30532,-2124,2652,436,172,40,224,29568,64296,29144,33292,16924,16368,3124,13244,1860
2015:Q2,-7680,-12948,-3516,1384,-148,-48,1580,7400,74108,32592,33240,19940,13300,3232,10068,8276
2015:Q3,26172,11380,1280,2140,12,172,1956,11372,71388,38944,21256,6904,14352,-2088,16440,11188
2015:Q4,-23360,-5380,-896,-3620,-8,144,-3756,-13464,-28728,21420,-43244,-15280,-27964,-5384,-22580,-6904
2016:Q1,35000,2148,-1228,-4864,24,96,-4984,38944,53600,33460,18968,-3768,22736,196,22540,1172
2016:Q2,42760,13512,96,4428,72,212,4144,24724,37472,25728,-30640,-16568,-14072,2264,-16336,42384
2016:Q3,-2032,-1080,1596,-2616,68,100,-2784,68,-244,11236,-24084,-2600,-21484,5152,-26636,12604
2016:Q4,-12556,-2992,948,2728,-4,216,2516,-13240,15676,29884,2776,-14176,16952,1764,15188,-16984
2017:Q1,75568,23108,3256,15128,32,156,14940,34076,59388,53488,12408,7144,5264,-7828,13092,-6508
2017:Q2,5988,-8264,608,-364,108,232,-704,14008,48172,14640,2260,-828,3088,-4592,7680,31272
2017:Q3,60356,30192,1780,1120,56,228,836,27264,51648,33772,396,5164,-4768,-4768,0,17480
2017:Q4,24868,-25652,2260,32964,52,152,32760,15296,51156,48336,20704,1988,18716,-1692,20408,-17884
2018:Q1,-11008,-15620,2992,-8944,-44,164,-9064,10564,4572,-916,-5828,8076,-13904,-3216,-10688,11316
2018:Q2,-5248,-4756,5544,-5016,-28,1044,-6032,-1020,3568,15888,-19468,-12672,-6796,2548,-9344,7148
2018:Q3,9468,5708,4156,372,-28,-4,404,-768,23900,25832,-18124,11648,-29772,-3260,-26512,16192
2018:Q4,-25908,-7044,92,-9328,-36,-2556,-6736,-9628,-9852,28036,-7280,5512,-12792,-13760,968,-30608
