1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,21067,0,1353,1622,2964,0,0,5920,369,5192,0,0,359,0,ND,4353,0,417,0,0,4438,0,19582,1303,128,0,3422,0,3422,ND,12459,432,12027,520,0,0,661,1089,635,454,0,0,0,1554,16329,0,0
1954:Q3,21976,0,1368,1362,3223,0,0,6268,350,5537,0,0,381,0,ND,4804,0,413,0,0,4538,0,19488,1175,150,0,3324,0,3324,ND,12464,546,11918,549,0,0,670,1156,635,521,0,0,0,1708,16546,0,0
1954:Q4,22769,0,1414,1708,2900,0,0,6430,584,5466,0,0,380,0,ND,5254,0,430,0,0,4633,0,19779,1185,158,0,3264,0,3264,ND,12722,747,11975,598,0,0,686,1166,635,531,0,0,0,1868,16945,0,0
1955:Q1,22766,0,1427,1360,2937,0,0,6429,567,5472,0,0,390,0,ND,5407,0,465,0,0,4741,0,19752,1141,147,0,3170,0,3170,ND,12706,758,11948,622,0,0,698,1268,635,633,0,0,0,1934,17246,0,0
1955:Q2,23536,0,1484,1432,2922,0,0,6411,457,5558,0,0,396,0,ND,5981,0,441,0,0,4865,0,19906,1121,127,0,3112,0,3112,ND,12818,813,12005,643,0,0,718,1367,635,732,0,0,0,2168,17751,0,0
1955:Q3,24236,0,1474,1378,2985,0,0,6611,460,5746,0,0,405,0,ND,6349,0,473,0,0,4966,0,19968,1108,123,0,3072,0,3072,ND,12863,892,11971,627,0,0,733,1442,635,807,0,0,0,2333,18119,0,0
1955:Q4,24506,0,1390,1532,2799,0,0,6676,439,5803,0,0,434,0,ND,6575,0,458,0,0,5076,0,20058,1044,129,0,3071,0,3071,ND,12899,955,11944,652,0,0,754,1509,635,874,0,0,0,2439,18641,0,0
1956:Q1,25539,0,1526,1582,2577,0,0,7115,476,6189,0,0,450,0,ND,7074,0,466,0,0,5199,0,20387,1048,95,0,3161,0,3161,ND,12973,990,11983,714,0,0,777,1619,635,984,0,0,0,2642,19204,0,0
1956:Q2,25745,0,1440,1623,2772,0,0,7200,486,6244,0,0,470,0,ND,6899,0,505,0,0,5306,0,20771,979,141,0,3242,0,3242,ND,13134,1026,12108,731,0,0,804,1740,635,1105,0,0,0,2591,19875,0,0
1956:Q3,26381,0,1693,1563,2811,0,0,7566,579,6500,0,0,487,0,ND,6805,0,543,0,0,5400,0,21188,1052,119,0,3316,0,3316,ND,13146,1080,12066,757,0,0,838,1960,670,1290,0,0,0,2565,20702,0,0
1956:Q4,26301,0,1643,1753,2657,0,0,7261,671,6089,0,0,501,0,ND,6961,0,567,0,0,5459,0,22212,1608,138,0,3381,0,3381,ND,13315,1210,12105,788,0,0,875,2107,670,1437,0,0,0,2625,21630,0,0
1957:Q1,25791,0,1538,1456,2729,0,0,7348,787,6028,0,0,533,0,ND,6621,0,586,0,0,5513,0,22836,1588,198,0,3598,0,3598,ND,13421,1203,12218,767,0,0,900,2364,670,1694,0,0,0,2486,22240,0,0
1957:Q2,26750,0,1473,2082,2598,0,0,7262,773,5944,0,0,545,0,ND,7112,0,645,0,0,5578,0,23424,1649,176,0,3724,0,3724,ND,13460,1258,12202,807,0,0,949,2659,670,1989,0,0,0,2645,23462,0,0
1957:Q3,25922,0,1444,1998,2599,0,0,7142,967,5608,0,0,567,0,ND,6484,0,659,0,0,5596,0,23944,1898,153,0,3755,0,3755,ND,13565,1382,12183,813,0,0,968,2792,670,2122,0,0,0,2388,23914,0,0
1957:Q4,25964,0,1395,2102,2533,0,0,7475,954,5930,0,0,591,0,ND,6091,0,658,0,0,5710,0,24679,1975,131,0,3816,0,3816,ND,14162,1537,12625,876,0,0,988,2731,670,2061,0,0,0,2233,24406,0,0
1958:Q1,26455,0,1577,1669,3473,0,0,6980,1067,5288,0,0,625,0,ND,6328,0,628,0,0,5800,0,25296,2042,160,0,4087,0,4087,ND,14329,1628,12701,825,0,0,1001,2852,670,2182,0,0,0,2320,24735,0,0
