1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q3,86484,695,1790,0,355,20522,0,2524,351,17647,1794,19251,140,41937,0,716,38741,2480,86858,76442,37701,38741,76068,10416
1962:Q4,87481,707,1858,0,369,21025,0,2600,324,18101,1876,21885,172,39589,0,768,36266,2555,87855,76731,40465,36266,76357,11124
1963:Q1,88300,721,1930,0,380,21405,0,2628,333,18444,1957,23509,184,38214,0,803,34800,2611,88707,77112,42312,34800,76705,11595
1963:Q2,89230,735,2004,0,385,21837,0,2655,335,18847,2035,24949,177,37108,0,834,33642,2632,89630,77613,43971,33642,77213,12017
1963:Q3,90237,752,2081,0,393,22284,0,2640,377,19267,2119,26270,169,36169,0,864,32635,2670,90656,78226,45591,32635,77807,12430
1963:Q4,91373,773,2161,0,409,22609,0,2679,370,19560,2220,27670,176,35355,0,895,31675,2785,91810,78926,47251,31675,78489,12884
1964:Q1,92784,802,2244,0,435,23056,0,2872,386,19798,2357,29690,201,33999,0,940,30087,2972,93233,79694,49607,30087,79245,13539
1964:Q2,94164,850,2330,0,471,23427,0,2665,373,20389,2506,31136,241,33203,0,978,28970,3255,94641,80540,51570,28970,80063,14101
1964:Q3,95675,857,2419,0,507,23718,0,2661,362,20695,2640,32638,283,32613,0,1014,28048,3551,96166,81487,53439,28048,80996,14679
1964:Q4,97254,892,2512,0,537,24398,0,2715,477,21206,2778,33705,312,32120,0,1049,27290,3781,97767,82551,55261,27290,82038,15216
1965:Q1,98902,752,2609,0,560,24938,0,2909,403,21626,2919,34953,331,31840,0,1081,26804,3955,99460,83730,56926,26804,83172,15730
1965:Q2,100351,728,2709,0,577,25197,0,2709,404,22084,3175,34570,341,33054,0,1087,27862,4105,100927,85094,57232,27862,84518,15833
1965:Q3,102841,760,2813,0,594,25334,0,2457,431,22446,3298,38608,349,31085,0,1157,25742,4186,103436,86682,60940,25742,86087,16754
1965:Q4,105256,941,2921,0,616,25696,0,2539,454,22703,3385,40754,360,30583,0,1203,25040,4340,105912,88508,63468,25040,87852,17404
1966:Q1,107639,957,3034,0,642,26684,0,2479,465,23740,3508,40765,372,31677,0,1226,25900,4551,108303,90523,64623,25900,89859,17780
1966:Q2,109975,791,3151,0,671,27014,0,2377,475,24162,3591,39868,384,34505,0,1223,28462,4820,110643,92766,64304,28462,92098,17877
1966:Q3,112085,719,3271,0,702,27411,0,2351,442,24618,3710,36711,397,39164,0,1189,32843,5132,112760,95193,62350,32843,94518,17567
1966:Q4,115474,758,3418,0,734,27981,0,2304,446,25231,3911,39468,414,38790,0,1249,32186,5355,116155,97722,65536,32186,97041,18433
1967:Q1,119407,824,3539,0,767,28227,0,2148,432,25647,3991,45497,435,36127,0,1353,29224,5550,120104,100251,71027,29224,99554,19853
1967:Q2,122459,839,3682,0,803,28195,0,1999,390,25806,3976,46820,459,37685,0,1380,30463,5842,123179,102832,72369,30463,102112,20347
1967:Q3,126082,882,3829,0,838,28553,0,1967,362,26224,4059,50519,485,36917,0,1451,29376,6090,126825,105451,76075,29376,104708,21374
1967:Q4,129088,894,4014,0,870,28679,0,1987,337,26355,4083,51104,510,38934,0,1470,31104,6360,129858,108092,76988,31104,107322,21766
1968:Q1,131539,871,4136,0,900,29303,0,2207,358,26738,4091,48280,535,43423,0,1443,35325,6655,132355,110784,75459,35325,109968,21571
1968:Q2,136068,950,4303,0,928,29317,0,2181,379,26757,4050,55974,561,39985,0,1566,31638,6781,136923,113658,82020,31638,112803,23265
1968:Q3,140061,983,4485,0,954,29505,0,2120,401,26984,4071,58869,587,40607,0,1621,32021,6965,140969,116893,84872,32021,115985,24076
1968:Q4,144472,1015,4680,0,980,29756,0,2359,397,27000,4067,61456,614,41904,0,1671,33082,7151,145432,120573,87491,33082,119613,24859
1969:Q1,148576,1005,4799,0,1006,29729,0,2460,433,26836,4079,60813,639,46506,0,1667,37457,7382,149543,124618,87161,37457,123651,24925
1969:Q2,153235,1009,5040,0,1030,29571,0,2191,468,26912,4069,60925,664,50927,0,1674,41663,7590,154204,129063,87400,41663,128094,25141
1969:Q3,157989,1004,5220,0,1053,30160,0,2159,550,27451,4134,59756,689,55973,0,1672,46494,7807,158967,133728,87234,46494,132750,25239
1969:Q4,163205,1024,5429,0,1079,30404,0,2183,608,27613,4216,61425,715,58913,0,1710,49205,7998,164186,138348,89143,49205,137367,25838
1970:Q1,170851,1029,5646,0,1105,30657,0,2081,578,27998,4230,61339,737,66108,0,1720,56161,8227,171848,142676,86515,56161,141679,29172
1970:Q2,172481,918,5866,0,1133,30775,0,1984,660,28131,4213,50119,752,78705,0,1560,68514,8631,173510,146777,78263,68514,145748,26733
1970:Q3,179099,1028,6099,0,1161,31697,0,2152,916,28629,4193,59913,774,74234,0,1730,63789,8715,180163,150624,86835,63789,149560,29539
1970:Q4,184791,1106,6315,0,1190,32471,0,2124,904,29443,4171,67087,817,71634,0,1858,60923,8853,185881,154210,93287,60923,153120,31671
1971:Q1,190552,1199,6567,0,1221,31771,0,2259,759,28753,4080,76860,882,67972,0,2004,56986,8982,191720,157547,100561,56986,156379,34173
1971:Q2,194383,1205,6765,0,1252,30949,0,2001,593,28355,3914,78937,968,70393,0,2029,59123,9241,195635,160875,101752,59123,159623,34760
1971:Q3,199055,1242,7033,0,1286,30525,0,2044,590,27891,3768,83299,1062,70840,0,2097,59271,9472,200390,164357,105086,59271,163022,36033
