1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q2,149,10,190,-42,-9,149,202,102,-38,390,299,427,0,-36,2,11,40,-43,0,-134,-1073
1975:Q3,80,6,105,-17,-14,80,407,69,-8,284,171,372,0,-61,-10,0,-21,237,0,-201,-1159
1975:Q4,-135,-5,-103,-27,0,-135,101,33,16,213,112,255,0,-74,-10,156,3,86,0,-225,-801
1976:Q1,1441,72,1371,-22,20,1441,-148,404,23,71,-138,1357,0,-64,-5,-12,-135,271,0,104,-287
1976:Q2,1438,71,1348,-22,41,1438,-325,353,38,-89,105,1999,0,-198,23,17,4,23,0,-236,-276
1976:Q3,1302,65,1235,-32,34,1302,-209,321,74,352,163,942,0,-133,5,-51,5,89,0,9,-265
1976:Q4,986,47,887,-15,67,986,-210,244,108,-113,180,1129,0,-56,-3,15,66,101,0,-222,-253
1977:Q1,1247,64,1223,-33,-7,1247,-168,404,43,40,106,909,0,-245,27,-13,1,265,0,-14,-108
1977:Q2,2604,133,2531,-30,-30,2604,-272,461,55,67,1,2050,0,-26,26,-28,121,63,0,194,-108
1977:Q3,2089,107,2026,-25,-19,2089,-94,404,86,-28,119,1705,0,-56,-4,-289,56,225,0,71,-106
1977:Q4,2444,124,2352,-25,-7,2444,-123,408,115,218,62,1418,0,-28,-24,180,-125,372,0,76,-105
1978:Q1,2522,132,2515,-24,-101,2522,-230,429,120,348,84,1691,0,-175,3,35,-33,301,0,-12,-39
1978:Q2,3445,171,3253,-27,48,3445,-32,505,128,67,197,1952,0,40,-2,231,-194,584,0,7,-38
1978:Q3,2409,119,2264,-26,52,2409,-64,397,149,406,-119,1147,0,54,-14,55,70,267,0,109,-48
1978:Q4,2447,121,2295,-20,51,2447,-149,394,170,121,226,593,0,258,-50,239,149,361,0,162,-27
1979:Q1,2451,123,2335,-26,19,2451,-96,418,160,210,214,1007,0,64,-8,153,65,250,0,15,-1
1979:Q2,2268,116,2198,-41,-5,2268,-139,466,147,97,319,852,0,12,-8,160,-48,333,0,78,-1
1979:Q3,2493,127,2404,-25,-12,2493,-52,443,116,188,301,660,0,-12,52,202,110,288,0,198,-1
1979:Q4,2631,133,2529,-26,-5,2631,-159,510,90,622,542,469,0,151,-2,52,61,339,0,-43,-1
1980:Q1,1979,100,1903,-21,-3,1979,-83,620,-52,435,263,488,0,50,-61,225,36,79,0,0,-21
1980:Q2,1381,71,1346,-32,-4,1381,-17,201,-8,806,383,-159,0,27,-27,54,-62,221,0,-17,-21
1980:Q3,1810,92,1751,-29,-4,1810,-156,132,104,167,444,610,0,46,-76,161,86,214,0,99,-21
1980:Q4,2308,117,2216,-22,-3,2308,-85,93,195,450,366,719,0,176,-44,72,101,144,0,141,-20
1981:Q1,1422,73,1379,-30,0,1422,-88,-129,325,436,133,599,0,13,-12,134,-20,135,0,-91,-13
1981:Q2,1004,52,979,-27,1,1004,-111,-203,357,397,383,-85,0,-32,8,213,-19,90,0,19,-13
1981:Q3,1087,56,1057,-28,2,1087,-98,-272,438,-388,396,442,0,-54,-2,412,12,173,0,41,-13
1981:Q4,1278,65,1233,-24,4,1278,-270,-655,505,513,337,417,0,-158,-6,163,-54,457,0,42,-13
1982:Q1,1263,64,1218,-26,7,1263,135,-414,317,-95,372,608,0,-74,0,352,-23,39,0,18,28
1982:Q2,1054,54,1021,-32,11,1054,949,-1155,295,322,202,389,0,-209,-23,10,-25,108,0,163,28
1982:Q3,704,36,686,-30,12,704,-50,-257,238,-849,375,912,0,-23,-9,201,-38,105,0,71,28
1982:Q4,2422,122,2324,-31,7,2422,84,171,196,314,403,1092,0,-121,178,76,-35,109,0,-74,29
1983:Q1,1032,52,990,-15,5,1032,472,-440,164,-322,298,423,0,8,35,157,-10,293,0,-56,10
1983:Q2,3741,189,3582,-32,3,3741,1085,-306,205,38,597,1729,0,-86,35,118,38,273,0,5,10
1983:Q3,5023,252,4784,-14,1,5023,1110,-543,303,-189,622,3322,0,79,-19,50,-96,451,0,-77,10
1983:Q4,5445,273,5193,-20,-1,5445,1003,-912,385,126,879,3425,0,250,-8,263,-9,214,0,-180,9
1984:Q1,6043,303,5749,-37,28,6043,1,143,547,-485,966,4208,0,-46,257,28,52,133,0,133,106
1984:Q2,8004,399,7584,-24,45,8004,-44,252,533,-6,1408,4828,0,-77,-24,19,454,488,0,74,99
1984:Q3,5417,270,5132,-28,43,5417,-135,36,496,-509,1199,3829,0,-215,49,11,124,427,0,0,105
1984:Q4,5771,288,5474,-11,20,5771,-203,175,471,273,928,3607,0,169,35,11,229,17,0,-26,85
1985:Q1,5401,271,5152,-25,3,5401,225,-359,307,-239,513,3200,0,65,372,-23,242,903,0,158,37
1985:Q2,6474,325,6166,-20,4,6474,-46,-46,253,222,631,4259,0,58,157,27,525,347,0,32,55
1985:Q3,5674,284,5398,-13,5,5674,46,46,118,-79,804,4005,0,13,-9,-15,534,158,0,-5,58
1985:Q4,10951,548,10408,-11,6,10951,169,169,13,119,1232,6100,0,820,1114,-8,646,72,0,240,265
1986:Q1,7059,351,6675,-11,44,7059,-96,-95,186,196,1967,3834,0,138,-513,38,-585,1993,0,-73,69
1986:Q2,7888,391,7431,-9,75,7888,276,275,209,66,1738,2332,0,209,644,-10,1267,112,0,677,93
1986:Q3,7976,400,7592,-12,-4,7976,80,81,267,197,1447,3377,0,561,216,3,301,1053,0,362,31
