1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,0,6558,38,0,0,0,1395,0,1063,0,102,230,24,0,24,2,0,5099,0,0,4899,200,6557,ND,6384,173,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1,1,6757,36,0,0,0,1491,0,1085,0,129,277,30,0,30,3,0,5197,0,0,4997,200,6757,ND,6585,172,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1,1,7279,53,0,0,0,1842,0,1324,0,183,335,37,0,37,7,0,5340,0,0,5204,136,7279,ND,7132,147,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1,3,7653,78,0,0,0,1681,0,1070,0,200,411,43,0,43,9,0,5842,0,0,6038,-196,7655,ND,7539,116,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,1,1,5295,6,39,0,7,800,0,239,28,85,448,110,0,110,842,0,3491,0,15,3433,43,5295,ND,4712,583,ND,ND
1959:Q2,1,1,5702,4,40,0,7,1097,0,456,43,76,522,115,0,115,938,0,3501,0,26,3432,43,5702,ND,5044,658,ND,ND
1959:Q3,1,1,5998,4,42,0,9,1186,0,611,23,68,484,129,0,129,860,0,3768,0,10,3695,63,5998,ND,5328,670,ND,ND
1959:Q4,1,1,5753,2,44,0,8,906,0,187,11,59,649,149,0,149,963,0,3681,0,27,3603,51,5753,ND,5023,730,ND,ND
1960:Q1,1,1,5581,5,45,0,10,912,0,206,90,54,562,173,0,173,962,0,3474,0,2,3391,81,5581,ND,4883,698,ND,ND
1960:Q2,1,1,5896,4,48,0,10,1343,0,666,48,51,578,200,0,200,1016,0,3275,0,23,3180,72,5896,ND,5173,723,ND,ND
1960:Q3,1,1,5453,7,49,0,11,736,0,-18,11,37,706,206,0,206,974,0,3470,0,1,3377,92,5453,ND,4723,730,ND,ND
1960:Q4,1,1,5465,17,50,0,9,1012,0,106,-13,13,906,191,0,191,1107,0,3079,0,40,2994,45,5465,ND,4648,817,ND,ND
1961:Q1,1,1,5349,30,53,0,9,736,0,198,10,-7,535,182,0,182,1230,0,3109,0,44,3035,30,5349,ND,4517,832,ND,ND
1961:Q2,1,1,5922,42,55,0,7,1627,0,825,-1,-25,828,177,0,177,1259,0,2755,0,17,2691,47,5922,ND,5004,918,ND,ND
1961:Q3,1,1,5533,43,57,0,7,759,0,64,30,-44,709,174,0,174,1323,0,3170,0,23,3105,42,5533,ND,4601,932,ND,ND
1961:Q4,1,1,5538,33,59,0,9,758,0,-61,47,-67,839,172,0,172,1434,0,3073,0,43,2995,35,5538,ND,4493,1045,ND,ND
1962:Q1,1,1,5437,25,62,0,14,966,0,269,98,-88,687,168,0,168,1332,32,2838,0,9,2717,112,5437,ND,4370,1067,ND,ND
1962:Q2,1,1,5855,19,63,0,17,1724,0,942,39,-117,860,163,0,163,1331,78,2460,0,-63,2307,216,5855,ND,4887,968,ND,ND
1962:Q3,1,1,5421,16,67,0,17,638,0,130,34,-128,602,162,0,162,1192,51,3278,0,30,3121,127,5421,ND,4502,919,ND,ND
1962:Q4,1,1,5722,17,68,0,14,877,0,127,-12,-126,888,169,0,169,1374,18,3185,0,52,3058,75,5722,ND,4666,1056,ND,ND
1963:Q1,0,2,5792,18,72,0,11,846,0,177,1,-122,790,170,0,170,1264,4,3407,0,35,3317,55,5793,ND,4708,1085,ND,ND
1963:Q2,0,2,6604,16,74,0,5,2015,0,1254,-4,-129,894,167,0,167,1549,-15,2793,0,31,2742,20,6605,ND,5473,1132,ND,ND
1963:Q3,1,2,6379,18,77,0,8,995,0,133,12,-127,977,176,0,176,1539,-11,3577,0,30,3510,37,6380,ND,5181,1199,ND,ND
1963:Q4,1,2,6651,20,80,0,16,864,0,86,-11,-122,911,201,0,201,1689,7,3774,0,31,3628,115,6652,ND,5371,1281,ND,ND
1964:Q1,1,2,6870,29,83,0,26,1271,0,516,10,-110,855,241,0,241,1700,14,3506,0,45,3275,186,6871,ND,5432,1439,ND,ND
1964:Q2,1,2,7610,48,86,0,36,2009,0,954,21,-105,1139,255,0,255,1765,37,3374,0,38,3054,282,7611,ND,6094,1517,ND,ND
