1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q1,72680,3552,67486,1401,241,72680,6515,0,375,3548,3109,32393,0,16837,722,2236,1400,146,0,2605,2794
1972:Q2,76046,3718,70638,1383,307,76046,6693,0,450,3622,3338,34354,0,16848,611,2222,1593,212,0,2911,3192
1972:Q3,78834,3856,73272,1362,344,78834,6721,0,525,3674,3604,36001,0,16975,564,2236,1869,280,0,2834,3551
1972:Q4,82876,4058,77098,1340,380,82876,6818,0,600,3768,3854,37739,0,17347,556,2192,2119,392,0,3272,4219
1973:Q1,84593,4143,78712,1318,420,84593,6480,0,637,3751,4008,38912,0,17359,506,2096,2374,502,0,3464,4504
1973:Q2,87957,4310,81881,1300,466,87957,6273,0,659,3787,4163,40143,0,17606,502,2102,2948,546,0,3755,5473
1973:Q3,91127,4469,84906,1284,468,91127,6064,0,648,3929,4433,41329,0,17927,477,2126,3481,598,0,3985,6130
1973:Q4,93191,4572,86871,1269,479,93191,5771,0,609,4066,4771,42054,0,18451,459,2120,3963,616,0,3711,6600
1974:Q1,95355,4680,88925,1249,501,95355,5804,0,603,4128,5003,42553,0,18680,472,2140,4524,632,0,3868,6948
1974:Q2,97221,4775,90716,1227,504,97221,5801,0,593,4213,5279,43479,0,18935,480,2126,5108,648,0,3633,6926
1974:Q3,98933,4861,92363,1196,513,98933,5786,0,577,4466,5612,44097,0,19209,486,2160,5682,737,0,3404,6717
1974:Q4,100049,4918,93447,1163,521,100049,5738,0,552,4781,6123,44350,0,19625,489,2207,6169,775,0,2475,6765
1975:Q1,100586,4945,93961,1159,521,100586,4051,2727,502,5106,6289,44187,0,19800,551,2192,6388,895,0,2269,5629
1975:Q2,100735,4955,94151,1117,512,100735,4253,2829,464,5496,6588,44614,0,19764,553,2203,6428,852,0,2135,4556
1975:Q3,100820,4961,94261,1100,498,100820,4660,2898,456,5780,6759,44991,0,19703,543,2203,6407,1089,0,1934,3397
