1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q1,33180,0,768,768,0,0,0,0,0,32412,33180,33180,0
1976:Q2,33380,0,10132,10132,0,0,0,0,0,23248,33380,33380,0
1976:Q3,33336,0,10344,10344,0,0,0,0,0,22992,33336,33336,0
1976:Q4,34124,0,-2864,-2864,0,0,0,0,0,36988,34124,34124,0
1977:Q1,33508,0,-768,-768,0,0,0,0,0,34276,33508,33508,0
1977:Q2,35236,0,-7908,-7908,0,0,0,0,0,43144,35236,35236,0
1977:Q3,37092,0,39844,39844,0,0,0,0,0,-2752,37092,37092,0
1977:Q4,37772,0,-4868,-4868,0,0,0,0,0,42640,37772,37772,0
1978:Q1,39884,0,-92,-92,0,0,0,0,0,39976,39884,39884,0
1978:Q2,42052,0,-4524,-4524,0,0,0,0,0,46576,42052,42052,0
1978:Q3,42724,0,35580,35580,0,0,0,0,0,7144,42724,42724,0
1978:Q4,43656,0,-2848,-2848,0,0,0,0,0,46504,43656,43656,0
1979:Q1,42508,0,244,244,0,0,0,0,0,42264,42508,42508,0
1979:Q2,43352,0,284,284,0,0,0,0,0,43068,43352,43352,0
1979:Q3,44060,0,32024,32024,0,0,0,0,0,12036,44060,44060,0
1979:Q4,44472,0,-552,-552,0,0,0,0,0,45024,44472,44472,0
1980:Q1,43244,0,13356,13356,0,0,0,0,0,29888,43244,43244,0
1980:Q2,43056,0,9548,9548,0,0,0,0,0,33508,43056,43056,0
1980:Q3,44500,0,3444,3444,0,0,0,0,0,41056,44500,44500,0
1980:Q4,45824,0,9352,9352,0,0,0,0,0,36472,45824,45824,0
1981:Q1,43912,0,11288,11288,0,0,0,0,0,32624,43912,43912,0
1981:Q2,45176,0,9540,9540,0,0,0,0,0,35636,45176,45176,0
1981:Q3,46360,0,9792,9792,0,0,0,0,0,36568,46360,46360,0
1981:Q4,46928,0,9364,9364,0,0,0,0,0,37564,46928,46928,0
1982:Q1,45452,0,13552,13552,0,0,0,0,0,31900,45452,45452,0
1982:Q2,48744,0,12316,12316,0,0,0,0,0,36428,48744,48744,0
1982:Q3,49908,0,12328,12328,0,0,0,0,0,37580,49908,49908,0
1982:Q4,48208,0,10068,10068,0,0,0,0,0,38140,48208,48208,0
1983:Q1,46612,0,15308,15308,0,0,0,0,0,31304,46612,46612,0
1983:Q2,51612,0,14728,14728,0,0,0,0,0,36884,51612,51612,0
1983:Q3,50400,0,15224,15224,0,0,0,0,0,35176,50400,50400,0
1983:Q4,55656,0,12912,12912,0,0,0,0,0,42744,55656,55656,0
1984:Q1,55736,0,20012,20012,0,0,0,0,0,35724,55736,55736,0
1984:Q2,62744,0,21024,21024,0,0,0,0,0,41720,62744,62744,0
1984:Q3,58712,0,17312,17312,0,0,0,0,0,41400,58712,58712,0
1984:Q4,59752,0,15552,15552,0,0,0,0,0,44200,59752,59752,0
1985:Q1,60236,0,75864,75864,0,0,0,0,0,-15628,60236,60236,0
1985:Q2,59284,0,26164,26164,0,0,0,0,0,33120,59284,59284,0
1985:Q3,60608,0,31100,31100,0,0,0,0,0,29508,60608,60608,0
1985:Q4,61660,0,26340,26340,0,0,0,0,0,35320,61660,61660,0
1986:Q1,64780,0,34608,34608,0,0,0,0,0,30172,64780,64780,0
1986:Q2,63820,0,30068,30068,0,0,0,0,0,33752,63820,63820,0
1986:Q3,64932,0,22776,22776,0,0,0,0,0,42156,64932,64932,0
1986:Q4,64036,0,30756,30756,0,0,0,0,0,33280,64036,64036,0
1987:Q1,61588,0,35432,35432,0,0,0,0,0,26156,61588,61588,0
1987:Q2,62284,0,30208,30208,0,0,0,0,0,32076,62284,60724,1560
1987:Q3,62460,0,32736,32736,0,0,0,0,0,29724,62460,61112,1348
1987:Q4,63484,0,27040,27040,0,0,0,0,0,36444,63484,62048,1436
1988:Q1,63836,0,36720,36720,0,0,0,0,0,27116,63836,62440,1396
1988:Q2,64584,0,34792,34792,0,0,0,0,0,29792,64584,62940,1644
1988:Q3,65664,0,31148,31148,0,0,0,20,0,34496,65664,63956,1708
1988:Q4,66552,0,35040,35032,0,0,8,8,0,31504,66552,64688,1864
1989:Q1,66024,0,41796,41784,0,0,12,44,0,24184,66024,64016,2008
1989:Q2,68298,0,38644,38632,0,0,12,36,0,29618,68298,66110,2188
1989:Q3,67767,0,32604,32592,0,0,12,48,0,35116,67767,65647,2120
1989:Q4,69287,0,33737,33717,0,0,20,52,0,35498,69287,66871,2416
1990:Q1,67500,0,42876,42840,0,0,36,136,0,24488,67500,65036,2464
1990:Q2,68270,0,33189,33149,0,0,40,136,0,34945,68270,65418,2852
1990:Q3,69434,0,36264,36228,0,0,36,156,0,33013,69434,66654,2780
1990:Q4,71516,0,31886,31702,0,0,184,724,0,38906,71516,67660,3856
1991:Q1,69262,0,44735,44635,0,0,100,264,0,24264,69262,66566,2696
1991:Q2,71546,0,40635,40583,0,0,52,100,0,30811,71546,68462,3084
1991:Q3,73150,0,38855,38727,80,0,48,660,0,33636,73150,70086,3064
1991:Q4,75521,0,40268,40108,100,0,60,1204,0,34049,75521,71077,4444
1992:Q1,74064,0,45449,45225,140,0,84,1484,0,27131,74064,70348,3716
1992:Q2,75239,0,39643,39467,108,0,68,1140,0,34456,75239,70811,4428
1992:Q3,75261,0,44605,44341,164,0,100,1000,0,29657,75261,71241,4020
1992:Q4,75479,0,41647,41423,140,0,84,1224,0,32609,75479,70599,4880
1993:Q1,72159,0,39264,39044,136,0,84,1596,0,31299,72159,67859,4300
1993:Q2,71715,0,36433,36105,204,0,124,1380,0,33902,71715,66843,4872
1993:Q3,72083,0,46401,45993,256,0,152,1584,0,24098,72083,67167,4916
1993:Q4,73530,0,39038,38734,192,0,112,2116,0,32377,73530,68118,5412
1994:Q1,71158,0,40401,40037,232,0,132,2352,0,28406,71158,66386,4772
1994:Q2,70858,0,37792,37692,64,0,36,1484,0,31582,70858,66226,4632
1994:Q3,75163,0,48746,48626,76,0,44,1588,0,24829,75163,68995,6168
1994:Q4,74721,0,37458,37474,-12,0,-4,1392,0,35871,74721,69649,5072
1995:Q1,75300,0,48333,48233,64,0,36,1504,0,25463,75300,68416,6884
1995:Q2,75711,0,39225,39061,104,0,60,2536,0,33950,75711,69627,6084
1995:Q3,76770,0,47675,47471,128,0,76,2936,0,26159,76770,71166,5604
1995:Q4,76059,0,-73538,-73826,176,0,112,3580,35656,110360,76059,70027,6032
1996:Q1,76010,0,135042,134710,204,0,128,4128,-35656,-27504,76010,69378,6632
1996:Q2,77104,0,52079,52055,16,0,8,4972,0,20053,77104,69428,7676
1996:Q3,74987,0,36116,35932,112,0,72,3576,0,35296,74987,69587,5400
1996:Q4,77375,0,42876,42824,32,0,20,4156,0,30344,77375,70035,7340
1997:Q1,74104,0,43387,43343,28,0,16,3704,0,27013,74104,69440,4664
1997:Q2,75680,0,38523,38463,36,0,24,4360,0,32798,75680,68016,7664
1997:Q3,74474,0,44613,44509,64,0,40,4840,0,25021,74474,69782,4692
1997:Q4,77757,0,42305,42053,156,0,96,4748,0,30704,77757,69501,8256
1998:Q1,75673,0,36835,36567,164,0,104,4108,0,34730,75673,70321,5352
1998:Q2,81583,0,39480,39316,100,0,64,5744,0,36359,81583,73599,7984
1998:Q3,75125,0,47970,47514,276,0,180,1784,0,25372,75125,72345,2780
1998:Q4,84315,0,51527,51007,312,0,208,4332,0,28455,84315,73523,10792
1999:Q1,77817,0,39384,39200,112,0,72,4256,0,34177,77817,73489,4328
1999:Q2,80713,0,37551,37491,36,0,24,5128,0,38034,80713,71525,9188
1999:Q3,80336,0,49613,49713,-60,0,-40,3716,0,27007,80336,74552,5784
1999:Q4,83846,0,48467,48755,-180,0,-108,4624,0,30755,83846,74894,8952
2000:Q1,79184,0,37004,37396,-248,0,-144,8308,0,33871,79184,71856,7328
2000:Q2,75972,0,31714,31806,-60,0,-32,4992,0,39266,75972,68484,7488
2000:Q3,81147,0,53111,52975,88,0,48,5056,0,22979,81147,73235,7912
2000:Q4,84086,0,-29926,-30606,448,0,232,2572,0,111439,84086,77590,6496
2001:Q1,85010,0,130616,127460,2052,0,1104,-3280,0,-42326,85010,77738,7272
