1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,130989,1230,0,0,64571,599,6022,100,4029,53821,53875,6348,47527,6642,22,0,0,0,277,4372,121779,0,0,0,86678,22016,613,104,12368,402
1963:Q2,132679,1246,0,0,65049,487,5746,118,3939,54759,54785,6472,48313,6843,17,0,0,0,282,4457,123349,0,0,0,87667,22427,452,104,12699,402
1963:Q3,134632,1350,0,0,65704,619,5841,121,3876,55247,55773,6567,49206,6960,14,0,0,0,287,4544,125007,0,0,0,88729,22856,443,104,12875,402
1963:Q4,136802,1466,0,0,66083,380,5813,139,3852,55899,57199,6655,50544,7118,17,0,0,0,292,4627,126776,0,0,0,89860,23300,434,110,13072,422
1964:Q1,138773,1294,0,0,66778,506,5788,121,3843,56520,58232,6777,51455,7433,33,0,0,0,297,4706,128509,0,0,0,90916,23764,538,110,13181,422
1964:Q2,140593,1279,0,0,67190,297,5715,136,3802,57240,59400,6911,52489,7581,60,0,0,0,302,4781,130282,0,0,0,91979,24250,474,110,13469,423
1964:Q3,142626,1314,0,0,67759,373,5840,139,3822,57585,60553,7029,53524,7747,87,0,0,0,308,4858,132100,0,0,0,93062,24748,556,110,13624,424
1964:Q4,144942,1488,0,0,67963,248,5594,129,3774,58218,62292,7140,55152,7834,104,0,0,0,313,4948,133966,0,0,0,94172,25250,552,117,13875,450
1965:Q1,147055,1286,0,0,68718,474,5639,136,3746,58723,63586,7269,56317,7985,113,0,0,0,319,5048,135901,0,0,0,95239,25837,566,117,14142,451
1965:Q2,148567,1279,0,0,69144,579,5358,151,3674,59382,64766,7419,57347,7778,116,0,0,0,324,5160,137926,0,0,0,96438,26341,483,117,14547,450
1965:Q3,151504,1296,0,0,69914,741,5298,179,3595,60101,65974,7561,58413,8597,117,0,0,0,330,5276,139951,0,0,0,97677,26818,534,117,14805,449
1965:Q4,154203,1503,0,0,70152,293,5119,167,3530,61043,67691,7678,60013,9006,120,0,0,0,336,5395,141888,0,0,0,98863,27325,532,116,15052,448
1966:Q1,156369,1073,0,0,71412,286,5171,191,3539,62225,69093,7861,61232,8977,124,0,0,0,342,5348,143547,0,0,0,100007,27846,636,116,14942,447
1966:Q2,157915,1097,0,0,71533,219,4921,232,3366,62795,70682,8173,62509,8799,128,0,0,0,348,5328,145661,0,0,0,101120,28367,537,117,15520,448
1966:Q3,159146,1159,0,0,71867,298,4852,241,3320,63156,72222,8657,63565,8109,133,0,0,0,354,5302,147954,0,0,0,102251,28892,566,117,16128,450
1966:Q4,162265,1547,0,0,72193,380,4921,236,3260,63396,73726,9117,64609,8692,140,0,0,0,360,5607,149829,0,0,0,103448,29425,592,111,16253,428
1967:Q1,166075,1308,0,0,73128,553,4855,237,3217,64266,74865,9396,65469,9935,150,0,0,0,368,6321,151985,0,0,0,104689,29976,803,112,16405,429
1967:Q2,168036,1384,0,0,73907,865,4690,242,3157,64953,75796,9670,66126,10051,163,0,0,0,377,6358,154141,0,0,0,105902,30617,481,112,17029,430
1967:Q3,170726,1431,0,0,75169,1138,4717,238,3129,65947,76507,9860,66647,10671,177,0,0,0,386,6385,156551,0,0,0,107124,31276,512,112,17527,431
1967:Q4,172609,1576,0,0,75730,480,4683,230,3145,67192,77575,10059,67516,10687,190,0,0,0,394,6457,158921,0,0,0,108333,31939,481,118,18050,452
1968:Q1,173853,1164,0,0,77153,676,4678,266,3175,68358,78309,10336,67973,10053,199,0,0,0,404,6571,161164,0,0,0,109533,32612,643,118,18258,453
1968:Q2,177196,1225,0,0,77814,670,4447,252,3173,69272,79118,10697,68421,11713,201,0,0,0,413,6712,163372,0,0,0,110725,33300,553,118,18676,455
1968:Q3,179975,1434,0,0,78704,801,4528,263,3169,69943,79949,11042,68907,12385,211,0,0,0,423,6869,165449,0,0,0,111922,33797,629,119,18982,456
1968:Q4,183022,1682,0,0,79362,526,4456,294,3194,70892,81281,11306,69975,12986,244,0,0,0,432,7035,168092,0,0,0,113135,34696,643,124,19494,475
1969:Q1,185017,1347,0,0,80683,854,4339,317,3230,71943,82107,11725,70382,12893,301,0,0,0,442,7244,170296,0,0,0,114361,35300,806,124,19705,477
1969:Q2,186543,1217,0,0,80849,698,4129,345,3224,72453,83219,12361,70858,12966,382,0,0,0,453,7457,172595,0,0,0,115594,36003,636,125,20237,479
1969:Q3,188610,1279,0,0,81478,1019,4088,382,3224,72765,84550,13182,71368,12751,470,0,0,0,463,7619,174919,0,0,0,116841,36718,723,125,20512,482
1969:Q4,191241,1634,0,0,81719,1365,4124,390,3221,72619,85852,13825,72027,13157,550,0,0,0,474,7855,177404,0,0,0,118107,37561,698,117,20921,452
1970:Q1,193637,1477,0,0,82608,1715,4080,448,3235,73130,87217,14544,72673,13164,634,0,0,0,485,8052,179833,0,0,0,119379,38343,884,118,21109,454
1970:Q2,192796,1381,0,0,82887,1655,4014,445,3229,73544,88418,15191,73227,10634,734,0,0,0,496,8246,182240,0,0,0,120642,39123,686,118,21671,456
1970:Q3,197496,1430,0,0,84143,2519,4147,488,3272,73717,89285,15703,73582,12875,817,0,0,0,507,8439,184779,0,0,0,121947,39971,785,119,21957,457
1970:Q4,200867,1758,0,0,84100,2142,4042,532,3306,74078,90439,16064,74375,14571,849,0,0,0,519,8631,187611,0,0,0,123341,40960,823,121,22366,466
1971:Q1,205572,1549,0,0,86101,3018,4004,539,3314,75226,90829,16296,74533,16889,831,0,0,0,531,8842,190668,0,0,0,124823,42102,948,122,22673,467
1971:Q2,207818,1482,0,0,87498,3679,3722,539,3339,76219,91040,16531,74509,17425,763,0,0,0,543,9067,193958,0,0,0,126389,43385,815,122,23247,470
1971:Q3,211379,1507,0,0,89247,4078,3751,613,3366,77439,91563,16812,74751,18539,677,0,0,0,556,9290,197404,0,0,0,128000,44749,895,123,23637,472
1971:Q4,215116,1763,0,0,90117,2770,3828,627,3363,79529,92561,17065,75496,20007,600,0,0,0,569,9499,200931,0,0,0,129621,46131,796,137,24246,527
1972:Q1,219621,1164,0,0,92829,3952,3990,716,3351,80820,92665,17267,75398,22123,526,0,0,0,582,9732,204663,0,0,0,131260,47585,940,138,24740,529
1972:Q2,222176,1328,0,0,94143,3564,3722,699,3351,82807,92926,17522,75404,22773,435,0,0,0,595,9976,208701,0,0,0,132927,49169,739,138,25728,531
1972:Q3,226751,1422,0,0,96936,4799,3875,750,3362,84150,93359,17771,75588,23848,357,0,0,0,609,10220,212680,0,0,0,134620,50718,835,138,26369,533
