1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,492,10,482,492,158,0,7,6,59,0,189,1,47,25
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,580,11,569,580,276,0,-10,7,36,0,200,2,58,11
1952:Q1,652,32,620,652,40,0,200,40,104,0,188,0,72,8
1952:Q2,828,32,796,828,324,0,36,20,132,0,232,4,72,8
1952:Q3,452,12,440,452,140,0,44,24,-12,0,156,0,88,12
1952:Q4,408,-8,416,408,112,0,40,20,-8,0,136,4,92,12
1953:Q1,640,44,596,640,228,0,20,20,88,0,184,0,92,8
1953:Q2,764,24,740,764,280,0,20,24,96,0,252,0,88,4
1953:Q3,320,0,320,320,76,0,24,24,-56,0,156,0,88,8
1953:Q4,280,-4,284,280,36,0,24,24,-32,0,132,0,88,8
1954:Q1,716,36,680,716,284,0,8,24,72,0,196,4,124,4
1954:Q2,800,32,768,800,260,0,8,24,160,0,216,4,124,4
1954:Q3,284,16,268,284,-60,0,44,24,40,0,128,-4,80,32
1954:Q4,236,8,228,236,-92,0,44,28,36,0,108,4,76,32
1955:Q1,904,56,848,904,552,0,-360,24,184,0,216,4,252,32
1955:Q2,940,56,884,940,108,0,-20,24,232,0,304,0,256,36
1955:Q3,636,28,608,636,116,0,-12,20,68,0,220,4,180,40
1955:Q4,624,-16,640,624,156,0,0,16,68,0,160,4,176,44
1956:Q1,1076,84,992,1076,392,0,4,12,92,0,252,0,280,44
1956:Q2,1192,52,1140,1192,420,0,4,8,132,0,296,4,284,44
