1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q4,874,874,0,1984,1984,698,698,0,0,0,0,0,0,0,1482,1482,4775,0,4775,0,11034,0,5414,2067,3553,0,0,0,0,0,295,295,0,0,0,0,0,31689,72504,32096,31689,72504,32096
1956:Q1,984,984,0,1893,1893,771,771,0,0,0,0,0,0,0,1525,1525,4884,0,4884,0,11215,0,5470,2142,3603,0,0,0,0,0,311,311,0,0,0,0,0,31719,74433,32846,31719,74433,32846
1956:Q2,1105,1105,0,1858,1858,739,739,0,0,0,0,0,0,0,1573,1573,4988,0,4988,0,11390,0,5510,2233,3647,0,0,0,0,0,317,317,0,0,0,0,0,32416,76193,33856,32416,76193,33856
1956:Q3,1290,1290,0,1792,1792,659,659,0,0,0,0,0,0,0,1622,1622,5090,0,5090,0,11574,0,5551,2330,3693,0,0,0,0,0,324,324,0,0,0,0,0,33164,77703,34894,33164,77703,34894
1956:Q4,1437,1437,0,1740,1740,683,683,0,0,0,0,0,0,0,1669,1669,5200,0,5200,0,11783,0,5608,2430,3745,0,0,0,0,0,339,339,0,0,0,0,0,33770,79824,35940,33770,79824,35940
1957:Q1,1694,1694,0,1693,1693,669,669,0,0,0,0,0,0,0,1714,1714,5316,0,5316,0,12019,0,5663,2556,3800,0,0,0,0,0,348,348,0,0,0,0,0,34903,83858,36758,34903,83858,36758
1957:Q2,1989,1989,0,1592,1592,696,696,0,0,0,0,0,0,0,1760,1760,5438,0,5438,0,12285,0,5723,2702,3860,0,0,0,0,0,370,370,0,0,0,0,0,35450,87786,37549,35450,87786,37549
1957:Q3,2122,2122,0,1490,1490,549,549,0,0,0,0,0,0,0,1804,1804,5558,0,5558,0,12554,0,5780,2856,3918,0,0,0,0,0,373,373,0,0,0,0,0,37051,91961,38350,37051,91961,38350
1957:Q4,2061,2061,0,1413,1413,653,653,0,0,0,0,0,0,0,1843,1843,5669,0,5669,0,12800,0,5829,3005,3966,0,0,0,0,0,378,378,0,0,0,0,0,38382,96135,39255,38382,96135,39255
1958:Q1,2182,2182,0,1388,1388,974,974,0,0,0,0,0,0,0,1877,1877,5772,0,5772,0,13022,0,5867,3142,4013,0,0,0,0,0,393,393,0,0,0,0,0,38882,98334,40225,38882,98334,40225
1958:Q2,2368,2368,0,1288,1288,1118,1118,0,0,0,0,0,0,0,1903,1903,5866,0,5866,0,13220,0,5891,3277,4052,0,0,0,0,0,414,414,0,0,0,0,0,38895,100460,41463,38895,100460,41463
1958:Q3,2474,2474,0,1287,1287,859,859,0,0,0,0,0,0,0,1931,1931,5959,0,5959,0,13422,0,5918,3415,4089,0,0,0,0,0,440,440,0,0,0,0,0,38598,102702,42589,38598,102702,42589
1958:Q4,2400,2400,0,1220,1220,819,819,0,0,0,0,0,0,0,1969,1969,6056,0,6056,0,13656,0,5966,3555,4135,0,0,0,0,0,469,469,0,0,0,0,0,38225,105047,43690,38225,105047,43690
1959:Q1,2456,2456,0,1186,1186,736,736,0,0,0,0,0,0,0,2017,2017,6160,0,6160,0,13923,0,6033,3697,4193,0,0,0,0,0,484,484,0,0,0,0,0,38788,107330,43618,38788,107330,43618
1959:Q2,2585,2585,0,1127,1127,776,776,0,0,0,0,0,0,0,2074,2074,6264,0,6264,0,14224,0,6122,3841,4261,0,0,0,0,0,510,510,0,0,0,0,0,38889,109504,43643,38889,109504,43643
