1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,949554,2709,84033,34321,0,1961,36374,9486,19886,3018,3984,37980,13940,24040,67108,964,333111,149422,201571,1547557,290157,10889,8360,270908,618346,196658,93341,328347,213366,33486,5182,387019,897275,1239483,19929
1976:Q4,956308,3439,89238,38273,0,1459,40669,10511,23062,2868,4228,40499,14518,25981,67205,964,318298,211984,144280,1573047,296826,11049,9163,276614,634602,200878,98819,334905,226618,35575,8992,370434,927300,1277573,34592
1977:Q1,976422,3897,85386,37906,31,1701,41454,10494,24067,2789,4104,38862,15480,23382,64801,941,341363,213519,146560,1620455,306027,12083,11928,282016,652179,204978,104891,342310,229562,37262,9153,386272,856996,1312615,35202
1977:Q2,1000822,4744,88119,39781,74,1848,35906,9442,19386,2682,4396,40709,16518,24191,69475,895,355262,216971,147038,1657823,312705,12914,14079,285712,677608,213957,110222,353429,238749,31819,9321,387621,881959,1345856,35853
1977:Q3,1033856,4914,88590,41126,130,2167,35605,8984,19178,2375,5068,42142,17731,24411,69931,841,373504,219060,155846,1709478,320704,13175,15713,291816,693540,217403,111673,364464,244953,35421,9503,405357,845194,1390300,36548
1977:Q4,1074638,5686,95671,47583,200,2115,35400,9390,18968,2672,4370,45449,19091,26358,72035,790,366382,235712,167615,1766439,329676,12808,17377,299491,720457,224205,119033,377219,262084,38005,10497,405720,819054,1441570,40372
1978:Q1,1107625,7097,89681,47745,255,2376,34589,10332,17725,2897,3635,44629,20071,24558,67468,738,387691,240120,185237,1829079,336357,13719,18702,303936,743752,234876,122016,386860,265290,41101,10757,431822,773767,1503508,41372
1978:Q2,1137703,7450,92908,48713,268,2272,34088,9330,16971,3358,4429,46169,21115,25054,72135,667,412451,243580,177002,1885960,345610,14419,20838,310353,775214,246539,129191,399484,277986,36205,11193,439752,833089,1561044,43053
1978:Q3,1180736,6457,94641,48565,349,2038,32651,9061,15835,2779,4976,47837,22319,25518,77307,615,439696,245214,185366,1948118,353531,14992,23017,315522,795154,250425,133210,411519,285398,40066,11696,462273,895681,1614888,44985
1978:Q4,1231122,8317,105242,53704,610,2509,35150,9512,18254,2773,4611,51609,23653,27956,72345,618,433299,272921,194798,2029719,361147,15499,25041,320607,823115,259524,141443,422148,310446,44006,13154,477851,856213,1673048,50592
1979:Q1,1280884,12524,103552,53027,1028,3434,34856,8896,17711,3364,4885,51358,25314,26044,76954,680,465455,278507,199509,2113948,370006,17665,27366,324975,850052,269315,148219,432518,315695,49457,13408,515330,910760,1748337,51565
1979:Q2,1319247,11273,102495,52444,1581,2949,37502,8604,20848,3430,4620,53562,26929,26633,78445,800,487885,285589,204722,2191184,380512,20564,29681,330267,890656,284462,158173,448021,331847,45212,13975,528982,920994,1813841,53754
1979:Q3,1387736,9777,103192,57541,2246,2685,31184,7732,16879,2570,4003,55688,28417,27271,83852,939,520103,292149,228381,2291265,390286,23828,32325,334133,920845,297090,160900,462855,350254,50597,14550,564733,980996,1881502,55964
1979:Q4,1431027,10080,114183,61683,3000,3116,32121,9586,16277,1800,4458,58985,29804,29181,83307,1060,509809,323562,230121,2378787,397461,24518,35028,337915,946328,306134,170105,470089,374263,53781,16715,590239,1014625,1941536,64289
1980:Q1,1457010,9174,112534,60285,3757,2334,36759,10176,16935,1933,7715,57041,31718,25323,80503,1177,542195,329488,221764,2472335,412059,31052,37147,343860,972773,313880,177645,481248,377010,59894,17255,633343,956763,1992567,66364
1980:Q2,1472313,8564,114969,58764,4432,3023,32027,9757,12423,1969,7878,59827,33842,25985,91998,1304,541772,332458,223175,2518383,431388,36334,40024,355030,975154,303402,182423,489329,371719,54360,18296,667466,1076420,2049893,70375
1980:Q3,1558202,8670,116250,60322,5389,3443,34459,9264,16197,1679,7319,63551,36513,27038,103136,1421,562227,336240,263094,2609816,437306,32189,42743,362374,996214,315033,181951,499230,380256,57579,19049,719412,1213806,2114147,73261
1980:Q4,1611722,9696,116601,69253,6993,3887,36960,9132,16261,2205,9362,69162,39611,29551,113879,1507,561845,376110,245829,2679135,439488,28026,45892,365570,1035185,336189,188410,510586,409101,59192,23746,712423,1346332,2185485,91332
1981:Q1,1740343,9384,111455,75704,9437,3459,31384,8799,15321,2243,5021,71232,43399,27833,115801,1541,605062,378620,327264,2841106,452370,31837,48925,371608,1057678,336126,198336,523216,428655,61994,24420,815989,1350793,2237123,93924
1981:Q2,1774228,9411,107732,75574,12915,2925,35398,8163,20172,3864,3199,76171,47346,28825,113383,1504,622610,384088,332516,2899184,469953,37819,52894,379240,1098930,351434,209212,538284,438023,56191,25332,810755,1315628,2278620,97441
1981:Q3,1804343,10495,104000,74591,16288,1514,39558,8021,23076,4475,3986,80632,51659,28973,101866,1498,638626,385587,349687,2983075,483822,44081,56029,383712,1135643,368144,215597,551902,435828,58274,26288,843221,1135956,2306451,101113
1981:Q4,1838133,12386,97936,80671,18416,1784,46534,8199,21950,5779,10606,86592,56245,30347,109002,1624,611151,398245,373792,3029581,492376,42722,59323,390331,1166081,379881,226381,559819,442051,53608,30927,844538,1225445,2343154,118949
1982:Q1,1857534,10066,94473,80616,19547,1820,39685,7908,19110,3809,8858,86401,58351,28050,100296,1882,619534,228047,575167,3112915,511040,49836,62963,398241,1190037,391507,227939,570591,431338,52994,32677,894828,1090243,2376549,74488
1982:Q2,1865785,11310,94843,77346,19930,2452,34531,8236,15750,3837,6708,89215,60313,28902,98889,2265,627596,232278,575131,3167775,521369,51741,66287,403341,1228281,411621,232933,583727,436638,47021,33904,900562,1073469,2387628,75495
1982:Q3,1922085,8268,96587,85392,19711,3305,36673,7731,18164,2506,8272,91079,61908,29171,109408,2689,641153,234190,593630,3248176,531636,49726,70589,411321,1255733,425802,235111,594820,440290,49204,34571,936741,1172612,2382280,77530
1982:Q4,1960480,10063,112027,91673,19031,2435,47703,7948,24255,3322,12178,93994,63207,30787,128675,3070,614124,242640,595045,3282096,533077,37614,74466,420997,1274511,433172,234507,606832,457218,50820,28211,938259,1386269,2385483,89590
1983:Q1,2011787,11580,107905,92246,17526,3278,53732,8071,28391,2830,14440,93087,64198,28889,141890,3409,628486,244356,614293,3334038,545301,41187,76920,427194,1311125,434944,235232,640949,438110,57185,27879,954438,1533575,2407716,90902
1983:Q2,2083018,11545,116583,97666,14825,3899,60762,9343,31581,3753,16085,96155,65410,30745,158078,3707,651607,248006,620186,3393324,556969,38849,79803,438317,1340424,436063,244551,659810,442362,53628,29738,970203,1736437,2402873,92259
1983:Q3,2122930,13176,123739,97393,12259,3847,56816,9943,29491,3141,14241,99029,67163,31866,158269,4044,680734,253384,620240,3458546,565361,40547,81876,442938,1372705,442545,249697,680463,439619,57706,31721,991434,1709243,2412284,93306
1983:Q4,2167004,14393,142066,101674,11153,3248,70810,12188,36167,4187,18268,104711,69346,35365,159277,4501,678921,289719,586531,3523869,567652,36775,83897,446980,1428571,464275,260772,703524,464977,55727,30913,976029,1630197,2443271,106890
1984:Q1,2256345,15541,155910,99993,11509,4127,82992,12632,44240,2548,23572,107725,74649,33076,156938,5034,716809,294079,605688,3663075,583617,42518,85897,455202,1483535,483882,273113,726540,473593,60422,31321,1030587,1527519,2449819,109741
1984:Q2,2342791,16503,151707,99091,13318,5917,81000,11246,43437,3291,23026,114530,79964,34566,154115,5604,749377,299010,652618,3798463,605223,53463,88116,463644,1553639,510120,285096,758423,493850,56920,35442,1053388,1455724,2439683,113963
1984:Q3,2437687,12418,152576,95221,15272,3928,75228,11189,39660,3715,20664,120324,85344,34980,170467,6295,775691,302954,707312,3919348,628268,60349,90480,477439,1598332,518034,294600,785698,494712,57777,36253,1104006,1542913,2435404,116234
1984:Q4,2467777,13284,160237,104224,16062,3919,79492,9742,41948,5319,22483,129135,90757,38378,175013,7193,753413,288062,737743,3972146,657987,58490,104439,495058,1662629,541260,310646,810723,504505,60318,37203,1049504,1553280,2441096,116169
1985:Q1,2539857,12568,150217,109420,15820,8081,68285,10202,35624,4183,18276,129334,93828,35506,187569,8651,785332,291289,773291,4108367,682669,62972,106139,513558,1690484,552371,314517,823596,501790,61330,38624,1133470,1671084,2444501,119952
1985:Q2,2594776,11895,158964,104764,14675,4225,88176,9798,48218,3502,26658,133791,96700,37091,197608,10112,798095,295346,777124,4216583,715218,68886,110639,535693,1727982,557734,318441,851807,507609,57964,40318,1167492,1743624,2429887,122482
1985:Q3,2651134,12514,172773,108177,14413,4794,76473,9326,41501,3533,22113,137157,99057,38100,186046,10393,809283,298482,820628,4325297,739841,69036,116039,554766,1747731,567355,319902,860474,505527,61746,41305,1229148,1641750,2442003,125211
1985:Q4,2771919,16023,197485,109901,14516,3374,86923,10478,46856,4017,25572,143501,100996,42505,214143,10799,803140,391367,780748,4453738,777480,72207,127039,578234,1794510,585312,332083,877115,546211,60605,41644,1233288,1916908,2503891,153289
1986:Q1,2792017,17734,188505,116137,19191,3349,79307,11646,42964,4167,20530,139257,99139,40118,247091,12589,793951,398376,776530,4463564,807745,69514,124039,614192,1826299,591365,338244,896690,498756,62165,43407,1225192,2136797,2539603,163080
1986:Q2,2838903,18854,186128,122345,20134,2900,90823,10268,50723,4518,25314,140301,98701,41600,264642,13947,810815,403687,764328,4518535,842883,68654,120767,653462,1871546,601847,349601,920098,489911,61722,45054,1207418,2244577,2559302,168356
1986:Q3,2919162,18104,177915,134442,21424,3742,88764,9378,49491,5750,24145,140654,98139,42515,248845,14709,832565,408495,829504,4632146,874104,72779,119531,681794,1902094,604465,356058,941571,495109,63911,46226,1250702,2031804,2593374,174766
1986:Q4,2976020,19201,198348,127838,21344,5073,88684,10173,51096,2360,25055,141843,94826,47017,265538,15676,816308,517615,758553,4706088,885353,62865,117138,705350,1979329,651617,367221,960491,529417,66053,51191,1194745,2240835,2620479,200911
1987:Q1,3074733,16826,199534,123132,22046,5556,86391,12384,48425,2274,23308,137863,93440,44423,321289,16057,847753,523775,774512,4796727,911433,63593,117349,730491,2014551,636609,370841,1007101,532658,67406,57103,1213575,2708148,2649877,208891
1987:Q2,3120037,15896,203844,122975,21684,5532,79914,13815,43099,3006,19994,137842,91271,46571,336338,15039,864259,531330,785384,4860955,932274,67916,116146,748212,2055139,645136,382732,1027271,527180,70408,59000,1216953,2783592,2668792,217201
1987:Q3,3182163,15081,204158,120919,21728,5601,80849,16886,41642,3036,19285,137607,89532,48075,357654,14628,886331,538818,798789,4922864,952968,68108,116097,768763,2086475,652339,387255,1046881,537607,71305,70075,1204434,2944431,2689248,226600
1987:Q4,3201377,16262,208865,126333,22058,3362,78567,14966,41589,2648,19364,143464,89436,54028,275803,12817,881598,565167,867081,5044760,974107,73768,116224,784115,2142301,664716,408806,1068779,578862,71717,66999,1210774,2286653,2727458,236818
1988:Q1,3283569,18334,205592,124630,23453,3658,76163,12295,41115,3702,19051,146779,95866,50913,270421,12167,919892,567787,914694,5161824,998872,73507,115753,809612,2190403,669539,431910,1088954,585078,73192,63962,1250317,2419233,2771353,252797
1988:Q2,3361056,25398,213793,119384,22091,3075,74323,15348,36777,6107,16091,156382,103552,52830,266069,11478,958949,571338,938777,5258141,1034690,77847,116168,840675,2238794,689625,439557,1109612,592523,71358,67012,1253764,2514872,2806257,270675
1988:Q3,3418397,26273,212983,124824,21284,3695,72495,13725,36840,5918,16012,164855,111068,53787,245024,10912,975610,578928,981515,5338147,1061889,80303,115932,865654,2268010,692813,450701,1124496,589151,71009,71103,1276985,2459275,2836143,282989
1988:Q4,3631917,21554,225196,129230,20959,4981,74715,13648,38251,6022,16794,176748,115991,60757,230344,10627,984210,646438,1106915,5575240,1089317,85676,116409,887232,2325144,715376,454426,1155342,640021,71132,77855,1371770,2558076,2871018,314053
1989:Q1,3778362,18622,218570,122107,22028,3744,93104,14686,47795,7692,22931,164040,111387,52653,243434,10876,1017506,658811,1205520,5776446,1113576,96147,115626,901803,2371257,719541,477533,1174183,642483,76986,90624,1481521,2669423,2911976,318291
1989:Q2,3821092,17113,220105,128116,22173,3524,100109,17526,50845,7090,24648,158784,104392,54392,261289,11643,1047531,662640,1188063,5852809,1148350,110059,115090,923201,2413927,733764,495584,1184579,646860,72612,94414,1476646,2835812,2948156,327843
1989:Q3,3850442,13992,221388,120264,22377,2449,105256,14351,56344,6564,27997,152730,96954,55776,285558,12045,1058457,668479,1187446,5926287,1166999,113273,114688,939038,2427303,741163,491384,1194756,643932,72619,94682,1520752,3056089,2963151,342218
1989:Q4,3868728,14705,234901,128961,21999,2783,119190,14291,63378,9170,32351,153374,89545,63829,287674,11709,1033072,741789,1118571,5993705,1183681,107112,115490,961079,2469422,767264,507996,1194162,664370,69706,98272,1508254,3138600,2991042,424050
1990:Q1,3875479,15669,226143,119428,25966,2036,99565,11574,56308,7046,24637,146030,87518,58512,278230,11097,1039846,754650,1156819,6047796,1208939,126034,114943,967962,2504336,760987,531788,1211561,656136,74037,100943,1503405,3005478,3021902,436483
1990:Q2,3886993,15551,226576,121084,27570,1800,99797,12555,58039,5292,23911,145831,86246,59585,294621,11261,1075983,761299,1105621,6062361,1228355,128659,115278,984418,2525384,766553,544950,1213881,660767,68993,103723,1475140,3134877,3043558,447057
1990:Q3,3929604,14509,222158,123818,31109,2792,89772,12016,49068,2886,25802,145261,85186,60075,253215,9296,1110440,777138,1150096,6152114,1238704,131811,115026,991867,2535312,759217,559715,1216380,681599,72853,104622,1519025,2653601,3066511,465406
1990:Q4,3979004,14717,242365,125583,32994,2137,91953,13836,50161,3285,24671,150965,83824,67141,274682,9723,1064995,657935,1310955,6186526,1240172,116852,115153,1008167,2543174,760738,569431,1213005,692727,70302,105628,1534523,2955814,3090141,442331
1991:Q1,4011535,15349,210377,128049,36545,1324,89197,13845,46999,2873,25480,143068,83882,59186,313678,11775,1048621,669216,1344336,6206157,1262042,119851,114860,1027331,2507309,747037,545663,1214609,657593,66752,100253,1612208,3396441,3088281,452981
1991:Q2,4046462,12599,218448,132669,36865,1430,93375,15866,47099,4955,25455,141488,84103,57385,311831,12357,1078110,676426,1330863,6224308,1286441,119437,115537,1051467,2489315,732655,540839,1215821,667647,59628,106559,1614718,3354319,3082602,447778
1991:Q3,4104690,13578,229880,136293,38117,1635,108785,14318,54475,3350,36642,141586,84343,57243,327479,13606,1092297,685760,1315675,6270536,1294169,107016,115277,1071876,2443992,720494,531081,1192417,681809,63751,102276,1684539,3536308,3065439,448168
1991:Q4,4114121,16435,249822,130809,39733,1620,120300,14695,55675,5112,44818,147984,84996,62988,353898,14828,1058104,742902,1237686,6264062,1299396,98477,113984,1086935,2396987,709053,511019,1176915,717167,61371,98961,1690179,3998481,3043769,534545
1992:Q1,4239238,14978,242201,130553,46356,3211,109414,13853,54367,7872,33322,140628,84596,56032,334622,16197,1075481,757148,1368448,6491811,1330818,110434,114334,1106050,2378586,702366,511179,1165041,698459,67184,97087,1919677,3908353,3038375,547730
1992:Q2,4250999,14987,242356,131103,49543,3872,132898,14122,70171,7727,40878,141143,84270,56873,330317,17119,1119455,768289,1299915,6497872,1352584,111996,115097,1125491,2355768,694004,509375,1152389,716598,64213,99345,1909365,3870341,3028025,552389
1992:Q3,4270555,15639,242431,134367,53416,3194,128535,14757,65332,8462,39984,142470,84627,57843,329952,18891,1134080,777469,1290109,6509879,1365248,108216,116104,1140928,2331242,687249,509819,1134174,725753,68374,97896,1921366,3966349,3027567,553247
1992:Q4,4305362,15791,249374,136186,57073,5057,145007,17044,73565,8585,45813,150946,85205,65741,335563,21148,1092754,703724,1392739,6538585,1379895,107106,118285,1154504,2308526,683430,518277,1106819,756882,68465,101050,1923767,4361179,3022581,564097
1993:Q1,4401923,13489,244283,144020,56959,3905,131752,15860,56231,15167,44494,144984,81633,63351,359409,23483,1132267,710184,1437188,6631461,1445589,113900,119327,1212362,2275242,673107,511005,1091130,743821,74396,104725,1987688,4481787,3067326,571435
1993:Q2,4487323,13667,250779,147846,55915,3071,137993,18076,61216,11620,47081,143734,79181,64553,370027,25215,1164429,724775,1449872,6685554,1503576,124025,120705,1258846,2258954,677934,503876,1077144,744100,70609,110104,1998212,4502439,3094020,571715
1993:Q3,4567800,15278,247207,143401,55426,1963,156603,16698,66531,17224,56150,143474,76866,66608,388666,27899,1190125,739686,1458072,6728669,1548852,123232,122697,1302923,2235800,671377,496025,1068398,752145,73232,114785,2003856,4628385,3130723,564772
1993:Q4,4682695,14502,271953,155587,55677,2506,157101,19411,62439,19059,56192,151362,74133,77229,406967,29776,1143777,890698,1402788,6802652,1580574,117829,124864,1337881,2233563,680522,488747,1064294,794805,72112,120256,2001342,4842338,3175202,576801
1994:Q1,4721539,15730,272810,152045,58348,2579,161162,16511,68661,22414,53576,145821,74116,71705,381249,29526,1177250,919037,1405982,6844317,1630903,129885,126947,1374071,2258181,689093,514058,1055030,780468,76964,119436,1978364,4630536,3241336,593026
1994:Q2,4802075,16080,275316,155832,60773,2514,162958,17880,68659,24901,51518,150192,76936,73256,372317,29114,1228063,934612,1414303,6912708,1661478,135680,129467,1396331,2278947,706293,517003,1055651,805934,73256,120100,1972994,4541826,3304729,595308
1994:Q3,4875073,12638,281599,157040,62656,2696,161254,17818,76920,14900,51616,152959,78218,74741,379788,30922,1246202,952844,1434474,6963554,1679354,138683,130445,1410226,2297946,722513,517980,1057453,821615,74996,122430,1967213,4800739,3344650,613565
1994:Q4,5016504,15664,291787,163545,67317,2178,166171,18826,69150,19875,58320,166774,80153,86621,369073,31061,1232003,971611,1539320,7081432,1699387,139238,131689,1428460,2327466,743352,530817,1053297,879494,73122,115548,1986416,4796829,3400968,608246
1995:Q1,5095642,13850,275210,151005,72626,3707,149996,18211,61608,21042,49135,159508,79761,79747,401714,34725,1262686,991336,1579279,7167035,1722105,149799,131748,1440558,2384515,775958,549208,1059349,875383,82352,112782,1989897,5167983,3443626,627319
1995:Q2,5232603,14454,273121,161359,80537,9019,176171,17386,69206,24306,65273,160304,79799,80505,436328,38408,1289639,1006142,1587121,7265520,1761207,162887,132761,1465559,2425072,802578,556626,1065868,887861,73904,114813,2002663,5594356,3479007,640478
1995:Q3,5380133,15856,282774,163948,86034,3771,147483,18004,66348,20783,42348,157909,79629,78280,467322,42323,1343457,1027350,1641908,7384484,1771961,163268,133510,1475183,2447651,816196,557281,1074174,923601,75515,116187,2049569,6024123,3528635,656185
1995:Q4,5574211,17403,307886,171147,94004,2440,163286,20142,80724,23421,38999,164729,79668,85061,491714,45668,1325261,1199403,1591270,7537361,1785204,157351,134758,1493095,2493976,832127,581898,1079951,974226,73667,113927,2096361,6406754,3579726,814405
1996:Q1,5728600,20387,283139,167839,101622,2428,151033,17436,82413,20853,30331,155060,78382,76678,521977,50177,1368703,1224015,1682220,7678661,1824895,174174,134937,1515784,2514712,833236,590724,1090752,970108,83165,121575,2164206,6683652,3606444,830432
1996:Q2,5877535,19844,295566,176787,102580,4322,167862,20928,90198,22880,33856,148951,76934,72017,549214,54306,1425282,1238300,1694519,7798376,1860871,181726,137110,1542035,2557377,850113,599811,1107453,1002692,80014,124688,2172734,6988156,3610599,852187
1996:Q3,6010078,20922,310357,186931,106979,4674,165459,23488,79919,25926,36126,144367,75847,68520,569961,57743,1458308,1259375,1725000,7920000,1868210,172999,137084,1558127,2599152,879870,603774,1115508,995044,84317,125525,2247752,7047824,3638733,862048
1996:Q4,6168594,28208,326342,204675,113864,3904,169303,31534,75645,28480,33644,152481,74736,77745,621908,62566,1442904,1408107,1634332,8043254,1876162,156405,137851,1581906,2626625,892136,602922,1131567,1055536,85547,126414,2272970,7136150,3704902,991023
1997:Q1,6261673,28968,332248,211214,123374,3732,163637,26721,84519,19272,33125,150380,80423,69957,655484,62961,1488384,1436405,1604887,8158417,1916803,168747,138652,1609404,2672983,923506,610878,1138599,1042740,98935,135983,2290973,7172828,3837771,1010636
1997:Q2,6394212,33462,331734,227641,125559,3249,147620,25733,70901,11823,39163,154580,86607,67973,789496,69664,1553500,1458798,1498911,8252218,1963972,179286,139800,1644886,2720471,950514,611421,1158536,1065046,95247,142369,2265113,8281378,3881296,1023775
1997:Q3,6553190,33251,340131,225587,134071,4004,141577,28351,68422,8394,36410,161412,92755,68657,869725,74632,1582265,1479939,1506598,8387838,2014135,176649,141682,1695804,2775309,965917,626018,1183374,1092431,103342,142834,2259787,8956472,3953775,1026379
1997:Q4,6649545,23139,337253,250089,141740,4562,133753,36145,59081,7971,30556,183397,98988,84409,916390,74492,1566031,1642023,1376677,8490234,2021164,168598,142002,1710564,2863682,993443,660056,1210183,1152531,99155,147887,2205816,9055845,4068301,1283055
1998:Q1,6893269,27115,349387,300429,154944,3717,127798,32204,56020,7283,32291,175972,97675,78297,1072297,84641,1607699,1689203,1300067,8722260,2119864,193105,143842,1782917,2920585,1003151,677940,1239494,1170904,110288,151886,2248733,10355601,4194326,1303715
1998:Q2,7115146,20577,350792,307586,162933,2491,120264,28870,54878,7036,29480,173377,96327,77050,1136358,88194,1649614,1728051,1374909,8960906,2214311,202491,145492,1866328,2998889,1043002,684525,1271362,1173175,100645,156911,2316975,10582784,4198916,1313027
1998:Q3,7233949,18385,350392,316869,178836,3252,125636,31301,57331,8288,28716,170636,94945,75691,1048714,83020,1708388,1749138,1480682,9154504,2255163,216872,147009,1891282,3068492,1073644,689613,1305235,1206905,111865,162268,2349811,9568672,4281451,1316032
1998:Q4,7882177,30518,327127,319046,194292,4208,140204,39433,61589,10609,28573,172909,93560,79349,1303141,97645,1681574,1984406,1627106,9628207,2266737,192958,147763,1926016,3188677,1099581,729673,1359423,1240448,108119,172649,2651577,11482812,4322459,1691204
1999:Q1,8208380,36235,317190,334856,207451,4775,139611,40493,60267,11324,27527,161975,86705,75270,1476972,102125,1743019,2047509,1636662,9935532,2348031,223886,149143,1975002,3285631,1121034,764749,1399848,1249882,113269,188330,2750389,11743420,4318548,1687801
1999:Q2,8590992,32343,336109,363230,206394,3434,140505,47355,57929,11363,23858,154488,79622,74866,1696963,110629,1834198,2092712,1619987,10229787,2419949,232365,150297,2037287,3332108,1132691,755057,1444360,1300987,120531,197057,2859155,12769204,4347786,1764749
1999:Q3,8847776,33490,343687,380701,215323,6089,150285,47618,58069,12445,32153,146333,72468,73865,1698637,109252,1922816,2151918,1689245,10561121,2495588,239280,151977,2104331,3445412,1164616,756527,1524269,1379767,123848,211394,2905112,12317109,4495492,1775791
1999:Q4,9342306,31460,361601,416386,237491,5793,144319,47604,56599,12416,27700,141434,65314,76120,2075021,127331,1930149,2513813,1357508,10892307,2511245,230326,152826,2128093,3543338,1197778,767301,1578259,1453390,124021,225439,3034874,15036312,4579762,2097278
2000:Q1,9691029,35750,356227,431936,245519,7995,151671,46046,59556,15205,30864,137557,65728,71829,2074707,132886,2028974,2545529,1542278,11249590,2585322,260797,153262,2171263,3643892,1221690,807056,1615146,1511803,141658,231639,3135276,15922815,4599432,2126418
2000:Q2,10084202,29742,376926,465842,238722,5943,163906,49284,61899,18089,34634,140434,66141,74293,1973307,128352,2161146,2594069,1805813,11687974,2652975,296844,153380,2202751,3759190,1267996,830780,1660414,1608044,141956,241554,3284254,15221012,4632529,2204561
2000:Q3,10484301,13998,401411,497374,247853,5763,168663,58245,62058,18933,29427,141859,66555,75304,1908758,128479,2259595,2627240,2083308,12088276,2703036,307039,153937,2242060,3796362,1281647,818654,1696061,1706418,140869,277936,3463655,14978622,4848729,2234706
2000:Q4,11264409,24029,404861,519923,263307,4204,165839,57765,58267,15423,34384,148459,66969,81490,1717546,118041,2281381,2381520,3235300,12431290,2700132,278402,154187,2267543,3896433,1303418,855979,1737036,1808154,142632,281589,3602350,13087586,4972899,2054434
2001:Q1,11287512,16928,346891,504572,298816,3349,155744,54671,57437,14284,29352,144005,68576,75429,1457214,106246,2289139,2418560,3546047,12590876,2756544,235619,154669,2366256,3895912,1303643,858914,1733355,1772548,147623,305959,3712290,11502240,5044477,2074706
2001:Q2,11440195,17093,356031,502983,313389,3196,155966,56427,58309,14828,26402,143400,70188,73212,1482561,112361,2294315,2448202,3610697,12726613,2849940,206256,155816,2487868,3940256,1281961,883981,1774314,1744384,142646,315411,3733976,12377309,5104055,2119244
2001:Q3,11419855,14369,351270,505497,340688,3496,161594,56538,59276,16203,29577,141635,71811,69824,1213521,99260,2252695,2481625,3854204,12791593,2867505,189571,156406,2521528,3979738,1265949,880742,1833047,1713925,170203,324607,3735616,10342205,5171447,2129953
2001:Q4,11551982,15517,351533,535838,373045,3980,170225,60169,59681,17539,32836,146487,73434,73053,1286722,108960,2161835,2042610,4355230,12847742,2899185,177726,157687,2563772,3997188,1242455,854782,1899951,1699670,149734,333850,3768116,11677540,5173483,1826080
2002:Q1,11603663,16672,357639,535141,369203,2673,169793,54667,63495,18325,33306,142300,73997,68303,1285382,109114,2203953,2083423,4328370,12960252,2925332,162983,157500,2604849,4011672,1232526,851587,1927559,1708675,154505,339201,3820868,11714607,5204518,1844409
2002:Q2,11612034,18500,357622,541509,364346,5667,173409,55218,67972,18964,31255,143436,74569,68867,1108373,99863,2228851,2116554,4453904,13030393,2935549,141454,158317,2635778,4035935,1193422,872112,1970401,1714995,158259,318982,3866673,10113628,5258776,1870933
2002:Q3,11556612,20000,352708,529475,360186,5282,186194,60256,71186,18126,36626,144710,75150,69560,912525,87756,2190574,2149526,4617677,13058155,2916726,136423,159165,2621138,4080430,1179738,883019,2017673,1722619,170974,306426,3860980,8408369,5328123,1896749
2002:Q4,11442296,20587,341562,560473,381039,6171,191363,64789,74191,16883,35500,150526,75728,74798,984329,90918,2082360,1755079,4877889,13164125,2910256,119813,160622,2629821,4139020,1162747,894771,2081502,1744785,163114,309012,3897939,8991360,5190416,1403232
2003:Q1,11464281,21933,352901,584334,373752,5717,193247,61894,77876,17944,35533,148742,76299,72443,922711,89812,2156433,1776892,4837807,13193795,2917433,119825,160774,2636834,4140264,1138482,893482,2108300,1701533,167247,298359,3968959,8720675,5351984,1432215
2003:Q2,11532301,30297,372703,616808,369952,6221,196532,70005,80441,12192,33894,149283,76876,72407,1030006,100865,2148191,1819386,4692056,13178936,2945257,100995,161893,2682369,4144443,1111954,896391,2136098,1670619,166318,294485,3957814,10022037,5458218,1434327
2003:Q3,11559332,34513,392978,639727,362392,7241,209477,80487,79735,11785,37470,150516,77460,73056,1021911,105180,2127446,1856258,4651694,13175936,2978819,103978,162518,2712323,4148179,1099459,880789,2167931,1659293,168750,279291,3941604,10403742,5573556,1451043
2003:Q4,11670739,38145,386964,676620,357177,5986,203587,75679,78585,11230,38093,137107,78042,59065,1106509,114880,2039489,2331481,4272795,13179852,2963643,82481,163914,2717248,4180639,1093735,897958,2188946,1663874,150872,266877,3953948,11540719,5648717,1783835
2004:Q1,11940644,41699,414400,696534,359240,5183,208361,78983,81145,11642,36591,138873,82870,56003,1122544,117914,2149568,2392796,4293532,13409360,3009336,91623,192215,2725498,4255914,1072934,910243,2272737,1707102,162486,274186,4000336,11858412,5817943,1798485
2004:Q2,12216093,47625,447908,700173,360650,4829,207855,78886,81553,11336,36080,143798,87698,56100,1138964,118146,2211991,2456902,4377253,13586859,3004972,98673,198301,2707998,4343184,1082643,917718,2342823,1717618,166001,265844,4089240,12121492,6124930,1824769
2004:Q3,12456753,44697,465719,746906,361980,5719,212685,85624,80750,10627,35684,146670,92566,54104,1114543,116560,2240773,2507360,4493142,13769653,3008511,105121,199319,2704071,4444183,1099869,918585,2425729,1749616,176321,264133,4126888,11826934,6459531,1846031
2004:Q4,12823584,53705,444307,751076,372507,6422,226732,95023,84209,11338,36162,156645,97434,59211,1213832,125553,2194978,2845584,4432243,14016487,2994400,97782,199810,2696808,4580739,1130640,953808,2496291,1784812,166000,263413,4227124,12946710,6680524,1968381
