1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,111694,10,40051,900,0,0,15447,265,14697,0,485,6467,24,6443,0,0,34635,10367,3817,127101,35036,162,0,34874,47897,17127,6463,24307,32181,8806,402,2779,103822,284819,1548
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,130106,57,41599,900,0,0,18665,143,17870,0,652,7761,23,7738,0,0,45674,11419,4031,154027,36705,207,0,36498,55379,21725,7062,26592,41415,16061,495,3972,126681,301720,1905
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,138840,91,43742,900,0,0,19587,90,18653,0,844,8497,26,8471,0,0,48938,12567,4518,170441,40061,269,0,39792,63745,26748,7785,29212,41361,20537,548,4189,147629,328513,2112
1952:Q1,138652,84,42406,900,0,0,18825,138,17862,0,825,7714,27,7687,0,0,51136,12945,4642,169120,41201,328,0,40873,64031,26521,7782,29728,40056,18812,560,4460,151463,331583,2156
