1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2017:Q2,10417101,9773973,15567,627561,10417101,80528,18613,15975,29467,127334,2525595,1134,14581,458840,24308,1014,2976,4703391,1755769,493061,100529,63986,584447,475988,302,81302,6749,20106
2017:Q3,10510631,9855206,15905,639520,10510631,79656,18972,16732,29132,128371,2545046,1116,14468,471582,24678,979,1495,4736057,1796559,482950,99043,63795,576707,467778,293,82432,6395,19809
2017:Q4,10595926,9928793,16125,651008,10595926,78784,19331,17490,29108,132254,2556883,1064,15277,481373,25190,944,2484,4775581,1825684,474163,95223,65093,569883,460376,271,84142,6049,19045
2018:Q1,10639958,9965950,16428,657580,10639958,77912,19630,17584,29055,129917,2557448,1068,14915,491238,26609,909,2678,4797501,1848742,466107,96884,61761,555118,446370,253,83362,5756,19377
2018:Q2,10728413,10047843,16669,663901,10728413,77040,19929,17678,29033,133314,2570089,1354,14645,503710,28228,874,3393,4821625,1878218,472515,94829,61939,546762,435826,246,85999,5725,18966
2018:Q3,10831242,10143135,17105,671002,10831242,76168,20228,17772,29119,135630,2588082,1540,14346,514519,29934,839,4515,4856526,1915188,472440,89902,64494,538209,427316,240,86976,5697,17980
2018:Q4,10897248,10203915,17079,676254,10897248,75296,20528,17866,29217,133182,2586032,1606,14079,523013,31530,804,4438,4883889,1948715,467195,87083,72775,533300,420198,231,89477,5977,17417
2019:Q1,10926944,10233645,17332,675967,10926944,74424,20859,18100,29277,132910,2581157,1552,13774,527362,33063,769,3482,4898141,1964254,465570,88868,73382,523945,409434,224,89855,6658,17774
2019:Q2,11014080,10316869,17229,679982,11014080,73552,21189,18315,29009,131207,2615000,1551,13610,538905,34195,734,3189,4918449,1982790,466118,86993,79274,519012,402027,225,92727,6634,17399
2019:Q3,11115716,10412852,17353,685511,11115716,72675,21520,18609,29221,131371,2624640,1573,13364,549773,35910,699,3281,4972954,1999937,469609,86936,83644,509541,392570,199,92371,7014,17387
2019:Q4,11186821,10480962,17242,688617,11186821,71803,21852,18864,29243,132100,2638226,1452,13156,564533,37862,664,2836,5016055,2024759,451987,85384,76045,501334,383640,311,92956,7350,17077
2020:Q1,11251905,10541360,17561,692984,11251905,70931,22196,19460,29484,130342,2636999,1368,12992,578662,38233,629,2986,5063722,2045704,460736,83600,53861,495323,378736,263,92632,6972,16720
2020:Q2,11336949,10622385,17342,697222,11336949,70059,22547,20217,29531,131244,2628786,1474,13365,593395,38173,594,2629,5177610,2030861,448535,79145,48784,475807,363145,279,89944,6610,15829
2020:Q3,11504200,10780467,16976,706757,11504200,69187,22903,20461,29995,132958,2625165,1322,13707,605166,37908,559,2713,5354059,2023476,435867,75418,53336,460292,349788,206,88995,6219,15084
2020:Q4,11652712,10919733,16747,716232,11652712,68315,23265,20415,30419,134146,2581469,1237,13475,610083,38571,524,2499,5575268,2008954,414707,77135,52230,441768,334502,76,85960,5803,15427
2021:Q1,11783978,11041045,16905,726028,11783978,67443,23633,20971,30644,134809,2533292,1062,13129,613376,38812,489,2677,5776306,1996405,399799,76103,55028,421477,318151,75,82662,5368,15221
2021:Q2,12022165,11263783,17665,740717,12022165,66571,24007,21037,31510,135309,2531440,1067,12680,629033,39415,454,2652,5984416,2012051,394469,75128,60926,411272,308151,58,83218,4819,15026
2021:Q3,12271340,11497297,18646,755396,12271340,65699,24386,21507,32416,135254,2570855,1269,12326,645929,40365,419,2730,6149505,2022390,399089,74296,72905,403564,299162,49,85122,4372,14859
2021:Q4,12531780,11742514,18816,770450,12531780,64827,24771,21785,32624,134967,2605503,1286,11968,670144,41295,384,2735,6323963,2044381,402668,73553,74926,395634,292908,43,83447,4525,14711
