1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,637085,499797,299127,106199,16369,78102,137288,141,26977,1000,0,0,17675,325,15667,350,1333,7910,50,7860,0,0,60287,19961,3337,169529,56235,289,0,55946,49747,28607,4609,16531,43720,12175,789,6863,467556,252704,252704,0,3030,54.69592750150948,41.44220150355792,22.66719648941551,440464,303176,128251,82710,14328,77887,270935,1713,114942
1956:Q3,656609,514721,307973,110485,16950,79313,141888,119,27277,1000,0,0,17616,371,15575,375,1295,7936,51,7885,0,0,63778,20799,3363,175280,57414,401,0,57013,50342,29331,4398,16614,45420,14259,804,7041,481329,246833,246833,0,3098,51.92523531148833,43.11434273665885,22.38722391901168,451819,309931,131006,84794,14828,79303,276539,1730,117354
1956:Q4,672360,525915,313564,113963,17473,80915,146445,138,28990,1000,0,0,18765,305,16718,400,1342,8701,54,8647,0,0,63809,21740,3302,183501,58418,378,0,58040,52543,30747,4670,17126,47992,16754,819,6975,488859,268373,268373,0,3148,55.5417548269003,40.86639639253934,22.69791369093344,462993,316548,133715,86911,15333,80589,279492,1747,119776
1957:Q1,681055,536469,318689,117838,18082,81860,144586,198,26402,1000,0,0,18440,355,16166,500,1419,7609,58,7551,0,0,65016,22352,3569,181583,59863,353,0,59510,53682,30873,5180,17628,46320,14218,827,6673,499472,254023,254023,0,3182,51.49534346094733,44.14554762169035,22.73290137050551,468424,323838,136353,89183,15809,82493,286841,1765,122191
1957:Q2,689415,544125,323585,119534,18577,82429,145290,176,27100,1000,0,0,16579,349,14227,600,1403,8152,63,8089,0,0,65154,23597,3532,182391,61295,320,0,60975,55042,32125,5220,17697,46312,11957,838,6947,507024,273076,273076,0,3228,54.49524128848358,42.10454763255406,22.94497482578483,474573,329283,138947,91419,16266,82651,292182,1783,124634
1957:Q3,701351,552204,327499,122241,19062,83403,149147,153,27712,1000,0,0,17328,345,14773,700,1510,8064,68,7996,0,0,67098,24042,3750,186756,62852,364,0,62488,54972,31811,5354,17806,47428,13511,840,7153,514595,245392,245392,0,3236,48.31525450524611,47.38951057784415,22.89636264447592,484609,335462,141524,93801,16715,83422,297853,1802,127049
1957:Q4,708995,557989,330035,125586,19457,82911,151006,131,29024,1000,0,0,18303,435,15589,800,1479,8742,72,8670,0,0,65436,24524,3846,192867,64494,422,0,64072,56138,31971,5730,18437,49578,14621,873,7163,516128,245747,245747,0,3355,48.26361625727372,48.42671931932397,23.37248597826556,490510,339504,144086,95927,17147,82344,297643,1821,129355
1958:Q1,707255,559665,331473,126440,20023,81729,147590,160,25972,1550,0,0,17057,746,14394,700,1217,7512,76,7436,0,0,66550,24843,3946,187049,66653,716,0,65937,55705,30808,6185,18711,45517,11495,890,6789,520206,261319,261319,0,3423,50.89173512299189,46.2176963041259,23.52098758304457,491938,344348,146508,97398,17570,82872,304889,1839,131437
1958:Q2,710990,562135,333382,127913,20418,80422,148855,132,27218,2100,0,0,14977,455,12340,500,1682,7958,80,7878,0,0,66706,25469,4295,187021,67808,791,0,67017,55463,30687,5841,18935,46871,8991,910,6978,523969,278565,278565,0,3498,53.83197019049889,43.70319468897313,23.52629073726371,494807,345952,148855,98556,17991,80550,307786,1857,133364
1958:Q3,721545,565467,335558,128629,20777,80503,156078,172,28211,2000,0,0,15928,224,13175,550,1979,8051,84,7967,0,0,71453,25837,4426,193146,69258,795,0,68463,55019,30474,5335,19211,50103,10322,928,7516,528399,310541,310541,0,3569,59.4456586730791,39.56477922185873,23.51954361098347,505720,349642,151128,99586,18424,80504,312574,1886,135183
1958:Q4,732828,570292,337847,129601,21159,81685,162536,149,30083,1900,0,0,18860,210,16092,600,1958,8907,87,8820,0,0,71840,26443,4354,202401,70373,658,0,69715,57592,31650,5758,20184,53810,12026,930,7670,530427,324670,324670,0,3574,61.88296678481954,38.98480721665371,24.12495530100774,517491,354955,153411,100777,18879,81888,315090,1937,137024
1959:Q1,740199,576996,341236,131385,21533,82842,163203,143,27264,1800,0,0,20440,502,17280,700,1958,8118,74,8044,0,0,73501,26979,4958,202930,70959,652,0,70307,57891,31437,6248,20206,53685,11682,956,7757,537269,332012,332012,0,3675,62.48022284485771,38.38393668458054,23.98236917715501,524883,361680,155643,102173,19348,84516,321953,2017,138807
1959:Q2,752906,583892,343483,133142,22141,85126,169014,137,28230,1700,0,0,21635,622,18104,900,2009,8667,62,8605,0,0,75575,27750,5320,208879,71627,458,0,71169,60298,33407,6655,20235,55502,12591,987,7874,544027,346451,346451,0,3797,64.38062847569192,37.66604976538979,24.24963956092483,536856,367842,157964,103671,19830,86377,327977,2121,140665
1959:Q3,762561,589281,345763,134930,22721,85866,173280,145,27748,1600,0,0,24006,240,20311,1000,2455,8553,21,8532,0,0,77484,28249,5495,211122,72264,527,0,71737,60633,34014,6412,20208,55842,13275,1010,8098,551439,339875,339875,0,3889,62.33949886929479,38.65942365587681,24.10009097283121,546181,372901,160368,105337,20295,86901,335059,2231,142601
1959:Q4,772702,595067,348117,136432,23283,87235,177635,132,29196,1500,0,0,25357,742,21621,1200,1794,10139,21,10118,0,0,77386,28752,5173,219159,73109,315,0,72794,63536,35439,7088,21009,59100,14150,1017,8247,553543,362157,362157,0,3906,66.13095690686329,37.32826736358931,24.68554040429396,556646,379011,162745,107057,20761,88448,337487,2331,144510
1960:Q1,776118,599732,348684,137447,23738,89863,176386,121,26528,1268,0,0,24375,740,19986,1200,2449,8340,22,8318,0,0,79948,29312,6494,219271,73643,427,0,73216,65097,35977,8149,20971,58535,12817,1035,8144,556847,339310,339310,0,3980,61.64886230602912,40.414805225996,24.91526762502413,564281,387895,165300,108999,21238,92358,345010,2482,146548
1960:Q2,780342,603930,349886,139566,24157,90320,176412,140,27535,1087,0,0,22526,757,18247,1343,2179,9044,23,9021,0,0,80465,29641,5974,222026,74654,547,0,74107,66747,36856,8811,21080,59438,11903,1045,8239,558316,347588,347588,0,4025,62.97744524889202,40.21485223493705,25.32628654818031,569593,393181,167840,111112,21714,92515,347567,2617,148598
1960:Q3,786935,608270,351278,141023,24675,91295,178665,191,27737,1346,0,0,20832,648,16446,1190,2548,8777,24,8753,0,0,83319,29976,6487,223545,75671,782,0,74889,66250,36543,8402,21305,60426,11795,1064,8339,563390,321285,321285,0,4087,57.75248852996865,43.61796167003693,25.19045831049421,577425,398760,170371,112999,22221,93169,353880,2752,150619
1960:Q4,790143,609666,352721,141877,25168,89900,180477,148,28243,3000,0,0,20038,788,15752,1116,2382,9647,24,9623,0,0,82311,30670,6420,229575,76985,769,0,76216,68607,37651,9131,21825,61935,12560,1067,8421,560568,365166,365166,0,4102,65.87393393316933,39.427292388502,25.9723085396393,582501,402024,173027,114640,22731,91626,352926,2896,152706
