1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q1,7051349,35187,18196,314350,1599976,2144,236871,910717,115012,335232,4555069,1474740,8705,2337560,734064,42319,17001,0,73528,395722,7005906,-66157,695338,3980531,652685,89999,8980,81019,401383,70171,15233,1166724,492706,114567,559451,140344,0,ND
2000:Q2,7201720,36992,18513,300676,1585944,1599,221136,911889,115425,335895,4713463,1521820,8997,2430432,752214,41735,15883,0,74703,413810,7199555,-4712,694089,4044070,673206,93579,9274,84305,434149,69278,15339,1180557,502979,114542,563036,140491,0,ND
2000:Q3,7345626,34494,17624,309789,1601215,1562,219439,900377,116513,363324,4804912,1533766,8429,2487638,775079,44385,16163,0,79396,437648,7349057,-20776,656844,4143136,675647,95972,8724,87248,427538,78905,17334,1274458,539214,119921,615323,139885,0,ND
2000:Q4,7496227,44391,19045,357219,1620819,1796,200729,910447,117296,390551,4874945,1564226,7487,2502964,800268,43326,17352,0,77230,441900,7539064,-19702,662407,4256547,697050,100578,7930,92648,435795,86072,14709,1305607,552499,138669,614439,107776,0,ND
2001:Q1,7588512,36000,17828,416217,1612171,911,187315,913503,116539,393903,4902675,1554556,7448,2549933,790738,38133,19111,0,77870,468506,7652941,-95202,644562,4403812,731447,103769,7801,95968,443391,84824,15639,1320699,564732,134244,621723,106560,0,ND
2001:Q2,7617230,37171,18647,380691,1635593,706,187236,901367,120385,425899,4941353,1532871,6558,2600163,801761,41433,20830,0,78724,462787,7670087,-87986,663851,4455307,700102,102110,6775,95335,444530,80451,16289,1295433,573181,126241,596011,109948,0,ND
2001:Q3,7809989,36657,24937,399978,1696834,500,188369,941801,122375,443789,4960446,1524423,4849,2628553,802621,35564,19124,0,79305,557144,7900732,-61169,670274,4521780,705929,103004,5116,97888,453034,102444,16674,1388762,613125,109261,666376,109887,0,ND
2001:Q4,7897828,47330,17478,386456,1782954,1346,180415,1000647,124996,475550,5006213,1488998,4595,2683513,829107,40310,27407,0,67752,521927,7961861,-40658,757034,4610330,707620,103068,4765,98303,460613,88451,16851,1258552,613365,108718,536469,92597,0,1762796
2002:Q1,7991268,34918,22415,382818,1833825,1348,186542,1048683,123626,473626,4988462,1476906,4497,2686485,820574,40760,26039,0,68585,593445,7961432,-69748,650453,4780510,679054,100261,4477,95784,452205,97231,17098,1254369,634805,102208,517356,93411,0,1769338
2002:Q2,8132587,36549,22324,388753,1884502,1369,202612,1094563,123429,462529,5036010,1443434,4831,2760686,827059,34045,22317,0,69059,639028,8154836,-105456,671987,4812098,706521,100960,4931,96029,455640,113981,16134,1382970,647440,123404,612126,95035,0,1800688
2002:Q3,8371023,37850,23168,411452,1934894,1242,207840,1125168,126430,474214,5162573,1423203,4758,2884078,850534,24862,17384,0,69762,689077,8424200,-68705,696852,4905430,744542,99872,4876,94996,466690,109556,15434,1454529,677130,116654,660745,95948,0,1879706
2002:Q4,8560050,47818,22541,407782,1995468,2325,221584,1167245,127469,476845,5266204,1403374,4554,2991257,867019,30572,23602,0,53489,712573,8585658,-24629,707266,4956947,795811,102151,4604,97547,465340,98246,16871,1467656,672143,127291,668222,77024,0,1936332
2003:Q1,8768994,38532,26787,470894,2085808,1464,152546,1230527,129089,572182,5309522,1379469,4801,3069389,855863,28107,18655,0,55473,735216,8733532,-77838,681299,5109461,853969,104296,4820,99476,470085,104578,16774,1470908,651480,127473,691955,80942,0,2032346
2003:Q2,9024739,39540,27720,482008,2157203,2648,143430,1312325,133230,565570,5435899,1369351,4548,3185634,876366,37684,21213,0,56891,766581,8995620,-122071,731724,5212649,908272,106048,4576,101472,479407,106235,16555,1556801,664449,126111,766241,81035,0,2147653
2003:Q3,9068896,40361,29141,486217,2095099,1308,144414,1246025,138612,564740,5524056,1346604,4267,3282935,890250,40560,18915,0,57572,776974,9021431,-67226,710898,5253653,833035,106540,4268,102272,482870,99530,15660,1586471,669188,122928,794355,81784,0,2157503
2003:Q4,9177332,47951,23058,438770,2172527,844,150894,1285669,139316,595804,5636417,1379646,4365,3299266,953140,49035,21273,0,73858,714443,9099723,-54546,754391,5325215,786717,108381,4367,104014,493652,101479,16350,1568084,678272,134697,755115,109735,0,2187315
2004:Q1,9469069,40957,24955,490592,2306899,943,161264,1392692,140651,611349,5745002,1362384,3864,3432167,946587,51644,20652,0,76649,711718,9324655,-177102,752963,5526897,855320,108428,3897,104531,508689,108662,16641,1624157,694542,158950,770665,109765,0,2327735
2004:Q2,9701855,43347,29628,481706,2305910,355,157542,1407980,144002,596031,5933469,1380967,4408,3587706,960388,50815,20360,0,79675,756945,9581546,-106879,777397,5646205,885869,112331,4443,107888,549451,90646,16128,1610398,728274,136478,745646,111464,0,2412546
2004:Q3,9912231,42019,24664,509596,2254513,590,137292,1340980,146284,629367,6095318,1392166,3985,3719202,979965,50319,19143,0,80585,836074,9808291,-151827,760258,5765251,906684,113439,4025,109414,545626,107048,17370,1744442,828299,151060,765083,122248,0,2494142
2004:Q4,10137494,41528,24043,463536,2255102,768,123496,1314623,148211,668004,6295622,1429012,4010,3851646,1010954,57474,21388,0,119701,859100,10096565,-90106,802015,5880682,825812,120974,4093,116881,564753,113248,21350,1857837,867597,167747,822493,160710,0,2595056
2005:Q1,10426137,42128,24984,477334,2437501,639,140583,1409404,153069,733806,6399060,1442716,4022,3962300,990022,55803,18823,0,120039,850465,10266332,-75738,781300,6043238,819663,125417,4087,121330,569505,106567,21829,1874551,847566,169130,857855,165664,0,2665915
2005:Q2,10626450,45314,23108,445331,2446080,599,124893,1391182,156345,773061,6620908,1500628,4098,4116878,999304,57290,17587,0,119862,850970,10460239,-83859,790320,6150816,858011,126098,4145,121953,602249,106051,20309,1890244,867649,184756,837839,169306,0,2711938
2005:Q3,10903888,41161,21927,485969,2469977,524,123299,1370262,162585,813307,6823766,1524499,4322,4257812,1037133,61737,18867,0,120679,859805,10710490,-85116,751611,6371752,904227,128266,4389,123877,604743,106022,21434,1907551,874846,189780,842925,169035,0,2812617
2005:Q4,11091668,50081,19043,483292,2456912,859,116349,1359804,166667,813233,6980681,1595085,4020,4336872,1044704,62923,19646,0,134899,884191,10850095,-102197,776383,6490560,910464,134489,4102,130387,610293,103324,21677,1905102,891194,188781,825127,161063,0,2913070
2006:Q1,11412212,40018,21022,523071,2538435,1137,110617,1404803,170160,851718,7132764,1648251,738,4460932,1022843,68611,19317,85180,142630,841165,11155461,-103749,753234,6692384,930864,135898,1477,134421,606284,106966,22775,2010805,901193,212904,896708,171757,0,2693928
2006:Q2,11674801,42622,20963,495951,2612116,705,117150,1441562,171831,880868,7329466,1697976,701,4603809,1026980,66857,20613,87010,139068,860135,11418862,-103402,776405,6816124,973582,142365,507,141858,630585,106108,23432,2053663,933273,214980,905410,165807,0,2765299
2006:Q3,11933230,40074,17330,592883,2582161,1225,111605,1400711,179782,888838,7475222,1741496,664,4681876,1051186,70586,23517,89816,138450,903191,11705104,-77866,734798,6975400,1074193,147134,1056,146078,632176,121123,24635,2073511,952239,211804,909468,176167,0,2810761
2006:Q4,12005081,51712,18699,611943,2607353,978,112557,1377503,191433,924882,7595820,1790240,446,4732320,1072814,79828,26738,93392,136533,783062,11676316,-84552,732910,7126689,995635,160823,880,159943,628813,119367,23857,1972774,993371,197337,782066,173775,0,2918409
2007:Q1,12121643,41179,18140,658833,2668194,1582,119231,1368635,199791,978955,7623024,1813760,320,4758033,1050911,80031,24815,96608,146406,764412,11783619,-214362,717161,7337293,1024314,166851,2129,164722,610616,114187,23629,2003930,999018,231085,773827,178705,13033,3018344
2007:Q2,12352524,43452,16994,644849,2722916,1780,109814,1365996,202642,1042684,7789036,1872898,392,4847878,1067868,88604,26925,97990,164061,757697,12026332,-203145,708125,7414124,1048821,174032,2274,171758,624990,105526,24131,2129728,1008342,240737,880649,189790,12604,3082224
2007:Q3,12860288,41482,22733,732395,2750001,1126,119168,1298389,205754,1125564,8049262,2010498,277,4943019,1095468,92793,31060,100277,175487,864798,12492897,-123471,707549,7600855,1019723,177284,432,176852,798011,112474,26425,2174047,1033202,225286,915559,205179,11789,3210046
2007:Q4,13152230,54997,20512,770003,2753298,426,122923,1261074,204004,1164871,8259164,2108594,493,5018624,1131453,88762,31818,104291,212956,856429,12688458,-155796,740818,7746442,1028214,185564,801,184763,840110,106544,17349,2179213,1084635,241002,853576,118424,11181,3378002
2008:Q1,13387407,45430,23975,747821,2769242,2958,118905,1253174,213568,1180637,8384248,2185190,348,5084732,1113978,76916,28980,105329,192691,1012775,12875115,-294212,745846,7978346,1035863,185391,438,184953,865869,91006,19392,2247614,1103008,240431,904175,115519,11173,3579644
2008:Q2,13337300,45710,33306,719501,2795224,745,101289,1328810,214153,1150227,8413160,2203282,311,5075497,1134070,74485,27980,108343,181673,937918,12768007,-244685,747710,7960144,1010453,184829,366,184463,875110,70520,21082,2142844,1112915,237280,792649,114981,10719,3515088
2008:Q3,13791181,47985,216093,745397,2877395,100037,116818,1319849,231963,1108728,8495629,2291724,0,5044449,1159456,57139,22078,114923,152350,1062193,13252169,46924,792574,8054520,997876,177108,889,176219,962736,59151,20420,2140860,1143871,192609,804380,105397,9846,3575241
2008:Q4,14387407,57725,791782,643440,2867431,15685,102345,1404120,224416,1120865,8514920,2299581,0,5014174,1201165,33791,21749,110740,159071,1186758,13658999,571648,880981,8088835,859569,185315,499,184816,848437,12341,13402,2198471,1115277,276633,806561,55171,9519,2876511
2009:Q1,14093220,50305,759686,582849,2865863,4452,125669,1425691,223380,1086671,8376326,2194105,0,5016573,1165648,28292,36968,110475,145984,1136472,13563169,509162,823864,8187296,862158,170928,647,170281,741056,14026,13940,2240739,1254281,269334,717124,52095,9132,2796383
2009:Q2,13707887,51142,615443,492523,2923595,9841,134340,1493103,228369,1057942,8212004,2098403,0,4965331,1148270,38226,37873,111156,169551,1056373,13193477,241852,885737,8185530,900941,168410,924,167486,670650,8881,13980,2117496,1217244,224457,675795,59912,8052,2811682
2009:Q3,13603745,50745,835319,408670,2967741,52,194649,1486215,227222,1059603,7962765,1973405,0,4838354,1151006,51431,51349,110416,202936,962373,13174582,191264,905625,8247843,864680,161345,727,160618,611762,25269,14955,2151839,1274059,199919,677861,72667,7288,2263541
2009:Q4,13521954,54922,952697,335262,2970701,0,197207,1584425,227801,961268,7802753,1890425,0,4768937,1143391,63597,47712,111496,269189,913624,13267651,49823,990671,8432480,727337,176970,626,176344,568243,18037,20260,2283830,1312569,203086,768175,105764,6926,2399494
2010:Q1,13804856,51802,1044109,329744,2982427,0,264004,1600429,229135,888859,8052977,1891055,0,4706734,1455188,66935,45022,112111,275627,844102,13516442,-37692,946564,8449124,779498,729589,321453,408136,511164,8290,21448,2108457,1267575,189183,651699,114041,7532,2876775
2010:Q2,13619592,53787,956349,337242,2972441,0,261861,1598627,230464,881489,7948272,1864681,0,4643434,1440157,49452,40328,112826,242132,906763,13386775,-62905,965298,8341444,766249,766476,341051,425425,477050,24657,21730,2086776,1315968,150402,620406,101883,6404,2836748
2010:Q3,13749446,50548,929705,366982,3173532,0,306750,1648050,239282,979450,7898287,1866090,0,4609896,1422301,60790,42784,114357,272089,840372,13481211,-108662,962414,8480389,790860,724836,321442,403394,434382,36554,21876,2138562,1327005,177066,634491,114458,6112,3187273
2010:Q4,13644092,52722,964383,356072,3070721,0,299636,1718062,257140,795883,7891348,1896317,0,4583049,1411982,73607,46535,115985,306979,765740,13503798,-48286,1071976,8548091,734046,673269,302535,370734,418893,37292,21264,2047253,1300005,171578,575670,125882,6156,2512639
2011:Q1,13964451,53311,1394691,312968,3107696,0,304924,1766888,265521,770363,7742090,1912361,0,4467973,1361756,78050,48772,121550,325425,779898,13891660,217935,1114564,8674748,696683,679356,312903,366453,387670,38845,22384,2059475,1337746,188946,532783,142325,6099,2576279
2011:Q2,14148278,55427,1572650,334074,3081277,0,270366,1767075,273099,770737,7761084,1949806,0,4430642,1380636,80889,46861,122538,317472,776006,14072824,171093,1198132,8866329,670806,659397,298522,360875,368949,51239,22778,2064101,1335793,173421,554887,144377,6142,2733049
2011:Q3,14417370,50608,1583976,387328,3167306,0,273316,1787525,290963,815502,7840764,2029635,0,4424173,1386956,58735,38468,123566,251596,915023,14243309,258545,1312857,8844422,720632,597260,256639,340621,352296,66313,24706,2066278,1350657,140135,575486,130325,6172,2603380
2011:Q4,14482946,60801,1542737,378592,3208666,0,252891,1851691,303901,800183,7964036,2112217,0,4436217,1415602,67369,43522,125455,259900,831868,14386300,167930,1428633,8952205,706898,623012,269774,353238,356241,64145,31324,2055912,1374586,137844,543482,175314,6046,2619292
2012:Q1,14526731,56451,1542485,402470,3354508,0,281804,1992707,326221,753776,7916768,2138270,0,4399393,1379105,68324,45259,133752,285207,721507,14502048,179029,1392765,9058445,706069,601300,263755,337545,331964,66203,28881,2137392,1439801,154269,543322,188345,5984,2616387
2012:Q2,14660351,56660,1502915,430575,3369956,0,297448,1966871,345587,760050,8016167,2209585,0,4404039,1402543,61613,42415,134999,265411,779640,14592062,167568,1416201,9118067,728747,571173,254736,316437,351740,66188,28893,2143485,1476929,128517,538039,181197,5930,2658394
2012:Q3,14770715,56349,1437005,475816,3469571,0,330632,1976898,369921,792120,8070722,2247892,0,4402924,1419906,68580,44638,136448,275903,735682,14758817,158685,1452346,9234216,696653,564349,255585,308764,345766,79070,29131,2198601,1521156,117941,559504,190080,6179,2686892
2012:Q4,14963321,71068,1473018,490600,3482115,0,342328,1960987,381690,797110,8206761,2329026,0,4419105,1458630,71360,48089,138050,282340,699920,14993879,21886,1630018,9465383,674730,545993,244081,301912,361788,78207,32592,2183282,1554155,126021,503106,222674,6467,2968150
2013:Q1,15150742,59633,1780746,438356,3526342,0,331780,2025343,391534,777685,8144319,2329111,0,4382064,1433144,80822,52647,139244,298604,630029,15187829,148044,1656348,9518014,650642,535242,242441,292801,354332,70354,32754,2222099,1561534,142935,517630,244845,6756,4344317
2013:Q2,15398216,60217,2003018,418730,3455034,0,283699,2007982,398178,765175,8221132,2378979,0,4377582,1464571,79917,50237,140431,285786,683713,15418552,411260,1589486,9566511,639777,447989,193887,254102,396005,56053,32664,2278807,1555843,142092,580872,250209,7261,4447920
2013:Q3,15618874,62196,2198918,416484,3448432,0,277838,1976186,411480,782928,8281402,2410809,0,4377733,1492860,87770,54175,141643,312948,614906,15556701,350428,1660331,9784299,636219,398749,169734,229015,403661,67890,32637,2222487,1549930,118689,553868,261681,7711,4752789
2013:Q4,15776564,73614,2203894,392560,3479323,0,305357,1970841,423670,779455,8421774,2493101,0,4391963,1536710,98973,58106,143833,317230,587257,15814655,327360,1818713,9869053,581945,407268,179706,227562,437047,59392,32693,2281184,1612738,123501,544945,287534,7921,4924431
2014:Q1,16126620,64779,2427992,402243,3542655,0,352874,1988719,437163,763899,8474800,2553199,0,4406423,1515178,100250,60957,145108,311948,595888,16160122,374804,1824257,10068185,639609,400595,178718,221877,422124,62157,32694,2335697,1655625,123872,556200,286199,8099,4999165
2014:Q2,16424758,64929,2436239,430695,3598352,0,387681,1999442,445970,765259,8670225,2641305,0,4461770,1567150,106702,64717,146597,319357,586946,16455263,386737,1925333,10131218,638463,397646,177106,220540,472135,69489,32844,2401398,1705798,120821,574779,294330,8330,5181627
2014:Q3,16629138,64697,2485409,414813,3659969,0,448364,2016967,458448,736190,8782613,2693418,0,4490508,1598687,103008,59895,147796,304757,606181,16638185,339538,1944933,10254362,628036,370992,161123,209869,479831,76493,34538,2509462,1727022,127849,654591,286081,8593,5271248
2014:Q4,16803547,75667,2352809,403181,3736342,0,502939,2031145,468462,733796,8996500,2821388,0,4530993,1644119,106098,59720,149565,280530,643135,16809135,199355,2017501,10447484,607332,359680,151469,208211,503628,79949,31272,2562934,1768906,103216,690812,272839,8614,5451394
2015:Q1,17072793,67820,2423438,414858,3813821,0,507816,2092119,480749,733137,9093208,2885204,10630,4566049,1631325,106555,59325,150945,284517,658306,17050862,211968,2051451,10645453,598269,357384,152977,204407,470942,80296,31116,2603983,1782477,96240,725266,265989,8647,5525459
2015:Q2,17072775,68275,2231714,419489,3812816,0,509627,2104216,487997,710976,9297725,2971990,10819,4634589,1680327,105940,59913,153101,285225,638577,17083082,186740,2086859,10590912,601044,349583,149784,199799,518048,67546,31520,2650830,1829527,109129,712174,262758,8614,5535632
2015:Q3,17172226,67611,2182006,410820,3833255,0,506128,2117995,500912,708220,9435652,3002111,7539,4699751,1726251,91772,53699,154515,255384,687512,17184352,186050,2019703,10738498,581305,332625,136138,196487,505099,75594,31018,2714460,1861571,108361,744528,241986,8260,5541136
2015:Q4,17264803,74168,1965234,428384,3874903,0,537231,2127777,514175,695720,9670834,3107207,4332,4778423,1780872,97736,54910,156176,242359,700099,17351225,140027,2119999,10836897,603410,344293,145562,198731,543301,70751,30585,2661962,1865148,105385,691429,251694,7967,5597719
2016:Q1,17644511,69796,2122492,411455,3947366,0,552904,2155908,523998,714556,9782490,3187647,4382,4825501,1764960,91329,56274,157557,246154,759597,17678746,109191,2141459,11052502,601623,371646,163526,208120,527449,73065,30214,2771597,1905585,127108,738904,258901,8062,5684230
2016:Q2,17931728,73267,2034070,419051,4036999,0,571676,2191298,541605,732420,10008081,3249985,4071,4935341,1818684,94890,57719,158980,233371,815300,17939485,149514,2197694,11058948,613261,388070,174145,213925,593462,76400,31218,2830918,1941007,114900,775011,265105,8302,5710807
2016:Q3,18018138,65065,1919522,439204,4131402,0,619891,2245750,549154,716607,10158661,3274780,5761,5017679,1860441,98448,56887,160469,244572,743908,18096856,97716,2215269,11214045,620845,357579,157814,199765,592556,82569,32689,2883588,2051265,105901,726422,275471,8981,5734331
2016:Q4,17963114,75970,1754202,411611,4141290,10,654093,2252965,551678,682544,10274224,3269245,5578,5070613,1928788,104003,57864,161791,241865,740294,18121817,-2177,2226576,11371517,635921,326670,143923,182747,613065,71640,33528,2845077,2043172,99775,702130,287382,9269,5765154
2017:Q1,18360587,70172,2149339,387130,4197664,0,645650,2298208,555747,698059,10262729,3269264,5063,5097792,1890610,109454,60447,163184,261451,699017,18494166,95962,2345808,11532454,633278,311080,135741,175339,570844,64407,33368,2906965,2080954,110132,715879,298375,9705,5876235
2017:Q2,18428653,70757,1979415,434569,4192202,0,602034,2344300,566843,679025,10436625,3319085,6142,5179474,1931924,113385,60590,164531,270263,706316,18526888,69932,2377218,11492337,670937,308121,135400,172721,616183,69276,33210,2889674,2068566,89132,731976,306719,10676,5855520
2017:Q3,18649422,68531,2070393,428544,4225360,0,596636,2380815,569865,678044,10550556,3340331,8032,5231536,1970657,118728,63451,166661,282014,675184,18808014,102575,2322128,11669135,705385,309376,137366,172010,630055,80231,32244,2956885,2138499,81493,736893,312390,10978,5924060
2017:Q4,18833542,77174,1949005,490741,4288336,0,616020,2422609,578901,670806,10713899,3374579,5489,5282714,2051117,127622,67111,168199,300210,651245,18933213,138779,2410196,11670438,722939,261289,113579,147710,641287,104285,31422,2952578,2126488,79706,746384,323828,11196,5985860
2018:Q1,18972770,68215,2107065,505569,4216889,149,612738,2386820,561739,655443,10748059,3404268,8523,5316052,2019216,125302,60125,169417,295479,676650,19144876,118681,2475101,11878600,683174,285948,127704,158244,603586,90297,29844,2979645,2130667,124311,724667,315601,11419,6011078
2018:Q2,18919368,70350,1886919,520362,4185080,434,632145,2388992,525352,638157,10917589,3477608,8334,5371841,2059806,125609,60019,170393,294865,688182,19209116,158070,2386885,11965884,660926,295808,134566,161242,640973,92985,27869,2979716,2122790,136341,720585,325278,11784,6009319
2018:Q3,18924220,68041,1769493,542645,4174698,239,649486,2370606,507798,646569,11020454,3494367,11032,5411582,2103473,133120,62490,171673,302116,679490,19167897,123997,2339251,12069486,642687,300040,133830,166210,615274,98548,27416,2951198,2071018,125092,755088,345779,12539,6076868
2018:Q4,19194804,82044,1555954,701992,4299925,179,736678,2445474,505811,611783,11280672,3663760,11309,5442448,2163155,109083,54661,172090,250022,688361,19503429,172924,2466114,12200473,646730,288244,128283,159961,635009,109672,27764,2956499,2139996,123078,693425,311440,12393,6189548
2019:Q1,19308781,69871,1580789,724825,4394595,271,737010,2505659,498235,653420,11277653,3677531,10579,5464229,2125314,129520,59650,173428,273165,625285,19650318,95811,2417026,12428857,640398,273484,119499,153985,574851,105461,27542,3086888,2155059,138501,793328,349845,12982,6168344
2019:Q2,19511793,71488,1421452,758779,4498041,429,770446,2581598,482085,663483,11474760,3750037,12430,5540499,2171794,135241,61514,175484,277191,637843,19853956,55150,2460535,12520543,664654,268898,117576,151322,591882,108906,27000,3156388,2206908,122362,827118,358326,12670,6325344
2019:Q3,19755559,70319,1427255,736041,4640798,436,855814,2635606,476552,672390,11588145,3773430,11764,5593111,2209840,133904,61223,176941,282850,638082,20075154,62846,2516422,12682834,706804,248186,107162,141024,556139,119102,26459,3156362,2207313,118744,830305,357229,13095,6502465
2019:Q4,20056118,83424,1548849,738326,4647318,709,879315,2634396,478290,654608,11740167,3803082,13203,5654876,2269006,147678,64879,178763,303552,603162,20386037,79663,2648717,12884599,717062,248206,106896,141310,537192,124218,26102,3120278,2233537,119535,767206,389267,13145,6719603
2020:Q1,21923503,99027,2474282,659216,4881269,28706,894265,2823831,491439,643028,12320118,4391985,18802,5704258,2205073,95883,48822,179664,234095,931127,22179160,490132,3178651,13499959,788279,284061,131126,152935,677924,107559,25220,3127375,2197029,122375,807971,309394,13360,7466884
2020:Q2,22775752,91952,2787035,863221,5228923,12442,1103507,2920789,510035,682150,12346660,4448591,16766,5738607,2142696,120636,55696,180981,272804,827844,22993807,331902,3879211,14170984,688673,285563,127809,157754,430846,109939,24394,3072295,2225010,111454,735831,368125,13264,8054238
2020:Q3,22899302,90030,2743246,835014,5521687,4197,1187186,3095566,514536,720202,12177486,4240792,16960,5766686,2153048,132974,59459,182762,288517,868127,23015005,247508,4012297,14212552,719946,287599,125691,161908,354536,112346,24398,3043823,2252878,101020,689925,398918,13490,8119988
2020:Q4,23445782,99199,2994932,862448,5797137,2332,1203597,3375695,522851,692662,12112588,4164558,16240,5741078,2190712,160125,68135,184817,327449,838952,23536487,164082,5182939,13679775,715869,306891,135126,171765,295590,113011,24417,3053913,2306304,91954,655655,454299,13461,8477254
2021:Q1,24213962,97513,3672702,602469,6206326,272,1263711,3606335,527825,808183,12040671,4182668,15687,5706172,2136144,176510,74110,186898,344358,812404,24360666,58918,5514481,14195156,744966,324488,147065,177423,268914,96276,23254,3134213,2320591,134247,679375,477605,13364,8812555
2021:Q2,24383217,92306,3511630,576502,6453706,75,1346419,3727147,541208,838857,12086344,4106513,14353,5752199,2213279,191072,79102,191584,374993,825978,24525679,50748,5950213,13990537,685128,324965,147781,177184,245099,94389,20777,3163823,2387164,116796,659863,497854,13503,9062936
2021:Q3,25127215,89187,3859245,587084,6699463,26,1456530,3831961,548403,862543,12203521,4077200,17065,5845496,2263760,184622,77761,193902,372212,860219,25200962,177550,6276301,14136275,719123,272495,118057,154438,229074,101103,20614,3268427,2431386,125787,711254,498237,13470,9404945
2021:Q4,25605629,90221,3644277,577168,6976521,3,1646332,3887514,557182,885490,12628847,4298011,18135,5953160,2359541,201012,82433,198146,398667,808337,25713493,188473,6543015,14443163,688479,266365,116211,150154,235211,103176,15844,3229767,2452601,108531,668635,508550,13590,9742435
