1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,229417,2660,19011,7,97185,695,75341,3268,12604,5277,105590,34117,589,54804,16080,493,0,0,74,4397,211943,13,106365,100284,29,595,595,0,675,693,44,3245,0,0,3245,170,0,ND
1954:Q3,234787,2830,18331,242,100062,821,79044,1898,13050,5249,108222,34488,609,56946,16179,522,0,0,77,4501,217091,382,108053,102332,332,615,615,0,689,884,45,3759,0,0,3759,172,0,ND
1954:Q4,242524,2469,18876,32,103641,802,80656,3628,13336,5219,111946,35319,873,59307,16447,576,0,0,81,4903,224319,-175,113456,104819,21,882,882,0,867,948,48,3453,0,0,3453,185,0,ND
1955:Q1,241852,2830,18388,686,99469,713,76053,3746,13823,5134,114995,35699,807,61560,16929,634,0,0,84,4766,223562,125,109916,106910,674,815,815,0,702,738,49,3633,0,0,3633,187,0,ND
1955:Q2,245889,2681,18066,145,97194,582,75132,2858,13637,4985,121811,38325,655,64516,18315,787,0,0,87,5118,227302,171,111018,109566,61,662,662,0,1017,533,50,4224,0,0,4224,190,0,ND
1955:Q3,250454,2960,18475,493,95308,585,73902,2316,13704,4801,127069,39917,671,67369,19112,924,0,0,91,5134,231609,962,111761,110976,478,678,678,0,1275,582,50,4847,0,0,4847,194,0,ND
1955:Q4,255969,2682,19005,193,95182,532,73320,3054,13570,4706,132963,42972,642,69481,19868,1006,0,0,95,4843,236800,689,115634,113274,44,648,648,0,1417,573,53,4468,0,0,4468,202,0,ND
1956:Q1,256807,2890,18582,839,92441,562,70555,3084,13670,4570,135778,43595,660,71353,20170,1092,0,0,98,5087,237361,530,113248,115386,833,667,667,0,1138,531,53,4975,0,0,4975,206,0,ND
1956:Q2,258841,2273,18443,266,89779,513,68510,2557,13701,4498,141567,45698,684,73822,21363,1036,0,0,102,5375,238868,250,112456,118567,98,691,691,0,1173,468,54,5111,0,0,5111,208,0,ND
1956:Q3,263957,3100,18656,734,90096,593,68874,2331,13820,4478,144833,46164,805,76157,21707,988,0,0,106,5444,243584,1316,113186,120060,791,813,813,0,1142,711,55,5510,0,0,5510,210,0,ND
1956:Q4,269571,3261,19059,195,91596,581,70295,2713,13742,4265,148856,47961,967,77900,22028,1006,0,0,112,5486,249022,787,117532,122702,44,977,977,0,1228,878,54,4820,0,0,4820,207,0,ND
1957:Q1,270842,2910,18350,816,92522,551,70652,2973,13929,4417,149816,47531,1019,79108,22158,978,0,0,116,5334,250054,21,114760,126232,936,1029,1029,0,961,799,54,5262,0,0,5262,210,0,ND
