1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2014:Q4,-10044,0,-10044,12,-10272,216,-10044,-10156,0,12,-10276,108,0,0,0,112,0,4,108
2015:Q1,-16636,0,-16636,12,-16780,132,-16636,-16694,0,12,-16772,66,0,0,0,58,0,-8,66
2015:Q2,-3504,0,-3504,8,-3720,208,-3504,-3612,0,8,-3724,104,0,0,0,108,0,4,104
2015:Q3,-1064,0,-1064,8,-1256,184,-1064,-1220,0,8,-1320,92,0,0,0,156,0,64,92
2015:Q4,-3960,0,-3960,8,-4184,216,-3960,-4044,0,8,-4160,108,0,0,0,84,0,-24,108
2016:Q1,-4764,0,-4764,8,-4856,84,-4764,-4286,0,8,-4336,42,0,0,0,-478,0,-520,42
2016:Q2,756,0,756,0,700,56,756,728,0,0,700,28,0,0,0,28,0,0,28
2016:Q3,6568,0,6568,8,6616,-56,6568,6600,0,8,6620,-28,0,0,0,-32,0,-4,-28
2016:Q4,5796,0,5796,2720,2928,148,5796,5814,0,2720,3020,74,0,0,0,-18,0,-92,74
2017:Q1,-964,0,-964,44,-1044,36,-964,-1070,0,44,-1132,18,0,0,0,106,0,88,18
2017:Q2,604,0,604,60,328,216,604,500,0,60,332,108,0,0,0,104,0,-4,108
2017:Q3,-244,0,-244,104,-392,44,-244,-270,0,104,-396,22,0,0,0,26,0,4,22
2017:Q4,-6152,0,-6152,104,-6140,-116,-6152,-6094,0,104,-6140,-58,0,0,0,-58,0,0,-58
2018:Q1,-24,0,-24,132,-292,136,-24,-92,0,132,-292,68,0,0,0,68,0,0,68
2018:Q2,12272,0,12272,132,12544,-404,12272,12470,0,132,12540,-202,0,0,0,-198,0,4,-202
2018:Q3,-708,0,-708,172,-1152,272,-708,-856,0,172,-1164,136,0,0,0,148,0,12,136
2018:Q4,8420,0,8420,188,8196,36,8420,8402,0,188,8196,18,0,0,0,18,0,0,18
2019:Q1,836,0,836,228,456,152,836,760,0,228,456,76,0,0,0,76,0,0,76
2019:Q2,9436,0,9436,240,8992,204,9436,9334,0,240,8992,102,0,0,0,102,0,0,102
2019:Q3,7524,0,7524,252,7016,256,7524,7392,0,252,7012,128,0,0,0,132,0,4,128
2019:Q4,840,0,840,228,620,-8,840,844,0,228,620,-4,0,0,0,-4,0,0,-4
2020:Q1,-980,0,-980,196,-1308,132,-980,-1038,0,196,-1300,66,0,0,0,58,0,-8,66
2020:Q2,19840,0,19840,80,19608,152,19840,19764,0,80,19608,76,0,0,0,76,0,0,76
2020:Q3,7276,0,7276,20,7140,116,7276,7226,0,20,7148,58,0,0,0,50,0,-8,58
2020:Q4,9752,0,9752,28,9816,-92,9752,9786,0,28,9804,-46,0,0,0,-34,0,12,-46
2021:Q1,-8396,0,-8396,32,-8628,200,-8396,-8492,0,32,-8624,100,0,0,0,96,0,-4,100
2021:Q2,1908,0,1908,16,1748,144,1908,1832,0,16,1744,72,0,0,0,76,0,4,72
2021:Q3,901744,451336,450408,451352,44,-988,901744,450934,0,451352,76,-494,451336,0,451336,-526,0,-32,-494
2021:Q4,364,0,364,20,1124,-780,364,758,0,20,1128,-390,0,0,0,-394,0,-4,-390
