date,General government; current receipts, NIPA basis,General government; personal current taxes,General government; taxes on production and imports, receivable (IMA),General government; taxes on corporate income (accrual basis),Federal government; taxes from the rest of the world,General government; contributions for government social insurance received,General government; property income (received),General government; other current transfers received,General government; operating surplus, net,General government; current expenditures,General government; consumption expenditures,General government; social contributions paid,General government; other current transfers paid,General government; interest paid,General government; subsidies paid,General government; net saving including net capital transfers paid,General government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis),Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability,General government; net capital transfers paid excluding payments under the financial stabilization program,General government; gross saving less net capital transfers paid,General government; gross investment,General government; gross fixed investment,General government; acquisition of nonproduced nonfinancial assets (net),General government; net lending (+) or borrowing (-) (financial account),General government; total financial assets,Federal government; U.S. official reserve assets,General government; checkable deposits and currency; asset,General government; total time and savings deposits; asset,State and local governments; money market fund shares; asset,State and local governments; security repurchase agreements; asset,General government; debt securities; asset,State and local governments; commercial paper; asset,State and local governments; Treasury securities, including SLGS; asset,General government; agency- and GSE-backed securities; asset,State and local governments; municipal securities; asset,General government; corporate and foreign bonds; asset,General government; loans; asset,General government; total mortgages; asset,Federal government; consumer credit, student loans; asset,Federal government; other loans and advances; asset,General government; corporate equities; asset,State and local governments; mutual fund shares; asset,General government; trade receivables; asset,General government; taxes receivable; asset,General government; total miscellaneous assets,General government; total liabilities,Federal government; special drawing rights (SDRs) allocations; liability,Monetary authority; SDR certificates issued by federal government; asset,Federal government; Treasury currency; liability,General government; debt securities; liability,Federal government; Treasury securities; liability,Federal government; budget agency securities; liability,State and local governments; municipal securities; liability,General government; loans; liability,Federal government; multifamily residential mortgages; liability,General government; other loans and advances; liability,General government; trade payables; liability,Federal government; life insurance reserves; liability,General government; total miscellaneous liabilities,General government; sector discrepancy,General government (consolidated); total financial assets,General government (consolidated); total liabilities
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,84740,27055,24745,22304,0,6652,970,2614,400,78637,53719,10538,5135,7797,1448,6103,9979,291,-940,16731,26523,19581,272,6670,17952,37,533,240,0,0,714,0,480,205,29,0,1387,697,0,690,0,0,1138,13956,-53,11282,0,0,24,2387,409,-137,2115,261,0,261,1686,173,6751,-9792,17182,10512
1952:Q1,87459,30876,26087,19528,0,6964,992,2584,428,84449,60921,10480,3752,8055,1241,3010,10554,440,-1034,14158,13485,24076,245,-10836,15752,12,6372,200,0,320,1236,0,1392,-284,128,0,1872,1164,0,708,0,0,928,4712,100,26588,0,0,60,19696,11496,-308,8508,-180,0,-180,-316,60,7268,673,14412,25248
1952:Q2,88015,31813,26918,18372,0,6848,983,2672,409,89151,64723,10628,4488,8112,1200,-1136,10859,520,-1079,10282,6608,24264,244,-17900,5624,116,-2776,-200,0,348,2668,0,1840,780,48,0,1344,248,0,1096,0,0,1228,2532,364,23524,0,0,28,15380,2652,2228,10500,292,0,292,104,80,7640,3674,3444,21344
1952:Q3,89083,32274,27334,18308,0,6896,1004,2880,387,91724,66087,11396,4816,8241,1184,-2641,11291,292,-1103,9461,29484,24845,252,4387,22508,32,7860,592,0,2048,596,0,312,252,32,0,1820,372,0,1448,0,0,1312,7836,412,18121,0,0,36,10676,3856,2600,4220,544,0,544,880,32,5953,-20023,21620,17233
1952:Q4,92822,33057,28145,20220,0,7072,1033,2908,387,93024,68119,11472,3952,8399,1082,-202,11547,300,-1004,12049,18013,25299,267,-7553,9948,-456,-680,40,0,-1728,1176,0,1280,-96,-8,0,1676,868,0,808,0,0,632,8776,512,17501,0,0,24,7088,5764,-2996,4320,632,0,632,1592,0,8165,-5964,8044,15597
1953:Q1,94500,33411,28746,21284,0,7088,1108,2443,420,94269,69218,11464,3880,8561,1146,231,11830,336,-1224,12949,18425,26547,309,-8431,9600,84,-4032,-144,0,36,1124,0,1152,-40,12,0,1484,836,0,648,0,0,1184,10284,-420,18031,0,0,12,10184,4160,248,5776,-900,0,-900,944,32,7759,-5476,9336,17767
1953:Q2,96083,33439,29178,21376,0,7160,1149,3343,438,96556,70768,11428,4800,8670,890,-473,12125,312,-1052,12392,11697,27158,326,-15787,2308,-288,-10556,40,0,-1024,460,0,648,-308,120,0,2072,676,0,1396,0,0,-300,12428,-524,18095,0,0,52,11088,4816,988,5284,-296,0,-296,-316,72,7495,695,1836,17623
