1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1980:Q1,53772,53772,39456,1177,0,0,0,0,919,8658,3562,0
1980:Q2,59434,59434,44130,1304,0,0,0,0,967,9302,3731,0
1980:Q3,66091,66091,49129,1421,0,0,0,0,1021,10352,4168,0
1980:Q4,70395,70395,52060,1507,0,0,0,0,1093,11184,4551,0
1981:Q1,71227,71227,52359,1541,0,0,0,0,1168,11378,4781,0
1981:Q2,71535,71535,53153,1504,0,0,0,0,1231,10829,4818,0
1981:Q3,65157,65157,48742,1498,0,0,0,0,1329,9209,4379,0
1981:Q4,68834,68834,52640,1624,0,0,0,0,1507,8297,4766,0
1982:Q1,66089,66089,49981,1882,0,0,0,0,1791,7926,4509,0
1982:Q2,67525,67525,50031,2265,0,0,0,0,2208,8486,4535,0
1982:Q3,75941,75941,55666,2689,0,0,0,0,2607,9890,5089,0
1982:Q4,88353,88353,65110,3070,0,0,0,0,2837,11240,6096,0
1983:Q1,101710,101710,76160,3409,0,0,0,0,2904,12410,6827,0
1983:Q2,119852,119852,92057,3707,0,0,0,0,2816,13627,7645,0
1983:Q3,123236,123236,95017,4044,0,0,0,0,2697,13732,7746,0
1983:Q4,126973,126973,98040,4501,0,0,0,0,2671,13889,7872,0
1984:Q1,129465,129465,100040,5034,0,0,0,0,2683,13796,7912,0
1984:Q2,129412,129412,100241,5604,0,0,0,0,2673,13274,7620,0
1984:Q3,145397,145397,113338,6295,0,0,0,0,2749,14673,8342,0
1984:Q4,153337,153337,119018,7193,0,0,0,0,3019,15515,8592,0
1985:Q1,174257,174257,135840,8651,0,0,0,0,3526,16888,9352,0
1985:Q2,205015,205015,162766,10112,0,0,0,0,3979,18211,9947,0
1985:Q3,221441,221441,179161,10393,0,0,0,0,4171,18015,9701,0
1985:Q4,272965,272965,219442,10799,0,0,0,0,3514,21105,18105,0
1986:Q1,340693,340693,275257,12589,0,0,0,0,6894,24969,20984,0
1986:Q2,382490,382490,312493,13947,0,0,0,0,9525,25457,21068,0
1986:Q3,407139,407139,338139,14709,0,0,0,0,11032,23831,19428,0
1986:Q4,450367,450367,375743,15676,0,0,0,0,14460,24712,19776,0
1987:Q1,539434,539434,453009,16057,0,0,0,0,13587,31727,25054,0
1987:Q2,550400,550400,458493,15039,0,0,0,0,13018,36335,27515,0
1987:Q3,556224,556224,458924,14628,0,0,0,0,12078,40555,30039,0
1987:Q4,481466,481466,404113,12817,0,0,1752,0,5415,33224,24145,0
1988:Q1,502572,502572,422040,12167,0,0,1700,0,5837,35767,25061,0
1988:Q2,511551,511551,428843,11478,0,0,1642,0,6697,37444,25447,0
1988:Q3,504894,504894,424255,10912,55,0,1500,0,7591,36276,24305,0
1988:Q4,503097,503097,420389,10627,94,0,1366,0,8121,38262,24238,0
1989:Q1,515301,515301,427100,10876,211,2308,1300,0,7921,40630,24955,0
1989:Q2,549881,549881,456276,11643,500,2258,1210,0,7355,44371,26268,0
1989:Q3,576895,576895,476389,12045,945,2269,1215,0,6867,48823,28342,0
1989:Q4,591345,591345,468721,11709,1531,2173,1218,0,26471,51196,28326,0
1990:Q1,585636,585636,461905,11097,2226,1944,1300,0,28914,51205,27045,0
1990:Q2,620236,620236,484148,11261,3000,1960,1383,0,31905,57280,29299,0
1990:Q3,568041,568041,444432,9296,3867,1991,1400,0,30826,51499,24730,0
1990:Q4,603053,603053,470940,9723,4844,1902,1413,0,29768,57503,26960,0
1991:Q1,669138,669138,516151,11775,5899,2486,1675,0,31188,68466,31498,0
1991:Q2,700414,700414,537636,12357,7000,2656,1939,0,34125,72702,31999,0
1991:Q3,769566,769566,585136,13606,8156,3479,2250,0,36133,82613,35293,2900
1991:Q4,850744,850744,646801,14828,9375,3740,2569,0,41289,88416,37925,5801
1992:Q1,889980,889980,670372,16197,10656,4457,3150,0,43372,94592,38483,8701
1992:Q2,952243,952243,714710,17119,12000,3990,3721,0,46602,102272,40228,11601
1992:Q3,1019928,1019928,767030,18891,13406,4353,3890,0,50553,106492,40812,14501
1992:Q4,1096342,1096342,815039,21148,14875,3356,4060,0,55784,119962,44716,17402
1993:Q1,1201180,1201180,891599,23483,16412,3742,4300,0,63095,130698,47549,20302
1993:Q2,1302226,1302226,965013,25215,18013,3367,4593,0,70535,142528,49760,23202
1993:Q3,1419318,1419318,1048508,27899,19676,3751,4400,0,82289,154751,51941,26103
1993:Q4,1504644,1504644,1099943,29776,21391,3889,4201,0,92374,168654,55413,29003
1994:Q1,1495186,1495186,1073303,29526,23185,2988,3700,85,96231,178759,55506,31903
1994:Q2,1504264,1504264,1061616,29114,25103,2330,3368,166,102873,188074,56817,34803
