1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,70894,1439,16282,2670,0,0,12483,0,9466,576,2441,0,20679,3717,0,16962,0,0,4577,11344,1420,376573,0,0,2501,270601,230733,2002,37866,477,0,477,4853,6187,91954,58510,364189
1954:Q3,63219,1264,13286,2782,0,1006,12712,0,9638,606,2468,0,20765,3877,0,16888,0,0,4867,4959,1578,382340,0,0,2503,273942,234029,537,39376,453,0,453,4897,6087,94458,50660,369781
1954:Q4,66195,1302,13704,2789,0,172,12916,0,9789,660,2467,0,20957,4007,0,16950,0,0,4823,7748,1784,391795,0,0,2505,280858,237857,2338,40663,439,0,439,5104,5960,96929,53500,379100
1955:Q1,69676,1221,13649,2751,0,402,13173,0,9978,739,2456,0,21213,4056,0,17157,0,0,4858,10625,1784,391746,0,0,2508,278235,233485,2595,42155,447,0,447,5116,5861,99579,56795,378865
1955:Q2,75048,1235,15526,2822,0,0,13475,0,10248,772,2455,0,21469,4164,0,17305,0,0,4811,13899,1811,393537,0,0,2507,277700,232883,1550,43267,438,0,438,5202,5809,101881,61907,380396
1955:Q3,67580,1198,13844,2665,0,1136,13764,0,10550,751,2463,0,21569,4198,0,17371,0,0,4915,6431,2058,399270,0,0,2507,280920,235344,908,44668,441,0,441,5386,5810,104206,54126,385816
1955:Q4,70777,1168,13453,2713,0,721,14111,0,10936,696,2479,0,21579,4263,0,17316,0,0,5137,9614,2281,407016,0,0,2507,285774,238466,1611,45697,451,0,451,5667,5795,106822,56911,393150
1956:Q1,74687,1127,16037,2859,0,563,14323,0,11198,630,2495,0,21551,4282,0,17269,0,0,5098,10816,2313,406798,0,0,2509,282731,234182,1617,46932,458,0,458,5842,5853,109405,60536,392647
1956:Q2,77254,1076,16056,2840,0,0,14676,0,11531,642,2503,0,21809,4305,0,17504,0,0,5444,13022,2331,405284,0,0,2512,278203,229199,1151,47853,460,0,460,6028,5943,112138,62760,390790
1956:Q3,70829,1231,14124,2677,0,1878,14969,0,11779,691,2499,0,21857,4321,0,17536,0,0,5528,5839,2726,410545,0,0,2517,280587,230632,917,49038,495,0,495,6267,6029,114650,56056,395772
1956:Q4,73053,1776,12637,2730,0,1292,15235,0,11988,767,2480,0,22311,4365,0,17946,0,0,5477,8655,2940,418495,0,0,2526,284901,233683,1356,49862,519,0,519,6684,6098,117767,58066,403508
1957:Q1,78021,1718,15793,2924,0,1118,15317,0,12017,835,2465,0,22372,4457,0,17915,0,0,5550,10111,3118,422985,0,0,2533,284316,232013,1378,50925,576,0,576,6796,6144,122620,62963,407927
1957:Q2,78297,1791,15028,3049,0,0,15327,0,12006,847,2474,0,22219,4551,0,17668,0,0,5721,11913,3249,422728,0,0,2544,279183,226421,926,51836,578,0,578,6930,6166,127327,63239,407670
1957:Q3,73905,2045,14386,3082,0,2242,15188,0,11867,807,2514,0,22502,4684,0,17818,0,0,5706,5218,3536,433165,0,0,2552,284487,230591,704,53192,692,48,644,7069,6178,132187,58880,418140
1957:Q4,74168,2080,12163,3084,0,1820,15002,0,11660,752,2590,0,23105,4848,0,18257,0,0,5499,7776,3639,441733,0,0,2562,287513,231465,1679,54369,766,96,670,7608,6185,137099,59248,426813
1958:Q1,76026,2174,13501,3703,0,1758,14742,0,11326,750,2666,0,23432,4968,0,18464,0,0,5231,7945,3540,445684,0,0,2578,288021,229917,2275,55829,943,222,721,7709,6192,140241,61313,430971
1958:Q2,80849,2187,18386,4388,0,0,14796,0,11395,696,2705,0,23627,5076,0,18551,0,0,5124,8814,3527,452869,0,0,2590,291597,233403,1222,56972,1105,347,758,7855,6203,143519,65991,438011
1958:Q3,71848,2178,11628,4035,0,2093,14842,0,11471,648,2723,0,24082,5182,0,18900,0,0,5161,4081,3748,459033,0,0,2593,293914,234110,1291,58513,1256,439,817,8138,6219,146913,56837,444022
1958:Q4,76286,2041,12261,3916,0,1417,14964,0,11627,600,2737,0,24761,5470,0,19291,0,0,5222,7815,3889,471675,0,0,2600,302661,241244,1598,59819,1382,532,850,8517,6241,150274,61072,456461
1959:Q1,76175,1871,12894,3909,0,204,15157,0,11848,564,2745,0,25535,5955,0,19580,0,0,5261,7368,3976,475369,0,0,2606,303874,241163,1314,61397,1456,581,875,8714,6268,152451,60707,459901
1959:Q2,79613,2186,13997,3978,0,0,15491,0,12165,579,2747,0,26396,6446,0,19950,0,0,5373,8121,4071,479624,0,0,2621,305725,242044,1026,62655,1570,632,938,8818,6299,154591,63763,463774
1959:Q3,80144,2346,15113,3497,0,998,15706,0,12375,593,2738,0,26923,6810,0,20113,0,0,5450,6210,3901,488413,0,0,2626,311853,246320,939,64594,1720,739,981,9032,6327,156855,64050,472319
1959:Q4,80540,2110,14590,3464,0,576,16104,0,12842,548,2714,0,27072,6995,0,20077,0,0,5597,7114,3913,495595,0,0,2639,315994,249384,949,65661,1882,847,1035,9484,6350,159246,63949,479004
1960:Q1,79984,1993,14832,3628,0,154,16471,0,13200,583,2688,0,27326,6971,0,20355,0,0,5783,5752,4045,497656,0,0,2652,313829,245603,978,67248,2020,947,1073,9911,6371,162873,63023,480695
1960:Q2,82692,1928,17669,4038,0,0,16823,0,13511,638,2674,0,27660,7058,0,20602,0,0,5793,4498,4283,500941,0,0,2661,313237,243931,953,68353,2220,1049,1171,10030,6389,166404,65336,483585
1960:Q3,84976,1851,17610,4316,0,155,17260,0,13775,797,2688,0,27940,7200,0,20740,0,0,5873,5557,4414,508400,0,0,2673,316213,245897,392,69924,2400,1150,1250,10344,6406,170364,67263,490687
1960:Q4,84598,1693,15620,4819,0,-176,17573,0,13739,1087,2747,0,28260,7382,0,20878,0,0,6004,6148,4657,516440,0,0,2686,319791,248132,688,70971,2492,1252,1240,10860,6426,174185,66872,498714
1961:Q1,81816,1659,13255,5183,0,79,17710,0,13581,1323,2806,0,28942,7528,0,21414,0,0,6003,4215,4770,519976,0,0,2691,319255,245901,934,72420,2596,1306,1290,11193,6447,177794,64139,502299
1961:Q2,83610,1868,15189,5554,0,0,17899,0,13946,1129,2824,0,28860,7689,0,21171,0,0,6042,3343,4855,525494,0,0,2707,320922,247016,656,73250,2763,1360,1403,11203,6469,181430,65437,507321
1961:Q3,89681,2214,16968,5542,0,556,18108,0,13790,1511,2807,0,29667,7891,0,21776,0,0,6211,5592,4823,537037,0,0,2723,327870,252416,436,75018,2858,1417,1441,11602,6493,185491,71643,518999
1961:Q4,90472,1911,15493,5749,0,-55,18320,0,14002,1555,2763,0,30189,8098,0,22091,0,0,6297,7500,5068,547057,0,0,2740,333051,255707,995,76349,2940,1474,1466,12114,6519,189693,72241,528826
1962:Q1,90731,1686,15697,6377,0,41,18260,0,13976,1572,2712,0,30951,8214,0,22737,0,0,6309,6286,5124,551353,0,0,2748,335415,256084,1294,78037,3105,1554,1551,12164,6548,191373,72492,533114
1962:Q2,94964,1665,19393,6641,0,0,18524,0,14220,1625,2679,0,31599,8274,0,23325,0,0,6408,5511,5223,555756,0,0,2757,337205,256655,1347,79203,3347,1635,1712,12477,6579,193391,76353,537145
1962:Q3,95483,1238,18007,6385,0,912,18936,0,14581,1713,2642,0,31804,8336,0,23468,0,0,6652,6303,5246,560342,0,0,2749,339012,257712,748,80552,3447,1683,1764,12910,6612,195612,76496,541355
1962:Q4,96861,1209,16628,6719,0,466,19597,0,15157,1867,2573,0,32423,8421,0,24002,0,0,6849,7668,5302,570759,0,0,2760,346110,262772,1538,81800,3704,1734,1970,13594,6644,197947,77161,551059
1963:Q1,98079,1265,17054,7569,0,-1,20180,0,16107,1580,2493,0,33160,8426,0,24734,0,0,7171,6303,5378,576849,0,0,2769,347987,263272,1739,82976,3790,1759,2031,13784,6677,201842,77448,556218
1963:Q2,103114,1312,21171,7720,0,0,20516,0,16398,1684,2434,0,33318,8131,0,25187,0,0,7495,5954,5628,582676,0,0,2779,350261,264048,1489,84724,3838,1786,2052,13857,6711,205230,82230,561792
1963:Q3,103163,1237,18050,7708,0,1004,20843,0,16966,1491,2386,0,33537,8116,0,25421,0,0,7600,7541,5643,588289,0,0,2788,351220,264385,936,85899,3944,1790,2154,14314,6744,209279,81657,566783
1963:Q4,104000,1229,17137,8353,0,-745,21079,0,16314,2431,2334,0,34145,8219,0,25926,0,0,7798,9301,5703,598345,0,0,2806,356252,267845,1367,87040,3999,1796,2203,15066,6775,213447,83149,577494
1964:Q1,104989,1173,18874,8621,0,-943,21088,0,16504,2303,2281,0,34907,8287,0,26620,0,0,7794,7896,5579,603964,0,0,2825,357642,268229,1236,88177,3992,1793,2199,15254,6803,217448,84005,582980
1964:Q2,107918,1053,20665,8937,0,0,21279,0,16446,2590,2243,0,35609,8290,0,27319,0,0,7923,6902,5550,609099,0,0,2841,358968,267656,1364,89948,4061,1787,2274,15212,6827,221190,86955,588136
1964:Q3,110075,940,19958,9127,0,344,21786,0,16793,2768,2225,0,36458,8345,0,28113,0,0,8229,7735,5498,618861,0,0,2855,363651,270714,1177,91760,4177,1805,2372,15702,6851,225625,88685,597471
1964:Q4,111239,1034,18893,10084,0,-1758,22500,0,17333,2944,2223,0,37157,8397,0,28760,0,0,8574,9005,5750,630421,0,0,2830,369643,274261,2222,93160,4290,1826,2464,16409,6879,230370,89219,608401
1965:Q1,113682,939,20019,10710,0,-848,22834,0,17597,3016,2221,0,37960,8413,0,29547,0,0,8673,7825,5570,636753,0,0,2864,371065,274096,2308,94661,4373,1850,2523,16741,6910,234800,91341,614412
1965:Q2,118571,1677,22912,10833,0,0,23297,0,17987,3103,2207,0,38684,8348,0,30336,0,0,8968,6529,5671,641674,0,0,2901,370812,271988,1966,96858,4531,1876,2655,17127,6944,239359,95722,618825
1965:Q3,117505,1306,18323,11299,0,539,24035,0,18760,3086,2189,0,39213,8424,0,30789,0,0,9387,7586,5817,648567,0,0,2949,372057,270884,2268,98905,4580,1861,2719,17741,6979,244261,93837,624899
1965:Q4,120324,1396,16901,12436,0,-708,24836,0,19524,3145,2167,0,40253,8567,0,31686,0,0,9725,9731,5754,662351,0,0,3064,379804,276737,2670,100397,4622,1845,2777,18362,7013,249486,95856,637883
1966:Q1,121922,1233,17189,12494,0,-265,25141,0,19835,3165,2141,0,41487,8827,0,32660,0,0,9946,8980,5717,670234,0,0,3242,381816,276864,3110,101842,4653,1830,2823,18719,7042,254762,97123,645435
1966:Q2,126784,1103,23787,12874,0,0,25434,0,20346,2969,2119,0,42181,9086,0,33095,0,0,10243,5252,5910,675185,0,0,3543,380881,272111,4629,104141,4725,1815,2910,19192,7070,259774,101409,649810
1966:Q3,125659,1070,18372,12991,0,1708,25514,0,20248,3154,2112,0,43690,9422,0,34268,0,0,10939,5320,6055,685031,0,0,3740,383654,274208,3922,105524,5007,1800,3207,19848,7096,265686,100092,659464
1966:Q4,127413,905,17061,13682,0,805,25938,0,20097,3716,2125,0,44336,9779,0,34557,0,0,11615,6913,6158,699714,0,0,3963,390951,280293,4025,106633,5187,1783,3404,20680,7120,271813,101787,674088
1967:Q1,129648,620,18105,15250,0,20,26091,0,20115,3843,2133,0,45939,9975,0,35964,0,0,11980,5888,5755,709406,0,0,4176,394678,281315,5489,107874,5184,1770,3414,20989,7144,277235,103986,683744
1967:Q2,125621,645,19272,15938,0,0,26002,0,20003,3863,2136,0,46789,10100,0,36689,0,0,12691,-1656,5940,711445,0,0,4394,390051,272756,7100,110195,5219,1755,3464,21826,7168,282787,100018,685842
1967:Q3,135625,926,19087,15718,0,959,25811,0,20033,3651,2127,0,48258,10440,0,37818,0,0,13205,5711,5950,728462,0,0,4560,400589,281351,6919,112319,5308,1738,3570,22256,7188,288561,109895,702732
1967:Q4,139155,1304,18952,16159,0,256,25885,0,19742,4018,2125,0,49019,10820,0,38199,0,0,13661,7800,6119,747162,0,0,4646,412435,290462,8180,113793,5299,1720,3579,23019,7200,294563,113709,721716
1968:Q1,144503,1959,17588,16710,0,869,26498,0,19320,5093,2085,0,50616,11262,0,39354,0,0,13808,10407,6048,763278,0,0,4870,419660,295845,8537,115278,5338,1702,3636,23183,7202,303025,119462,738237
1968:Q2,143935,2748,18089,16843,0,200,27583,0,19303,6136,2144,0,51542,11659,0,39883,0,0,14273,6460,6197,770475,0,0,4930,419307,292526,9458,117323,5519,1684,3835,23494,7194,310031,118653,745193
1968:Q3,150794,3058,19409,17782,0,1369,28700,0,19514,7037,2149,0,52977,12076,0,40901,0,0,14697,6816,5986,788686,0,0,4976,429055,299259,10477,119319,5548,1670,3878,24017,7186,317904,125253,763145
1968:Q4,150728,3340,15885,19478,0,-1273,29655,0,19926,7558,2171,0,54029,12456,0,41573,0,0,15183,8632,5799,803420,0,0,5062,434697,301225,11340,122132,5647,1654,3993,24874,7186,325954,124638,777330
1969:Q1,155798,3371,16364,18626,0,-160,30935,0,20432,8308,2195,0,55211,12750,0,42461,0,0,15692,10211,5548,815804,0,0,5108,438549,301194,11552,125803,5765,1635,4130,25027,7197,334158,129041,789047
1969:Q2,153419,3915,17820,17042,0,1300,31288,0,20956,8080,2252,0,56302,13084,0,43218,0,0,16376,3697,5679,816385,0,0,5166,430712,290326,11043,129343,5815,1610,4205,25501,7217,341974,126006,788972
1969:Q3,157611,4076,18081,13872,0,4858,31967,0,21751,7961,2255,0,57528,13412,0,44116,0,0,17009,4445,5775,832823,0,0,5198,438257,296824,9379,132054,5869,1598,4271,25851,7239,350409,129334,804546
1969:Q4,160552,4691,19560,13431,0,2599,32855,0,23007,7612,2236,0,58922,13883,0,45039,0,0,17341,5369,5784,849908,0,0,5334,444528,301974,9036,133518,6312,1573,4739,26820,7252,359662,130570,819926
1970:Q1,164916,4872,20004,15114,0,2010,33346,0,23963,7175,2208,0,60243,14396,0,45847,0,0,17156,6342,5829,865837,867,400,5397,448640,304398,8584,135658,6254,1556,4698,27177,7321,369781,134047,834968
1970:Q2,161788,4340,22292,17350,0,0,33410,0,24366,6750,2294,0,61055,14635,0,46420,0,0,17155,268,5918,876199,867,400,5421,447574,300478,8098,138998,6104,1532,4572,27176,7333,381324,130556,844967
1970:Q3,165376,3785,20592,20256,0,1073,32435,0,23868,6271,2296,0,62007,14849,0,47158,0,0,17160,2175,5893,896945,867,400,5492,457668,308087,7999,141582,6272,1506,4766,27617,7344,391285,134446,866015
1970:Q4,167062,3573,21487,23688,0,-1416,30507,0,22940,5183,2384,0,62723,15102,0,47621,0,0,17186,3321,5993,921405,867,400,5556,471030,317451,8078,145501,6314,1498,4816,27969,7358,401911,136922,891265
1971:Q1,168244,3672,18514,26659,0,-1819,28413,0,22010,4040,2363,0,63477,15319,0,48158,0,0,16821,6570,5937,941262,1584,400,5654,477354,320237,7371,149746,6393,1484,4909,28549,7375,413953,138962,911980
1971:Q2,169999,3149,23103,26738,0,0,27522,0,21890,3301,2331,0,64507,15435,0,49072,0,0,16099,2925,5956,962098,1584,400,5797,485123,324021,7136,153966,6304,1463,4841,28752,7393,426745,140937,933036
1971:Q3,176030,2053,23545,27456,0,1901,27283,0,21848,3150,2285,0,65349,15693,0,49656,0,0,16086,6238,6119,989892,1584,400,5911,498170,333600,6695,157875,6535,1445,5090,29272,7412,440608,146807,960669
1971:Q4,182039,2192,25890,30904,0,-863,27748,0,22587,3029,2132,0,65927,15801,0,50126,0,0,16411,7681,6149,1020506,1720,400,6046,514885,346291,7028,161566,6607,1426,5181,29240,7429,454179,152139,990606
1972:Q1,186712,2897,21978,32320,0,-63,28522,0,23279,3239,2004,0,67085,16222,0,50863,0,0,16438,11425,6110,1044399,2491,400,6219,522986,350191,7114,165681,6849,1401,5448,29583,7459,468412,155981,1013668
1972:Q2,186644,2989,24689,33602,0,0,29508,0,23584,4200,1724,0,67611,16580,0,51031,0,0,16651,5427,6167,1058170,2491,400,6372,522482,346318,7099,169065,6528,1383,5145,29771,7498,482628,156191,1027717
1972:Q3,194059,2785,23610,34010,0,2314,30975,0,24150,4888,1937,0,68766,16756,0,52010,0,0,16984,8459,6156,1083129,2491,400,6483,531103,351066,7561,172476,6633,1362,5271,30645,7540,497834,162701,1051771
1972:Q4,202092,2627,26717,37767,0,-952,33062,0,24896,6333,1833,0,69163,16495,0,52668,0,0,17046,10510,6152,1114053,2491,400,6579,546594,363483,7927,175184,6866,1340,5526,31976,7581,511566,169837,1081798
1973:Q1,214305,2814,26732,40919,0,-346,35186,0,25424,7704,2058,0,70427,16612,0,53815,0,0,17440,14859,6274,1134113,2767,400,6667,558678,371244,8188,179246,6115,1318,4797,32400,7624,519462,182026,1101834
1973:Q2,213416,2810,27956,41464,0,0,37357,0,25889,9415,2053,0,70075,15825,0,54250,0,0,18534,8838,6382,1140347,2767,400,6860,557402,367336,7771,182295,5855,1300,4555,33145,7671,526247,180919,1107850
1973:Q3,217680,2810,21149,43327,0,1706,39313,0,26152,11199,1962,0,72508,17231,0,55277,0,0,19104,11289,6474,1149270,2767,400,6924,559446,365479,8213,185754,6255,1284,4971,34082,7717,531679,184595,1116185
1973:Q4,230036,2887,25859,44824,0,497,41091,0,26065,12964,2062,0,73539,17606,0,55933,0,0,20147,14092,7100,1171645,2767,400,7001,570423,372203,8357,189863,6185,1269,4916,35537,7756,541576,196993,1138602
1974:Q1,234797,3101,22268,46551,0,2748,42747,0,26102,14601,2044,0,72428,17985,0,54443,0,0,20632,17004,7318,1192361,2767,400,6988,577313,374816,8714,193783,6223,1249,4974,36007,7789,554874,201677,1159241
1974:Q2,235407,3371,25899,48157,0,0,44091,0,25809,15834,2448,0,74423,19324,0,55099,0,0,21586,10985,6895,1207831,2767,400,7085,579167,372699,8685,197783,6008,1227,4781,36952,7816,567636,202369,1174793
1974:Q3,244452,4159,22444,47961,0,3331,45205,0,26258,16412,2535,0,77680,21184,0,56496,0,0,22554,14253,6865,1236212,2723,400,7188,586248,376391,8477,201380,6369,1196,5173,38333,7842,587109,210486,1202246
1974:Q4,245783,4312,21404,50564,0,-1259,45153,0,26523,16044,2586,0,83425,23839,0,59586,0,0,19107,16035,7042,1264678,2809,400,7333,597915,387067,8227,202621,6755,1163,5592,39805,7871,601790,211082,1229977
1975:Q1,250593,4655,20875,49315,0,953,45880,0,26991,16327,2562,0,86253,24656,0,61597,0,0,18983,16529,7150,1302712,2862,400,7500,618783,406793,7934,204056,6847,1159,5688,44715,9015,612590,215352,1267471
1975:Q2,250984,4625,24256,48711,0,0,46812,0,26734,17610,2468,0,90813,27225,0,63588,0,0,19696,8810,7261,1335924,2836,500,7711,643618,428741,7885,206992,6795,1117,5678,46234,9394,618836,216104,1301044
1975:Q3,264549,4662,24321,47868,0,1946,48888,0,27183,18506,3199,0,94794,29531,0,65263,0,0,20762,13894,7414,1380603,2671,500,7910,667733,451163,7876,208694,6893,1100,5793,48065,9433,637398,228374,1344428
1975:Q4,272277,4571,24779,48685,0,-2080,50958,0,27783,18206,4969,0,98454,31955,0,66499,0,0,21686,17591,7633,1426180,2685,500,8170,698431,476979,7874,213578,6854,1073,5781,49234,10152,650154,233744,1387647
