1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,1676619,0,76743,177733,0,114750,72300,244,31180,11026,35408,-602,36010,0,412628,21007,0,87588,326229,222806,103423,409730,14803,235787,0,230869,150179,61082,2725,11279,5604,2440,2478
1961:Q4,1729608,0,76926,182845,0,115882,71944,592,32506,10840,36094,-740,36834,0,443217,22875,0,88631,332393,225178,107215,415779,14966,242913,0,237901,154027,63435,2992,11700,5747,2500,2512
1962:Q1,1734112,0,75175,189204,0,116090,73081,567,31469,10973,36277,-1100,37377,0,433050,22981,0,89663,335857,226868,108989,420714,15102,244240,0,239141,156488,62038,3202,11525,5888,2550,2549
1962:Q2,1639311,0,73040,196080,0,115856,73108,410,31384,10954,37525,-450,37975,0,329789,18257,0,90651,338921,232603,106318,423947,15245,251339,0,246172,160237,65435,3084,11362,6054,2580,2587
1962:Q3,1677807,0,75396,201423,0,117167,74836,286,31852,10193,38068,-338,38406,0,348408,18796,0,91563,342790,233519,109271,428809,15388,257554,0,252328,164345,66626,3259,11883,6215,2600,2626
1962:Q4,1780428,0,77148,208828,0,116251,73718,235,32087,10211,38142,-864,39006,0,431230,20909,0,92398,347129,233398,113731,432848,15545,265049,0,259752,168307,69344,3450,12308,6343,2630,2667
1963:Q1,1807812,0,78347,215765,0,112897,70567,9,31665,10656,37860,-1464,39324,0,443950,22156,0,93355,352974,235853,117121,434808,15700,267959,0,262568,171352,68935,3160,12575,6546,2680,2711
1963:Q2,1845318,0,77211,223030,0,112595,70564,0,31642,10389,39185,-908,40093,0,465276,23306,0,94378,359556,238142,121414,434919,15862,277476,0,271958,175801,72217,3756,13531,6653,2760,2758
1963:Q3,1881481,0,79930,227746,0,112981,71976,0,31128,9877,39325,-994,40319,0,485143,24118,0,95473,365855,241212,124643,434892,16018,284993,0,279337,180662,74362,3373,14161,6779,2850,2806
1963:Q4,1877148,0,81977,234936,0,115129,72892,0,32094,10143,39382,-1146,40528,0,457229,24819,0,96635,372399,244435,127964,438463,16178,294004,0,288211,185106,77870,3794,14502,6939,2940,2853
