date,FA106902501.A,FA106300003.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300003.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020000.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA104042005.A,FA103081005.A,FA103034000.A,FA103064103.A,FA103064203.A,FA103092105.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103072005.A,FA103093005.A,FA104194005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104135005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA104142005.A,FA103165005.A,FA103192305.A,FA103181005.A,FA103164103.A,FA103192105.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178005.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104190085.A,FR103192305.A,FR103164103.A,FR103192105.A,FR103152025.A,FR103193005.A,FR108200005.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020000.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065003.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164103.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
2009,6868925,1110732,5758193,4094885,3382810,712076,608503,1054805,601415,1054805,559736,209713,139026,210997,1013126,479814,490419,24684,18209,601415,162122,60288,379006,379006,340707,379006,38298,-32832,1201470,1110732,6611,-130181,373539,373539,207770,258058,174321,76913,6824,16316,-1299,12509,4169,937,29767,-3047,32814,45280,-112906,-99497,35268,231669,21,-9275,-3967,-137684,-29516,0,-108168,-245227,174660,-73067,37637,210090,-510446,-389392,-228398,-160994,-121054,-109384,-11670,84181,-40021,124202,29581,-8605,38186,-23203,-86928,-3254,66979,452997,46845,0,-29996,-79457,2617,-2419774,-2417291,-31187,-235,28939,191494,0,1903,171056,20438,675218,-677123,2723065,-5535,2467803,255260,-246969,252506,-4951345,-4563793,27415945,14040723,6908426,3758458,1671736,1702102,13375222,600926,340597,228801,31528,140373,55987,42964,14321,27101,261003,51072,7852,43220,209931,29548,180383,5107418,725069,863153,162039,3285535,444,71178,306953,6958549,2064452,0,4894097,27415945,28014075,3725726,58410,470256,3197060,2855682,1687674,549098,1138576,1168008,762492,405516,15170163,13049303,2120860,541595,75419,466176,5720909,1582043,35700,4103166,-598130
2010,7248936,1119772,6129164,4166597,3452257,714341,638214,1324352,869789,1324352,575810,175026,134433,266351,1030372,444357,509906,56680,19429,869789,203797,71585,594407,594407,573491,594407,20917,184635,1251050,1119772,-1080,54437,388856,388856,555282,149419,129777,6439,13203,-5501,-12476,6867,1974,-1866,-37977,-2647,-35330,146829,-169929,-51450,7460,332362,122,28264,11604,290906,141836,0,149070,287708,245459,24518,32762,188179,-307589,-193818,-84948,-108870,-113771,-105903,-7868,-30743,-200953,170210,-5483,15383,-20866,386064,156864,42698,186502,267574,-1934614,0,-1860926,121282,-47593,546466,447065,20139,22998,56263,118285,-3394,4670,105506,16171,86043,-90709,2114500,8652,1981689,132141,-179666,171683,-1449749,-2810873,27006610,14851385,7413895,3835064,1742030,1860395,12155225,769605,470374,235240,63991,211478,123511,48024,16008,23935,245697,66426,22034,44392,179271,27985,151286,5424858,555140,917209,185670,3703940,565,62334,318558,5185029,2202562,0,2982467,27006610,30415613,3971185,82928,503018,3385239,2508503,1428866,482473,946393,1079636,673336,406300,17253250,14830039,2423211,528287,90802,437485,6154388,1738907,78398,4337083,-3409003
2011,7618986,1169308,6449678,4372725,3630646,742079,670849,1406105,886441,1406105,547813,175341,94796,277676,1067476,439701,535843,69774,22159,886441,209031,79653,597758,597758,604186,597758,-6428,262150,1391004,1169308,-1014,41468,342036,342036,368615,44110,95462,-39889,-11463,-13279,93,-7801,-2161,-3410,19055,1498,17557,364858,-39310,23399,-13832,382006,-39,12634,12217,-58346,86838,0,-145184,427003,200803,33379,8627,158797,144798,206612,146947,59665,-61814,-97179,35365,-218552,-382575,164023,-1336,2960,-4296,301292,23705,13347,264240,-58388,-324231,0,8185,400424,-68008,465262,341896,59758,32658,30950,-1013,4987,-9620,-53,-5947,-532963,542582,162396,-12473,330515,-168119,-169,12642,301853,581808,28177819,15654992,7806319,4014144,1833707,2000822,12522827,813715,565836,195351,52528,203186,123604,42968,14323,22291,255131,67923,22906,45017,187208,27428,159780,5250753,515830,940555,165891,3552983,526,74968,330775,5669267,2289401,0,3379866,28177819,31005014,4171988,116307,511645,3544036,2640828,1635478,629420,1006059,1005349,576157,429192,17197094,14777979,2419115,591702,93762,497940,6403402,1762612,91745,4549045,-2827195
2012,8060350,1230588,6829762,4608338,3839249,769089,695083,1526342,903327,1526342,530274,161372,106902,262000,1153290,430748,624837,74985,22719,903327,245429,82143,575755,575755,592751,575755,-16997,386008,1542822,1230588,247,73526,206744,206744,307049,54591,39767,13731,1093,-15779,-11472,-2799,-1334,-174,8028,-5424,13452,263430,-10918,-26334,-5820,302557,26,3919,7763,-10984,55425,0,-66409,701027,379423,14022,12377,353024,27047,120900,101029,19871,-93853,-96551,2698,-112855,-300007,187152,-1492,-12321,10829,408905,68072,1357,339476,-393978,-608875,-6904,-12698,600722,-11449,409476,362902,19267,13850,13457,145325,223,22671,125889,19210,269347,-292015,2234768,-24672,2044508,189680,-179880,205132,-1679967,-1696091,29416944,16441743,8245837,4191533,1905119,2099254,12975201,868306,605603,209082,53621,187630,112132,39437,13146,22915,285830,62499,18273,44226,223331,25542,197789,5928629,504912,1040110,179281,4124887,552,78887,338538,5366268,2344826,0,3021442,29416944,33940230,4551411,130329,524022,3897060,2609716,1722892,711877,1011014,886825,479607,407218,19318427,16522480,2795947,459347,81441,377906,7001329,1830684,93102,5077543,-4523286
2013,8378048,1279709,7098340,4768102,3968585,799517,742003,1588236,989593,1588236,539418,149624,100631,289163,1138060,411607,632519,72077,21858,989593,263518,84156,641920,641920,647631,641920,-5712,411272,1606499,1279709,1376,83105,236359,236359,707732,149796,42091,39155,68550,-3899,-5628,1674,277,-222,-7439,-1741,-5698,361946,30580,10670,2460,304108,42,14086,-5948,213275,271819,0,-58544,593087,271668,14182,1452,256034,160330,140511,53643,86868,19819,7867,11952,-101508,-277296,175788,123399,-2472,125871,139197,100522,-9911,48586,114645,-166479,0,-30385,121715,14379,1187309,1160335,-23477,44434,6017,332753,-4297,-21743,308981,28068,682081,-660337,6001844,-211,5270134,731709,-326138,326350,-4481781,-4000629,32011244,17995558,9482654,4322623,2016283,2173998,14015686,1018102,647694,248237,122171,179434,106504,38822,12941,21167,256648,60758,22643,38115,195890,27096,168794,7309706,535492,1359761,209809,5111076,595,92973,332590,4919206,2616645,0,2302561,32011244,40535159,4823079,144511,525474,4153094,2758373,1851939,765461,1086478,906434,487475,418959,25218762,21515318,3703444,670952,78969,591983,7063993,1931206,83191,5049596,-8523915
2014,8785459,1349243,7436215,5026193,4197177,829016,767637,1642385,959250,1642385,538789,149417,102937,286435,1221924,419662,700469,78860,22933,959250,290728,79412,589110,589110,595785,589110,-6675,480512,1753823,1349243,1587,74344,115273,115273,673436,19884,116754,-87561,-9309,25674,25085,1579,638,-1628,29731,27356,2375,416033,21859,37338,24028,316895,132,15781,10226,171888,104131,0,67757,993384,320966,37501,-416,283881,220071,182531,100130,82401,37540,-17672,55212,-171712,-301946,130234,39357,-2865,42222,584702,148547,12218,423937,-319948,-451909,0,-14556,435221,2131,656333,662075,-13270,20247,-12718,168539,3276,48866,156652,8611,-355665,306799,3002760,-8283,2756600,246160,-152913,161196,-2177888,-2034011,33973377,19115716,10284418,4486051,2111754,2233493,14857661,1037986,764448,160676,112862,208384,131589,41679,13893,21223,335248,88117,50432,37685,247131,29043,218088,7535337,557351,1553751,242448,5072306,727,108754,342816,5397891,2720773,0,2677118,33973377,44531303,5144045,182012,525058,4436975,2970620,2034363,865484,1168879,936257,470369,465888,28049810,23969972,4079838,580175,76104,504071,7786653,2079753,95409,5611491,-10557926
2015,9128489,1401676,7726814,5292613,4430602,862011,772756,1661446,911594,1661446,545263,152978,124932,267353,1295115,439600,766032,71629,17854,911594,283217,99302,529075,529075,532317,529075,-3241,534165,1789501,1401676,29472,116868,-1849,-1849,1139981,41260,49366,10899,-19005,3737,7807,-3770,-1303,1003,26504,13568,12936,261156,19010,-42105,12228,269738,78,2207,2305,805018,33424,0,771594,1235129,410320,-2995,13581,399734,227307,95447,102995,-7548,131860,91834,40026,-77839,-453477,375638,74633,15162,59471,600708,24341,-21203,597570,-95148,-201677,0,-52082,93300,56296,685029,796233,-60706,-10250,-40248,-18765,-558,3650,-11711,-6496,-372383,368735,-580706,1953,-402894,-177811,43567,-45521,1246971,1577610,36205410,20226533,11204541,4594773,2173402,2253817,15978877,1079246,813814,171575,93857,211563,139396,37425,12475,22267,365400,101683,64591,37092,263717,52583,211134,7406258,576361,1499935,248180,4969661,804,111317,345121,6571289,2754199,0,3817090,36205410,45185726,5554365,179017,538639,4836709,3164490,2088141,956679,1131462,1076349,568482,507867,27391266,23113601,4277665,700251,91266,608985,8375355,2104094,74206,6197055,-8980316
2016,9238172,1430222,7807950,5430644,4560329,870315,785697,1591609,778534,1591609,522289,153173,102411,266705,1335364,461623,793103,64993,15645,778534,261854,74902,441779,441779,439145,441779,2634,377792,1766198,1430222,7263,34553,61352,61352,945776,175267,154073,17464,3730,-4114,-6866,4155,1295,-2698,-14022,26794,-40816,209312,-112514,66942,-5432,273369,93,-13146,6554,572780,198835,0,373945,936962,294858,1766,20798,272294,-23184,-27107,-4900,-22207,3923,6203,-2280,-82616,-495851,413235,64755,8824,55931,683149,184231,-8093,507011,8814,-90079,0,-32991,52538,4549,593339,525736,-22362,33343,56623,158581,-755,-14559,146064,13271,25051,-10493,2350316,-38347,2035201,315114,-142296,180644,-1598396,-1249330,38243357,21160123,11823862,4695651,2300166,2340444,17083234,1254513,967887,189039,97587,206694,132530,41185,13728,19251,336822,128480,90280,38200,208342,29825,178517,7799958,463847,1712941,256019,5268081,899,98171,351674,7133573,2953031,0,4180542,38243357,48473003,5849223,180783,559437,5109003,3098373,2061033,951779,1109254,1037340,570100,467240,29658965,24652951,5006014,682426,100090,582336,9184016,2288325,66113,6829578,-10229646
2017,9664137,1492800,8171337,5705444,4786789,918655,826971,1638923,834218,1638923,596210,166739,102041,327430,1400914,480439,822788,80728,16959,834218,224912,95317,513990,513990,322492,513990,191497,403489,1867851,1492800,170,28267,-80996,-80996,542483,95061,-16176,-7726,118963,28840,-8803,30135,9987,-2479,-82856,-52686,-30170,310004,35629,-89863,8036,343407,274,12521,13939,177494,163357,0,14137,301788,325904,25887,14869,285148,23179,65630,-52151,117781,-42451,-33890,-8561,-27092,-325551,298459,-47846,19166,-67012,27642,81344,211113,-264815,240695,319872,-19690,-28955,-321691,-46826,856398,759329,11093,54924,31052,363653,500,8857,326205,36947,952854,-961708,5269808,13259,4420055,849754,-270119,256860,-4049757,-3407393,40407561,22418191,12674295,4841429,2455878,2446590,17989370,1349574,951711,181313,216550,236034,123727,71295,23765,17247,262823,75794,39551,36243,187029,32218,154811,9425967,499476,1949283,301002,6564342,1172,110692,365613,6349359,3116388,0,3232971,40407561,54044600,6175127,206670,574306,5394151,3272609,2264461,899629,1364832,1008149,536211,471938,34901682,28747455,6154227,445952,119256,326696,9249229,2369669,277226,6602334,-13637039
2018,10179873,1561164,8618709,6023838,5049861,973977,882775,1712095,883793,1712095,912507,187550,946682,-221725,1740809,448799,1172678,100636,18697,883793,200527,98494,584772,584772,590967,584772,-6195,507453,2015344,1561164,-1741,55014,83514,83514,865886,133561,237979,5842,-110260,19087,38399,-15591,-5455,1734,53304,-24728,78032,-290420,-33362,-40673,-9012,-209902,69,2460,11411,938942,396298,0,542644,846705,151507,-10203,-3279,164989,139233,114355,103422,10933,24878,97779,-72901,-382256,-617774,235518,41051,-34555,75606,897171,320692,-10551,587030,19181,369685,-5492,391809,64333,-47702,223024,89978,62034,48826,22187,-142718,-1907,-34061,-118742,-22068,-1139407,1173469,-2162617,9148,-1586075,-576543,152019,-161166,2242922,3203575,42295223,23182685,12910828,5074226,2626139,2571492,19112538,1483135,1189690,187155,106290,253214,162126,54404,18135,18549,282065,51065,14579,36486,231000,34213,196787,7855329,466114,1789868,269922,5215033,1240,113152,377024,8861771,3512687,0,5349084,42295223,52728687,6326634,196467,571027,5559140,3747488,2712814,1003050,1709764,1034674,626489,408185,32356808,26543606,5813202,686390,84701,601689,9611367,2690361,266675,6654331,-10433464
2019,10603972,1644843,8959129,6315213,5300292,1014921,931333,1712583,782716,1712583,773228,241548,386449,145231,1703095,494613,1082188,105880,20414,782716,203575,91600,487541,487541,499971,487541,-12430,546867,2118513,1644843,-115,73312,-46897,-46897,2396432,189193,150201,14299,24693,69321,55442,6709,2380,4790,-84765,-1853,-82912,212244,92189,10193,5340,105087,72,-637,14981,1995459,540534,0,1454925,1960617,270022,-1937,15386,256573,203857,158910,30941,127969,44948,50271,-5323,-241835,-457939,216104,69826,-4576,74402,1658748,230122,-6773,1435399,435815,517546,0,34813,-482712,-21,993384,951698,8225,35094,-1633,572959,4098,-2478,517677,51183,935926,-933448,9063699,7844,7594822,1468876,-434611,426768,-7497356,-6479839,47239700,24757771,14069512,5254918,2790148,2643193,22481929,1672328,1339891,201454,130983,326633,217568,63629,21210,24226,194820,49210,13384,35826,145610,36419,109191,9572360,558303,2317738,326445,6256046,1313,112515,392005,10323784,4053223,0,6270561,47239700,64153003,6596656,194530,586413,5815713,3961049,2871723,1033990,1837733,1089326,678620,410706,41178671,33680489,7498182,484905,80125,404780,11931722,2920483,259902,8751337,-16913303
2020,10168783,1707598,8461186,6327495,5319306,1008189,463315,1670376,741560,1670376,605198,234615,179248,191335,1534015,470042,975443,69727,18803,741560,189589,94127,457843,457843,444209,457843,13634,256145,2012284,1707598,-213,-48329,188065,188065,1429608,784233,665327,107274,11632,52728,38318,9760,4414,236,-26977,26439,-53416,273354,119553,-136089,10608,282239,75,-3032,21988,324284,34742,210037,79505,1373557,616717,-62328,3835,675210,269486,265811,77767,188044,3676,45419,-41743,12323,-167603,179926,35616,-10457,46073,439412,134774,13825,290813,56051,-156389,0,-42555,132014,-18180,908602,724094,23969,107519,53021,404272,1894,162,361604,39371,293512,-292273,9959620,-2051,8925667,1033954,-316792,318842,-8646747,-8358926,50213950,25898141,14863441,5355652,3012983,2666065,24315809,2456561,2005218,308728,142615,381255,255886,75178,25059,25132,168004,75648,39817,35831,92356,38776,53580,10540201,677856,2543253,376424,6831797,1388,109483,413992,10355796,4087966,210037,6057793,50213950,75486179,7213373,132202,590248,6490923,4228485,3137534,1111758,2025776,1090951,724039,366912,51150615,42438553,8712062,287805,69668,218137,12605901,3055257,273727,9276917,-25272229
