date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,2932,772,104,0,668,2160,2932,ND,ND,ND,ND,ND
1973:Q2,3064,624,152,0,472,2440,3064,ND,ND,ND,ND,ND
1973:Q3,696,556,136,0,420,140,696,ND,ND,ND,ND,ND
1973:Q4,4052,240,56,0,184,3812,4052,ND,ND,ND,ND,ND
1974:Q1,-460,316,-16,0,332,-776,-460,ND,ND,ND,ND,ND
1974:Q2,1672,-412,-96,0,-316,2084,1672,ND,ND,ND,ND,ND
1974:Q3,2252,-468,-112,0,-356,2720,2252,ND,ND,ND,ND,ND
1974:Q4,52,-268,-64,0,-204,320,52,ND,ND,ND,ND,ND
1975:Q1,-124,252,-24,0,276,-376,-124,ND,ND,ND,ND,ND
1975:Q2,-1296,-4,0,0,-4,-1292,-1296,ND,ND,ND,ND,ND
1975:Q3,-1976,52,12,0,40,-2028,-1976,ND,ND,ND,ND,ND
1975:Q4,-3768,56,12,0,44,-3824,-3768,ND,ND,ND,ND,ND
1976:Q1,1008,500,32,0,468,508,1008,ND,ND,ND,ND,ND
1976:Q2,-1544,300,68,0,232,-1844,-1544,ND,ND,ND,ND,ND
1976:Q3,-1028,208,44,0,164,-1236,-1028,ND,ND,ND,ND,ND
1976:Q4,-1572,-120,-24,0,-96,-1452,-1572,ND,ND,ND,ND,ND
1977:Q1,-1072,-500,-112,0,-388,-572,-1072,ND,ND,ND,ND,ND
1977:Q2,-1396,-928,-208,0,-720,-468,-1396,ND,ND,ND,ND,ND
1977:Q3,-1976,-912,-200,0,-712,-1064,-1976,ND,ND,ND,ND,ND
1977:Q4,-1284,-464,-104,0,-360,-820,-1284,ND,ND,ND,ND,ND
1978:Q1,-396,264,-8,0,272,-660,-396,ND,ND,ND,ND,ND
1978:Q2,-348,364,80,0,284,-712,-348,ND,ND,ND,ND,ND
1978:Q3,-244,448,96,0,352,-692,-244,ND,ND,ND,ND,ND
1978:Q4,3028,204,44,0,160,2824,3028,ND,ND,ND,ND,ND
1979:Q1,-1180,348,4,0,344,-1528,-1180,ND,ND,ND,ND,ND
1979:Q2,-572,-104,-20,0,-84,-468,-572,ND,ND,ND,ND,ND
1979:Q3,-1852,-136,-28,0,-108,-1716,-1852,ND,ND,ND,ND,ND
1979:Q4,276,-64,-16,0,-48,340,276,ND,ND,ND,ND,ND
1980:Q1,-956,16,4,0,12,-972,-956,ND,ND,ND,ND,ND
1980:Q2,-2496,96,20,0,76,-2592,-2496,ND,ND,ND,ND,ND
1980:Q3,-1936,64,16,0,48,-2000,-1936,ND,ND,ND,ND,ND
1980:Q4,540,-76,-16,0,-60,616,540,ND,ND,ND,ND,ND
1981:Q1,860,688,-52,0,740,172,860,ND,ND,ND,ND,ND
1981:Q2,-560,-472,-92,0,-380,-88,-560,ND,ND,ND,ND,ND
1981:Q3,-744,-448,-88,0,-360,-296,-744,ND,ND,ND,ND,ND
1981:Q4,-1416,-216,-44,0,-172,-1200,-1416,ND,ND,ND,ND,ND
1982:Q1,1016,1156,8,0,1148,-140,1016,ND,ND,ND,ND,ND
1982:Q2,-56,268,44,0,224,-324,-56,ND,ND,ND,ND,ND
1982:Q3,-752,312,56,0,256,-1064,-752,ND,ND,ND,ND,ND
1982:Q4,-1020,152,28,0,124,-1172,-1020,ND,ND,ND,ND,ND
1983:Q1,-1908,-1152,12,0,-1164,-756,-1908,ND,ND,ND,ND,ND
1983:Q2,-580,72,4,0,68,-652,-580,ND,ND,ND,ND,ND
1983:Q3,-320,168,-12,0,180,-488,-320,ND,ND,ND,ND,ND
1983:Q4,-468,28,-32,0,60,-496,-468,ND,ND,ND,ND,ND
1984:Q1,120,-92,-68,0,-24,212,120,ND,ND,ND,ND,ND
1984:Q2,-456,28,-120,0,148,-484,-456,ND,ND,ND,ND,ND
1984:Q3,-1888,-1272,-104,0,-1168,-616,-1888,ND,ND,ND,ND,ND
1984:Q4,-1772,-572,-28,0,-544,-1200,-1772,ND,ND,ND,ND,ND
1985:Q1,624,1084,24,800,260,-460,624,ND,ND,ND,ND,ND
1985:Q2,4,512,52,800,-340,-508,4,ND,ND,ND,ND,ND
1985:Q3,1756,1944,112,1000,832,-188,1756,ND,ND,ND,ND,ND
1985:Q4,1492,2052,212,1200,640,-560,1492,ND,ND,ND,ND,ND
1986:Q1,6256,1888,308,1000,580,4368,6256,ND,ND,ND,ND,ND
1986:Q2,6380,3180,400,1000,1780,3200,6380,ND,ND,ND,ND,ND
1986:Q3,5580,3180,468,1000,1712,2400,5580,ND,ND,ND,ND,ND
1986:Q4,5016,3416,528,1200,1688,1600,5016,ND,ND,ND,ND,ND
1987:Q1,9268,2404,988,964,452,6864,9268,ND,ND,ND,ND,ND
1987:Q2,5764,1384,-896,868,1412,4380,5764,ND,ND,ND,ND,ND
1987:Q3,5716,4092,-108,1172,3028,1624,5716,ND,ND,ND,ND,ND
1987:Q4,8348,8044,2280,2080,3684,304,8348,ND,ND,ND,ND,ND
1988:Q1,13416,12668,2692,2572,7404,748,13416,ND,ND,ND,ND,ND
1988:Q2,25068,22296,5080,4328,12888,2772,25068,ND,ND,ND,ND,ND
1988:Q3,24188,19896,3484,4716,11696,4292,24188,ND,ND,ND,ND,ND
