1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,1200,0,222,141,0,73,8,374,0,286,88,604,1139,-144,1344,0,-61,ND
1966:Q1,1250,0,237,145,0,80,12,390,0,297,93,623,1188,-149,1399,0,-62,ND
1966:Q2,1314,0,258,151,0,90,17,404,0,304,100,652,1252,-158,1472,0,-62,ND
1966:Q3,1382,0,280,158,0,100,22,418,0,310,108,684,1319,-168,1550,0,-63,ND
1966:Q4,1444,0,295,163,0,107,25,433,0,319,114,716,1379,-176,1620,0,-65,ND
1967:Q1,1506,0,317,172,0,112,33,448,0,333,115,741,1440,-187,1693,0,-66,ND
1967:Q2,1571,0,339,183,0,115,41,464,0,351,113,768,1504,-200,1771,0,-67,ND
1967:Q3,1633,0,361,194,0,117,50,480,0,369,111,792,1566,-214,1847,0,-67,ND
1967:Q4,1688,0,382,204,0,118,60,494,0,382,112,812,1621,-226,1914,0,-67,ND
1968:Q1,1738,0,395,210,0,120,65,499,0,393,106,844,1672,-231,1969,0,-66,ND
1968:Q2,1753,0,403,213,0,122,68,505,0,401,104,845,1688,-237,1990,0,-65,ND
