1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q3,1793,0,410,216,0,124,70,511,0,408,103,872,1728,-243,2036,0,-65,ND
1968:Q4,1917,0,444,220,0,153,71,517,0,417,100,956,1851,-249,2166,0,-66,ND
1969:Q1,2145,0,459,226,0,161,72,548,0,425,123,1138,2050,-257,2191,211,-95,ND
1969:Q2,2504,0,473,232,0,169,72,593,0,433,160,1438,2369,-266,2231,539,-135,ND
1969:Q3,2840,0,488,239,0,177,72,642,0,441,201,1710,2702,-275,2271,844,-138,ND
1969:Q4,2997,0,506,248,0,184,74,685,0,449,236,1806,2856,-284,2297,984,-141,ND
1970:Q1,3151,0,517,255,0,190,72,715,0,521,194,1919,3006,-305,2419,1037,-145,ND
1970:Q2,3244,0,522,261,0,193,68,738,0,536,202,1984,3095,-334,2505,1073,-149,ND
1970:Q3,3311,0,530,268,0,198,64,759,0,551,208,2022,3157,-364,2572,1103,-154,ND
1970:Q4,3388,0,543,277,0,207,59,783,0,569,214,2062,3230,-387,2642,1133,-158,ND
1971:Q1,3324,0,629,307,0,263,59,809,0,590,219,1886,3157,-408,2612,1120,-167,ND
1971:Q2,3253,0,667,332,0,276,59,863,0,664,199,1723,3078,-443,2587,1109,-175,ND
1971:Q3,3558,0,712,401,0,251,60,890,0,670,220,1956,3373,-507,2845,1220,-185,ND
1971:Q4,3770,0,722,438,0,224,60,915,0,676,239,2133,3574,-514,2999,1285,-196,ND
1972:Q1,3613,0,738,399,0,278,61,917,0,680,237,1958,3410,-561,2922,1252,-203,ND
1972:Q2,3444,0,735,368,0,305,62,894,0,695,199,1815,3233,-623,2847,1220,-211,ND
1972:Q3,3732,0,872,508,0,301,63,971,0,700,271,1889,3515,-676,3086,1322,-217,ND
1972:Q4,4067,0,1000,643,0,293,64,924,0,698,226,2143,3844,-683,3325,1425,-223,ND
1973:Q1,4104,0,923,558,0,296,69,920,0,656,264,2261,3879,-688,3354,1438,-225,ND
1973:Q2,3972,0,846,473,0,299,74,915,0,615,300,2211,3744,-694,3266,1400,-228,ND
1973:Q3,4143,0,921,521,0,326,74,975,0,663,312,2247,3901,-832,3482,1493,-242,ND
1973:Q4,4254,0,997,570,0,353,74,1036,0,712,324,2221,3999,-969,3656,1567,-255,ND
1974:Q1,4332,0,963,445,0,443,75,1092,0,695,397,2277,4076,-850,3627,1555,-256,ND
1974:Q2,4408,0,1030,421,0,534,75,1148,0,677,471,2230,4150,-730,3597,1541,-258,ND
1974:Q3,4545,0,1075,400,0,600,75,1382,0,765,617,2088,4288,-675,3654,1566,-257,ND
1974:Q4,4503,0,986,346,0,565,75,1512,0,766,746,2005,4248,-787,3703,1587,-255,ND
1975:Q1,4745,0,1037,375,0,590,72,1537,0,730,807,2171,4485,-795,3878,1662,-260,ND
1975:Q2,4991,0,1072,395,0,602,75,1567,0,745,822,2352,4724,-803,4056,1738,-267,ND
1975:Q3,5219,0,1126,408,0,640,78,1627,0,753,874,2466,4970,-850,4248,1821,-249,ND
1975:Q4,5451,0,1175,417,0,677,81,1688,0,760,928,2588,5219,-899,4445,1905,-232,ND
1976:Q1,5450,0,1295,375,0,820,100,1712,0,810,902,2443,5280,-875,4427,1898,-170,ND
1976:Q2,5430,0,1375,346,0,902,127,1734,0,859,875,2321,5312,-864,4406,1888,-118,ND
1976:Q3,5710,0,1548,410,0,1000,138,1730,0,875,855,2432,5594,-800,4557,1953,-116,ND
1976:Q4,5985,0,1765,494,0,1121,150,1727,0,889,838,2493,5870,-744,4710,2019,-115,ND
1977:Q1,6064,0,1810,550,0,1060,200,1729,0,925,804,2525,5971,-900,4698,2266,-93,ND
1977:Q2,6111,0,1884,621,0,1002,261,1731,0,961,770,2496,6036,-1093,4638,2566,-75,ND
1977:Q3,6211,0,1940,660,0,1020,260,1770,0,910,860,2501,6086,-1172,4572,2811,-125,ND
1977:Q4,6310,0,1998,702,0,1039,257,1807,0,877,930,2505,6115,-1252,4537,3025,-195,ND
1978:Q1,6600,0,2116,700,0,1139,277,1700,0,930,770,2784,6403,-1332,4518,3414,-197,ND
1978:Q2,7001,0,2229,700,0,1231,298,1590,0,996,594,3182,6802,-1414,4488,3927,-199,ND
1978:Q3,7326,0,2328,665,0,1295,368,1604,0,1010,594,3394,7111,-1489,4496,4319,-215,ND
1978:Q4,7605,0,2427,629,0,1359,439,1619,0,1025,594,3559,7373,-1578,4591,4592,-232,ND
1979:Q1,7827,0,2243,600,0,1200,443,1635,0,1040,595,3949,7588,-1673,4794,4706,-239,ND
1979:Q2,8062,0,2096,563,0,1084,449,1655,0,1055,600,4311,7816,-1755,5121,4696,-246,ND
1979:Q3,8460,0,2218,618,0,1100,500,1676,0,1070,606,4566,8206,-2090,5451,5099,-254,ND
1979:Q4,8884,0,2335,672,0,1115,548,1700,0,1085,615,4849,8622,-2441,5662,5663,-262,ND
1980:Q1,9385,0,2421,693,0,1082,646,1721,66,1105,550,5243,9115,-2531,5770,5845,31,ND
1980:Q2,10088,0,2593,722,0,1070,801,1863,163,1125,575,5632,9809,-2621,5791,5943,696,ND
1980:Q3,10833,0,2744,750,0,1053,941,2030,279,1145,606,6059,10545,-2711,5783,6084,1389,ND
1980:Q4,11575,0,2766,770,0,1000,996,2200,400,1165,635,6609,11280,-2800,5800,6400,1880,ND
1981:Q1,12527,0,2666,786,0,920,960,2450,539,1185,726,7411,12222,-2754,5832,6923,2221,ND
1981:Q2,13560,0,2449,803,0,807,839,2730,656,1205,869,8381,13245,-2775,5864,7682,2474,ND
1981:Q3,14448,0,2200,811,0,692,697,3070,845,1225,1000,9178,14122,-2833,5895,8422,2638,ND
1981:Q4,14962,0,2000,800,0,600,600,3500,1200,1245,1055,9462,14626,-2900,5923,8884,2719,ND
