1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,331739,2839,230733,4031,37866,56270,331739,320809,0,50208,232735,37866,7508,476,119,1967,62,0,4884,0,0,0,0,3422,331739,116612,87995,16134,0,8,12475,209207,24737,95997,728,343,117,10149,45513,8870,9273,8305,0,608,589,0,872,0,0,0,1738,0,1368,5920,0
1954:Q3,336272,2915,234029,2699,39376,57253,336272,325525,0,51583,234566,39376,7423,492,123,2092,70,0,4646,0,0,0,0,3324,336272,117447,87072,17663,0,6,12706,212557,23946,98877,716,350,119,10415,45899,9203,9281,8606,0,648,603,0,896,0,0,0,1626,0,1372,6268,0
1954:Q4,343474,2904,237857,4480,40663,57570,343474,332936,0,52078,240195,40663,7274,706,176,2064,78,0,4250,0,0,0,0,3264,343474,118752,87050,18786,0,1,12915,218292,24888,102372,798,350,121,10685,46294,9589,9359,8912,0,671,620,0,849,0,0,0,1635,0,1149,6430,0
1955:Q1,341555,3112,233485,4726,42155,58077,341555,330790,0,52555,236080,42155,7595,652,163,2045,86,0,4649,0,0,0,0,3170,341555,121125,88913,19039,0,7,13166,214001,23505,98215,781,349,124,10764,46861,9964,9347,9188,0,677,638,0,982,0,0,0,1150,0,1456,6429,0
1955:Q2,341869,3047,232883,4006,43267,58666,341869,330859,0,53159,234433,43267,7898,530,132,2361,95,0,4780,0,0,0,0,3112,341869,122292,90418,18399,0,8,13467,213166,23423,95846,876,344,128,10909,47167,10326,9702,9459,0,728,659,0,869,0,0,0,1182,0,1548,6411,0
1955:Q3,345916,3020,235344,3615,44668,59269,345916,334544,0,53624,236252,44668,8300,542,136,2602,105,0,4915,0,0,0,0,3072,345916,126541,92454,20323,0,4,13760,212764,23421,93934,903,339,132,11202,47656,10628,9975,9788,0,795,680,0,637,0,0,0,1067,0,1607,6611,0
1955:Q4,352435,2749,238466,4732,45697,60791,352435,340700,0,54926,240077,45697,8664,518,130,3005,116,0,4895,0,0,0,0,3071,352435,130725,93597,23017,0,20,14091,215034,24415,93747,963,336,136,11377,47741,10844,10048,10139,0,820,700,0,936,0,0,0,1387,0,1445,6676,0
1956:Q1,351166,3326,234182,4855,46932,61871,351166,338079,0,55348,235799,46932,9926,534,133,3111,127,0,6021,0,0,0,0,3161,351166,131122,95931,20868,0,15,14308,212929,23318,91068,894,339,140,11419,48058,11088,10061,10594,0,916,720,0,1256,0,0,0,1091,0,1967,7115,0
1956:Q2,348020,3221,229199,4605,47853,63142,348020,334438,0,56235,230350,47853,10340,553,138,3316,138,0,6195,0,0,0,0,3242,348020,129543,97192,17675,0,14,14662,211277,23475,88401,888,346,144,11461,48330,11388,10377,10840,0,826,739,0,1267,0,0,0,1015,0,1780,7200,0
1956:Q3,352211,3401,230632,4619,49038,64521,352211,338001,0,57414,231549,49038,10894,650,163,3559,143,0,6379,0,0,0,0,3316,352211,131425,98840,17616,0,6,14963,213220,23310,88728,866,354,148,11612,48852,11781,10918,11073,0,1025,758,0,1257,0,0,0,817,0,1721,7566,0
1956:Q4,357605,3227,233683,4953,49862,65880,357605,343319,0,58418,235039,49862,10905,782,195,3448,149,0,6331,0,0,0,0,3381,357605,133195,99195,18765,0,9,15226,217149,24644,90229,855,361,151,11782,49107,12273,10911,11286,0,1051,780,0,1226,0,0,0,965,0,1528,7261,0
1957:Q1,360112,3793,232013,5380,50925,68001,360112,344179,0,59863,233391,50925,12335,823,206,3845,157,0,7304,0,0,0,0,3598,360112,134959,101202,18440,0,20,15297,217805,22689,91170,831,366,155,11835,49675,12764,10924,11631,0,1094,803,0,1342,0,0,0,570,0,1956,7348,0
1957:Q2,357116,3515,226421,5538,51836,69806,357116,340478,0,61295,227347,51836,12914,791,198,4446,166,0,7313,0,0,0,0,3724,357116,133656,101750,16579,0,18,15309,216198,22658,87977,847,369,159,11927,50173,13200,11224,11974,0,1191,828,0,1269,0,0,0,659,0,1743,7262,0
1957:Q3,364912,3845,230591,5509,53192,71775,364912,347339,0,62852,231295,53192,13818,967,242,4635,170,0,7804,0,0,0,0,3755,364912,136144,103628,17328,0,19,15169,221626,22769,91471,811,372,163,12160,50844,13579,11270,12380,0,1166,853,0,1137,0,0,0,819,0,1832,7142,0
1957:Q4,370184,4066,231465,6700,54369,73584,370184,352007,0,64494,233144,54369,14361,1056,264,4848,173,0,8020,0,0,0,0,3816,370184,137302,103997,18303,0,13,14989,225407,23762,92157,785,373,166,12438,51356,13911,11346,12718,0,1180,880,0,1143,0,0,0,1354,0,1838,7475,0
1958:Q1,374076,5152,229917,7178,55829,76000,374076,354674,0,66653,232192,55829,15315,1235,309,4728,175,0,8868,0,0,0,0,4087,374076,136321,104522,17057,0,55,14687,230775,23154,95523,753,381,170,12432,52099,14255,11511,13197,0,1298,908,0,1742,0,0,0,1220,0,2132,6980,0
1958:Q2,378590,4873,233403,6024,56972,77318,378590,359405,0,67808,234625,56972,14758,1093,273,4625,177,0,8590,0,0,0,0,4427,378590,132401,102628,14977,0,26,14770,239843,25173,99878,788,393,174,12555,52766,14615,11859,13439,0,1478,937,0,1631,0,0,0,1940,0,2217,6346,0
1958:Q3,382030,4573,234110,6314,58513,78520,382030,363172,0,69258,235401,58513,14343,1035,259,4840,183,0,8026,0,0,0,0,4515,382030,131767,100997,15928,0,7,14835,243122,24678,102696,750,404,178,12858,53619,15000,12170,13818,0,1477,967,0,1497,0,0,0,775,0,2235,7141,0
1958:Q4,391832,4053,241244,6713,59819,80003,391832,373034,0,70373,242842,59819,14064,965,241,4925,190,0,7743,0,0,0,0,4734,391832,135835,102011,18860,0,3,14961,248474,26295,104496,797,408,181,13222,54283,15409,12280,14227,0,1453,996,0,1252,0,0,0,1242,0,1933,7523,0
1959:Q1,394480,4444,241163,6550,61397,80926,394480,374833,0,70959,242477,61397,14744,852,213,5041,195,0,8443,0,0,0,0,4903,394480,140173,104576,20440,0,2,15155,246361,25436,101596,793,327,184,13358,55051,15669,12413,14634,0,1528,1075,0,1457,0,0,0,825,0,2015,7946,0
1959:Q2,398384,4494,242044,7137,62655,82054,398384,377352,0,71627,243070,62655,16064,794,199,5910,201,0,8960,0,0,0,0,4968,398384,142289,105163,21635,0,6,15485,246228,26000,98941,798,255,186,13603,55888,16062,12798,14953,0,1562,1102,0,1328,0,0,0,719,0,2033,9867,0
1959:Q3,406262,4412,246320,7863,64594,83073,406262,384117,0,72264,247259,64594,17047,771,193,6722,202,0,9159,0,0,0,0,5098,406262,147374,107662,24006,0,15,15691,247820,26513,97526,790,146,188,14004,56375,16419,13121,15459,0,1699,1131,0,1317,0,0,0,882,0,2250,11068,0
1959:Q4,412227,4365,249384,8272,65661,84545,412227,389103,0,73109,250333,65661,17917,930,233,7120,203,0,9431,0,0,0,0,5207,412227,151891,110430,25357,0,2,16102,248630,26650,96473,823,135,191,14460,56686,16896,13164,15845,0,1799,1165,0,1352,0,0,0,1232,0,1759,11706,0
1960:Q1,413378,5875,245603,8138,67248,86514,413378,387472,0,73643,246581,67248,20420,1104,276,6956,204,0,11880,0,0,0,0,5486,413378,156453,115607,24375,0,47,16424,244833,25173,91585,789,138,193,14764,57148,17228,13251,16338,0,1848,1265,0,1556,0,0,0,637,0,2920,12092,0
1960:Q2,415230,6023,243931,8769,68353,88154,415230,387891,0,74654,244884,68353,21728,1117,279,7610,206,0,12516,0,0,0,0,5611,415230,155523,116174,22526,0,16,16807,247717,26328,91081,790,145,195,14995,57481,17507,13936,16717,0,1919,1322,0,1437,0,0,0,896,0,2968,11990,0
1960:Q3,420184,6413,245897,8322,69924,89628,420184,391884,0,75671,246289,69924,22613,1348,337,7726,204,0,12998,0,0,0,0,5687,420184,153578,115486,20832,0,4,17256,254270,26488,95243,772,153,197,15184,58052,17860,14038,16998,0,2006,1373,0,1450,0,0,0,1405,0,3051,12336,0
1960:Q4,426176,6544,248132,8749,70971,91780,426176,396776,0,76985,248820,70971,23616,1638,409,7860,201,0,13508,0,0,0,0,5784,426176,152457,114846,20038,0,37,17536,261109,27038,99543,803,154,201,15352,58555,18381,14090,17437,0,2043,1400,0,1494,0,0,0,1891,0,2727,12610,0
1961:Q1,426841,7331,245901,8513,72420,92676,426841,396455,0,77200,246835,72420,24517,1802,451,7378,201,0,14685,0,0,0,0,5869,426841,151075,113862,19503,0,36,17674,263112,26423,100142,944,158,205,15550,59235,18511,14141,17992,0,2091,1468,0,1757,0,0,0,1207,0,3288,12654,0
1961:Q2,431101,7230,247016,8571,73250,95034,431101,400178,0,79256,247672,73250,24881,1835,459,7715,200,0,14672,0,0,0,0,6042,431101,151162,113999,19264,0,13,17886,267648,27029,101716,985,160,210,15777,59762,18909,14927,18435,0,2036,1449,0,1708,0,0,0,1383,0,3162,12291,0
1961:Q3,439376,7321,252416,8893,75018,95728,439376,408124,0,80254,252852,75018,25143,1957,489,8213,244,0,14240,0,0,0,0,6109,439376,150830,114750,17972,0,37,18071,275559,26904,107727,1078,161,215,16046,60490,19181,14996,18853,0,2160,1421,0,1635,0,0,0,1525,0,3167,12987,0
1961:Q4,446545,7396,255707,9759,76349,97334,446545,414756,0,81705,256702,76349,25568,2168,542,8474,290,0,14094,0,0,0,0,6221,446545,153030,115882,18828,0,35,18285,280451,28770,109658,892,157,221,16361,60932,19596,15006,19186,0,2449,1399,0,1419,0,0,0,2043,0,2362,13064,0
1962:Q1,451347,8238,256084,10457,78037,98531,451347,417983,0,82568,257378,78037,26942,2018,505,8851,312,0,15256,0,0,0,0,6422,451347,153743,116090,19393,0,38,18222,284327,28600,109762,1106,159,226,16704,61952,19870,15054,19830,0,2420,1434,0,1952,0,0,0,1852,0,3406,13277,0
1962:Q2,455190,8230,256655,10871,79203,100231,455190,421278,0,84073,258002,79203,27175,1892,473,9188,336,0,15286,0,0,0,0,6737,455190,152601,115856,18221,0,8,18516,288870,29453,110759,1389,161,230,17113,62616,20322,15908,20248,0,2358,1392,0,1594,0,0,0,1968,0,3359,13719,0
1962:Q3,458709,8881,257712,10861,80552,100703,458709,423933,0,84921,258460,80552,27945,1843,461,9740,373,0,15528,0,0,0,0,6831,458709,153191,117167,17088,0,5,18931,291139,28816,111415,1265,164,235,17514,63401,20522,15923,20671,0,2600,1363,0,1622,0,0,0,2014,0,3614,14379,0
1962:Q4,467878,8676,262772,11939,81800,102691,467878,431951,0,85841,264310,81800,28712,2141,535,9988,413,0,15635,0,0,0,0,7215,467878,153431,116251,17583,0,0,19597,299650,30530,116047,1054,168,241,17837,63722,21025,15999,20969,0,2643,1377,0,1792,0,0,0,2964,0,3282,14797,0
1963:Q1,471812,9716,263272,11315,82976,104533,471812,434780,0,86793,265011,82976,29323,2092,523,9123,453,0,17132,0,0,0,0,7709,471812,154832,112897,21755,0,10,20170,302039,30366,116207,1071,182,251,18087,64571,21405,16048,21386,0,2646,1499,0,2232,0,0,0,1923,0,4165,14941,0
