date,Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (market value),Rest of the world; U.S. direct investment abroad: equity; liability (market value),Rest of the world; U.S. direct investment abroad: equity other than reinvested earnings; liability,Rest of the world; U.S. direct investment abroad: reinvested earnings; liability (current cost),Rest of the world; U.S. direct investment abroad: current-cost adjustment on reinvested earnings; liability,Nonfinancial corporate business; U.S. direct investment abroad: equity; asset (market value),U.S.-chartered depository institutions; U.S. direct investment abroad: equity (market value),Property-casualty insurance companies; U.S. direct investment abroad: equity (market value),Life insurance companies, general accounts; U.S. direct investment abroad: equity (market value),Finance companies; U.S. direct investment abroad: equity (market value),Security brokers and dealers; U.S. direct investment abroad: equity (market value),Rest of the world; U.S. direct investment abroad: intercompany debt, including Netherlands Antillean Financial subsidiaries; liability,Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. parents' claims; liability,Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. parents' liabilities; asset,Nonfinancial corporate business; U.S. direct investment abroad: intercompany debt (market value),U.S.-chartered depository institutions; U.S. direct investment abroad: intercompany debt (market value),Property-casualty insurance companies; U.S. direct investment abroad: intercompany debt (market value),Life insurance companies, general accounts; U.S. direct investment abroad: intercompany debt (market value),Finance companies; U.S. direct investment abroad: intercompany debt (market value),Security brokers and dealers; U.S. direct investment abroad: intercompany debt (market value),Rest of the world; foreign direct investment in U.S.; asset (market value),Nonfinancial corporate business; foreign direct investment in U.S.; liability (market value),Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: equity; liability (market value),Foreign banking offices in the U.S.; foreign direct investment in U.S.: equity; liability (market value),Property-casualty insurance companies; foreign direct investment in U.S.: equity; liability (market value),Life insurance companies, general accounts; foreign direct investment in U.S.: equity; liability (market value),Finance companies; foreign direct investment in U.S.: equity; liability (market value),Security brokers and dealers; foreign direct investment in U.S.: equity, adjusted for U.S. Intermediate Holding Companies; liability (market value),Holding companies; foreign direct investment in U.S.: equity; liability (market value),Other financial business; foreign direct investment in U.S.: equity; liability (market value),Rest of the world; foreign direct investment in U.S.: equity; asset (market value),Rest of the world; foreign direct investment in U.S.: equity other than reinvested earnings; asset,Rest of the world; foreign direct investment in U.S.: reinvested earnings; asset (current cost),Rest of the world; foreign direct investment in U.S.: current-cost adjustment on reinvested earnings; asset,Nonfinancial corporate business; foreign direct investment in U.S.: intercompany debt; liability (market value),Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: interncompany debt; liability (market value),Foreign banking offices in the U.S.; foreign direct investment in U.S.: intercompany debt; liability (market value),Property-casualty insurance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Life insurance companies, general accounts; foreign direct investment in U.S.: intercompany debt; liability (market value),Finance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Security brokers and dealers; foreign direct investment in U.S.: intercompany debt, adjusted for U.S. Intermediate Holding Companies; liability (market value),Holding companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Other financial business; foreign direct investment in U.S.: intercompany debt; liability (market value),Rest of the world; foreign direct investment in U.S.: intercompany debt; asset,Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. affiliates' liabilities; asset,Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. affiliates' claims; liability
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,596,573,ND,ND,ND,561,2,2,2,3,3,23,ND,ND,23,0,0,0,0,0,78,55,0,3,1,1,1,1,0,0,62,ND,ND,ND,14,1,0,0,0,0,1,0,0,16,ND,ND
1952:Q3,311,299,ND,ND,ND,287,2,1,2,3,4,12,ND,ND,11,0,1,0,0,0,55,37,1,2,1,0,1,2,0,0,44,ND,ND,ND,9,0,1,0,1,0,0,0,0,11,ND,ND
1952:Q4,-433,-416,ND,ND,ND,-432,2,0,2,6,6,-17,ND,ND,-18,0,0,0,0,1,-59,-61,2,9,1,0,-1,3,0,0,-47,ND,ND,ND,-11,-1,-1,0,1,0,0,0,0,-12,ND,ND
1953:Q1,387,372,ND,ND,ND,359,2,2,2,3,4,15,ND,ND,15,0,0,0,0,0,95,68,0,2,0,1,1,3,0,0,75,ND,ND,ND,17,1,1,1,0,0,0,0,0,20,ND,ND
1953:Q2,437,420,ND,ND,ND,407,2,2,2,3,4,17,ND,ND,16,0,0,0,1,0,39,19,1,3,1,2,1,4,0,0,31,ND,ND,ND,6,0,1,0,0,0,1,0,0,8,ND,ND
1953:Q3,381,366,ND,ND,ND,352,2,2,2,4,4,15,ND,ND,14,1,0,0,0,0,94,63,2,4,1,1,1,3,0,0,75,ND,ND,ND,17,0,0,0,1,0,1,0,0,19,ND,ND
1953:Q4,-470,-452,ND,ND,ND,-466,3,0,3,4,4,-18,ND,ND,-19,0,0,1,0,0,-70,-75,2,5,1,3,1,7,0,0,-56,ND,ND,ND,-9,0,-1,0,-1,0,-3,0,0,-14,ND,ND
1954:Q1,311,299,ND,ND,ND,284,2,2,2,4,5,12,ND,ND,12,0,0,0,0,0,83,55,1,3,1,1,1,4,0,0,66,ND,ND,ND,14,0,1,0,1,0,1,0,0,17,ND,ND
1954:Q2,426,409,ND,ND,ND,393,3,2,3,4,4,17,ND,ND,16,0,0,0,0,1,104,71,2,3,1,2,1,3,0,0,83,ND,ND,ND,20,0,0,0,0,0,1,0,0,21,ND,ND
1954:Q3,226,217,ND,ND,ND,200,3,2,3,4,5,9,ND,ND,9,0,0,0,0,0,100,71,1,2,1,1,0,3,0,0,79,ND,ND,ND,16,1,1,0,1,1,1,0,0,21,ND,ND
1954:Q4,-296,-284,ND,ND,ND,-302,4,2,2,5,5,-12,ND,ND,-13,0,0,0,1,0,-163,-134,3,3,-4,0,0,3,0,0,-129,ND,ND,ND,-41,-1,0,5,2,0,1,0,0,-34,ND,ND
1955:Q1,313,301,ND,ND,ND,283,3,2,3,4,6,12,ND,ND,12,0,0,0,0,0,108,77,1,2,1,1,1,3,0,0,86,ND,ND,ND,18,1,1,0,1,0,1,0,0,22,ND,ND
1955:Q2,525,505,ND,ND,ND,488,3,1,3,5,5,20,ND,ND,18,0,1,0,0,1,124,84,2,3,2,2,1,4,0,0,98,ND,ND,ND,24,0,1,0,0,0,1,0,0,26,ND,ND
1955:Q3,383,368,ND,ND,ND,349,3,2,3,5,6,15,ND,ND,14,1,0,0,0,0,101,68,1,4,1,1,1,4,0,0,80,ND,ND,ND,17,1,0,1,1,0,1,0,0,21,ND,ND
1955:Q4,-398,-383,ND,ND,ND,-406,4,4,3,6,6,-15,ND,ND,-15,0,0,0,0,0,-136,-122,4,4,-1,1,0,6,0,0,-108,ND,ND,ND,-30,-1,0,3,1,0,-1,0,0,-28,ND,ND
