1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,47,11,-388,-152,0,96,128,-440,-440,0,0,-440,696,0,696,3816,-3120,0,0,0,0,0,0,0,0,0,-276,0,-276,-392,212,212,-828,-256,-32,-224,0,0,0,232,-804,0,0,0,12,0,8,4,32
1954:Q3,43,11,-3512,-468,0,48,-224,608,608,0,0,-808,-2996,0,-2996,-3068,72,0,0,0,0,0,0,0,0,0,328,0,328,-3516,-1576,12,-560,-768,-60,-708,0,0,0,-164,372,0,0,0,-1392,0,16,-1408,28
1954:Q4,39,11,-56,-392,0,56,1188,-656,-656,0,0,-356,264,0,264,31600,-31336,0,0,0,0,0,0,0,0,0,-160,0,-160,164,-1348,-856,376,188,0,188,0,0,0,-72,260,0,0,0,1992,0,48,1944,248
1955:Q1,35,11,1052,28,0,48,-1024,2352,2352,0,0,356,-736,0,-736,-20824,20088,0,0,0,0,0,0,0,0,0,28,0,28,844,-384,1540,264,1252,132,1120,0,0,0,-432,-556,0,0,0,-576,0,24,-600,-184
1955:Q2,35,12,-2380,-268,0,20,1192,-2092,-2092,0,0,340,-1564,64,-1628,-6948,5320,0,0,0,0,0,0,0,0,0,-8,0,-8,-2424,-716,-516,-1708,-2616,-68,-2548,0,0,0,-12,920,0,0,0,516,0,4,512,-21
1955:Q3,39,12,2816,156,0,16,-248,2296,2296,0,0,364,188,12,176,-22316,22492,0,0,0,0,0,0,0,0,0,44,0,44,2736,2268,452,708,248,-84,332,0,0,0,4,456,0,0,0,-692,0,12,-704,-53
1955:Q4,47,13,1552,-104,0,8,3188,-2168,-2168,0,0,356,220,20,200,15588,-15388,0,0,0,0,0,0,0,0,0,52,0,52,1776,-652,-624,1348,324,-96,420,0,0,0,100,924,0,0,0,1704,0,20,1684,258
1956:Q1,52,17,-428,228,0,28,-3168,2396,2396,0,0,-328,572,-36,608,16832,-16224,0,0,0,0,0,0,0,0,0,-156,0,-156,-808,-112,1108,-408,448,80,368,0,0,0,-240,-616,0,0,0,-1396,0,28,-1424,-345
1956:Q2,60,18,-28,340,0,68,1652,-1896,-1896,0,0,-56,-576,12,-588,500,-1088,0,0,0,0,0,0,0,0,0,440,0,440,-92,-328,-2488,1972,-544,-76,-468,0,0,0,-172,2688,0,0,0,752,0,24,728,-22
1956:Q3,64,18,616,328,0,56,-584,1364,1364,0,0,-64,-728,-4,-724,-492,-232,0,0,0,0,0,0,0,0,0,244,0,244,528,1128,2684,-2020,148,48,100,0,0,0,112,-2280,0,0,0,-1264,0,16,-1280,-42
1956:Q4,68,18,2208,148,0,80,2420,-2192,-2192,0,0,216,1648,68,1580,4080,-2500,0,0,0,0,0,0,0,0,0,-112,0,-112,2572,-472,1012,552,168,-20,188,0,0,0,-36,420,0,0,0,1480,0,24,1456,414
1957:Q1,69,25,-2508,1544,0,76,-3432,2268,2268,0,0,252,-2796,-44,-2752,-3948,1196,0,0,0,0,0,0,0,0,0,-420,0,-420,-3032,-1288,-976,316,176,144,32,0,0,0,108,32,0,0,0,-1084,0,20,-1104,-480
1957:Q2,73,25,1608,1256,0,88,888,928,928,0,0,-56,-1464,0,-1464,-184,-1280,0,0,0,0,0,0,0,0,0,-32,0,-32,1540,864,20,492,-500,-212,-288,0,0,0,440,552,0,0,0,164,0,8,156,-20
1957:Q3,81,25,-76,88,0,76,-176,-192,-192,0,0,-64,200,-24,224,35560,-35336,0,0,0,0,0,0,0,0,0,-8,0,-8,172,560,-152,580,404,88,316,0,0,0,-328,504,0,0,0,-816,0,20,-836,304
1957:Q4,89,25,1092,560,0,80,1756,-2904,-2904,0,0,676,532,104,428,1628,-1200,0,0,0,0,0,0,0,0,0,392,0,392,1232,-236,1404,-1244,24,-76,100,0,0,0,-60,-1208,0,0,0,1308,0,28,1280,204
1958:Q1,78,17,-2280,-1588,0,144,-2880,272,272,0,0,-548,2516,-56,2572,-316,2888,0,0,0,0,0,0,0,0,0,-196,0,-196,-2532,-792,-1312,416,264,-124,388,0,0,0,-412,564,0,0,0,-844,0,20,-864,-191
1958:Q2,74,17,2312,-4184,0,84,368,40,40,0,0,-440,6444,24,6420,7240,-820,0,0,0,0,0,0,0,0,0,0,0,0,2276,-80,368,-824,-1140,-152,-988,0,0,0,60,256,0,0,0,2812,0,12,2800,21
1958:Q3,62,17,-3428,-2108,0,64,612,836,836,0,0,-464,-2308,-68,-2240,-628,-1612,0,0,0,0,0,0,0,0,0,-60,0,-60,-3320,-636,-32,1212,120,-24,144,0,0,0,172,920,0,0,0,-3864,0,16,-3880,153
1958:Q4,62,17,2304,-1132,0,60,1388,-1164,-1164,0,0,-312,3480,100,3380,-6368,9748,0,0,0,0,0,0,0,0,0,-16,0,-16,2480,-612,632,-172,-48,-12,-36,0,0,0,-164,40,0,0,0,2632,0,24,2608,221
1959:Q1,-138,16,668,-364,0,48,-2200,2104,2104,0,0,-156,1216,-124,1340,-3016,4356,0,0,0,0,0,0,0,0,0,20,0,20,764,696,-356,1628,560,124,436,0,0,0,144,924,0,0,0,-1204,0,44,-1248,-58
1959:Q2,-154,16,-732,-2948,0,132,400,1280,1280,0,0,-28,296,-24,320,2112,-1792,0,0,0,0,0,0,0,0,0,136,0,136,-1188,-1136,844,-1096,-1168,-1280,112,0,0,0,-36,108,0,0,0,200,0,24,176,-626
1959:Q3,-194,16,-920,-1412,0,120,420,-2252,-2252,0,0,-32,2076,-24,2100,-30420,32520,0,0,0,0,0,0,0,0,0,160,0,160,-1080,68,-828,1892,384,-68,452,0,0,0,48,1460,0,0,0,-2212,0,12,-2224,-370
1959:Q4,-226,16,1476,304,0,8,2556,496,496,0,0,104,-2168,176,-2344,176,-2520,0,0,0,0,0,0,0,0,0,176,0,176,2704,-948,-608,-176,-360,56,-416,0,0,0,140,44,0,0,0,4436,0,16,4420,986
