date,All sectors; corporate equities; asset,All domestic sectors; corporate equities; liability,Nonfinancial corporate business; corporate equities; liability,Nonfinancial corporate business; public corporate equities; liability (equal to total before 1996q4),Nonfinancial corporate business; closely held corporate equities; liability,Domestic financial sectors; corporate equities; liability,Domestic financial sectors; corporate equities (excluding closely held); liability,Domestic financial sectors; closely held corporate equities; liability,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,All sectors; corporate equities; asset,Households and nonprofit organizations; corporate equities; asset,Nonfinancial corporate business; corporate equities; asset,Federal government; corporate equities; asset,State and local governments; corporate equities; asset,Monetary authority; corporate equities; asset,U.S.-chartered depository institutions; corporate equities; asset,Foreign banking offices in the U.S.; corporate equities; asset,Property-casualty insurance companies; corporate equities, including those held by U.S. residual market reinsurers; asset,Life insurance companies; corporate equities; asset,Private pension funds, including 403(b) plans; corporate equities; asset,Federal government retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,Mutual funds; corporate equities; asset,Closed-end funds; corporate equities; asset,Exchange-traded funds; corporate equities; asset,Security brokers and dealers; corporate equities; asset,Other financial business; corporate equities; asset,Rest of the world; U.S. corporate equities; asset,All domestic sectors; public corporate equities less intercompany holdings; liability,All domestic sectors; closely held corporate equities; liability,All domestic sectors; closely held S corporation corporate equities; liability,All domestic sectors; closely held C corporation corporate equities; liability,Interest rates and price indexes; Dow Jones U.S. Total Market Index
1978:Q3,1017253,1005421,895681,895681,0,109740,109740,0,11832,1017253,594621,77307,0,0,0,5219,279,20185,37208,154397,0,35155,34597,4676,0,2282,0,51327,1005421,0,0,0,8.511171389043213
1978:Q4,969619,958383,856213,856213,0,102170,102170,0,11236,969619,567785,72345,0,0,0,4800,118,19400,35062,150308,0,33300,31659,5065,0,1918,0,47859,958383,0,0,0,-7.361710671619319
1979:Q1,1031598,1019863,910760,910760,0,109103,109103,0,11735,1031598,601869,76954,0,0,0,4983,120,21227,37316,162540,0,35504,32676,4995,0,2092,0,51322,1019863,0,0,0,8.110363362484696
1979:Q2,1051694,1039672,920994,920994,0,118678,118678,0,12022,1051694,613708,78445,0,0,0,4903,119,22317,37698,165969,0,35908,32905,4951,0,2237,0,52534,1039672,0,0,0,3.069335712352523
1979:Q3,1121034,1106947,980996,980996,0,125951,125951,0,14087,1121034,652193,83852,0,0,0,5064,120,24806,40247,178516,0,38316,34656,4896,0,2487,0,55881,1106947,0,0,0,7.156959046127803
1979:Q4,1147253,1132450,1014625,1014625,0,117825,117825,0,14803,1147253,684584,83307,0,0,0,4700,129,24800,38890,175437,0,37100,35436,4870,0,2566,0,55434,1132450,0,0,0,-0.100742408015819
1980:Q1,1070027,1055683,956763,956763,0,98920,98920,0,14344,1070027,625344,80503,0,0,0,4165,131,23810,36239,167538,0,34654,37625,4377,0,2066,0,53575,1055683,0,0,0,-6.784711686093527
1980:Q2,1217285,1199737,1076420,1076420,0,123317,123317,0,17548,1217285,715635,91998,0,0,0,4319,121,27179,40387,190278,0,38460,41218,4416,0,2283,0,60991,1199737,0,0,0,13.55808309698548
1980:Q3,1361379,1342296,1213806,1213806,0,128490,128490,0,19083,1361379,806770,103136,0,0,0,4307,125,30079,43757,210012,0,41618,46798,4442,0,2745,0,67590,1342296,0,0,0,11.65181866556808
1980:Q4,1494924,1475994,1346332,1346332,0,129662,129662,0,18930,1494924,896593,113879,0,0,0,4200,117,32300,46271,223468,0,44300,51032,4910,0,3268,0,74586,1475994,0,0,0,7.97063571373663
1981:Q1,1507474,1488591,1350793,1350793,0,137798,137798,0,18883,1507474,899147,115801,0,0,0,3963,92,33097,47055,226132,0,45689,51633,4978,0,3053,0,76834,1488591,0,0,0,0.743989349205109
1981:Q2,1481228,1462811,1315628,1315628,0,147183,147183,0,18417,1481228,879552,113383,0,0,0,3690,80,32959,46958,221214,0,46506,50616,4810,0,3384,0,78076,1462811,0,0,0,-1.670624151967427
1981:Q3,1279659,1264326,1135956,1135956,0,128370,128370,0,15333,1279659,734949,101866,0,0,0,3188,82,30150,43006,202367,0,43646,43906,4247,0,2768,0,69484,1264326,0,0,0,-13.14934598246371
1981:Q4,1382028,1365561,1225445,1225445,0,140116,140116,0,16467,1382028,796146,109002,0,0,0,3237,66,32393,46160,218479,0,47800,46417,4170,0,3475,0,74683,1365561,0,0,0,6.4380523650326
1982:Q1,1238257,1224213,1090243,1090243,0,133970,133970,0,14044,1238257,674820,100296,0,0,0,2863,73,30158,42509,224417,0,45088,42934,3795,0,2750,0,68554,1224213,0,0,0,-10.30445329021022
1982:Q2,1209151,1195638,1073469,1073469,0,122169,122169,0,13513,1209151,646333,98889,0,0,0,2661,70,29310,40768,229366,0,44136,43063,3577,0,3274,0,67704,1195638,0,0,0,-2.476380341509919
1982:Q3,1326070,1312377,1172612,1172612,0,139765,139765,0,13693,1326070,686622,109408,0,0,0,2887,72,32921,45464,266987,0,50162,50043,3772,0,3283,0,74449,1312377,0,0,0,9.835307919973678
1982:Q4,1562485,1545043,1386269,1386269,0,158774,158774,0,17442,1562485,837646,128675,0,0,0,3300,76,38500,52890,282916,0,60200,60919,4118,0,4921,0,88324,1545043,0,0,0,17.46251385753243
1983:Q1,1728634,1709233,1533575,1533575,0,175658,175658,0,19401,1728634,916505,141890,0,0,0,3614,85,42304,57377,319549,0,68737,70587,4262,0,5099,0,98625,1709233,0,0,0,10.22809470993876
1983:Q2,1946581,1923683,1736437,1736437,0,187246,187246,0,22898,1946581,1021592,158078,0,0,0,4163,86,47958,63874,361655,0,81807,84987,4569,0,7423,0,110389,1923683,0,0,0,11.97705086059274
1983:Q3,1914447,1890158,1709243,1709243,0,180915,180915,0,24289,1914447,987949,158269,0,0,0,4335,83,48930,63867,354062,0,87559,87342,4451,0,7470,0,110130,1890158,0,0,0,-1.888709047273547
1983:Q4,1855966,1829812,1630197,1630197,0,199615,199615,0,26154,1855966,929300,159277,0,0,0,4317,77,48112,62193,350266,0,89641,88931,4292,0,10005,0,109555,1829812,0,0,0,-1.947822921051734
1984:Q1,1749244,1720443,1527519,1527519,0,192924,192924,0,28801,1749244,866844,156938,0,0,0,4145,79,45769,59286,323747,0,88715,85899,4068,0,8127,0,105627,1720443,0,0,0,-5.200682284958394
1984:Q2,1654360,1629309,1455724,1455724,0,173585,173585,0,25051,1654360,805319,154115,0,0,0,3955,79,43229,56945,308011,0,87637,82832,3854,0,7653,0,100731,1629309,0,0,0,-3.834196256992136
1984:Q3,1769217,1743761,1542913,1542913,0,200848,200848,0,25456,1769217,838457,170467,0,0,0,4219,75,45688,61533,339365,0,96406,92559,3965,0,9111,0,107372,1743761,0,0,0,8.065142268014995
1984:Q4,1789165,1763171,1553280,1553280,0,209891,209891,0,25994,1789165,834956,175013,0,0,0,4142,4,44658,60311,358978,0,96514,97111,3712,0,8914,0,104852,1763171,0,0,0,0.232618399820975
1985:Q1,1936090,1905766,1671084,1671084,0,234682,234682,0,30324,1936090,882090,187569,0,0,0,4534,69,48796,65348,408196,0,105957,105672,3923,0,10957,0,112979,1905766,0,0,0,9.269040722439938
1985:Q2,2044553,2012155,1743624,1743624,0,268531,268531,0,32398,2044553,933875,197608,0,0,0,4822,74,52313,68622,419105,0,111742,119895,4030,0,12039,0,120428,2012155,0,0,0,6.34863450856826
1985:Q3,1923657,1885919,1641750,1641750,0,244169,244169,0,37738,1923657,864778,186046,0,0,0,4594,85,50047,64158,398654,0,105134,120627,3813,0,10615,0,115106,1885919,0,0,0,-5.390729280427127
1985:Q4,2270405,2226022,1916908,1916908,0,309114,309114,0,44383,2270405,1012735,214143,0,0,0,5241,90,56969,73983,494946,0,120071,137156,4210,0,14070,0,136791,2226022,0,0,0,15.68335096888661
1986:Q1,2572390,2514018,2136797,2136797,0,377221,377221,0,58372,2572390,1143468,247091,0,0,0,6007,99,58656,79514,549920,0,135544,167512,5867,0,16599,0,162113,2514018,0,0,0,13.42224521756001
1986:Q2,2685845,2621586,2244577,2244577,0,377009,377009,0,64259,2685845,1187795,264642,0,0,0,6736,80,59592,83286,556234,0,147760,178592,6827,0,16027,0,178274,2621586,0,0,0,4.985663316009853
1986:Q3,2454216,2382173,2031804,2031804,0,350369,350369,0,72043,2454216,1068236,248845,0,86,0,6532,85,60265,75634,486489,0,140408,171286,6844,0,16727,0,172779,2382173,0,0,0,-8.425115900141604
1986:Q4,2682199,2609800,2240835,2240835,0,368965,368965,0,72399,2682199,1229639,265538,0,219,0,6982,97,61163,76385,499172,0,150215,184410,7486,0,17721,0,183172,2609800,0,0,0,3.154866806751161
1987:Q1,3227855,3136272,2708148,2708148,0,428124,428124,0,91583,3227855,1447647,321289,0,367,0,8443,105,62121,95617,622684,0,184755,227452,10722,0,18314,0,228339,3136272,0,0,0,20.31746031746033
1987:Q2,3298585,3198905,2783592,2783592,0,415313,415313,0,99680,3298585,1420164,336338,0,500,0,8735,110,62974,100356,656616,0,196669,243473,12092,0,17614,0,242944,3198905,0,0,0,2.568207340758508
1987:Q3,3470639,3363362,2944431,2944431,0,418931,418931,0,107277,3470639,1479801,357654,0,609,0,9238,101,63894,108905,693040,0,210476,253974,13111,0,20423,0,259413,3363362,0,0,0,5.526621429593571
1987:Q4,2710300,2615600,2286653,2286653,0,328947,328947,0,94700,2710300,1190377,275803,0,687,0,7026,7,65056,87144,507411,0,170087,196632,10379,0,10685,0,189006,2615600,0,0,0,-23.77372295000284
1988:Q1,2882377,2772367,2419233,2419233,0,353134,353134,0,110010,2882377,1296317,270421,0,796,0,7814,6,66358,93143,529276,0,188043,207680,11288,0,11495,0,199740,2772367,0,0,0,6.902015621897132
1988:Q2,3005328,2899595,2514872,2514872,0,384723,384723,0,105733,3005328,1377165,266069,0,1000,0,8295,14,67697,96816,541172,0,196898,215376,12278,0,11075,0,211473,2899595,0,0,0,5.638653998722896
1988:Q3,2972099,2863593,2459275,2459275,0,404318,404318,0,108506,2972099,1406622,245024,0,1297,0,8327,14,69308,97733,496969,5,204078,205769,13236,0,11881,0,211836,2863593,0,0,0,-0.841866173318924
1988:Q4,3075619,2946957,2558076,2558076,0,388881,388881,0,128662,3075619,1526934,230344,0,1688,0,8477,6,71424,91767,486477,7,212634,205473,14342,0,12233,0,213813,2946957,0,0,0,1.173028112034345
1989:Q1,3226081,3092460,2669423,2669423,0,423037,423037,0,133621,3226081,1591738,243434,0,2110,0,13760,7,74344,92181,516157,18,225318,214570,13068,0,12566,0,226810,3092460,0,0,0,6.450800096405959
1989:Q2,3441756,3303923,2835812,2835812,0,468111,468111,0,137833,3441756,1673344,261289,0,2500,0,14755,8,78367,96413,550139,27,251759,237550,14189,0,13423,0,247993,3303923,0,0,0,7.613539297512582
1989:Q3,3736453,3564742,3056089,3056089,0,508653,508653,0,171711,3736453,1805059,285558,0,2875,0,15621,8,82064,102054,607148,42,270927,259737,15530,0,14081,0,275749,3564742,0,0,0,9.233314525615144
1989:Q4,3812955,3615610,3138600,3138600,0,477010,477010,0,197345,3812955,1882865,287674,0,3250,0,15696,8,84005,84406,599629,55,277832,270649,17099,0,14078,0,275709,3615610,0,0,0,-0.197860307121213
1990:Q1,3613254,3450376,3005478,3005478,0,444898,444898,0,162878,3613254,1769721,278230,0,3625,0,14733,8,84005,79244,573647,89,267614,254332,17212,0,9884,0,260910,3450376,0,0,0,-4.281436775559378
1990:Q2,3779525,3588635,3134877,3134877,0,453758,453758,0,190890,3779525,1827236,294621,0,4000,0,14868,9,81878,87576,607628,123,282130,280257,16593,0,12863,0,269743,3588635,0,0,0,4.61010673721383
1990:Q3,3177324,3010696,2653601,2653601,0,357095,357095,0,166628,3177324,1503312,253215,0,4375,0,12728,8,79798,74746,515493,142,250979,227514,16000,0,8971,0,230043,3010696,0,0,0,-15.91621232518682
1990:Q4,3531306,3333710,2955814,2955814,0,377896,377896,0,197596,3531306,1701695,274682,0,4750,0,10900,8,79940,82833,572836,340,284569,250395,16188,0,9555,0,242615,3333710,0,0,0,7.710794834927448
1991:Q1,4073363,3852473,3396441,3396441,0,456032,456032,0,220890,4073363,1992615,313678,0,5125,0,13894,4,82218,84851,669778,449,327145,277623,17128,0,12763,0,276092,3852473,0,0,0,15.55156447494002
1991:Q2,4048446,3824240,3354319,3354319,0,469921,469921,0,224206,4048446,1962521,311831,0,5500,0,13354,4,86539,84816,663272,474,328790,283802,18785,0,12424,0,276334,3824240,0,0,0,-1.065946362248764
1991:Q3,4306115,4047899,3536308,3536308,0,511591,511591,0,258216,4306115,2087818,327479,0,5875,0,13759,12,91089,88695,698467,669,357453,318328,20534,0,13757,0,282180,4047899,0,0,0,5.598975594208955
1991:Q4,4847773,4568797,3998481,3998481,0,570316,570316,0,278976,4847773,2454778,353898,0,6250,0,14068,27,94054,97220,762709,1045,394962,341543,21752,0,14267,0,291200,4568797,0,0,0,7.935939828738399
1992:Q1,4758842,4501369,3908353,3908353,0,593016,593016,0,257473,4758842,2379159,334622,0,6625,0,13989,11,95673,97724,733323,1385,388418,393898,22509,0,12334,0,279172,4501369,0,0,0,-1.968523421840581
1992:Q2,4757228,4484320,3870341,3870341,0,613979,613979,0,272908,4757228,2343862,330317,0,7000,0,13699,11,96186,99454,750537,1696,391220,407327,22878,0,12686,0,280355,4484320,0,0,0,-0.788075374537751
1992:Q3,4900311,4604121,3966349,3966349,0,637772,637772,0,296190,4900311,2428459,329952,0,7375,0,13399,12,96448,102264,770972,2001,400848,427945,23196,0,12072,0,285368,4604121,0,0,0,2.392419974913053
1992:Q4,5421969,5107703,4361179,4361179,0,746524,746524,0,314266,5421969,2763304,335563,0,7750,0,14656,3,97312,108479,826681,2415,431666,486710,23800,0,14783,0,308847,5107703,0,0,0,6.594091979842744
1993:Q1,5670046,5304972,4481787,4481787,0,823185,823185,0,365074,5670046,2823624,359409,0,8128,0,14736,3,98628,113978,895716,2929,463983,527101,22542,133,15807,0,323329,5304972,0,0,0,3.603257081448032
1993:Q2,5758436,5331916,4502439,4502439,0,829477,829477,0,426520,5758436,2823204,370027,0,8506,0,14478,157,100242,117024,908457,3293,465277,584350,23500,277,19213,0,320431,5331916,0,0,0,0.118578853812738
1993:Q3,6024464,5533278,4628385,4628385,0,904893,904893,0,491186,6024464,2919219,388666,0,8891,0,15130,18,101911,123674,936966,3779,487775,663614,25344,290,21514,0,327673,5533278,0,0,0,3.422128430387666
1993:Q4,6296866,5753004,4842338,4842338,0,910666,910666,0,543862,6296866,3054193,406967,0,9286,0,16821,3,103392,129421,959673,4398,506221,714292,26491,464,24247,0,340997,5753004,0,0,0,1.216687238148214
1994:Q1,6087940,5509287,4630536,4630536,0,878751,878751,0,578653,6087940,2917635,381249,0,9673,0,15470,2,105477,128078,916720,4792,492220,735708,27320,655,22252,0,330689,5509287,0,0,0,-4.29685067939363
1994:Q2,6051196,5434452,4541826,4541826,0,892626,892626,0,616744,6051196,2859610,372317,0,10041,0,14129,2,107566,129466,926180,5179,494757,755005,27973,392,19739,0,328840,5434452,0,0,0,-1.401398482173488
1994:Q3,6309778,5683732,4800739,4800739,0,882993,882993,0,626046,6309778,2910046,379788,0,10376,0,14011,2,109646,136575,988483,5832,520213,832137,30725,322,20178,0,351444,5683732,0,0,0,4.791569022711024
1994:Q4,6317493,5690731,4796829,4796829,0,893902,893902,0,626762,6317493,2960362,369073,0,10670,0,13267,2,111735,136812,957924,6179,521682,824545,31880,424,20126,0,352812,5690731,0,0,0,-1.415600262276855
1995:Q1,6800246,6155864,5167983,5167983,0,987881,987881,0,644382,6800246,3176847,401714,0,11005,0,14047,4,119313,143850,1020651,7171,558839,912377,34392,450,22013,0,377573,6155864,0,0,0,8.364496478454489
1995:Q2,7346130,6678120,5594356,5594356,0,1083764,1083764,0,668010,7346130,3387999,436328,0,11544,0,15613,8,125623,150037,1085160,8508,612334,1039083,37231,643,23863,0,412156,6678120,0,0,0,8.70555765564729
1995:Q3,7956397,7228248,6024123,6024123,0,1204125,1204125,0,728149,7956397,3652736,467322,0,20246,0,18146,2,131418,157700,1150487,9946,667210,1164882,40264,774,26753,0,448511,7228248,0,0,0,8.560098863850934
1995:Q4,8481326,7690711,6406754,6406754,0,1283957,1283957,0,790615,8481326,3976190,491714,0,26739,0,19282,7,133479,158874,1182795,11459,703520,1216013,41846,1052,34176,0,484180,7690711,0,0,0,4.315411865402133
1996:Q1,8910299,8060457,6683652,6683652,0,1376805,1376805,0,849842,8910299,4126502,521977,0,31055,0,21084,7,135245,166544,1216346,13121,736723,1356843,43319,1359,28171,0,512003,8060457,0,0,0,5.096075585954594
1996:Q2,9278694,8375107,6988156,6988156,0,1386951,1386951,0,903587,9278694,4246641,549214,0,36950,0,21673,7,139484,173646,1234430,14964,762670,1486729,44339,1560,31923,0,534464,8375107,0,0,0,3.878169431140031
1996:Q3,9475398,8535640,7047824,7047824,0,1487816,1487816,0,939758,9475398,4241262,569961,0,41521,0,22525,5,142296,179131,1266377,16362,802307,1574794,44705,1739,29142,0,543271,8535640,0,0,0,2.31189047857402
1996:Q4,10074152,9068017,7136150,6256035,880115,1931867,1807976,123891,1006135,10074152,4462417,621908,0,47524,0,24536,3,147528,196974,1316271,18778,846588,1719141,46904,2401,37899,0,585280,8064011,1004006,675179,328827,6.394655354622252
1997:Q1,10166002,9146378,7172828,6251433,921395,1973550,1846654,126896,1019624,10166002,4497999,655484,0,50261,0,20211,3,150124,197877,1267457,20177,848717,1769891,44499,2751,39279,0,601272,8098087,1048291,704252,344039,0.211716949442156
1997:Q2,11761758,10569567,8281378,7239458,1041920,2288189,2143898,144291,1192191,11761758,5172003,789496,0,61006,0,23045,3,165233,223823,1441013,24842,952228,2088152,49296,3636,44150,0,723832,9383356,1186211,810266,375945,16.40445108012306
1997:Q3,12771312,11526574,8956472,7880488,1075984,2570102,2407398,162704,1244738,12771312,5512158,869725,0,71464,0,24495,0,172431,242936,1548592,27943,1032573,2358218,51391,4941,50737,0,803708,10287886,1238688,865556,373132,9.328952335810824
1997:Q4,12983484,11775697,9055845,7901557,1154288,2719852,2534883,184969,1207787,12983484,5651290,916390,0,79669,0,25918,0,184332,244591,1492906,29946,1051316,2360738,49548,6702,51922,0,838216,10436440,1339257,911470,427787,1.285155786196627
1998:Q1,14770450,13384583,10355601,8991919,1363682,3028982,2831809,197173,1385867,14770450,6358030,1072297,0,88981,0,31366,0,198022,270271,1680465,35224,1153078,2754174,52989,8213,62800,0,1004540,11823728,1560855,1021005,539850,12.86841847714446
1998:Q2,15024422,13654401,10582784,9210143,1372641,3071617,2901653,169964,1370021,15024422,6421063,1136358,0,95633,0,32553,0,200628,275251,1646721,37848,1162493,2843666,50907,9215,66679,0,1045407,12111796,1542605,1053095,489510,1.609285431150152
1998:Q3,13258473,12091023,9568672,8293749,1274923,2522351,2391725,130626,1167450,13258473,5703748,1048714,0,85995,0,27667,0,178310,246060,1416009,34445,1015882,2461506,41686,9799,55447,0,933205,10685474,1405549,981600,423949,-12.34853862810063
1998:Q4,15870565,14395582,11482812,10031223,1451589,2912770,2771362,141408,1474983,15870565,6745162,1303141,0,102777,0,35658,0,197908,287753,1735641,42960,1188056,3005393,47540,15564,54351,0,1108661,12802585,1592997,1101714,491283,21.08505468710716
1999:Q1,16270135,14742467,11743420,10348231,1395189,2999047,2872618,126429,1527668,16270135,6683086,1476972,0,102772,0,37244,0,198219,302409,1718908,46203,1216866,3142852,50544,16415,61035,0,1216610,13220849,1521618,1160923,360695,3.446670183316412
1999:Q2,17655448,15998472,12769204,11202620,1566584,3229268,3091101,138167,1656976,17655448,7224573,1696963,0,102189,0,40223,0,204532,326691,1773829,50782,1312387,3451209,56205,20625,68117,0,1327123,14293721,1704751,1273380,431371,7.481676541959247
1999:Q3,16794587,15093027,12317109,10779880,1537229,2775918,2660330,115588,1701560,16794587,6903632,1698637,0,101505,0,36044,0,190371,317180,1591834,48476,1231949,3316176,36658,21063,55535,0,1245527,13440210,1652817,1276905,375912,-6.912171397692243
1999:Q4,19947064,17943348,15036312,13421493,1614819,2907036,2794112,112924,2003716,19947064,8243610,2075021,0,102545,0,41990,0,208169,367123,1806759,56909,1407716,4060203,41191,33862,66885,0,1435081,16215605,1727743,1412097,315646,17.91792586521881
2000:Q1,20957103,18867960,15922815,14374024,1548791,2945145,2829956,115189,2089143,20957103,8579940,2074707,0,101804,0,42319,0,205680,377738,1950310,60405,1449700,4440119,41891,36793,74383,0,1521314,17203980,1663980,1400425,263555,3.500481804024857
2000:Q2,20130467,18076404,15221012,13681814,1539198,2855392,2732523,122869,2054063,20130467,8093677,1973307,0,100168,0,41735,0,204542,366544,1908923,60060,1408895,4288728,41091,46090,74528,0,1522179,16414337,1662067,1347632,314435,-4.74028726554926
2000:Q3,20152814,18210028,14978622,13491081,1487541,3231406,3088644,142762,1942786,20152814,8043396,1908758,0,99171,0,44385,0,200100,368446,1941411,60715,1429789,4333503,39252,49702,81519,0,1552667,16579725,1630303,1302270,328033,-0.037963064948416
2000:Q4,18209716,16356874,13087586,11654114,1433472,3269288,3128245,141043,1852842,18209716,7068176,1717546,0,97289,0,43326,0,195106,337546,1823066,56576,1298683,3910517,36543,65585,77220,0,1482537,14782359,1574515,1258281,316234,-10.5591357882311
2001:Q1,16163094,14508553,11502240,10083069,1419171,3006313,2862005,144308,1654541,16163094,6314543,1457214,0,95681,0,38133,0,173257,300472,1651570,49059,1185877,3369705,32476,66006,78268,0,1350833,12945074,1563479,1171932,391547,-12.56607325302154
2001:Q2,17336895,15618800,12377309,10866079,1511230,3241491,3082337,159154,1718095,17336895,6781692,1482561,0,95300,0,41433,0,181252,319077,1799948,52733,1265772,3644277,33840,75560,89825,0,1473625,13948416,1670384,1227558,442826,7.151143403297993
2001:Q3,14697321,13263437,10342205,8974274,1367931,2921232,2779290,141942,1433884,14697321,5689797,1213521,0,92532,0,35564,0,166181,282129,1598003,43796,1125466,3008946,29088,64345,66595,0,1281358,11753564,1509873,1103200,406673,-16.16705312019215
2001:Q4,16447476,14834803,11677540,10176925,1500615,3157263,3005495,151768,1612673,16447476,6398936,1286722,0,91828,0,40310,0,176575,292469,1785331,49091,1260360,3425322,31009,82992,85080,0,1441451,13182420,1652383,1227721,424662,11.97046936353321
2002:Q1,16614037,15007012,11714607,10176592,1538015,3292405,3131535,160870,1607025,16614037,6422255,1285382,0,89472,0,40760,0,179378,296889,1778574,50618,1294055,3493941,30960,88203,86247,0,1477303,13308127,1698885,1265140,433745,0.63561854668798
2002:Q2,14777225,13255351,10113628,8678454,1435174,3141723,2978506,163217,1521874,14777225,5763205,1108373,0,87041,0,34045,0,167061,275053,1577062,44338,1139181,3098686,30285,88951,83728,0,1280216,11656960,1598391,1150550,447841,-12.91521510355668
2002:Q3,12344885,11109410,8408369,7152966,1255403,2701041,2561226,139815,1235475,12344885,4672989,912525,0,84153,0,24862,0,149007,237648,1378336,37011,1076542,2504642,30679,78326,69384,0,1088781,9714192,1395218,1022632,372586,-17.16107045693589
2002:Q4,13221616,11847636,8991360,7718881,1272479,2856276,2714981,141295,1373980,13221616,4970585,984329,0,82753,0,30572,0,155573,254142,1493308,48836,1076523,2688868,33584,98228,74894,0,1229421,10433862,1413774,1054931,358843,7.326821574991355
2003:Q1,12741770,11448317,8720675,7504015,1216660,2727642,2589610,138032,1293453,12741770,4626423,922711,0,82710,0,28107,0,150011,251512,1517484,56254,1119439,2579752,33694,97162,67679,0,1208832,10093625,1354692,1045638,309054,-3.4918298636373
2003:Q2,14794174,13212755,10022037,8688864,1333173,3190718,3024394,166324,1581419,14794174,5450752,1030006,0,95117,0,37684,0,165631,282552,1754021,67152,1142658,3075150,40006,117704,87637,0,1448104,11713258,1499497,1127284,372213,16.02809785565075
2003:Q3,15479606,13724221,10403742,9022628,1381114,3320479,3143643,176836,1755385,15479606,5793595,1021911,0,97395,0,40560,0,169813,291969,1798712,66898,1185568,3282123,45575,115547,86803,0,1483137,12166271,1557950,1179379,378571,3.288869479214168
2003:Q4,17327561,15248139,11540719,10094934,1445785,3707420,3516371,191049,2079422,17327561,6506891,1106509,0,108152,0,49035,0,185024,313463,1967418,79022,1254192,3762039,52730,146316,100537,0,1696233,13611305,1636834,1242359,394475,11.91697548519742
2004:Q1,17981933,15843473,11858412,10269604,1588808,3985061,3754362,230699,2138460,17981933,6811207,1122544,0,109703,0,51644,0,190324,324122,2026199,83867,1232634,3967702,66931,155616,113454,0,1725986,14023966,1819507,1292862,526645,2.220353845455825
2004:Q2,18155643,15994100,12121492,10494872,1626620,3872608,3645954,226654,2161543,18155643,6759564,1138964,0,109898,0,50815,0,193003,327461,2030368,85918,1295749,4033580,70975,171828,117847,0,1769673,14140826,1853274,1316280,536994,0.952676861646718
2004:Q3,17972765,15760409,11826934,10186566,1640368,3933475,3702581,230894,2212356,17972765,6705288,1114543,0,106575,0,50319,0,192982,326551,2026846,85806,1257819,4008437,74544,173932,110251,0,1738872,13889147,1871262,1327248,544014,-2.250508991358134
2004:Q4,19796782,17236364,12946710,11221273,1725437,4289654,4037620,252034,2560418,19796782,7220951,1213832,0,116072,0,57474,0,202674,351477,2193261,98280,1471030,4491000,81804,217689,129065,0,1952173,15258893,1977471,1406238,571233,9.70911841436121
2005:Q1,19659327,17009422,12902601,11013897,1888704,4106821,3844215,262606,2649905,19659327,7269266,1137185,0,112171,0,55803,0,196692,347990,2136868,98891,1473782,4457299,87954,217437,134575,0,1933414,14858112,2151310,1420922,730388,-2.629132650627909
2005:Q2,20138599,17434197,13112723,11135826,1976897,4321474,4034452,287022,2704402,20138599,7531289,1101851,0,113436,0,57290,0,199567,353138,2171903,101220,1491598,4588344,95339,230240,131123,0,1972261,15170278,2263919,1497849,766070,1.885497003157963
2005:Q3,21044792,17966122,13566792,11561022,2005770,4399330,4109221,290109,3078670,21044792,7923979,1089399,0,116663,0,61737,0,204749,361249,2245396,108181,1505127,4884903,102966,245509,132883,0,2062051,15670243,2295879,1531254,764625,3.594601182288119
2005:Q4,21525531,18207826,13574117,11584994,1989123,4633709,4341759,291950,3317705,21525531,8065191,1058806,0,117849,0,62923,0,205749,365690,2287801,112724,1530000,5056822,104874,281018,158331,0,2117753,15926753,2281073,1563652,717421,1.744787659561645
2006:Q1,22949444,19267033,14510242,12310598,2199644,4756791,4405032,351759,3682411,22949444,9156976,1043745,0,122887,0,68611,0,210901,383236,1863657,121189,1696388,5442967,108995,305814,167166,0,2256912,16715630,2551403,1632452,918951,4.996167135305718
2006:Q2,22368271,18694691,13908849,11801409,2107440,4785842,4440425,345417,3673580,22368271,8886478,970391,0,119108,0,66857,0,207649,374438,1805783,118607,1650253,5343358,107125,317546,166945,0,2233733,16241834,2452857,1605196,847661,-2.38287215849335
2006:Q3,23148517,19319898,14257382,12107129,2150253,5062516,4699288,363228,3828619,23148517,9168108,964281,0,123034,0,70586,0,216196,389125,1864725,125849,1674690,5548721,111488,331600,172725,0,2387389,16806417,2513481,1650703,862778,4.009715127540328
2006:Q4,24833310,20504350,15089636,12846800,2242836,5414714,5038190,376524,4328960,24833310,9856675,964060,0,130434,0,79828,0,231627,441540,1976297,138402,1734141,6026520,121670,387336,186369,0,2558411,17884990,2619360,1759319,860041,6.70542818947509
2007:Q1,25628193,21091830,15691548,13062849,2628699,5400282,4965153,435129,4536363,25628193,10296717,974300,0,130852,0,80031,0,233218,449330,1992967,141086,1751049,6235084,136299,404508,202062,0,2600690,18028002,3063828,1837177,1226651,0.972226716432826
2007:Q2,26883528,21925229,16562543,13916853,2645690,5362686,4939246,423440,4958299,26883528,10407944,1039857,0,137378,0,88604,0,246647,470669,2102757,152020,1873530,6690863,146407,442671,223084,0,2861097,18856099,3069130,1893435,1175695,5.636535523473196
2007:Q3,27262723,22000254,16923511,14219749,2703762,5076743,4657358,419385,5262469,27262723,10412155,1065175,0,137929,0,92793,0,251412,477498,2121664,153972,1880791,6853800,152505,498523,220624,0,2943882,18877107,3123147,1956668,1166479,1.020108025403778
