1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,291,6,285,291,79,0,-13,6,35,0,148,0,33,3
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,492,10,482,492,158,0,7,6,59,0,189,1,47,25
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1995:Q1,446,144,302,446,153,-16,-105,-2,291,0,25,0,85,15
1995:Q2,452,158,294,452,142,-7,-108,4,294,0,25,0,85,17
1995:Q3,456,150,306,456,168,-11,-127,-2,298,0,26,0,87,17
1995:Q4,457,150,307,457,171,-7,-133,-1,297,0,26,0,86,17
1996:Q1,671,155,516,671,298,-8,-146,-77,264,0,100,0,242,-2
1996:Q2,671,151,520,671,197,-11,-121,1,265,0,101,0,241,-2
1996:Q3,679,172,507,679,153,-4,-85,2,267,0,101,0,248,-3
1996:Q4,678,223,455,678,162,-4,-101,1,267,0,102,0,252,-1
1997:Q1,1009,165,844,1009,210,-14,-119,1,493,0,72,0,360,6
1997:Q2,1020,214,806,1020,388,-6,-328,1,499,0,73,0,387,6
1997:Q3,1031,231,800,1031,491,-7,-405,1,505,0,73,0,367,6
1997:Q4,1032,196,836,1032,122,-6,-64,0,504,0,74,0,395,7
1998:Q1,1131,328,803,1131,-20,38,-123,0,488,0,252,0,473,23
1998:Q2,1143,312,831,1143,-85,37,-85,2,493,0,255,0,501,25
1998:Q3,1156,256,900,1156,44,38,-65,-133,499,0,258,0,490,25
1998:Q4,1156,157,999,1156,-192,38,-66,74,498,0,258,0,520,26
1999:Q1,1013,338,675,1013,6,-9,-100,11,588,0,170,0,159,188
1999:Q2,1023,232,791,1023,-344,-12,22,4,595,0,172,0,395,191
1999:Q3,1035,202,833,1035,-32,-11,-127,4,602,0,174,0,237,188
1999:Q4,1035,260,775,1035,-242,-12,-40,27,601,0,174,0,337,190
2000:Q1,-617,37,-654,-617,-1677,-4,-66,4,541,0,104,0,399,82
2000:Q2,-617,96,-713,-617,-1711,-3,-23,-8,542,0,104,0,400,82
2000:Q3,-624,141,-765,-624,-1762,-3,-12,2,547,0,106,0,417,81
2000:Q4,-624,172,-796,-624,-1748,-3,-19,-11,548,0,105,0,422,82
2001:Q1,941,268,673,941,-148,17,-55,-6,327,0,38,0,762,6
2001:Q2,952,316,636,952,-284,16,-21,12,330,0,38,0,855,6
2001:Q3,962,376,586,962,-222,17,-49,-22,334,0,38,0,860,6
2001:Q4,962,497,465,962,-229,17,-71,8,334,0,38,0,858,7
2002:Q1,1697,483,1214,1697,262,-3,-97,-16,488,0,54,0,1331,-322
2002:Q2,1716,576,1140,1716,-215,-3,-38,-16,493,0,53,0,1764,-322
2002:Q3,1734,617,1117,1734,288,-3,-51,-23,498,0,55,0,1292,-322
2002:Q4,1735,632,1103,1735,238,-4,-66,0,499,0,54,0,1337,-323
2003:Q1,-3017,-211,-2806,-3017,-452,1,-110,-1,-991,0,-344,0,-1091,-29
2003:Q2,-3051,-180,-2871,-3051,160,1,-65,-643,-1002,0,-348,0,-1155,1
2003:Q3,-3084,-220,-2864,-3084,-1268,0,29,16,-1013,0,-351,0,-1187,690
2003:Q4,-3084,-214,-2870,-3084,-461,1,-115,33,-1013,0,-352,0,-1151,-26
2004:Q1,3099,759,2340,3099,625,22,-52,25,1390,0,174,0,952,-37
2004:Q2,3100,815,2285,3100,730,23,-127,-17,1389,0,174,0,927,1
2004:Q3,3133,792,2341,3133,506,23,34,63,1405,0,176,0,929,-3
2004:Q4,3134,797,2337,3134,710,22,-59,-54,1405,0,176,0,960,-26
2005:Q1,2248,702,1546,2248,314,27,20,5,807,0,143,0,988,-56
2005:Q2,2272,680,1592,2272,269,27,-18,45,817,0,145,0,994,-7
2005:Q3,2298,579,1719,2298,225,27,10,78,825,0,147,0,1026,-40
2005:Q4,2297,519,1778,2297,309,26,-30,8,825,0,146,0,1004,9
2006:Q1,809,369,440,809,-847,-7,-24,-36,554,0,171,0,544,454
2006:Q2,818,310,508,818,-1030,-8,7,35,559,0,173,0,567,515
2006:Q3,826,337,489,826,-1788,-8,-14,44,566,0,175,0,557,1294
2006:Q4,827,303,524,827,-636,-8,26,47,566,0,175,0,581,76
2007:Q1,1143,395,748,1143,-553,38,-26,57,428,0,185,0,795,219
2007:Q2,1155,439,716,1155,-1603,37,18,-32,432,0,186,0,840,1277
2007:Q3,1168,440,728,1168,-322,37,0,56,438,0,189,0,831,-61
2007:Q4,1168,501,667,1168,-357,37,62,6,437,0,189,0,869,-75
2008:Q1,5466,1227,4239,5466,-230,-15,-38,-10,2158,0,557,0,3134,-90
2008:Q2,5466,1348,4118,5466,573,-14,43,-11,2158,0,557,0,2306,-146
2008:Q3,5527,1520,4007,5527,-436,-15,189,-25,2182,0,564,0,2652,416
2008:Q4,5559,1739,3820,5559,6,-15,30,-46,2218,10,572,0,2834,-50
2009:Q1,2786,882,1904,2786,2225,-6,-36,-38,-1578,-1,-419,0,2695,-56
2009:Q2,2818,1105,1713,2818,1975,-6,24,74,-1596,-3,-424,0,2822,-48
2009:Q3,2848,1117,1731,2848,1727,-6,255,36,-1613,-12,-429,0,2955,-65
2009:Q4,2848,857,1991,2848,1859,-6,145,17,-1613,-9,-428,0,2901,-18
2010:Q1,1997,721,1276,1997,559,21,81,26,1726,18,-222,0,427,-639
2010:Q2,2020,727,1293,2020,-978,20,2,-28,1745,-1,-224,0,1004,480
2010:Q3,2041,729,1312,2041,-672,21,218,46,1765,-7,-227,0,922,-25
2010:Q4,2042,756,1286,2042,-679,21,81,37,1764,-2,-227,0,1090,-43
2011:Q1,3230,970,2260,3230,2397,-29,-54,-12,419,1,148,0,889,-529
2011:Q2,3266,988,2278,3266,1823,-29,136,-27,424,3,150,0,812,-26
2011:Q3,3302,1075,2227,3302,3428,-29,87,-17,429,3,151,0,759,-1509
2011:Q4,3302,1212,2090,3302,1848,-29,94,44,428,-9,151,0,820,-45
2012:Q1,1542,489,1053,1542,-2245,-12,35,-16,2909,-1,-373,0,1293,-48
2012:Q2,1541,600,941,1541,-2792,-12,27,-13,2909,-1,-373,0,1364,432
2012:Q3,1559,757,802,1559,-2275,-12,5,30,2941,-7,-377,0,1293,-39
2012:Q4,1558,817,741,1558,-2359,-12,3,-27,2941,15,-377,0,1445,-71
2013:Q1,2910,923,1987,2910,602,5,-110,38,1060,-16,123,0,1267,-59
2013:Q2,2942,862,2080,2942,308,5,46,-12,1072,-1,125,0,1431,-32
2013:Q3,2974,975,1999,2974,267,5,53,2,1084,165,126,0,1300,-28
2013:Q4,2974,1086,1888,2974,869,5,-337,34,1084,-163,126,0,1394,-38
2014:Q1,2860,1071,1789,2860,500,-2,66,8,1085,197,99,0,935,-28
2014:Q2,2892,1304,1588,2892,620,-2,244,-20,1097,-18,99,0,902,-30
2014:Q3,2924,1145,1779,2924,385,-2,520,-41,1109,-21,101,0,901,-28
2014:Q4,2924,666,2258,2924,594,-2,115,30,1109,-4,101,0,1025,-44
2015:Q1,2959,1449,1510,2959,-921,35,173,31,1455,3,25,0,2197,-39
2015:Q2,2992,967,2025,2992,-689,36,164,-11,1471,-20,25,0,2041,-25
2015:Q3,3024,569,2455,3024,-1459,35,175,-21,1487,-1,25,0,1987,796
2015:Q4,3025,511,2514,3025,-839,35,160,44,1487,50,25,0,2100,-37
2016:Q1,4277,1160,3117,4277,662,-10,136,7,1293,-23,174,0,1686,352
2016:Q2,4276,960,3316,4276,1282,-10,-296,8,1293,-21,174,0,1815,31
2016:Q3,4324,1076,3248,4324,464,-10,630,31,1307,-2,176,0,1781,-53
2016:Q4,4323,1193,3130,4323,832,-10,127,12,1307,20,176,0,1840,19
2017:Q1,2515,626,1889,2515,24,43,125,22,986,-38,444,0,915,-6
2017:Q2,2543,779,1764,2543,1783,42,-882,0,998,-6,449,0,1107,-948
2017:Q3,2571,808,1763,2571,-1198,42,1248,10,1008,-1,453,0,1021,-12
2017:Q4,2571,738,1833,2571,-42,42,142,38,1008,-13,454,0,951,-9
2018:Q1,2342,811,1531,2342,-378,5,145,-23,1085,-28,222,0,1423,-109
2018:Q2,2369,596,1773,2369,-712,5,221,33,1097,-10,224,0,1495,16
2018:Q3,2394,606,1788,2394,-712,6,197,23,1109,111,227,0,1431,2
2018:Q4,2395,618,1777,2395,-557,5,199,-24,1109,2,227,0,1582,-148
2019:Q1,5474,1305,4169,5474,190,13,80,-3,1258,-9,468,0,3484,-7
2019:Q2,5535,1436,4099,5535,150,12,304,-16,1271,21,474,0,3321,-2
2019:Q3,5595,1610,3985,5595,192,16,313,1,1286,4,479,0,3314,-10
2019:Q4,5596,1743,3853,5596,365,14,313,7,1285,1,479,0,3467,-335
2020:Q1,5147,1334,3813,5147,570,33,309,-17,-273,17,348,0,4202,-42
2020:Q2,5146,1440,3706,5146,103,42,394,101,-274,-31,348,0,4485,-22
2020:Q3,5204,1500,3704,5204,694,13,329,36,-276,-94,352,0,4221,-71
2020:Q4,5203,1632,3571,5203,487,-3,359,31,-277,30,352,0,4263,-39
2021:Q1,3230,1147,2083,3230,116,31,260,15,1083,-52,215,0,1653,-91
2021:Q2,3266,872,2394,3266,-524,4,403,15,1096,-17,217,0,2045,27
2021:Q3,3302,1020,2282,3302,-392,27,311,1,1107,134,220,0,1870,24
2021:Q4,3302,749,2553,3302,-442,17,270,-3,1108,-63,220,0,1862,333
