date,All sectors; pension entitlements; liability,Life insurance companies; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Private pension funds; total liabilities,Federal government retirement funds; total financial assets,State and local government employee retirement funds; pension entitlements (total liabilities),Rest of the world; pension entitlement reserve credit from non-U.S. reinsurers; liability,All sectors; pension entitlements; liability,Households and nonprofit organizations; pension entitlements; asset,Life insurance companies; pension entitlements reserve credit from reinsurers; asset,Life insurance companies; assumed pension entitlement reserve credit from non-U.S. insurers; liability,All sectors; IRAs; liability,U.S.-chartered depository institutions; IRAs and Keoghs; liability,Credit unions; IRAs; liability,Life insurance companies; IRAs; liability,Money market funds; IRAs; liability,Mutual funds; IRAs; liability,Households and nonprofit organizations; IRAs; liability
1945:Q4,61172,2700,20697,24792,12983,0,61172,61172,0,0,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69381,3100,22077,29054,15150,0,69381,69381,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,77939,3600,23594,32968,17777,0,77939,77939,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q1,379389,23764,93233,177258,85134,0,379389,379389,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,386971,24250,94641,180953,87127,0,386971,386971,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,394349,24748,96166,184261,89174,0,394349,394349,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,401876,25250,97767,187594,91265,0,401876,401876,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,409725,25837,99460,190875,93553,0,409725,409725,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,418006,26341,100927,194832,95906,0,418006,418006,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,426926,26818,103436,198349,98323,0,426926,426926,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,435926,27325,105912,201910,100779,0,435926,435926,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,445277,27846,108303,205494,103634,0,445277,445277,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,455364,28367,110643,209811,106543,0,455364,455364,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,464810,28892,112760,213650,109508,0,464810,464810,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,475695,29425,116155,217602,112513,0,475695,475695,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,486809,29976,120104,221503,115226,0,486809,486809,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,497998,30617,123179,226177,118025,0,497998,497998,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,509312,31276,126825,230282,120929,0,509312,509312,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,520252,31939,129858,234517,123938,0,520252,520252,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,532409,32612,132355,238726,128716,0,532409,532409,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,547540,33300,136923,243709,133608,0,547540,547540,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,561505,33797,140969,248102,138637,0,561505,561505,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,576542,34696,145432,252645,143769,0,576542,576542,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,590724,35300,149543,256898,148983,0,590724,590724,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,606475,36003,154204,261949,154319,0,606475,606475,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,622258,36718,158967,266793,159780,0,622258,622258,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,638886,37561,164186,271799,165340,0,638886,638886,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,659467,38343,171848,279333,169943,0,659467,659467,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,675310,39123,173510,287979,174698,0,675310,675310,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,695984,39971,180163,296227,179623,0,695984,695984,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,716279,40960,185881,304735,184703,0,716279,716279,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,738457,42102,191720,311309,193326,0,738457,738457,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,759971,43385,195635,318789,202162,0,759971,759971,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q3,781999,44749,200390,325636,211224,0,781999,781999,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q4,805219,46131,205877,332737,220474,0,805219,805219,0,0,ND,ND,ND,ND,ND,ND,ND
